일시,지점명,평균기온,최저기온,최저기온시각,최고기온,최고기온시각,강수계속시간,분최다강수량,분최다강수량시각,시간최다강수량,시간최다강수량시각,일강수량,최대순간풍속,최대순간풍속풍향방위,최대순간풍속시각,최대풍속,최대풍속풍향방위,최대풍속시각,평균풍속,풍정합,최다풍향방위,평균이슬점온도,최소상대습도,최소상대습도시각,평균상대습도,평균증기압,평균현지기압,최고해면기압,최고해면기압시각,최저해면기압,최저해면기압시각,평균해면기압,가조시간,합계일조시간,시간최다일사시각,시간최다일사량,합계일사량,일최심신적설,일최심신적설시각,일최심적설,일최심적설시각,합계시간신적설,평균전운량,평균중하층운량,평균지면온도,최저초상온도,평균지중온도,평균지중온도,평균지중온도,평균지중온도,지중온도,지중온도,지중온도,지중온도,지중온도,합계대형증발량,합계소형증발량,강수,기사,안개계속시간
2012-01-01,구미,0.1,-4.6,2358.0,4.2,1158.0,,,,,,0.4,12.2,290.0,2021.0,6.4,290.0,2144.0,2.4,2077.0,290.0,-5.8,53.0,1035.0,64.6,4.0,1017.2,1025.2,2347.0,1020.3,1431.0,1023.4,9.8,1.3,,,,,,,,,,,0.1,-7.6,,,,,,,,,,,,,,
2012-01-02,구미,-2.8,-6.4,820.0,2.3,1446.0,,,,,,,8.2,270.0,10.0,5.0,290.0,16.0,2.7,2344.0,290.0,-10.2,34.0,1511.0,57.8,2.8,1019.7,1028.6,919.0,1024.2,2356.0,1026.0,9.8,7.6,,,,,,,,,,,-1.6,-8.4,,,,,,,,,,,,,,
2012-01-03,구미,-1.2,-5.5,54.0,3.4,1503.0,,,,,,1.0,6.8,290.0,2036.0,3.7,290.0,2042.0,2.1,1854.0,290.0,-7.5,40.0,1325.0,63.0,3.5,1015.1,1024.4,7.0,1018.2,1537.0,1021.3,9.8,2.7,,,,,,,,3.1,,,-1.5,-8.7,,,,,,,,,,,,,,
2012-01-04,구미,-4.0,-5.7,2234.0,-1.8,1457.0,,,,,,0.0,10.1,230.0,1156.0,6.0,290.0,1154.0,3.3,2833.0,290.0,-11.3,43.0,1445.0,57.0,2.6,1018.4,1027.9,2352.0,1020.4,1.0,1024.7,9.8,7.4,,,,,,,,,,,-1.5,-8.9,,,,,,,,,,,,,,
2012-01-05,구미,-3.5,-7.1,735.0,1.3,1437.0,,,,,,,8.1,290.0,1541.0,4.6,290.0,1238.0,2.6,2287.0,290.0,-11.8,32.0,1557.0,53.4,2.5,1022.6,1030.6,922.0,1027.0,1521.0,1029.0,9.8,7.4,,,,,,,,,,,-3.0,-10.2,,,,,,,,,,,,,,
2012-01-06,구미,-2.4,-7.8,714.0,4.8,1401.0,,,,,,,7.6,340.0,1307.0,4.6,320.0,1459.0,1.8,1543.0,290.0,-10.8,32.0,1551.0,53.6,2.7,1024.6,1033.7,2342.0,1028.3,1411.0,1030.9,9.8,7.2,,,,,,,,,,,-2.1,-11.1,,,,,,,,,,,,,,
2012-01-07,구미,-3.9,-9.8,729.0,4.4,1524.0,,,,,,,4.3,320.0,1201.0,2.0,270.0,55.0,0.8,683.0,270.0,-12.0,19.0,1525.0,57.0,2.4,1028.6,1037.4,956.0,1033.2,1517.0,1035.0,9.8,7.4,,,,,,,,,,,-3.1,-13.2,,,,,,,,,,,,,,
2012-01-08,구미,-2.3,-9.8,626.0,5.6,1532.0,,,,,,,7.7,290.0,1901.0,5.4,290.0,1909.0,1.8,1567.0,290.0,-11.9,15.0,1541.0,53.1,2.5,1025.2,1034.6,905.0,1028.1,1512.0,1031.5,9.8,7.0,,,,,,,,,,,-2.5,-12.3,,,,,,,,,,,,,,
2012-01-09,구미,0.1,-4.9,645.0,5.3,1354.0,,,,,,,7.0,290.0,1445.0,4.5,290.0,1454.0,2.1,1794.0,290.0,-6.6,41.0,1347.0,62.1,3.7,1023.6,1032.0,923.0,1027.5,1622.0,1029.8,9.9,6.1,,,,,,,,,,,-0.5,-8.7,,,,,,,,,,,,,,
2012-01-10,구미,0.4,-3.1,47.0,4.8,1402.0,,,,,,,7.7,290.0,1515.0,4.6,290.0,1530.0,2.0,1716.0,290.0,-9.2,29.0,1217.0,51.1,3.1,1020.9,1028.9,351.0,1024.9,1438.0,1027.1,9.9,4.9,,,,,,,,,,,0.3,-6.6,,,,,,,,,,,,,,
2012-01-11,구미,-2.2,-6.6,2247.0,0.7,1428.0,,,,,,,10.2,320.0,1202.0,5.4,320.0,1133.0,3.4,2948.0,290.0,-15.0,22.0,1353.0,38.0,2.0,1023.7,1032.4,2015.0,1027.1,128.0,1030.0,9.9,7.6,,,,,,,,,,,-1.5,-9.4,,,,,,,,,,,,,,
2012-01-12,구미,-3.1,-9.6,337.0,2.6,1445.0,,,,,,,8.8,290.0,1303.0,4.5,270.0,1414.0,2.3,1988.0,290.0,-12.1,34.0,1440.0,50.9,2.5,1022.6,1032.8,705.0,1025.5,1751.0,1029.0,9.9,7.5,,,,,,,,,,,-3.2,-13.6,,,,,,,,,,,,,,
2012-01-13,구미,-0.2,-5.6,545.0,5.8,1312.0,,,,,,,8.2,290.0,1400.0,4.5,290.0,1327.0,1.6,1420.0,320.0,-7.6,38.0,1305.0,58.8,3.5,1018.2,1026.3,1.0,1022.5,1544.0,1024.4,9.9,5.1,,,,,,,,,,,-1.1,-9.9,,,,,,,,,,,,,,
2012-01-14,구미,-0.7,-6.5,713.0,5.3,1428.0,,,,,,,7.5,290.0,1341.0,4.2,290.0,1502.0,1.8,1593.0,320.0,-13.9,18.0,1343.0,38.8,2.1,1017.9,1026.3,923.0,1022.4,1451.0,1024.2,10.0,7.5,,,,,,,,,,,-1.4,-11.0,,,,,,,,,,,,,,
2012-01-15,구미,-0.9,-4.9,320.0,4.4,1412.0,,,,,,,5.1,340.0,1118.0,3.2,340.0,1119.0,1.1,937.0,270.0,-10.6,28.0,1441.0,49.4,2.7,1015.2,1023.2,1005.0,1019.7,1458.0,1021.4,10.0,4.3,,,,,,,,,,,-0.7,-8.3,,,,,,,,,,,,,,
2012-01-16,구미,1.0,-4.1,705.0,5.8,1607.0,,,,,,0.0,3.7,320.0,953.0,2.0,320.0,955.0,0.9,799.0,270.0,-5.4,43.0,1208.0,63.8,4.3,1013.6,1021.9,28.0,1017.6,1604.0,1019.8,10.0,0.0,,,,,,,,,,,0.3,-6.7,,,,,,,,,,,,,,
2012-01-17,구미,2.2,-1.9,737.0,7.6,1506.0,,,,,,,2.4,270.0,1752.0,1.8,290.0,1827.0,0.8,665.0,270.0,-0.6,62.0,1509.0,82.8,5.9,1015.1,1022.4,1003.0,1019.7,1514.0,1021.2,10.0,1.3,,,,,,,,,,,1.1,-5.9,,,,,,,,,,,,,,
2012-01-18,구미,1.3,-2.9,504.0,5.9,1545.0,,,,,,0.4,3.2,70.0,1257.0,1.8,290.0,50.0,0.8,650.0,270.0,-1.2,59.0,1618.0,83.9,5.6,1016.5,1024.6,1002.0,1021.0,1426.0,1022.7,10.0,1.5,,,,,,,,,,,0.6,-6.6,,,,,,,,,,,,,,
2012-01-19,구미,4.9,2.0,1.0,7.5,1700.0,,,,,,7.0,6.5,50.0,1654.0,3.1,70.0,1736.0,1.6,1384.0,320.0,2.1,68.0,2333.0,83.5,7.2,1015.6,1023.2,1.0,1019.7,1413.0,1021.7,10.1,0.4,,,,,,,,,,,2.3,0.6,,,,,,,,,,,,,,
2012-01-20,구미,6.9,4.0,2008.0,10.0,1320.0,,,,,,0.0,6.6,50.0,158.0,3.8,70.0,1636.0,1.6,1342.0,70.0,0.4,46.0,1307.0,63.9,6.3,1016.3,1023.4,852.0,1021.0,1337.0,1022.3,10.1,0.5,,,,,,,,,,,3.5,0.4,,,,,,,,,,,,,,
2012-01-21,구미,4.9,2.5,626.0,8.6,1439.0,,,,,,0.1,6.4,290.0,2257.0,3.7,270.0,2328.0,1.5,1310.0,270.0,0.8,56.0,1437.0,75.5,6.5,1014.5,1022.5,1044.0,1019.0,1430.0,1020.6,10.1,1.6,,,,,,,,,,,4.8,0.6,,,,,,,,,,,,,,
2012-01-22,구미,-0.6,-6.0,2353.0,4.4,11.0,,,,,,,9.4,270.0,1551.0,5.4,290.0,844.0,3.8,3300.0,290.0,-11.7,20.0,1512.0,45.5,2.7,1016.0,1024.9,2317.0,1019.3,112.0,1022.2,10.1,7.0,,,,,,,,,,,1.9,-7.2,,,,,,,,,,,,,,
2012-01-23,구미,-6.1,-9.1,724.0,-2.4,1423.0,,,,,,,11.3,340.0,1402.0,5.7,320.0,1409.0,3.5,2981.0,290.0,-17.0,26.0,1255.0,42.9,1.6,1019.3,1026.8,2342.0,1024.1,1450.0,1025.7,10.2,8.0,,,,,,,,,,,-3.6,-10.8,,,,,,,,,,,,,,
2012-01-24,구미,-5.5,-9.7,743.0,-0.6,1343.0,,,,,,,7.8,290.0,1414.0,4.9,320.0,1519.0,2.1,1820.0,270.0,-15.9,25.0,1519.0,46.0,1.8,1018.0,1027.3,230.0,1022.1,2356.0,1024.4,10.2,8.1,,,,,,,,,,,-4.1,-12.2,,,,,,,,,,,,,,
2012-01-25,구미,-5.8,-9.6,2359.0,-2.0,1455.0,,,,,,0.0,11.3,340.0,1118.0,6.3,290.0,1239.0,2.6,2277.0,290.0,-15.5,28.0,1501.0,48.4,1.9,1017.4,1026.9,2400.0,1021.4,403.0,1023.8,10.2,8.0,,,,,,,,,,,-3.1,-12.1,,,,,,,,,,,,,,
2012-01-26,구미,-3.5,-11.8,655.0,3.9,1554.0,,,,,,0.0,8.0,290.0,1409.0,4.8,290.0,1417.0,1.2,1065.0,270.0,-11.2,33.0,1233.0,57.4,2.7,1019.4,1027.8,729.0,1023.5,1612.0,1025.7,10.2,7.0,,,,,,,,,,,-3.5,-13.8,,,,,,,,,,,,,,
2012-01-27,구미,-0.4,-6.0,410.0,6.9,1518.0,,,,,,,6.5,270.0,1546.0,4.0,290.0,1553.0,0.9,803.0,270.0,-5.1,40.0,1518.0,72.8,4.2,1018.5,1026.0,633.0,1022.7,1425.0,1024.7,10.3,5.9,,,,,,,,,,,-0.7,-8.8,,,,,,,,,,,,,,
2012-01-28,구미,0.7,-2.1,749.0,6.7,1508.0,,,,,,,6.0,320.0,922.0,3.6,290.0,1146.0,1.3,1155.0,270.0,-12.2,15.0,1358.0,43.1,2.6,1020.3,1028.6,1006.0,1024.6,1656.0,1026.5,10.3,7.3,,,,,,,,,,,0.7,-5.2,,,,,,,,,,,,,,
2012-01-29,구미,-0.2,-4.3,205.0,5.5,1330.0,,,,,,,9.9,290.0,1334.0,5.5,270.0,1314.0,2.0,1726.0,290.0,-15.3,16.0,1308.0,33.5,1.9,1021.6,1029.2,940.0,1026.4,1505.0,1027.8,10.3,8.2,,,,,,,,,,,-1.0,-8.2,,,,,,,,,,,,,,
2012-01-30,구미,-1.7,-5.8,819.0,3.0,1507.0,,,,,,,9.4,270.0,1356.0,4.9,290.0,1643.0,2.5,2199.0,290.0,-20.9,13.0,1529.0,22.0,1.2,1022.2,1031.0,807.0,1026.1,1546.0,1028.5,10.3,8.3,,,,,,,,,,,-1.6,-9.5,,,,,,,,,,,,,,
2012-01-31,구미,-1.5,-9.2,726.0,4.1,1910.0,,,,,,6.0,7.4,270.0,1909.0,3.4,340.0,2354.0,1.5,1298.0,290.0,-10.2,24.0,1228.0,54.6,3.3,1016.1,1028.6,224.0,1015.2,2013.0,1022.3,10.4,4.5,,,,,,,,2.5,,,-2.0,-12.3,,,,,,,,,,,,,,
2012-02-01,구미,-6.4,-9.8,2347.0,0.0,1.0,,,,,,2.5,11.2,270.0,1602.0,6.2,290.0,1219.0,3.5,3011.0,290.0,-12.6,46.0,1415.0,62.4,2.4,1017.5,1027.5,2350.0,1018.7,1.0,1023.9,10.4,8.4,,,,,,,,0.3,,,0.1,-5.0,,,,,,,,,,,,,,
2012-02-02,구미,-10.1,-13.6,719.0,-6.1,1600.0,,,,,,,8.7,270.0,45.0,5.2,290.0,2400.0,3.3,2850.0,290.0,-18.5,37.0,1405.0,50.5,1.4,1022.9,1031.3,1058.0,1027.4,9.0,1029.4,10.4,8.4,,,,,,,,,,,-1.8,-10.0,,,,,,,,,,,,,,
2012-02-03,구미,-7.6,-13.5,325.0,-1.3,1549.0,,,,,,,11.5,270.0,1438.0,5.3,290.0,2.0,2.1,1844.0,290.0,-14.5,36.0,1648.0,58.9,2.0,1020.5,1030.2,47.0,1024.2,1519.0,1026.9,10.5,8.4,,,,,,,,,,,-3.3,-11.7,,,,,,,,,,,,,,
2012-02-04,구미,-2.9,-10.3,428.0,4.1,1426.0,,,,,,,10.5,290.0,1523.0,5.5,290.0,1552.0,1.5,1279.0,290.0,-8.8,37.0,1514.0,65.8,3.2,1019.9,1027.5,2337.0,1024.7,416.0,1026.2,10.5,7.6,,,,,,,,,,,-2.3,-10.6,,,,,,,,,,,,,,
2012-02-05,구미,-1.2,-6.1,242.0,6.3,1529.0,,,,,,,3.1,110.0,1439.0,2.3,270.0,1951.0,0.9,739.0,270.0,-8.5,23.0,1422.0,61.5,3.3,1018.2,1027.7,239.0,1021.6,1638.0,1024.5,10.5,6.8,,,,,,,,,,,-0.7,-7.7,,,,,,,,,,,,,,
2012-02-06,구미,0.6,-5.4,426.0,5.7,1455.0,,,,,,,3.5,340.0,1017.0,2.6,320.0,1020.0,0.7,609.0,270.0,-6.3,38.0,1356.0,62.3,3.9,1010.7,1022.5,2.0,1012.9,2159.0,1016.8,10.6,2.2,,,,,,,,,,,-0.2,-7.0,,,,,,,,,,,,,,
2012-02-07,구미,-2.7,-8.2,2353.0,4.2,100.0,,,,,,,11.5,320.0,733.0,6.7,290.0,735.0,4.4,3792.0,290.0,-14.6,25.0,1930.0,40.6,2.2,1010.6,1022.3,2323.0,1011.9,414.0,1016.8,10.6,8.5,,,,,,,,,,,-0.3,-9.5,,,,,,,,,,,,,,
2012-02-08,구미,-5.8,-10.5,621.0,-1.3,1613.0,,,,,,,10.8,290.0,1501.0,6.7,290.0,1453.0,3.3,2819.0,290.0,-15.5,31.0,1056.0,46.5,1.9,1016.2,1024.1,2355.0,1019.5,1441.0,1022.5,10.6,7.4,,,,,,,,,,,-4.3,-12.1,,,,,,,,,,,,,,
2012-02-09,구미,-2.0,-6.3,756.0,2.1,1520.0,,,,,,0.1,8.4,290.0,1351.0,4.9,290.0,1358.0,2.7,2375.0,290.0,-12.6,26.0,1426.0,46.5,2.4,1019.6,1028.3,947.0,1023.6,1742.0,1025.9,10.7,8.3,,,,,,,,,,,-1.9,-8.5,,,,,,,,,,,,,,
2012-02-10,구미,-0.8,-6.1,717.0,3.7,1336.0,,,,,,,9.0,290.0,1532.0,4.6,270.0,1610.0,2.1,1795.0,290.0,-9.8,30.0,1521.0,52.8,2.9,1020.1,1028.4,906.0,1023.9,1600.0,1026.3,10.7,7.1,,,,,,,,,,,-0.5,-8.1,,,,,,,,,,,,,,
2012-02-11,구미,-1.6,-6.5,718.0,4.3,1532.0,,,,,,,7.8,290.0,1630.0,4.6,290.0,819.0,2.4,2053.0,290.0,-14.8,17.0,1540.0,39.5,2.0,1022.8,1030.7,2314.0,1026.5,35.0,1029.0,10.7,8.6,,,,,,,,,,,-1.0,-9.3,,,,,,,,,,,,,,
2012-02-12,구미,-0.5,-8.2,705.0,6.6,1533.0,,,,,,,5.2,90.0,1425.0,3.0,70.0,1358.0,1.1,910.0,270.0,-10.2,25.0,1547.0,50.6,2.8,1024.3,1034.0,850.0,1027.3,2314.0,1030.5,10.8,8.3,,,,,,,,,,,-0.4,-10.7,,,,,,,,,,,,,,
2012-02-13,구미,0.7,-2.7,2352.0,4.6,1635.0,,,,,,0.2,2.5,290.0,2011.0,1.7,270.0,2015.0,0.7,563.0,290.0,-4.1,47.0,102.0,71.1,4.6,1018.5,1027.8,12.0,1022.4,1729.0,1024.7,10.8,0.0,,,,,,,,,,,0.5,-5.6,,,,,,,,,,,,,,
2012-02-14,구미,3.6,-2.5,11.0,11.2,1556.0,,,,,,0.1,6.1,290.0,2127.0,4.3,290.0,2142.0,1.3,1087.0,290.0,-3.7,32.0,1556.0,62.9,4.7,1014.1,1023.5,5.0,1016.9,1516.0,1020.2,10.8,4.9,,,,,,,,,,,2.7,-4.3,,,,,,,,,,,,,,
2012-02-15,구미,3.8,1.4,2358.0,8.5,1508.0,,,,,,,7.7,270.0,627.0,4.6,290.0,629.0,2.7,2351.0,290.0,-11.8,16.0,1708.0,33.5,2.6,1014.9,1022.9,824.0,1018.7,1723.0,1021.0,10.9,5.7,,,,,,,,,,,2.4,-0.7,,,,,,,,,,,,,,
