일시,지점명,평균기온,최저기온,최저기온시각,최고기온,최고기온시각,강수계속시간,분최다강수량,분최다강수량시각,시간최다강수량,시간최다강수량시각,일강수량,최대순간풍속,최대순간풍속풍향방위,최대순간풍속시각,최대풍속,최대풍속풍향방위,최대풍속시각,평균풍속,풍정합,최다풍향방위,평균이슬점온도,최소상대습도,최소상대습도시각,평균상대습도,평균증기압,평균현지기압,최고해면기압,최고해면기압시각,최저해면기압,최저해면기압시각,평균해면기압,가조시간,합계일조시간,시간최다일사시각,시간최다일사량,합계일사량,일최심신적설,일최심신적설시각,일최심적설,일최심적설시각,합계시간신적설,평균전운량,평균중하층운량,평균지면온도,최저초상온도,평균지중온도,평균지중온도,평균지중온도,평균지중온도,지중온도,지중온도,지중온도,지중온도,지중온도,합계대형증발량,합계소형증발량,강수,기사,안개계속시간
2019-05-31,세종,,13.7,2346.0,24.1,1424.0,,0.2,,0.2,,0.2,5.4,290.0,1708.0,3.3,290.0,1657.0,,,,,39.0,1417.0,,,,1012.6,2241.0,1008.6,1700.0,,,7.6,,,,,,,,,,,27.8,11.4,,,,,,,,,,,,,,
2019-06-01,세종,17.4,10.8,453.0,23.5,1426.0,,,,,,,4.8,290.0,944.0,2.7,320.0,904.0,0.9,735.0,230.0,11.2,44.0,1241.0,69.9,13.3,999.9,1012.6,21.0,1009.1,1804.0,1010.9,,8.5,,,,,,,,,,,21.7,7.5,,,,,,,,,,,,,,
2019-06-02,세종,21.0,13.5,541.0,28.0,1504.0,,,,,,,5.1,340.0,1453.0,3.2,320.0,2018.0,1.1,942.0,320.0,9.7,26.0,1645.0,53.5,12.2,997.1,1010.4,1.0,1005.2,1733.0,1007.9,,13.1,,,,,,,,,,,25.6,10.0,,,,,,,,,,,,,,
2019-06-03,세종,22.2,13.9,520.0,29.5,1621.0,,,,,,,7.5,340.0,1444.0,4.1,340.0,1432.0,0.9,800.0,70.0,9.4,25.0,1459.0,47.0,11.9,997.6,1010.0,805.0,1005.6,1701.0,1008.3,,12.5,,,,,,,,,,,26.8,10.2,,,,,,,,,,,,,,
2019-06-04,세종,23.1,16.3,527.0,30.9,1449.0,,,,,,,4.9,290.0,1503.0,3.1,320.0,1506.0,1.2,1034.0,290.0,12.3,25.0,1414.0,53.9,14.4,998.6,1011.5,659.0,1006.8,1655.0,1009.3,,12.2,,,,,,,,,,,28.5,13.0,,,,,,,,,,,,,,
2019-06-05,세종,22.7,16.6,410.0,30.2,1605.0,,,,,,,4.3,320.0,1018.0,3.1,340.0,1026.0,1.2,1060.0,290.0,15.6,42.0,1446.0,67.3,17.8,1001.2,1013.1,1021.0,1010.3,213.0,1012.0,14.6,10.0,,,,,,,,,,,28.8,14.6,,,,,,,,,,,,,,
2019-06-06,세종,20.5,16.2,2319.0,27.3,1328.0,,2.5,1737.0,7.9,2131.0,29.2,6.4,290.0,1738.0,4.9,70.0,2221.0,1.1,986.0,90.0,16.3,54.0,1123.0,78.8,18.5,998.9,1013.5,453.0,1003.9,2400.0,1009.8,14.6,0.1,,,,,,,,,,,23.4,15.5,,,,,,,,,,,,,,
2019-06-07,세종,18.4,16.1,55.0,21.3,1857.0,,6.7,523.0,13.7,512.0,35.1,5.4,70.0,125.0,3.6,70.0,26.0,1.7,1465.0,70.0,16.4,72.0,2315.0,88.6,18.7,991.9,1008.2,2400.0,999.2,455.0,1002.7,14.6,0.2,,,,,,,,,,,19.7,15.7,,,,,,,,,,,,,,
2019-06-08,세종,20.8,15.5,517.0,27.0,1557.0,,,,,,,4.1,340.0,1842.0,2.4,320.0,1847.0,0.8,719.0,180.0,15.1,43.0,1347.0,72.9,17.2,997.5,1010.1,834.0,1006.7,1805.0,1008.3,14.6,11.4,,,,,,,,,,,24.3,12.1,,,,,,,,,,,,,,
2019-06-09,세종,21.4,17.6,503.0,27.3,1418.0,,8.4,2209.0,13.2,2200.0,15.5,6.2,340.0,2025.0,4.4,340.0,2029.0,1.0,891.0,140.0,15.5,34.0,1522.0,72.3,17.7,994.8,1008.4,654.0,1002.6,1737.0,1005.6,14.6,5.2,,,,,,,,,,,26.3,15.5,,,,,,,,,,,,,,
