일시,지점명,평균기온,최저기온,최저기온시각,최고기온,최고기온시각,강수계속시간,분최다강수량,분최다강수량시각,시간최다강수량,시간최다강수량시각,일강수량,최대순간풍속,최대순간풍속풍향방위,최대순간풍속시각,최대풍속,최대풍속풍향방위,최대풍속시각,평균풍속,풍정합,최다풍향방위,평균이슬점온도,최소상대습도,최소상대습도시각,평균상대습도,평균증기압,평균현지기압,최고해면기압,최고해면기압시각,최저해면기압,최저해면기압시각,평균해면기압,가조시간,합계일조시간,시간최다일사시각,시간최다일사량,합계일사량,일최심신적설,일최심신적설시각,일최심적설,일최심적설시각,합계시간신적설,평균전운량,평균중하층운량,평균지면온도,최저초상온도,평균지중온도,평균지중온도,평균지중온도,평균지중온도,지중온도,지중온도,지중온도,지중온도,지중온도,합계대형증발량,합계소형증발량,강수,기사,안개계속시간
2012-01-01,진주,-0.2,-6.0,515.0,6.5,1309.0,0.32,,,,,0.0,11.4,340.0,1743.0,5.6,340.0,1900.0,1.7,1499.0,360.0,-7.2,38.0,1856.0,61.5,3.7,1019.2,1025.1,922.0,1019.9,1553.0,1023.1,9.8,5.2,1300.0,1.68,7.45,,,,,,4.1,4.1,-0.1,-9.8,0.6,0.9,1.9,2.8,5.5,9.0,,,,,1.7,0.0,{박무}0210-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1004. {연무}1003-{연무}{강도0}1200-{연무}{강도0}1500-1555. {연무}1633-1710. {비}1653-1712.,
2012-01-02,진주,-2.3,-9.3,657.0,6.1,1512.0,,,,,,,8.2,340.0,2.0,4.0,360.0,4.0,0.7,647.0,200.0,-10.8,18.0,1413.0,55.8,2.7,1021.1,1028.0,856.0,1022.9,1423.0,1025.0,9.9,8.1,1200.0,1.98,11.4,,,,,,1.1,0.0,-1.2,-13.6,0.0,0.2,1.8,2.8,5.3,9.0,,,,,1.4,,{연무}2348-{연무}{강도0}2400-,
2012-01-03,진주,-1.0,-7.4,653.0,5.7,1436.0,0.67,,,,,0.0,7.5,270.0,1618.0,4.4,270.0,1615.0,1.2,997.0,270.0,-7.2,34.0,1432.0,64.4,3.6,1017.2,1023.9,916.0,1018.3,1502.0,1021.1,9.9,6.3,1300.0,1.38,7.78,,,,,,4.6,1.9,-0.9,-11.5,-0.3,0.0,1.5,2.7,5.3,8.8,,,,,1.7,0.0,-{연무}-{연무}{강도0}0300-0320. {박무}0318-{박무}{강도0}0600-{박무}{강도0}0900-0955. {연무}0953-1140. {눈}1855-1935.,
2012-01-04,진주,-1.7,-7.2,2345.0,2.2,1455.0,,,,,,,10.3,320.0,941.0,5.2,340.0,942.0,2.2,1887.0,340.0,-13.1,24.0,1425.0,43.3,2.3,1020.0,1027.2,2328.0,1020.5,1.0,1023.9,9.9,8.5,1200.0,1.83,10.9,,,,,,1.8,1.8,-0.3,-13.0,0.4,1.0,2.0,2.8,5.4,8.8,,,,,1.8,,,
2012-01-05,진주,-2.9,-9.6,520.0,6.0,1550.0,,,,,,,4.5,20.0,1702.0,2.7,360.0,1658.0,0.8,681.0,70.0,-11.2,24.0,1622.0,56.6,2.6,1024.0,1030.0,916.0,1025.5,1516.0,1027.9,9.9,8.7,1200.0,2.01,12.03,,,,,,0.0,0.0,-2.0,-14.2,-0.8,-0.4,1.4,2.5,5.2,8.6,,,,,1.5,,,
2012-01-06,진주,-2.7,-9.6,740.0,6.5,1501.0,,,,,,,4.2,250.0,1352.0,2.2,230.0,1637.0,0.5,408.0,90.0,-9.7,30.0,1601.0,62.1,2.9,1026.2,1032.9,2349.0,1027.9,1356.0,1030.1,9.9,8.7,1100.0,1.8,10.7,,,,,,1.1,0.0,-2.0,-14.5,-1.2,-0.7,1.0,2.2,4.7,8.5,,,,,1.9,,{박무}0840-{박무}{강도0}0900-0904. {연무}0902-1015.,
2012-01-07,진주,-2.8,-9.7,745.0,6.1,1515.0,,,,,,,5.2,110.0,1217.0,3.6,110.0,1221.0,0.6,535.0,90.0,-11.5,16.0,1515.0,57.6,2.6,1030.0,1036.3,1009.0,1032.2,1432.0,1034.0,9.9,8.7,1200.0,1.99,12.11,,,,,,0.0,0.0,-2.1,-15.1,-1.1,-0.6,0.9,2.1,4.8,8.6,,,,,2.0,,{박무}0348-{박무}{강도0}0600-{박무}{강도0}0900-0945. {연무}0940-1030.,
2012-01-08,진주,-0.9,-10.5,729.0,8.4,1439.0,,,,,,,4.0,20.0,2245.0,1.8,320.0,1513.0,0.6,532.0,180.0,-12.8,16.0,1440.0,45.9,2.3,1026.6,1033.8,907.0,1027.2,1546.0,1030.5,9.9,6.8,1200.0,1.87,10.74,,,,,,2.5,2.1,-1.4,-14.6,-0.8,-0.7,0.8,2.0,4.5,8.2,,,,,0.7,,,
2012-01-09,진주,1.1,-4.2,2343.0,7.7,1519.0,,,,,,,6.5,340.0,1220.0,3.8,90.0,1011.0,1.2,995.0,90.0,-8.0,29.0,1520.0,52.9,3.3,1025.2,1031.3,1001.0,1026.5,1614.0,1029.1,9.9,8.4,1200.0,1.69,10.04,,,,,,1.9,0.0,-0.1,-9.3,0.5,0.5,1.3,2.1,4.5,8.0,,,,,1.8,,{연무}0145-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
2012-01-10,진주,0.4,-6.8,553.0,7.3,1511.0,,,,,,,7.4,360.0,1711.0,3.9,360.0,1731.0,1.1,958.0,20.0,-9.2,22.0,1530.0,54.1,3.1,1022.7,1028.5,441.0,1024.0,1501.0,1026.6,9.9,7.7,1100.0,1.61,9.85,,,,,,4.4,0.0,-0.4,-11.1,0.3,0.2,1.4,2.3,4.5,8.0,,,,,1.2,,-{연무}-0006. {박무}0005-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도1}0900-0946. {연무}0944-{연무}{강도0}1200-{연무}{강도0}1500-1515.,
2012-01-11,진주,-0.3,-8.2,2334.0,3.1,1410.0,,,,,,,10.9,340.0,1301.0,5.7,340.0,942.0,2.5,2127.0,340.0,-14.4,18.0,1629.0,35.1,2.0,1025.2,1031.8,2135.0,1026.3,5.0,1029.1,10.0,8.7,1200.0,2.07,11.99,,,,,,2.0,0.4,0.6,-14.2,1.2,1.7,2.2,2.7,4.6,7.9,,,,,2.1,,,
2012-01-12,진주,-4.3,-12.5,710.0,4.7,1555.0,,,,,,,3.9,200.0,1657.0,2.4,250.0,1629.0,0.7,593.0,70.0,-12.7,27.0,1451.0,55.0,2.3,1024.5,1031.7,607.0,1025.0,1628.0,1028.4,10.0,8.8,1200.0,2.05,12.17,,,,,,1.1,0.0,-2.7,-16.8,-1.2,-0.7,1.1,2.3,4.7,7.6,,,,,1.1,,,
2012-01-13,진주,-0.9,-7.8,428.0,7.5,1512.0,,,,,,,3.9,360.0,1714.0,2.1,70.0,1353.0,0.5,452.0,270.0,-7.3,31.0,1656.0,64.6,3.6,1020.7,1026.4,36.0,1022.4,1629.0,1024.5,10.0,6.8,1200.0,1.76,9.46,,,,,,3.8,2.6,-0.3,-12.5,-0.3,-0.2,1.1,2.1,4.5,7.7,,,,,1.5,,{연무}1635-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
2012-01-14,진주,-0.7,-6.6,432.0,7.2,1626.0,,,,,,,7.3,70.0,1156.0,4.2,90.0,1159.0,0.9,751.0,70.0,-13.0,13.0,1438.0,46.6,2.4,1019.6,1025.8,935.0,1021.4,1433.0,1023.4,10.0,8.5,1100.0,2.0,12.38,,,,,,4.1,0.4,0.4,-11.8,0.5,0.8,1.5,2.2,4.3,7.5,,,,,1.0,,-{연무}-0126. {박무}0124-{박무}{강도0}0300-{박무}{강도0}0600-0844. {연무}0842-{연무}{강도0}0900-1010.,
2012-01-15,진주,0.1,-4.0,554.0,5.4,1450.0,,,,,,,4.0,110.0,1138.0,2.3,90.0,1135.0,0.7,577.0,70.0,-10.2,27.0,1641.0,48.0,2.8,1016.9,1022.5,1.0,1018.5,1506.0,1020.7,10.0,0.2,1200.0,1.05,5.72,,,,,,7.9,1.4,-0.2,-7.7,0.2,0.4,1.6,2.4,4.5,7.8,,,,,1.4,,,
2012-01-16,진주,2.8,-2.2,734.0,7.4,1418.0,1.0,,,,,0.0,5.7,50.0,1335.0,2.5,20.0,1451.0,0.7,628.0,20.0,-4.0,45.0,1041.0,61.8,4.7,1014.6,1020.6,16.0,1016.2,1330.0,1018.4,10.1,0.9,1000.0,0.76,5.1,,,,,,9.1,4.6,2.3,-4.6,2.0,2.1,2.3,2.7,4.5,7.5,,,,,1.0,0.0,{비}2125-2225.,
2012-01-17,진주,4.8,-0.3,732.0,9.9,1436.0,0.5,,,,,0.1,3.0,320.0,940.0,1.8,290.0,1020.0,0.5,443.0,290.0,1.4,54.0,1436.0,80.0,6.8,1016.7,1022.0,1025.0,1018.9,1458.0,1020.5,10.1,3.8,1300.0,1.44,6.64,,,,,,7.9,6.3,4.4,-3.1,4.2,4.0,3.7,3.7,4.8,7.5,,,,,0.8,0.2,{박무}0020-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0945. {비}1815-1845.,
2012-01-18,진주,4.6,0.8,707.0,8.7,1340.0,9.93,,,,,3.5,6.0,20.0,1259.0,2.9,360.0,1259.0,0.7,613.0,340.0,1.7,54.0,1511.0,83.0,6.9,1017.4,1023.0,931.0,1019.2,1348.0,1021.1,10.1,0.5,1100.0,1.15,4.56,,,,,,8.9,5.5,4.1,-1.5,4.4,4.5,4.6,4.5,5.3,7.4,,,,,0.4,8.4,{비}0010-0055. {박무}0125-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도0}0900-1052. {연무}1050-{연무}{강도0}1200-{연무}{강도0}1500-1620. {박무}1618-{박무}{강도1}1800-{박무}{강도1}2100-{박무}{강도1}2400- {비}1245-1306. {비}1510-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-,
2012-01-19,진주,6.2,3.9,25.0,7.7,1440.0,19.7,,,,,6.0,6.6,20.0,2251.0,3.3,360.0,1816.0,1.7,1450.0,360.0,3.0,68.0,2333.0,80.6,7.6,1016.0,1021.7,5.0,1017.7,1406.0,1019.8,10.1,0.0,1200.0,0.49,1.81,,,,,,10.0,7.4,5.4,3.6,5.1,5.2,5.1,5.1,4.8,7.6,,,,,1.0,1.0,-{박무}-{시정(미만)}{1km}{안개}0020-{시정(이상)}{1km}{박무}0140-{박무}{강도1}0300-{박무}{강도1}0600-0840. -{비}-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-1942.,1.33
2012-01-20,진주,7.9,4.0,2156.0,10.9,1212.0,,,,,,,7.8,340.0,148.0,3.9,360.0,1013.0,2.3,2001.0,360.0,0.5,47.0,1419.0,60.3,6.4,1016.9,1021.6,906.0,1019.6,26.0,1020.6,10.2,2.4,1000.0,1.24,6.07,,,,,,7.5,5.8,6.3,-1.1,6.0,6.0,5.8,5.7,5.4,7.9,,,,,1.8,,,
2012-01-21,진주,6.6,4.6,2352.0,9.8,1421.0,4.92,,,,,0.2,5.6,360.0,905.0,2.9,20.0,910.0,1.5,1319.0,340.0,0.7,50.0,1429.0,66.9,6.4,1015.8,1021.0,1.0,1017.8,1434.0,1019.6,10.2,2.0,1300.0,1.33,7.12,,,,,,8.4,5.5,6.0,2.4,6.1,6.0,5.8,5.8,6.6,8.0,,,,,1.5,0.2,{비}1645-{비}{강도0}1800-{비}{강도0}2100-2140.,
2012-01-22,진주,2.0,-3.4,2352.0,5.4,1335.0,,,,,,,9.5,360.0,1421.0,4.9,360.0,1536.0,2.7,2323.0,360.0,-11.5,18.0,1206.0,39.6,2.9,1016.7,1023.4,2252.0,1018.2,1335.0,1020.6,10.2,8.0,1200.0,1.93,11.42,,,,,,4.0,0.4,3.0,-4.8,4.0,4.7,5.6,5.9,6.7,8.0,,,,,1.7,,{연무}0844-{연무}{강도0}0900-0935.,
2012-01-23,진주,-3.9,-7.2,610.0,1.0,1311.0,,,,,,,10.9,340.0,1511.0,5.4,20.0,1537.0,2.4,2055.0,360.0,-19.9,20.0,1501.0,28.1,1.3,1020.6,1026.2,2232.0,1022.3,1414.0,1024.5,10.2,9.1,1200.0,2.19,13.52,,,,,,0.0,0.0,-1.5,-12.3,0.5,1.4,3.2,4.5,6.5,8.1,,,,,1.8,,,
2012-01-24,진주,-4.4,-9.2,708.0,0.7,1504.0,,,,,,,5.4,340.0,1657.0,2.6,340.0,1430.0,0.8,668.0,320.0,-12.6,34.0,1547.0,54.6,2.3,1020.4,1026.9,218.0,1021.8,1612.0,1024.3,10.2,8.0,1200.0,1.54,10.06,,,,,,3.3,0.4,-2.4,-12.9,-0.9,-0.3,1.8,3.3,6.0,8.0,,,,,2.1,,,
2012-01-25,진주,-5.0,-9.8,658.0,0.0,1352.0,,,,,,,9.9,340.0,1117.0,5.0,360.0,1216.0,1.7,1479.0,360.0,-15.3,21.0,1518.0,50.3,1.9,1019.4,1026.5,2339.0,1021.1,429.0,1023.3,10.3,9.2,1200.0,2.26,14.42,,,,,,1.4,1.4,-2.4,-13.9,-1.1,-0.5,1.4,2.6,5.5,8.0,,,,,2.0,,,
2012-01-26,진주,-2.7,-11.9,728.0,4.8,1506.0,,,,,,,6.9,250.0,1814.0,4.6,250.0,1834.0,1.3,1132.0,250.0,-11.3,28.0,1623.0,54.5,2.6,1022.3,1028.7,759.0,1024.3,1559.0,1026.2,10.3,8.9,1200.0,2.13,12.82,,,,,,2.3,2.3,-1.9,-14.9,-1.2,-0.9,0.9,2.2,4.7,7.8,,,,,2.0,,,
2012-01-27,진주,1.3,-6.4,725.0,9.1,1426.0,,,,,,,4.3,230.0,1502.0,2.9,250.0,1530.0,0.8,651.0,290.0,-6.5,30.0,1430.0,59.1,3.8,1020.8,1026.1,835.0,1022.5,1510.0,1024.6,10.3,8.9,1100.0,1.87,12.15,,,,,,3.9,1.9,1.8,-10.2,1.4,1.3,1.7,2.4,4.5,7.5,,,,,2.1,,{박무}0420-{박무}{강도0}0600-{박무}{강도0}0900-0940. {연무}0930-{연무}{강도0}1200-1240. {연무}2315-{연무}{강도0}2400-,
2012-01-28,진주,1.8,-3.8,610.0,8.4,1344.0,,,,,,,10.0,20.0,1414.0,5.3,20.0,1420.0,1.1,989.0,50.0,-12.6,10.0,1520.0,44.6,2.7,1021.7,1027.3,1036.0,1023.8,1456.0,1025.5,10.4,7.6,1200.0,2.25,12.85,,,,,,6.0,0.0,2.1,-8.6,2.1,2.5,2.7,3.1,4.6,7.5,,,,,2.3,,-{연무}-0035. {박무}0032-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도0}0900-0912. {연무}0910-1015.,
2012-01-29,진주,0.4,-7.1,728.0,8.3,1328.0,,,,,,,8.4,340.0,1531.0,4.6,340.0,1540.0,1.2,1059.0,360.0,-14.3,14.0,1720.0,37.5,2.1,1023.0,1028.2,736.0,1024.9,1436.0,1026.8,10.4,7.3,1200.0,1.95,11.07,,,,,,2.3,0.0,0.7,-10.9,1.4,1.8,2.5,3.2,5.0,7.5,,,,,2.5,,{연무}1435-{연무}{강도0}1500-1550.,
2012-01-30,진주,-0.8,-6.2,2345.0,5.2,1413.0,,,,,,,9.4,360.0,734.0,4.5,360.0,735.0,1.8,1518.0,20.0,-21.0,9.0,1327.0,23.5,1.2,1023.7,1029.3,923.0,1025.3,1530.0,1027.6,10.4,8.8,1200.0,2.32,13.94,,,,,,2.0,0.6,0.3,-12.0,1.0,1.7,2.4,3.1,4.9,7.5,,,,,2.6,,,
2012-01-31,진주,-0.5,-9.3,729.0,4.8,1547.0,5.42,,,,,0.0,9.5,250.0,1702.0,4.9,250.0,2208.0,1.5,1293.0,250.0,-9.2,20.0,1057.0,55.0,3.4,1019.1,1027.8,14.0,1017.8,2316.0,1022.9,10.4,8.3,1100.0,1.87,11.17,,,,,,4.0,4.0,-1.1,-13.8,-0.2,0.0,1.7,2.7,4.8,7.5,,,,,1.6,0.0,{연무}1640-{연무}{강도0}1800-1840. {박무}1835-{박무}{강도0}2100-{박무}{강도0}2400- {비}1835-{비}{강도0}2100-{비}{강도0}2400-,
