일시,지점명,평균기온,최저기온,최저기온시각,최고기온,최고기온시각,강수계속시간,분최다강수량,분최다강수량시각,시간최다강수량,시간최다강수량시각,일강수량,최대순간풍속,최대순간풍속풍향방위,최대순간풍속시각,최대풍속,최대풍속풍향방위,최대풍속시각,평균풍속,풍정합,최다풍향방위,평균이슬점온도,최소상대습도,최소상대습도시각,평균상대습도,평균증기압,평균현지기압,최고해면기압,최고해면기압시각,최저해면기압,최저해면기압시각,평균해면기압,가조시간,합계일조시간,시간최다일사시각,시간최다일사량,합계일사량,일최심신적설,일최심신적설시각,일최심적설,일최심적설시각,합계시간신적설,평균전운량,평균중하층운량,평균지면온도,최저초상온도,평균지중온도,평균지중온도,평균지중온도,평균지중온도,지중온도,지중온도,지중온도,지중온도,지중온도,합계대형증발량,합계소형증발량,강수,기사,안개계속시간
2012-01-01,합천,-0.1,-4.8,45.0,7.3,1444.0,,,,,,,8.9,340.0,1728.0,4.3,320.0,1728.0,1.4,1187.0,230.0,-7.2,36.0,2003.0,60.3,3.6,1019.0,1025.3,30.0,1019.5,1438.0,1023.2,9.8,2.0,,,,,,,,,,,0.3,-4.9,,,,,,,,,,,,,,
2012-01-02,합천,-2.8,-9.1,654.0,5.7,1458.0,,,,,,,5.6,20.0,1609.0,4.5,50.0,1609.0,0.9,796.0,20.0,-10.5,23.0,1428.0,60.8,2.8,1021.1,1028.4,824.0,1022.8,1438.0,1025.3,9.8,7.1,,,,,,,,,,,-2.3,-9.4,,,,,,,,,,,,,,
2012-01-03,합천,-1.4,-7.5,642.0,4.6,1452.0,,,,,,,6.8,230.0,2117.0,3.2,250.0,1725.0,1.1,936.0,20.0,-7.7,39.0,1438.0,64.6,3.5,1017.0,1024.3,852.0,1018.1,1526.0,1021.2,9.8,2.0,,,,,,,,,,,-0.6,-7.7,,,,,,,,,,,,,,
2012-01-04,합천,-1.3,-6.0,2322.0,2.5,1449.0,,,,,,,9.9,360.0,1118.0,4.9,340.0,1120.0,1.9,1680.0,290.0,-13.8,21.0,1450.0,39.3,2.1,1019.8,1027.4,2207.0,1020.2,1.0,1024.0,9.8,8.2,,,,,,,,,,,0.1,-6.2,,,,,,,,,,,,,,
2012-01-05,합천,-3.6,-9.4,735.0,5.0,1514.0,,,,,,,5.5,270.0,3.0,3.0,50.0,1643.0,1.1,931.0,50.0,-11.4,25.0,1514.0,59.1,2.6,1024.2,1031.0,926.0,1025.7,1537.0,1028.5,9.9,8.2,,,,,,,,,,,-2.7,-9.5,,,,,,,,,,,,,,
2012-01-06,합천,-3.5,-10.2,716.0,6.1,1433.0,,,,,,,4.6,90.0,1352.0,2.4,50.0,1245.0,0.8,711.0,230.0,-9.5,32.0,1436.0,66.5,3.0,1026.3,1033.4,2345.0,1027.9,1336.0,1030.6,9.9,7.9,,,,,,,,,,,-2.6,-10.6,,,,,,,,,,,,,,
2012-01-07,합천,-3.7,-10.3,737.0,6.4,1536.0,,,,,,,5.4,90.0,1529.0,2.4,50.0,1646.0,0.9,771.0,230.0,-11.8,19.0,1505.0,60.3,2.5,1030.1,1036.9,947.0,1032.3,1535.0,1034.4,9.9,8.2,,,,,,,,,,,-2.7,-10.5,,,,,,,,,,,,,,
2012-01-08,합천,-2.4,-10.3,733.0,8.8,1546.0,,,,,,,4.0,110.0,1614.0,2.7,70.0,1614.0,0.8,661.0,230.0,-12.4,14.0,1520.0,54.1,2.4,1026.7,1034.2,827.0,1027.0,1624.0,1031.0,9.9,6.5,,,,,,,,,,,-1.6,-10.5,,,,,,,,,,,,,,
2012-01-09,합천,-1.6,-7.9,757.0,7.7,1513.0,,,,,,,5.1,360.0,1524.0,2.5,340.0,1439.0,0.6,521.0,230.0,-7.9,29.0,1447.0,65.6,3.4,1025.3,1032.3,1010.0,1026.7,1621.0,1029.6,9.9,7.8,,,,,,,,,,,-1.3,-8.8,,,,,,,,,,,,,,
2012-01-10,합천,-0.1,-6.4,357.0,7.5,1513.0,,,,,,,4.8,290.0,1519.0,2.7,250.0,1547.0,0.9,793.0,230.0,-8.6,22.0,1517.0,57.1,3.2,1022.5,1028.7,4.0,1023.8,1557.0,1026.7,9.9,5.5,,,,,,,,,,,0.7,-6.5,,,,,,,,,,,,,,
2012-01-11,합천,-1.8,-9.6,2400.0,3.1,1413.0,,,,,,,8.4,320.0,1011.0,4.8,50.0,1527.0,1.6,1393.0,360.0,-14.3,14.0,1328.0,42.0,2.1,1025.2,1032.1,2118.0,1026.6,22.0,1029.5,9.9,8.3,,,,,,,,,,,0.0,-9.8,,,,,,,,,,,,,,
2012-01-12,합천,-4.5,-13.1,731.0,4.8,1628.0,,,,,,,4.9,250.0,1927.0,3.0,50.0,1156.0,0.8,667.0,270.0,-12.8,26.0,1603.0,56.4,2.3,1024.5,1032.8,721.0,1025.1,1739.0,1028.8,10.0,8.3,,,,,,,,,,,-3.5,-13.3,,,,,,,,,,,,,,
