,보방류량_DAY,보유입량_DAY,보자체유입량_DAY,보저수량_DAY,보저수위_DAY
2012-01-01,           0.00,           0.00,        -807.76,         449.88,15.26
2012-01-02,           0.00,           0.00,"      -5,206.94",           0.00,15.36
2012-01-03,           0.00,"       6,308.45","       6,308.45",         545.05,15.41
2012-01-04,           0.00,         471.18,         471.18,         585.76,15.47
2012-01-05,           0.00,           0.00,"      -1,719.56",         437.19,15.24
2012-01-06,           0.00,         293.75,         293.75,         462.57,15.28
2012-01-07,           0.00,         367.13,         367.13,         494.29,15.33
2012-01-08,           0.00,           0.00,        -514.01,         449.88,15.26
2012-01-09,           0.00,           0.00,        -293.75,         424.50,15.22
2012-01-10,           0.00,         514.01,         514.01,         468.91,15.29
2012-01-11,           0.00,         660.88,         660.88,         526.01,15.38
2012-01-12,           0.00,         293.75,         293.75,         551.39,15.42
2012-01-13,           0.00,           0.00,         -73.38,         545.05,15.41
2012-01-14,           0.00,           0.00,           0.00,         545.05,15.41
2012-01-15,           0.00,           0.00,        -881.25,         468.91,15.29
2012-01-16,           0.00,"       1,272.92","       1,272.92",         578.89,15.46
2012-01-17,           0.00,           0.00,           0.00,         578.89,15.46
2012-01-18,           0.00,           0.00,        -238.77,         558.26,15.43
2012-01-19,           0.00,         159.14,         159.14,         572.01,15.45
2012-01-20,           0.00,         716.09,         716.09,         633.88,15.54
2012-01-21,           0.00,         557.06,         557.06,         682.01,15.61
2012-01-22,           0.00,           0.00,         -79.63,         675.13,15.6
2012-01-23,           0.00,           0.00,        -477.43,         633.88,15.54
2012-01-24,           0.00,         159.14,         159.14,         647.63,15.56
2012-01-25,           0.00,"       1,415.28","       1,415.28",         769.91,15.73
2012-01-26,           0.00,           0.00,"      -1,574.42",         633.88,15.54
2012-01-27,           0.00,           0.00,        -397.80,         599.51,15.49
2012-01-28,           0.00,         477.43,         477.43,         640.76,15.55
2012-01-29,           0.00,         642.25,         642.25,         696.25,15.63
2012-01-30,           0.00,         767.36,         767.36,         762.55,15.72
2012-01-31,           0.00,           0.00,        -932.18,         682.01,15.61
2012-02-01,           0.00,         335.30,         335.30,         710.98,15.65
2012-02-02,           0.00,"       1,193.63","       1,193.63",         814.11,15.79
2012-02-03,           0.00,         346.41,         346.41,         844.04,15.83
2012-02-04,           0.00,         724.77,         724.77,         906.66,15.91
2012-02-05,           0.00,         996.64,         996.64,         992.77,16.02
2012-02-06,           0.00,           0.00,        -181.25,         977.11,16.0
2012-02-07,           0.00,"       4,207.52","       4,207.52","       1,340.64",16.43
2012-02-08,           0.00,           0.00,"      -3,261.23","       1,058.87",16.1
2012-02-09,           0.00,           0.00,"      -1,942.82",         891.01,15.89
2012-02-10,           0.00,           0.00,"      -9,758.24",          47.90,15.61
