,보방류량_DAY,보유입량_DAY,보자체유입량_DAY,보저수량_DAY,보저수위_DAY
2012-01-01,           0.00,           0.00,           0.00,0.0,24.94
2012-01-02,           0.00,           0.00,           0.00,0.0,24.97
2012-01-03,           0.00,           0.00,           0.00,0.0,24.94
2012-01-04,           0.00,           0.00,           0.00,0.0,24.94
2012-01-05,           0.00,           0.00,           0.00,0.0,24.92
2012-01-06,           0.00,           0.00,           0.00,0.0,24.91
2012-01-07,           0.00,           0.00,           0.00,0.0,24.91
2012-01-08,           0.00,           0.00,           0.00,0.0,24.98
2012-01-09,           0.00,           0.00,           0.00,0.0,24.95
2012-01-10,           0.00,           0.00,           0.00,0.0,24.95
2012-01-11,           0.00,           0.00,           0.00,0.0,24.94
2012-01-12,           0.00,           0.00,           0.00,0.0,24.94
2012-01-13,           0.00,           0.00,           0.00,0.0,24.94
2012-01-14,           0.00,           0.00,           0.00,0.0,24.94
2012-01-15,           0.00,           0.00,           0.00,0.0,24.94
2012-01-16,           0.00,           0.00,           0.00,0.0,24.94
2012-01-17,           0.00,           0.00,           0.00,0.0,24.94
2012-01-18,           0.00,           0.00,           0.00,0.0,25.18
2012-01-19,           0.00,           0.00,           0.00,0.0,25.18
2012-01-20,           0.00,           0.00,           0.00,0.0,25.16
2012-01-21,           0.00,           0.00,           0.00,0.0,24.94
2012-01-22,           0.00,           0.00,           0.00,0.0,24.96
2012-01-23,           0.00,           0.00,           0.00,0.0,25.16
2012-01-24,           0.00,           0.00,           0.00,0.0,25.11
2012-01-25,           0.00,           0.00,           0.00,0.0,24.94
2012-01-26,           0.00,           0.00,           0.00,0.0,24.99
2012-01-27,           0.00,           0.00,           0.00,0.0,25.08
2012-01-28,           0.00,           0.00,           0.00,0.0,25.04
2012-01-29,           0.00,           0.00,           0.00,0.0,25.0
2012-01-30,           0.00,           0.00,           0.00,0.0,24.98
2012-01-31,           0.00,           0.00,           0.00,0.0,24.95
2012-02-01,           0.00,           0.00,           0.00,0.0,25.02
2012-02-02,           0.00,           0.00,           0.00,0.0,25.03
2012-02-03,           0.00,           0.00,           0.00,0.0,25.25
2012-02-04,           0.00,           0.00,           0.00,0.0,24.99
2012-02-05,           0.00,           0.00,           0.00,0.0,24.99
2012-02-06,           0.00,           0.00,           0.00,0.0,25.45
2012-02-07,           0.00,           0.00,           0.00,0.0,24.98
2012-02-08,           0.00,           0.00,           0.00,0.0,25.1
2012-02-09,           0.00,           0.00,           0.00,0.0,25.03
2012-02-10,           0.00,          92.35,          92.35,7.98,25.06
2012-02-11,           0.00,          16.39,          16.39,9.4,25.49
2012-02-12,           0.00,           6.47,           6.47,9.95,25.66
2012-02-13,           0.00,           0.00,          -6.09,9.43,25.5
2012-02-14,           0.00,           0.00,         -10.67,8.51,25.22
2012-02-15,           0.00,           0.00,          -4.57,8.11,25.1
2012-02-16,           0.00,           7.25,           7.25,8.74,25.29
2012-02-17,           0.00,           9.53,           9.53,9.56,25.54
2012-02-18,           0.00,           0.00,          -2.67,9.33,25.47
2012-02-19,           0.00,           3.81,           3.81,9.66,25.57
2012-02-20,           0.00,           0.00,        -111.78,0.0,25.01
2012-02-21,           0.00,         102.64,         102.64,8.87,25.33
2012-02-22,           0.00,           0.00,         -44.98,4.98,23.65
2012-02-23,           0.00,           0.00,          -0.32,4.95,23.63
2012-02-24,           0.00,           0.00,          -0.66,4.9,23.59
2012-02-25,           0.00,           0.32,           0.32,4.93,23.61
2012-02-26,           0.00,           0.00,           0.00,4.93,23.61
2012-02-27,           0.00,           0.00,          -0.49,4.88,23.58
2012-02-28,           0.00,           1.15,           1.15,4.98,23.65
2012-02-29,           0.00,           0.00,          -1.31,4.87,23.57
2012-03-01,           0.00,           0.81,           0.81,4.94,23.62
2012-03-02,           0.00,         409.18,         409.18,40.29,31.01
2012-03-03,           0.00,           0.00,        -466.34,0.0,0.0
2012-03-04,           0.00,           0.00,           0.00,0.0,0.0
2012-03-05,           0.00,           0.00,           0.00,0.0,0.0
2012-03-06,           0.00,           0.00,           0.00,0.0,28.09
2012-03-07,           0.00,         277.70,         277.70,23.99,28.55
2012-03-08,           0.00,          33.82,          33.82,26.92,29.02
2012-03-09,           0.00,          33.67,          33.67,29.82,29.46
2012-03-10,           0.00,          32.14,          32.14,32.6,29.88
2012-03-11,           0.00,          35.26,          35.26,35.65,30.33
2012-03-12,           0.00,           0.00,          -5.53,35.17,30.26
2012-03-13,           0.00,           0.00,         -25.14,33.0,29.94
2012-03-14,           0.00,           0.00,         -19.88,31.28,29.68
2012-03-15,           0.00,           0.00,         -17.60,29.76,29.45
2012-03-16,           0.00,           0.00,          -0.76,29.69,29.44
2012-03-17,           0.00,           9.94,           9.94,30.55,29.57
2012-03-18,           0.00,          10.72,          10.72,31.48,29.71
2012-03-19,           0.00,           7.65,           7.65,32.14,29.81
2012-03-20,           0.00,           3.83,           3.83,32.47,29.86
2012-03-21,           0.00,           6.89,           6.89,33.06,29.95
2012-03-22,           0.00,           7.77,           7.77,33.74,30.05
2012-03-23,           0.00,          11.85,          11.85,34.76,30.2
2012-03-24,           0.00,          37.93,          37.93,38.04,30.68
2012-03-25,           0.00,         123.73,         123.73,48.73,32.14
2012-03-26,           0.00,          51.84,          51.84,53.21,32.7
2012-03-27,           0.00,           0.00,         -27.04,50.87,32.35
2012-03-28,           0.00,           0.00,         -31.89,48.11,32.08
2012-03-29,           0.00,          59.86,          59.86,53.29,32.72
2012-03-30,           0.00,           0.00,          -1.86,53.13,32.68
2012-03-31,           0.00,           0.93,           0.93,53.21,32.7
2012-04-01,           0.00,           0.00,          -1.40,53.08,32.67
2012-04-02,           0.00,           0.00,          -3.25,52.8,32.6
2012-04-03,           0.00,           0.00,          -5.85,52.3,32.49
2012-04-04,           0.00,          11.44,          11.44,53.29,32.72
2012-04-05,           0.00,           1.40,           1.40,53.41,32.75
2012-04-06,           0.00,           0.00,          -4.20,53.04,32.66
2012-04-07,           0.00,           1.86,           1.86,53.21,32.7
2012-04-08,           0.00,           0.00,          -3.73,52.88,32.62
2012-04-09,           0.00,           0.00,           0.00,52.88,32.62
2012-04-10,           0.00,           1.40,           1.40,53.0,32.65
2012-04-11,           0.00,           0.93,           0.93,53.08,32.67
2012-04-12,           0.00,           0.00,          -1.39,52.96,32.64
2012-04-13,           0.00,           0.00,          -0.94,52.88,32.62
2012-04-14,           0.00,           0.46,           0.46,52.92,32.63
2012-04-15,           0.00,           0.00,          -1.39,52.8,32.6
2012-04-16,           0.00,           1.39,           1.39,52.92,32.63
2012-04-17,           0.00,           0.00,          -0.46,52.88,32.62
2012-04-18,           0.00,           0.94,           0.94,52.96,32.64
2012-04-19,           0.00,           0.00,           0.00,52.96,32.64
2012-04-20,           0.00,           0.00,          -1.40,52.84,32.61
2012-04-21,           0.00,           1.86,           1.86,53.0,32.65
2012-04-22,           0.00,           0.46,           0.46,53.04,32.66
2012-04-23,           0.00,           0.46,           0.46,53.08,32.67
2012-04-24,           0.00,           0.00,          -4.19,52.72,32.58
2012-04-25,           0.00,           7.93,           7.93,53.41,32.75
2012-04-26,           0.00,           0.00,          -5.13,52.96,32.64
2012-04-27,           0.00,           0.00,          -8.89,52.2,32.48
2012-04-28,           0.00,          10.28,          10.28,53.08,32.67
2012-04-29,           0.00,           0.00,          -7.92,52.4,32.5
2012-04-30,           0.00,           0.00,          -1.18,52.3,32.49
2012-05-01,           0.00,           0.00,           0.00,52.3,32.49
2012-05-02,           0.00,           2.12,           2.12,52.48,32.52
2012-05-03,           0.00,           1.39,           1.39,52.6,32.55
2012-05-04,           0.00,           0.00,          -4.69,52.2,32.48
2012-05-05,           0.00,           7.49,           7.49,52.84,32.61
2012-05-06,           0.00,           1.86,           1.86,53.0,32.65
2012-05-07,           0.00,           0.00,          -2.33,52.8,32.6
2012-05-08,           0.00,           0.00,          -0.94,52.72,32.58
2012-05-09,           0.00,           0.00,          -0.46,52.68,32.57
2012-05-10,           0.00,           0.00,         -15.08,51.38,32.4
2012-05-11,           0.00,           0.00,         -43.70,47.6,32.03
2012-05-12,           0.00,          38.98,          38.98,50.97,32.36
2012-05-13,           0.00,           0.00,         -44.16,47.16,31.98
2012-05-14,           0.00,          35.89,          35.89,50.26,32.29
2012-05-15,           0.00,          18.90,          18.90,51.89,32.45
2012-05-16,           0.00,           4.72,           4.72,52.3,32.49
2012-05-17,           0.00,           3.04,           3.04,52.56,32.54
2012-05-18,           0.00,           1.40,           1.40,52.68,32.57
2012-05-19,           0.00,           0.00,         -20.98,50.87,32.35
2012-05-20,           0.00,           3.54,           3.54,51.18,32.38
2012-05-21,           0.00,          13.00,          13.00,52.3,32.49
2012-05-22,           0.00,           1.64,           1.64,52.44,32.51
2012-05-23,           0.00,           0.00,         -60.35,47.23,31.99
2012-05-24,           0.00,           6.73,           6.73,47.81,32.05
