,보방류량_DAY,보유입량_DAY,보자체유입량_DAY,보저수량_DAY,보저수위_DAY
2012-01-01,           0.00,           0.00,           0.00,0.0,10.38
2012-01-02,           0.00,           0.00,           0.00,0.0,10.05
2012-01-03,           0.00,           0.00,           0.00,0.0,9.85
2012-01-04,           0.00,           0.00,           0.00,0.0,10.1
2012-01-05,           0.00,           0.00,           0.00,0.0,10.16
2012-01-06,           0.00,           0.00,           0.00,0.0,9.89
2012-01-07,           0.00,           0.00,           0.00,0.0,10.02
2012-01-08,           0.00,           0.00,           0.00,0.0,10.05
2012-01-09,           0.00,           0.00,           0.00,0.0,9.97
2012-01-10,           0.00,           0.00,           0.00,0.0,9.89
2012-01-11,           0.00,           0.00,           0.00,0.0,9.84
2012-01-12,           0.00,           0.00,           0.00,0.0,9.85
2012-01-13,           0.00,           0.00,           0.00,0.0,9.86
2012-01-14,           0.00,           0.00,           0.00,0.0,9.87
2012-01-15,           0.00,           0.00,           0.00,0.0,9.88
2012-01-16,           0.00,           0.00,           0.00,0.0,9.84
2012-01-17,           0.00,           0.00,           0.00,0.0,9.91
2012-01-18,           0.00,           0.00,           0.00,0.0,9.98
2012-01-19,           0.00,           0.00,           0.00,0.0,10.0
2012-01-20,           0.00,           0.00,           0.00,0.0,9.82
2012-01-21,           0.00,           0.00,           0.00,0.0,9.78
2012-01-22,           0.00,           0.00,           0.00,0.0,9.8
2012-01-23,           0.00,           0.00,           0.00,0.0,9.78
2012-01-24,           0.00,           0.00,           0.00,0.0,9.82
2012-01-25,           0.00,           0.00,           0.00,0.0,9.78
2012-01-26,           0.00,           0.00,           0.00,0.0,9.89
2012-01-27,           0.00,           0.00,           0.00,0.0,10.09
2012-01-28,           0.00,           0.00,           0.00,0.0,12.54
2012-01-29,           0.00,           0.00,           0.00,0.0,9.52
2012-01-30,           0.00,           0.00,           0.00,0.0,9.47
2012-01-31,           0.00,           0.00,           0.00,0.0,9.39
2012-02-01,           0.00,           0.00,           0.00,0.0,9.16
2012-02-02,           0.00,           0.00,           0.00,0.0,9.15
2012-02-03,           0.00,           0.00,           0.00,0.0,8.96
2012-02-04,           0.00,           0.00,           0.00,0.0,8.83
2012-02-05,           0.00,           0.00,           0.00,0.0,8.93
2012-02-06,           0.00,           0.00,           0.00,0.0,8.65
2012-02-07,           0.00,           0.00,           0.00,0.0,8.3
2012-02-08,           0.00,           0.00,           0.00,0.0,8.66
2012-02-09,           0.00,           0.00,           0.00,0.0,9.12
2012-02-10,           0.00,         246.13,         246.13,21.27,9.67
2012-02-11,           0.00,           0.00,         -20.16,19.52,9.39
2012-02-12,           0.00,           0.00,          -2.88,19.28,9.35
2012-02-13,           0.00,          29.58,          29.58,21.83,9.43
2012-02-14,           0.00,           7.92,           7.92,22.52,9.54
2012-02-15,           0.00,          11.53,          11.53,23.51,9.7
2012-02-16,           0.00,          13.68,          13.68,24.69,9.89
2012-02-17,           0.00,          11.94,          11.94,25.73,10.05
2012-02-18,           0.00,           0.00,           0.00,25.73,10.05
2012-02-19,           0.00,           0.00,           0.00,25.73,10.05
2012-02-20,           0.00,           0.00,        -297.74,0.0,10.05
2012-02-21,           0.00,         464.83,         464.83,40.16,11.98
2012-02-22,           0.00,           0.00,         -39.75,36.73,11.55
2012-02-23,           0.00,           0.00,         -31.42,34.01,11.21
2012-02-24,           0.00,           0.00,         -14.79,32.73,11.05
2012-02-25,           0.00,          15.72,          15.72,34.09,11.22
2012-02-26,           0.00,          24.95,          24.95,36.25,11.49
2012-02-27,           0.00,           0.00,         -14.79,34.97,11.33
2012-02-28,           0.00,           0.00,         -14.78,33.69,11.17
2012-02-29,           0.00,           0.00,         -19.75,31.99,10.95
2012-03-01,           0.00,          11.42,          11.42,32.97,11.08
2012-03-02,           0.00,          47.14,          47.14,37.05,11.59
2012-03-03,           0.00,          33.28,          33.28,39.92,11.95
2012-03-04,           0.00,           5.63,           5.63,40.41,12.01
2012-03-05,           0.00,          21.26,          21.26,42.25,12.22
2012-03-06,           0.00,           0.00,        -488.95,0.0,12.37
2012-03-07,           0.00,         500.07,         500.07,43.21,12.33
2012-03-08,           0.00,           0.00,          -6.07,42.68,12.27
2012-03-09,           0.00,           0.00,         -10.13,41.81,12.17
2012-03-10,           0.00,           0.00,         -12.14,40.76,12.05
2012-03-11,           0.00,           0.00,          -8.75,40.0,11.96
2012-03-12,           0.00,           0.00,         -12.03,38.96,11.83
2012-03-13,           0.00,           0.00,         -12.94,37.85,11.69
2012-03-14,           0.00,           0.00,         -24.95,35.69,11.42
2012-03-15,           0.00,           0.00,          -1.85,35.53,11.4
2012-03-16,           0.00,          35.13,          35.13,38.56,11.78
2012-03-17,           0.00,           0.00,          -9.24,37.77,11.68
2012-03-18,           0.00,           1.84,           1.84,37.93,11.7
