,보방류량_DAY,보유입량_DAY,보자체유입량_DAY,보저수량_DAY,보저수위_DAY
2012-01-01,           0.00,           0.00,           0.00,0.0,17.08
2012-01-02,           0.00,           0.00,           0.00,0.0,17.08
2012-01-03,           0.00,           0.00,           0.00,0.0,17.08
2012-01-04,           0.00,           0.00,           0.00,0.0,17.08
2012-01-05,           0.00,           0.00,           0.00,0.0,17.08
2012-01-06,           0.00,           0.00,           0.00,0.0,17.08
2012-01-07,           0.00,           0.00,           0.00,0.0,17.08
2012-01-08,           0.00,           0.00,           0.00,0.0,17.08
2012-01-09,           0.00,           0.00,           0.00,0.0,17.08
2012-01-10,           0.00,           0.00,           0.00,0.0,17.08
2012-01-11,           0.00,           0.00,           0.00,0.0,17.08
2012-01-12,           0.00,           0.00,           0.00,0.0,17.08
2012-01-13,           0.00,           0.00,           0.00,0.0,17.08
2012-01-14,           0.00,           0.00,           0.00,0.0,17.08
2012-01-15,           0.00,           0.00,           0.00,0.0,17.08
2012-01-16,           0.00,           0.00,           0.00,0.0,17.08
2012-01-17,           0.00,           0.00,           0.00,0.0,17.08
2012-01-18,           0.00,           0.00,           0.00,0.0,17.08
2012-01-19,           0.00,           0.00,           0.00,0.0,17.08
2012-01-20,           0.00,           0.00,           0.00,0.0,17.08
2012-01-21,           0.00,           0.00,           0.00,0.0,17.08
2012-01-22,           0.00,           0.00,           0.00,0.0,17.08
2012-01-23,           0.00,           0.00,           0.00,0.0,17.08
2012-01-24,           0.00,           0.00,           0.00,0.0,17.08
2012-01-25,           0.00,           0.00,           0.00,0.0,17.08
2012-01-26,           0.00,           0.00,           0.00,0.0,17.08
2012-01-27,           0.00,           0.00,           0.00,0.0,17.08
2012-01-28,           0.00,           0.00,           0.00,0.0,17.08
2012-01-29,           0.00,           0.00,           0.00,0.0,17.08
2012-01-30,           0.00,           0.00,           0.00,0.0,17.08
2012-01-31,           0.00,           0.00,           0.00,0.0,17.08
2012-02-01,           0.00,           0.00,           0.00,0.0,17.08
2012-02-02,           0.00,           0.00,           0.00,0.0,17.08
2012-02-03,           0.00,           0.00,           0.00,0.0,17.3
2012-02-04,           0.00,           0.00,           0.00,0.0,17.56
2012-02-05,           0.00,           0.00,           0.00,0.0,17.58
2012-02-06,           0.00,           0.00,           0.00,0.0,17.8
2012-02-07,           0.00,           0.00,           0.00,0.0,18.3
2012-02-08,           0.00,           0.00,           0.00,0.0,18.26
2012-02-09,           0.00,           0.00,           0.00,0.0,18.33
2012-02-10,           0.00,         164.72,         164.72,14.23,17.83
2012-02-11,           0.00,           0.00,          -7.71,13.57,17.67
2012-02-12,           0.00,          72.78,          72.78,19.85,18.89
2012-02-13,           0.00,          23.00,          23.00,21.84,19.19
2012-02-14,           0.00,           0.85,           0.85,21.91,19.2
2012-02-15,           0.00,          23.54,          23.54,23.95,19.48
