년/월/일,측정소명_DAY,보상류수위_DAY,보하류수위_DAY,유입량_DAY,저수량_DAY,공용량_DAY,총방류량_DAY
2012-12-31,강정고령보, , , , , , 
2012-12-30,강정고령보, , , , , , 
2012-12-29,강정고령보, , , , , , 
2012-12-28,강정고령보, , , , , , 
2012-12-27,강정고령보, , , , , , 
2012-12-26,강정고령보, , , , , , 
2012-12-25,강정고령보, , , , , , 
2012-12-24,강정고령보, , , , , , 
2012-12-23,강정고령보, , , , , , 
2012-12-22,강정고령보, , , , , , 
2012-12-21,강정고령보, , , , , , 
2012-12-20,강정고령보, , , , , , 
2012-12-19,강정고령보, , , , , , 
2012-12-18,강정고령보, , , , , , 
2012-12-17,강정고령보, , , , , , 
2012-12-16,강정고령보, , , , , , 
2012-12-15,강정고령보, , , , , , 
2012-12-14,강정고령보, , , , , , 
2012-12-13,강정고령보, , , , , , 
2012-12-12,강정고령보, , , , , , 
2012-12-11,강정고령보, , , , , , 
2012-12-10,강정고령보, , , , , , 
2012-12-09,강정고령보, , , , , , 
2012-12-08,강정고령보, , , , , , 
2012-12-07,강정고령보, , , , , , 
2012-12-06,강정고령보, , , , , , 
2012-12-05,강정고령보, , , , , , 
2012-12-04,강정고령보, , , , , , 
2012-12-03,강정고령보, , , , , , 
2012-12-02,강정고령보, , , , , , 
2012-12-01,강정고령보, , , , , , 
2012-11-30,강정고령보, , , , , , 
2012-11-29,강정고령보, , , , , , 
2012-11-28,강정고령보, , , , , , 
2012-11-27,강정고령보, , , , , , 
2012-11-26,강정고령보, , , , , , 
2012-11-25,강정고령보, , , , , , 
2012-11-24,강정고령보, , , , , , 
2012-11-23,강정고령보, , , , , , 
2012-11-22,강정고령보, , , , , , 
2012-11-21,강정고령보, , , , , , 
2012-11-20,강정고령보, , , , , , 
2012-11-19,강정고령보, , , , , , 
2012-11-18,강정고령보, , , , , , 
2012-11-17,강정고령보, , , , , , 
2012-11-16,강정고령보, , , , , , 
2012-11-15,강정고령보, , , , , , 
2012-11-14,강정고령보, , , , , , 
2012-11-13,강정고령보, , , , , , 
2012-11-12,강정고령보, , , , , , 
2012-11-11,강정고령보, , , , , , 
2012-11-10,강정고령보, , , , , , 
2012-11-09,강정고령보, , , , , , 
2012-11-08,강정고령보, , , , , , 
2012-11-07,강정고령보, , , , , , 
2012-11-06,강정고령보, , , , , , 
2012-11-05,강정고령보, , , , , , 
2012-11-04,강정고령보, , , , , , 
2012-11-03,강정고령보, , , , , , 
2012-11-02,강정고령보, , , , , , 
2012-11-01,강정고령보, , , , , , 
2012-10-31,강정고령보, , , , , , 
2012-10-30,강정고령보, , , , , , 
2012-10-29,강정고령보, , , , , , 
2012-10-28,강정고령보, , , , , , 
2012-10-27,강정고령보, , , , , , 
2012-10-26,강정고령보, , , , , , 
2012-10-25,강정고령보, , , , , , 
2012-10-24,강정고령보, , , , , , 
2012-10-23,강정고령보, , , , , , 
2012-10-22,강정고령보, , , , , , 
2012-10-21,강정고령보, , , , , , 
2012-10-20,강정고령보, , , , , , 
2012-10-19,강정고령보, , , , , , 
2012-10-18,강정고령보, , , , , , 
2012-10-17,강정고령보, , , , , , 
2012-10-16,강정고령보, , , , , , 
2012-10-15,강정고령보, , , , , , 
2012-10-14,강정고령보, , , , , , 
2012-10-13,강정고령보, , , , , , 
2012-10-12,강정고령보, , , , , , 
2012-10-11,강정고령보, , , , , , 
2012-10-10,강정고령보, , , , , , 
2012-10-09,강정고령보, , , , , , 
2012-10-08,강정고령보, , , , , , 
2012-10-07,강정고령보, , , , , , 
2012-10-06,강정고령보, , , , , , 
2012-10-05,강정고령보, , , , , , 
2012-10-04,강정고령보, , , , , , 
2012-10-03,강정고령보, , , , , , 
2012-10-02,강정고령보, , , , , , 
2012-10-01,강정고령보, , , , , , 
2012-09-30,강정고령보, , , , , , 
2012-09-29,강정고령보, , , , , , 
2012-09-28,강정고령보, , , , , , 
2012-09-27,강정고령보, , , , , , 
2012-09-26,강정고령보, , , , , , 
2012-09-25,강정고령보, , , , , , 
2012-09-24,강정고령보, , , , , , 
2012-09-23,강정고령보, , , , , , 
2012-09-22,강정고령보, , , , , , 
2012-09-21,강정고령보, , , , , , 
2012-09-20,강정고령보, , , , , , 
2012-09-19,강정고령보, , , , , , 
2012-09-18,강정고령보, , , , , , 
2012-09-17,강정고령보, , , , , , 
2012-09-16,강정고령보, , , , , , 
2012-09-15,강정고령보, , , , , , 
2012-09-14,강정고령보, , , , , , 
2012-09-13,강정고령보, , , , , , 
2012-09-12,강정고령보, , , , , , 
2012-09-11,강정고령보, , , , , , 
2012-09-10,강정고령보, , , , , , 
2012-09-09,강정고령보, , , , , , 
2012-09-08,강정고령보, , , , , , 
2012-09-07,강정고령보, , , , , , 
2012-09-06,강정고령보, , , , , , 
2012-09-05,강정고령보, , , , , , 
2012-09-04,강정고령보, , , , , , 
2012-09-03,강정고령보, , , , , , 
2012-09-02,강정고령보, , , , , , 
2012-09-01,강정고령보, , , , , , 
2012-08-31,강정고령보, , , , , , 
2012-08-30,강정고령보, , , , , , 
2012-08-29,강정고령보, , , , , , 
2012-08-28,강정고령보, , , , , , 
2012-08-27,강정고령보, , , , , , 
2012-08-26,강정고령보, , , , , , 
2012-08-25,강정고령보, , , , , , 
2012-08-24,강정고령보, , , , , , 
2012-08-23,강정고령보, , , , , , 
2012-08-22,강정고령보, , , , , , 
2012-08-21,강정고령보, , , , , , 
2012-08-20,강정고령보, , , , , , 
2012-08-19,강정고령보, , , , , , 
2012-08-18,강정고령보, , , , , , 
2012-08-17,강정고령보, , , , , , 
2012-08-16,강정고령보, , , , , , 
2012-08-15,강정고령보, , , , , , 
2012-08-14,강정고령보, , , , , , 
2012-08-13,강정고령보, , , , , , 
2012-08-12,강정고령보, , , , , , 
2012-08-11,강정고령보, , , , , , 
2012-08-10,강정고령보, , , , , , 
2012-08-09,강정고령보, , , , , , 
2012-08-08,강정고령보, , , , , , 
2012-08-07,강정고령보, , , , , , 
2012-08-06,강정고령보, , , , , , 
2012-08-05,강정고령보, , , , , , 
2012-08-04,강정고령보, , , , , , 
2012-08-03,강정고령보, , , , , , 
2012-08-02,강정고령보, , , , , , 
2012-08-01,강정고령보, , , , , , 
2012-07-31,강정고령보, , , , , , 
2012-07-30,강정고령보, , , , , , 
2012-07-29,강정고령보, , , , , , 
2012-07-28,강정고령보, , , , , , 
2012-07-27,강정고령보, , , , , , 
2012-07-26,강정고령보, , , , , , 
2012-07-25,강정고령보, , , , , , 
2012-07-24,강정고령보, , , , , , 
2012-07-23,강정고령보, , , , , , 
2012-07-22,강정고령보, , , , , , 
2012-07-21,강정고령보, , , , , , 
2012-07-20,강정고령보, , , , , , 
2012-07-19,강정고령보, , , , , , 
2012-07-18,강정고령보, , , , , , 
2012-07-17,강정고령보, , , , , , 
2012-07-16,강정고령보, , , , , , 
2012-07-15,강정고령보, , , , , , 
2012-07-14,강정고령보, , , , , , 
2012-07-13,강정고령보, , , , , , 
2012-07-12,강정고령보, , , , , , 
2012-07-11,강정고령보, , , , , , 
2012-07-10,강정고령보, , , , , , 
2012-07-09,강정고령보, , , , , , 
2012-07-08,강정고령보, , , , , , 
2012-07-07,강정고령보, , , , , , 
2012-07-06,강정고령보, , , , , , 
2012-07-05,강정고령보, , , , , , 
2012-07-04,강정고령보, , , , , , 
2012-07-03,강정고령보, , , , , , 
2012-07-02,강정고령보, , , , , , 
2012-07-01,강정고령보, , , , , , 
2012-06-30,강정고령보, , , , , , 
2012-06-29,강정고령보, , , , , , 
2012-06-28,강정고령보, , , , , , 
2012-06-27,강정고령보, , , , , , 
2012-06-26,강정고령보, , , , , , 
2012-06-25,강정고령보, , , , , , 
2012-06-24,강정고령보, , , , , , 
2012-06-23,강정고령보, , , , , , 
2012-06-22,강정고령보, , , , , , 
2012-06-21,강정고령보, , , , , , 
2012-06-20,강정고령보, , , , , , 
2012-06-19,강정고령보, , , , , , 
2012-06-18,강정고령보, , , , , , 
2012-06-17,강정고령보, , , , , , 
2012-06-16,강정고령보, , , , , , 
2012-06-15,강정고령보, , , , , , 
2012-06-14,강정고령보, , , , , , 
2012-06-13,강정고령보, , , , , , 
2012-06-12,강정고령보, , , , , , 
2012-06-11,강정고령보, , , , , , 
2012-06-10,강정고령보, , , , , , 
2012-06-09,강정고령보, , , , , , 
2012-06-08,강정고령보, , , , , , 
2012-06-07,강정고령보, , , , , , 
2012-06-06,강정고령보, , , , , , 
2012-06-05,강정고령보, , , , , , 
2012-06-04,강정고령보, , , , , , 
2012-06-03,강정고령보, , , , , , 
2012-06-02,강정고령보, , , , , , 
2012-06-01,강정고령보, , , , , , 
2012-05-31,강정고령보, , , , , , 
2012-05-30,강정고령보, , , , , , 
2012-05-29,강정고령보, , , , , , 
2012-05-28,강정고령보, , , , , , 
2012-05-27,강정고령보, , , , , , 
2012-05-26,강정고령보, , , , , , 
2012-05-25,강정고령보, , , , , , 
2012-05-24,강정고령보, , , , , , 
2012-05-23,강정고령보, , , , , , 
2012-05-22,강정고령보, , , , , , 
2012-05-21,강정고령보, , , , , , 
2012-05-20,강정고령보, , , , , , 
2012-05-19,강정고령보, , , , , , 
2012-05-18,강정고령보, , , , , , 
2012-05-17,강정고령보, , , , , , 
2012-05-16,강정고령보, , , , , , 
2012-05-15,강정고령보, , , , , , 
2012-05-14,강정고령보, , , , , , 
2012-05-13,강정고령보, , , , , , 
2012-05-12,강정고령보, , , , , , 
2012-05-11,강정고령보, , , , , , 
2012-05-10,강정고령보, , , , , , 
2012-05-09,강정고령보, , , , , , 
2012-05-08,강정고령보, , , , , , 
2012-05-07,강정고령보, , , , , , 
2012-05-06,강정고령보, , , , , , 
2012-05-05,강정고령보, , , , , , 
2012-05-04,강정고령보, , , , , , 
2012-05-03,강정고령보, , , , , , 
2012-05-02,강정고령보, , , , , , 
2012-05-01,강정고령보, , , , , , 
2012-04-30,강정고령보, , , , , , 
2012-04-29,강정고령보, , , , , , 
2012-04-28,강정고령보, , , , , , 
2012-04-27,강정고령보, , , , , , 
2012-04-26,강정고령보, , , , , , 
2012-04-25,강정고령보, , , , , , 
2012-04-24,강정고령보, , , , , , 
2012-04-23,강정고령보, , , , , , 
2012-04-22,강정고령보, , , , , , 
2012-04-21,강정고령보, , , , , , 
2012-04-20,강정고령보, , , , , , 
2012-04-19,강정고령보, , , , , , 
2012-04-18,강정고령보, , , , , , 
2012-04-17,강정고령보, , , , , , 
2012-04-16,강정고령보, , , , , , 
2012-04-15,강정고령보, , , , , , 
2012-04-14,강정고령보, , , , , , 
2012-04-13,강정고령보, , , , , , 
