년/월/일,측정소명_DAY,보상류수위_DAY,보하류수위_DAY,유입량_DAY,저수량_DAY,공용량_DAY,총방류량_DAY
2012-12-31,공주보, , , , , , 
2012-12-30,공주보, , , , , , 
2012-12-29,공주보, , , , , , 
2012-12-28,공주보, , , , , , 
2012-12-27,공주보, , , , , , 
2012-12-26,공주보, , , , , , 
2012-12-25,공주보, , , , , , 
2012-12-24,공주보, , , , , , 
2012-12-23,공주보, , , , , , 
2012-12-22,공주보, , , , , , 
2012-12-21,공주보, , , , , , 
2012-12-20,공주보, , , , , , 
2012-12-19,공주보, , , , , , 
2012-12-18,공주보, , , , , , 
2012-12-17,공주보, , , , , , 
2012-12-16,공주보, , , , , , 
2012-12-15,공주보, , , , , , 
2012-12-14,공주보, , , , , , 
2012-12-13,공주보, , , , , , 
2012-12-12,공주보, , , , , , 
2012-12-11,공주보, , , , , , 
2012-12-10,공주보, , , , , , 
2012-12-09,공주보, , , , , , 
2012-12-08,공주보, , , , , , 
2012-12-07,공주보, , , , , , 
2012-12-06,공주보, , , , , , 
2012-12-05,공주보, , , , , , 
2012-12-04,공주보, , , , , , 
2012-12-03,공주보, , , , , , 
2012-12-02,공주보, , , , , , 
2012-12-01,공주보, , , , , , 
2012-11-30,공주보, , , , , , 
2012-11-29,공주보, , , , , , 
2012-11-28,공주보, , , , , , 
2012-11-27,공주보, , , , , , 
2012-11-26,공주보, , , , , , 
2012-11-25,공주보, , , , , , 
2012-11-24,공주보, , , , , , 
2012-11-23,공주보, , , , , , 
2012-11-22,공주보, , , , , , 
2012-11-21,공주보, , , , , , 
2012-11-20,공주보, , , , , , 
2012-11-19,공주보, , , , , , 
2012-11-18,공주보, , , , , , 
2012-11-17,공주보, , , , , , 
2012-11-16,공주보, , , , , , 
2012-11-15,공주보, , , , , , 
2012-11-14,공주보, , , , , , 
2012-11-13,공주보, , , , , , 
2012-11-12,공주보, , , , , , 
2012-11-11,공주보, , , , , , 
2012-11-10,공주보, , , , , , 
2012-11-09,공주보, , , , , , 
2012-11-08,공주보, , , , , , 
2012-11-07,공주보, , , , , , 
2012-11-06,공주보, , , , , , 
2012-11-05,공주보, , , , , , 
2012-11-04,공주보, , , , , , 
2012-11-03,공주보, , , , , , 
2012-11-02,공주보, , , , , , 
2012-11-01,공주보, , , , , , 
2012-10-31,공주보, , , , , , 
2012-10-30,공주보, , , , , , 
2012-10-29,공주보, , , , , , 
2012-10-28,공주보, , , , , , 
2012-10-27,공주보, , , , , , 
2012-10-26,공주보, , , , , , 
2012-10-25,공주보, , , , , , 
2012-10-24,공주보, , , , , , 
2012-10-23,공주보, , , , , , 
2012-10-22,공주보, , , , , , 
2012-10-21,공주보, , , , , , 
2012-10-20,공주보, , , , , , 
2012-10-19,공주보, , , , , , 
2012-10-18,공주보, , , , , , 
2012-10-17,공주보, , , , , , 
2012-10-16,공주보, , , , , , 
2012-10-15,공주보, , , , , , 
2012-10-14,공주보, , , , , , 
2012-10-13,공주보, , , , , , 
2012-10-12,공주보, , , , , , 
2012-10-11,공주보, , , , , , 
2012-10-10,공주보, , , , , , 
2012-10-09,공주보, , , , , , 
2012-10-08,공주보, , , , , , 
2012-10-07,공주보, , , , , , 
2012-10-06,공주보, , , , , , 
2012-10-05,공주보, , , , , , 
2012-10-04,공주보, , , , , , 
2012-10-03,공주보, , , , , , 
2012-10-02,공주보, , , , , , 
2012-10-01,공주보, , , , , , 
2012-09-30,공주보, , , , , , 
2012-09-29,공주보, , , , , , 
2012-09-28,공주보, , , , , , 
2012-09-27,공주보, , , , , , 
2012-09-26,공주보, , , , , , 
2012-09-25,공주보, , , , , , 
2012-09-24,공주보, , , , , , 
2012-09-23,공주보, , , , , , 
2012-09-22,공주보, , , , , , 
2012-09-21,공주보, , , , , , 
2012-09-20,공주보, , , , , , 
2012-09-19,공주보, , , , , , 
2012-09-18,공주보, , , , , , 
2012-09-17,공주보, , , , , , 
2012-09-16,공주보, , , , , , 
2012-09-15,공주보, , , , , , 
2012-09-14,공주보, , , , , , 
2012-09-13,공주보, , , , , , 
2012-09-12,공주보, , , , , , 
2012-09-11,공주보, , , , , , 
2012-09-10,공주보, , , , , , 
2012-09-09,공주보, , , , , , 
2012-09-08,공주보, , , , , , 
2012-09-07,공주보, , , , , , 
2012-09-06,공주보, , , , , , 
2012-09-05,공주보, , , , , , 
2012-09-04,공주보, , , , , , 
2012-09-03,공주보, , , , , , 
2012-09-02,공주보, , , , , , 
2012-09-01,공주보, , , , , , 
2012-08-31,공주보, , , , , , 
2012-08-30,공주보, , , , , , 
2012-08-29,공주보, , , , , , 
2012-08-28,공주보, , , , , , 
2012-08-27,공주보, , , , , , 
2012-08-26,공주보, , , , , , 
2012-08-25,공주보, , , , , , 
2012-08-24,공주보, , , , , , 
2012-08-23,공주보, , , , , , 
2012-08-22,공주보, , , , , , 
2012-08-21,공주보, , , , , , 
2012-08-20,공주보, , , , , , 
2012-08-19,공주보, , , , , , 
2012-08-18,공주보, , , , , , 
2012-08-17,공주보, , , , , , 
2012-08-16,공주보, , , , , , 
2012-08-15,공주보, , , , , , 
2012-08-14,공주보, , , , , , 
2012-08-13,공주보, , , , , , 
2012-08-12,공주보, , , , , , 
2012-08-11,공주보, , , , , , 
2012-08-10,공주보, , , , , , 
2012-08-09,공주보, , , , , , 
2012-08-08,공주보, , , , , , 
2012-08-07,공주보, , , , , , 
2012-08-06,공주보, , , , , , 
2012-08-05,공주보, , , , , , 
2012-08-04,공주보, , , , , , 
2012-08-03,공주보, , , , , , 
2012-08-02,공주보, , , , , , 
2012-08-01,공주보, , , , , , 
2012-07-31,공주보, , , , , , 
2012-07-30,공주보, , , , , , 
2012-07-29,공주보, , , , , , 
2012-07-28,공주보, , , , , , 
2012-07-27,공주보, , , , , , 
2012-07-26,공주보, , , , , , 
2012-07-25,공주보, , , , , , 
2012-07-24,공주보, , , , , , 
2012-07-23,공주보, , , , , , 
2012-07-22,공주보, , , , , , 
2012-07-21,공주보, , , , , , 
2012-07-20,공주보, , , , , , 
2012-07-19,공주보, , , , , , 
2012-07-18,공주보, , , , , , 
2012-07-17,공주보, , , , , , 
2012-07-16,공주보, , , , , , 
2012-07-15,공주보, , , , , , 
2012-07-14,공주보, , , , , , 
2012-07-13,공주보, , , , , , 
2012-07-12,공주보, , , , , , 
2012-07-11,공주보, , , , , , 
2012-07-10,공주보, , , , , , 
2012-07-09,공주보, , , , , , 
2012-07-08,공주보, , , , , , 
2012-07-07,공주보, , , , , , 
2012-07-06,공주보, , , , , , 
2012-07-05,공주보, , , , , , 
2012-07-04,공주보, , , , , , 
2012-07-03,공주보, , , , , , 
2012-07-02,공주보, , , , , , 
2012-07-01,공주보, , , , , , 
2012-06-30,공주보, , , , , , 
2012-06-29,공주보, , , , , , 
2012-06-28,공주보, , , , , , 
2012-06-27,공주보, , , , , , 
2012-06-26,공주보, , , , , , 
2012-06-25,공주보, , , , , , 
2012-06-24,공주보, , , , , , 
2012-06-23,공주보, , , , , , 
2012-06-22,공주보, , , , , , 
2012-06-21,공주보, , , , , , 
2012-06-20,공주보, , , , , , 
2012-06-19,공주보, , , , , , 
2012-06-18,공주보, , , , , , 
2012-06-17,공주보, , , , , , 
2012-06-16,공주보, , , , , , 
2012-06-15,공주보, , , , , , 
2012-06-14,공주보, , , , , , 
2012-06-13,공주보, , , , , , 
2012-06-12,공주보, , , , , , 
2012-06-11,공주보, , , , , , 
2012-06-10,공주보, , , , , , 
2012-06-09,공주보, , , , , , 
2012-06-08,공주보, , , , , , 
2012-06-07,공주보, , , , , , 
2012-06-06,공주보, , , , , , 
2012-06-05,공주보, , , , , , 
2012-06-04,공주보, , , , , , 
2012-06-03,공주보, , , , , , 
2012-06-02,공주보, , , , , , 
2012-06-01,공주보, , , , , , 
2012-05-31,공주보, , , , , , 
2012-05-30,공주보, , , , , , 
2012-05-29,공주보, , , , , , 
2012-05-28,공주보, , , , , , 
2012-05-27,공주보, , , , , , 
2012-05-26,공주보, , , , , , 
2012-05-25,공주보, , , , , , 
2012-05-24,공주보, , , , , , 
2012-05-23,공주보, , , , , , 
2012-05-22,공주보, , , , , , 
2012-05-21,공주보, , , , , , 
2012-05-20,공주보, , , , , , 
2012-05-19,공주보, , , , , , 
2012-05-18,공주보, , , , , , 
2012-05-17,공주보, , , , , , 
2012-05-16,공주보, , , , , , 
2012-05-15,공주보, , , , , , 
2012-05-14,공주보, , , , , , 
2012-05-13,공주보, , , , , , 
2012-05-12,공주보, , , , , , 
2012-05-11,공주보, , , , , , 
2012-05-10,공주보, , , , , , 
2012-05-09,공주보, , , , , , 
2012-05-08,공주보, , , , , , 
2012-05-07,공주보, , , , , , 
2012-05-06,공주보, , , , , , 
2012-05-05,공주보, , , , , , 
2012-05-04,공주보, , , , , , 
2012-05-03,공주보, , , , , , 
2012-05-02,공주보, , , , , , 
2012-05-01,공주보, , , , , , 
2012-04-30,공주보, , , , , , 
2012-04-29,공주보, , , , , , 
2012-04-28,공주보, , , , , , 
2012-04-27,공주보, , , , , , 
2012-04-26,공주보, , , , , , 
2012-04-25,공주보, , , , , , 
2012-04-24,공주보, , , , , , 
2012-04-23,공주보, , , , , , 
2012-04-22,공주보, , , , , , 
2012-04-21,공주보, , , , , , 
2012-04-20,공주보, , , , , , 
2012-04-19,공주보, , , , , , 
2012-04-18,공주보, , , , , , 
2012-04-17,공주보, , , , , , 
2012-04-16,공주보, , , , , , 
2012-04-15,공주보, , , , , , 
2012-04-14,공주보, , , , , , 
2012-04-13,공주보, , , , , , 
2012-04-12,공주보, , , , , , 
2012-04-11,공주보, , , , , , 
2012-04-10,공주보, , , , , , 
2012-04-09,공주보, , , , , , 
2012-04-08,공주보, , , , , , 
2012-04-07,공주보, , , , , , 
2012-04-06,공주보, , , , , , 
2012-04-05,공주보, , , , , , 
2012-04-04,공주보, , , , , , 
2012-04-03,공주보, , , , , , 
2012-04-02,공주보, , , , , , 
2012-04-01,공주보, , , , , , 
2012-03-31,공주보, , , , , , 
2012-03-30,공주보, , , , , , 
2012-03-29,공주보, , , , , , 
2012-03-28,공주보, , , , , , 
2012-03-27,공주보, , , , , , 
2012-03-26,공주보, , , , , , 
2012-03-25,공주보, , , , , , 
2012-03-24,공주보, , , , , , 
2012-03-23,공주보, , , , , , 
2012-03-22,공주보, , , , , , 
2012-03-21,공주보, , , , , , 
2012-03-20,공주보, , , , , , 
2012-03-19,공주보, , , , , , 
2012-03-18,공주보, , , , , , 
2012-03-17,공주보, , , , , , 
2012-03-16,공주보, , , , , , 
2012-03-15,공주보, , , , , , 
2012-03-14,공주보, , , , , , 
2012-03-13,공주보, , , , , , 
2012-03-12,공주보, , , , , , 
2012-03-11,공주보, , , , , , 
2012-03-10,공주보, , , , , , 
2012-03-09,공주보, , , , , , 
2012-03-08,공주보, , , , , , 
2012-03-07,공주보, , , , , , 
2012-03-06,공주보, , , , , , 
2012-03-05,공주보, , , , , , 
2012-03-04,공주보, , , , , , 
2012-03-03,공주보, , , , , , 
2012-03-02,공주보, , , , , , 
2012-03-01,공주보, , , , , , 
2012-02-29,공주보, , , , , , 
2012-02-28,공주보, , , , , , 
2012-02-27,공주보, , , , , , 
2012-02-26,공주보, , , , , , 
2012-02-25,공주보, , , , , , 
2012-02-24,공주보, , , , , , 
2012-02-23,공주보, , , , , , 
2012-02-22,공주보, , , , , , 
2012-02-21,공주보, , , , , , 
2012-02-20,공주보, , , , , , 
2012-02-19,공주보, , , , , , 
2012-02-18,공주보, , , , , , 
2012-02-17,공주보, , , , , , 
2012-02-16,공주보, , , , , , 
2012-02-15,공주보, , , , , , 
2012-02-14,공주보, , , , , , 
2012-02-13,공주보, , , , , , 
2012-02-12,공주보, , , , , , 
2012-02-11,공주보, , , , , , 
2012-02-10,공주보, , , , , , 
2012-02-09,공주보, , , , , , 
2012-02-08,공주보, , , , , , 
2012-02-07,공주보, , , , , , 
2012-02-06,공주보, , , , , , 
2012-02-05,공주보, , , , , , 
2012-02-04,공주보, , , , , , 
2012-02-03,공주보, , , , , , 
2012-02-02,공주보, , , , , , 
2012-02-01,공주보, , , , , , 
2012-01-31,공주보, , , , , , 
2012-01-30,공주보, , , , , , 
2012-01-29,공주보, , , , , , 
2012-01-28,공주보, , , , , , 
2012-01-27,공주보, , , , , , 
2012-01-26,공주보, , , , , , 
2012-01-25,공주보, , , , , , 
2012-01-24,공주보, , , , , , 
2012-01-23,공주보, , , , , , 
2012-01-22,공주보, , , , , , 
2012-01-21,공주보, , , , , , 
2012-01-20,공주보, , , , , , 
2012-01-19,공주보, , , , , , 
2012-01-18,공주보, , , , , , 
2012-01-17,공주보, , , , , , 
2012-01-16,공주보, , , , , , 
2012-01-15,공주보, , , , , , 
2012-01-14,공주보, , , , , , 
2012-01-13,공주보, , , , , , 
2012-01-12,공주보, , , , , , 
2012-01-11,공주보, , , , , , 
2012-01-10,공주보, , , , , , 
2012-01-09,공주보, , , , , , 
2012-01-08,공주보, , , , , , 
2012-01-07,공주보, , , , , , 
2012-01-06,공주보, , , , , , 
2012-01-05,공주보, , , , , , 
2012-01-04,공주보, , , , , , 
2012-01-03,공주보, , , , , , 
2012-01-02,공주보, , , , , , 
2012-01-01,공주보, , , , , , 
2013-12-31,공주보, , , , , , 
2013-12-30,공주보, , , , , , 
2013-12-29,공주보, , , , , , 
2013-12-28,공주보, , , , , , 
2013-12-27,공주보, , , , , , 
2013-12-26,공주보, , , , , , 
2013-12-25,공주보, , , , , , 
2013-12-24,공주보, , , , , , 
2013-12-23,공주보, , , , , , 
2013-12-22,공주보, , , , , , 
2013-12-21,공주보, , , , , , 
2013-12-20,공주보, , , , , , 
2013-12-19,공주보, , , , , , 
2013-12-18,공주보, , , , , , 
2013-12-17,공주보, , , , , , 
2013-12-16,공주보, , , , , , 
2013-12-15,공주보, , , , , , 
2013-12-14,공주보, , , , , , 
2013-12-13,공주보, , , , , , 
2013-12-12,공주보, , , , , , 
2013-12-11,공주보, , , , , , 
2013-12-10,공주보, , , , , , 
2013-12-09,공주보, , , , , , 
2013-12-08,공주보, , , , , , 
2013-12-07,공주보, , , , , , 
2013-12-06,공주보, , , , , , 
2013-12-05,공주보, , , , , , 
2013-12-04,공주보, , , , , , 
2013-12-03,공주보, , , , , , 
2013-12-02,공주보, , , , , , 
2013-12-01,공주보, , , , , , 
2013-11-30,공주보, , , , , , 
2013-11-29,공주보, , , , , , 
2013-11-28,공주보, , , , , , 
2013-11-27,공주보, , , , , , 
2013-11-26,공주보, , , , , , 
2013-11-25,공주보, , , , , , 
2013-11-24,공주보, , , , , , 
2013-11-23,공주보, , , , , , 
2013-11-22,공주보, , , , , , 
2013-11-21,공주보, , , , , , 
2013-11-20,공주보, , , , , , 
2013-11-19,공주보, , , , , , 
2013-11-18,공주보, , , , , , 
2013-11-17,공주보, , , , , , 
2013-11-16,공주보, , , , , , 
2013-11-15,공주보, , , , , , 
2013-11-14,공주보, , , , , , 
2013-11-13,공주보, , , , , , 
2013-11-12,공주보, , , , , , 
2013-11-11,공주보, , , , , , 
2013-11-10,공주보, , , , , , 
2013-11-09,공주보, , , , , , 
2013-11-08,공주보, , , , , , 
2013-11-07,공주보, , , , , , 
2013-11-06,공주보, , , , , , 
2013-11-05,공주보, , , , , , 
2013-11-04,공주보, , , , , , 
2013-11-03,공주보, , , , , , 
2013-11-02,공주보, , , , , , 
2013-11-01,공주보, , , , , , 
2013-10-31,공주보, , , , , , 
2013-10-30,공주보, , , , , , 
2013-10-29,공주보, , , , , , 
2013-10-28,공주보, , , , , , 
2013-10-27,공주보, , , , , , 
2013-10-26,공주보, , , , , , 
2013-10-25,공주보, , , , , , 
2013-10-24,공주보, , , , , , 
2013-10-23,공주보, , , , , , 
2013-10-22,공주보, , , , , , 
2013-10-21,공주보, , , , , , 
2013-10-20,공주보, , , , , , 
2013-10-19,공주보, , , , , , 
2013-10-18,공주보, , , , , , 
2013-10-17,공주보, , , , , , 
2013-10-16,공주보, , , , , , 
2013-10-15,공주보, , , , , , 
2013-10-14,공주보, , , , , , 
2013-10-13,공주보, , , , , , 
2013-10-12,공주보, , , , , , 
2013-10-11,공주보, , , , , , 
2013-10-10,공주보, , , , , , 
2013-10-09,공주보, , , , , , 
2013-10-08,공주보, , , , , , 
2013-10-07,공주보, , , , , , 
2013-10-06,공주보, , , , , , 
2013-10-05,공주보, , , , , , 
2013-10-04,공주보, , , , , , 
2013-10-03,공주보, , , , , , 
2013-10-02,공주보, , , , , , 
2013-10-01,공주보, , , , , , 
2013-09-30,공주보, , , , , , 
2013-09-29,공주보, , , , , , 
2013-09-28,공주보, , , , , , 
2013-09-27,공주보, , , , , , 
2013-09-26,공주보, , , , , , 
2013-09-25,공주보, , , , , , 
2013-09-24,공주보, , , , , , 
2013-09-23,공주보, , , , , , 
2013-09-22,공주보, , , , , , 
2013-09-21,공주보, , , , , , 
2013-09-20,공주보, , , , , , 
2013-09-19,공주보, , , , , , 
