년/월/일,측정소명_DAY,보상류수위_DAY,보하류수위_DAY,유입량_DAY,저수량_DAY,공용량_DAY,총방류량_DAY
2012-12-31,구미보, , , , , , 
2012-12-30,구미보, , , , , , 
2012-12-29,구미보, , , , , , 
2012-12-28,구미보, , , , , , 
2012-12-27,구미보, , , , , , 
2012-12-26,구미보, , , , , , 
2012-12-25,구미보, , , , , , 
2012-12-24,구미보, , , , , , 
2012-12-23,구미보, , , , , , 
2012-12-22,구미보, , , , , , 
2012-12-21,구미보, , , , , , 
2012-12-20,구미보, , , , , , 
2012-12-19,구미보, , , , , , 
2012-12-18,구미보, , , , , , 
2012-12-17,구미보, , , , , , 
2012-12-16,구미보, , , , , , 
2012-12-15,구미보, , , , , , 
2012-12-14,구미보, , , , , , 
2012-12-13,구미보, , , , , , 
2012-12-12,구미보, , , , , , 
2012-12-11,구미보, , , , , , 
2012-12-10,구미보, , , , , , 
2012-12-09,구미보, , , , , , 
2012-12-08,구미보, , , , , , 
2012-12-07,구미보, , , , , , 
2012-12-06,구미보, , , , , , 
2012-12-05,구미보, , , , , , 
2012-12-04,구미보, , , , , , 
2012-12-03,구미보, , , , , , 
2012-12-02,구미보, , , , , , 
2012-12-01,구미보, , , , , , 
2012-11-30,구미보, , , , , , 
2012-11-29,구미보, , , , , , 
2012-11-28,구미보, , , , , , 
2012-11-27,구미보, , , , , , 
2012-11-26,구미보, , , , , , 
2012-11-25,구미보, , , , , , 
2012-11-24,구미보, , , , , , 
2012-11-23,구미보, , , , , , 
2012-11-22,구미보, , , , , , 
2012-11-21,구미보, , , , , , 
2012-11-20,구미보, , , , , , 
2012-11-19,구미보, , , , , , 
2012-11-18,구미보, , , , , , 
2012-11-17,구미보, , , , , , 
2012-11-16,구미보, , , , , , 
2012-11-15,구미보, , , , , , 
2012-11-14,구미보, , , , , , 
2012-11-13,구미보, , , , , , 
2012-11-12,구미보, , , , , , 
2012-11-11,구미보, , , , , , 
2012-11-10,구미보, , , , , , 
2012-11-09,구미보, , , , , , 
2012-11-08,구미보, , , , , , 
2012-11-07,구미보, , , , , , 
2012-11-06,구미보, , , , , , 
2012-11-05,구미보, , , , , , 
2012-11-04,구미보, , , , , , 
2012-11-03,구미보, , , , , , 
2012-11-02,구미보, , , , , , 
2012-11-01,구미보, , , , , , 
2012-10-31,구미보, , , , , , 
2012-10-30,구미보, , , , , , 
2012-10-29,구미보, , , , , , 
2012-10-28,구미보, , , , , , 
2012-10-27,구미보, , , , , , 
2012-10-26,구미보, , , , , , 
2012-10-25,구미보, , , , , , 
2012-10-24,구미보, , , , , , 
2012-10-23,구미보, , , , , , 
2012-10-22,구미보, , , , , , 
2012-10-21,구미보, , , , , , 
2012-10-20,구미보, , , , , , 
2012-10-19,구미보, , , , , , 
2012-10-18,구미보, , , , , , 
2012-10-17,구미보, , , , , , 
