,보방류량_DAY,보유입량_DAY,보자체유입량_DAY,보저수량_DAY,보저수위_DAY
2012-01-01,           0.00,           0.00,           0.00,0.0,30.7
2012-01-02,           0.00,           0.00,           0.00,0.0,30.7
2012-01-03,           0.00,           0.00,           0.00,0.0,30.76
2012-01-04,           0.00,           0.00,           0.00,0.0,30.76
2012-01-05,           0.00,           0.00,           0.00,0.0,30.76
2012-01-06,           0.00,           0.00,           0.00,0.0,30.76
2012-01-07,           0.00,           0.00,           0.00,0.0,30.76
2012-01-08,           0.00,           0.00,           0.00,0.0,30.76
2012-01-09,           0.00,           0.00,           0.00,0.0,30.7
2012-01-10,           0.00,           0.00,           0.00,0.0,30.7
2012-01-11,           0.00,           0.00,           0.00,0.0,30.7
2012-01-12,           0.00,           0.00,           0.00,0.0,30.7
2012-01-13,           0.00,           0.00,           0.00,0.0,30.7
2012-01-14,           0.00,           0.00,           0.00,0.0,30.7
2012-01-15,           0.00,           0.00,           0.00,0.0,30.7
2012-01-16,           0.00,           0.00,           0.00,0.0,30.7
2012-01-17,           0.00,           0.00,           0.00,0.0,30.7
2012-01-18,           0.00,           0.00,           0.00,0.0,30.7
2012-01-19,           0.00,           0.00,           0.00,0.0,30.7
2012-01-20,           0.00,           0.00,           0.00,0.0,30.7
2012-01-21,           0.00,           0.00,           0.00,0.0,30.7
2012-01-22,           0.00,           0.00,           0.00,0.0,30.7
2012-01-23,           0.00,           0.00,           0.00,0.0,30.7
2012-01-24,           0.00,           0.00,           0.00,0.0,30.7
2012-01-25,           0.00,           0.00,           0.00,0.0,30.75
2012-01-26,           0.00,           0.00,           0.00,0.0,30.75
2012-01-27,           0.00,           0.00,           0.00,0.0,30.75
2012-01-28,           0.00,           0.00,           0.00,0.0,30.75
2012-01-29,           0.00,           0.00,           0.00,0.0,30.75
2012-01-30,           0.00,           0.00,           0.00,0.0,30.75
2012-01-31,           0.00,           0.00,           0.00,0.0,30.75
2012-02-01,           0.00,           0.00,           0.00,0.0,30.75
2012-02-02,           0.00,           0.00,           0.00,0.0,30.75
2012-02-03,           0.00,           0.00,           0.00,0.0,30.75
2012-02-04,           0.00,           0.00,           0.00,0.0,30.75
2012-02-05,           0.00,           0.00,           0.00,0.0,30.75
2012-02-06,           0.00,           0.00,           0.00,0.0,30.75
2012-02-07,           0.00,           0.00,           0.00,0.0,30.75
2012-02-08,           0.00,           0.00,           0.00,0.0,30.75
2012-02-09,           0.00,           0.00,           0.00,0.0,30.75
2012-02-10,           0.00,          28.17,          28.17,2.43,30.75
2012-02-11,           0.00,           0.00,           0.00,2.43,30.75
2012-02-12,           0.00,           0.00,           0.00,2.43,30.75
2012-02-13,           0.00,          10.96,          10.96,3.38,30.75
2012-02-14,           0.00,           0.00,           0.00,3.38,30.75
2012-02-15,           0.00,           0.00,           0.00,3.38,30.75
2012-02-16,           0.00,           0.00,           0.00,3.38,30.75
2012-02-17,           0.00,           0.00,           0.00,3.38,30.75
2012-02-18,           0.00,           0.00,           0.00,3.38,30.75
2012-02-19,           0.00,           0.00,           0.00,3.38,30.75
2012-02-20,           0.00,           0.00,         -39.13,0.0,30.75
2012-02-21,           0.00,          39.13,          39.13,3.38,30.75
2012-02-22,           0.00,           0.00,           0.00,3.38,30.75
2012-02-23,           0.00,           0.00,           0.00,3.38,30.75
2012-02-24,           0.00,           0.00,           0.00,3.38,30.75
2012-02-25,           0.00,           0.00,           0.00,3.38,30.75
2012-02-26,           0.00,           0.00,           0.00,3.38,30.75
2012-02-27,           0.00,           0.00,           0.00,3.38,30.75
2012-02-28,           0.00,          55.27,          55.27,8.16,33.49
2012-02-29,           0.00,           0.00,         -33.75,5.24,32.15
2012-03-01,           0.00,           5.41,           5.41,5.71,32.39
2012-03-02,           0.00,          26.55,          26.55,8.0,33.43
2012-03-03,           0.00,           9.54,           9.54,8.83,33.75
2012-03-04,           0.00,           8.19,           8.19,9.53,34.02
2012-03-05,           0.00,           0.00,          -1.33,9.42,33.98
2012-03-06,           0.00,           0.00,        -109.01,0.0,33.63
2012-03-07,           0.00,          96.18,          96.18,8.31,33.55
2012-03-08,           0.00,          23.45,          23.45,10.34,34.27
2012-03-09,           0.00,          15.24,          15.24,11.65,34.68
2012-03-10,           0.00,           0.00,          -2.60,11.43,34.61
2012-03-11,           0.00,           0.37,           0.37,11.46,34.62
2012-03-12,           0.00,          27.36,          27.36,13.82,35.29
2012-03-13,           0.00,          41.16,          41.16,17.38,36.19
2012-03-14,           0.00,           7.38,           7.38,18.02,36.35
2012-03-15,           0.00,          85.10,          85.10,25.37,37.89
2012-03-16,           0.00,           0.00,         -67.58,19.53,36.73
2012-03-17,           0.00,           1.39,           1.39,19.65,36.76
2012-03-18,           0.00,           0.00,         -10.15,18.77,36.54
2012-03-19,           0.00,           0.00,          -6.00,18.26,36.41
2012-03-20,           0.00,           1.85,           1.85,18.42,36.45
2012-03-21,           0.00,           5.53,           5.53,18.89,36.57
2012-03-22,           0.00,           6.00,           6.00,19.41,36.7
2012-03-23,           0.00,          38.26,          38.26,22.72,37.48
2012-03-24,           0.00,          27.71,          27.71,25.11,37.85
2012-03-25,           0.00,          16.55,          16.55,26.54,38.09
2012-03-26,           0.00,           4.75,           4.75,26.95,38.17
2012-03-27,           0.00,          13.02,          13.02,28.08,38.39
2012-03-28,           0.00,          78.41,          78.41,34.85,39.83
2012-03-29,           0.00,          21.51,          21.51,36.71,40.17
2012-03-30,           0.00,           0.00,          -9.07,35.93,40.05
2012-03-31,           0.00,           4.54,           4.54,36.32,40.11
2012-04-01,           0.00,           0.00,          -0.75,36.25,40.1
2012-04-02,           0.00,           0.00,          -2.27,36.06,40.07
2012-04-03,           0.00,           8.31,           8.31,36.78,40.18
2012-04-04,           0.00,           0.00,         -56.40,31.9,39.16
2012-04-05,           0.00,          55.65,          55.65,36.71,40.17
2012-04-06,           0.00,           0.00,         -12.10,35.67,40.01
2012-04-07,           0.00,           0.76,           0.76,35.73,40.02
2012-04-08,           0.00,           1.51,           1.51,35.86,40.04
2012-04-09,           0.00,           3.02,           3.02,36.12,40.08
2012-04-10,           0.00,           0.00,          -2.27,35.93,40.05
2012-04-11,           0.00,           0.00,           0.00,35.93,40.05
2012-04-12,           0.00,           0.76,           0.76,35.99,40.06
2012-04-13,           0.00,           0.00,          -2.27,35.8,40.03
2012-04-14,           0.00,           0.00,           0.00,35.8,40.03
2012-04-15,           0.00,           5.29,           5.29,36.25,40.1
2012-04-16,           0.00,           0.00,          -0.75,36.19,40.09
2012-04-17,           0.00,           0.00,          -3.79,35.86,40.04
2012-04-18,           0.00,           0.00,          -1.51,35.73,40.02
2012-04-19,           0.00,           3.02,           3.02,35.99,40.06
2012-04-20,           0.00,           1.51,           1.51,36.12,40.08
2012-04-21,           0.00,           3.02,           3.02,36.38,40.12
2012-04-22,           0.00,           3.03,           3.03,36.65,40.16
2012-04-23,           0.00,           0.00,         -12.10,35.6,40.0
2012-04-24,           0.00,           0.00,          -1.02,35.51,39.98
2012-04-25,           0.00,          10.85,          10.85,36.45,40.13
