년/월/일,측정소명_DAY,보상류수위_DAY,보하류수위_DAY,유입량_DAY,저수량_DAY,공용량_DAY,총방류량_DAY
2012-12-31,달성보, , , , , , 
2012-12-30,달성보, , , , , , 
2012-12-29,달성보, , , , , , 
2012-12-28,달성보, , , , , , 
2012-12-27,달성보, , , , , , 
2012-12-26,달성보, , , , , , 
2012-12-25,달성보, , , , , , 
2012-12-24,달성보, , , , , , 
2012-12-23,달성보, , , , , , 
2012-12-22,달성보, , , , , , 
2012-12-21,달성보, , , , , , 
2012-12-20,달성보, , , , , , 
2012-12-19,달성보, , , , , , 
2012-12-18,달성보, , , , , , 
2012-12-17,달성보, , , , , , 
2012-12-16,달성보, , , , , , 
2012-12-15,달성보, , , , , , 
2012-12-14,달성보, , , , , , 
2012-12-13,달성보, , , , , , 
2012-12-12,달성보, , , , , , 
2012-12-11,달성보, , , , , , 
2012-12-10,달성보, , , , , , 
2012-12-09,달성보, , , , , , 
2012-12-08,달성보, , , , , , 
2012-12-07,달성보, , , , , , 
2012-12-06,달성보, , , , , , 
2012-12-05,달성보, , , , , , 
2012-12-04,달성보, , , , , , 
2012-12-03,달성보, , , , , , 
2012-12-02,달성보, , , , , , 
2012-12-01,달성보, , , , , , 
2012-11-30,달성보, , , , , , 
2012-11-29,달성보, , , , , , 
2012-11-28,달성보, , , , , , 
2012-11-27,달성보, , , , , , 
2012-11-26,달성보, , , , , , 
2012-11-25,달성보, , , , , , 
2012-11-24,달성보, , , , , , 
2012-11-23,달성보, , , , , , 
2012-11-22,달성보, , , , , , 
2012-11-21,달성보, , , , , , 
2012-11-20,달성보, , , , , , 
2012-11-19,달성보, , , , , , 
2012-11-18,달성보, , , , , , 
2012-11-17,달성보, , , , , , 
2012-11-16,달성보, , , , , , 
2012-11-15,달성보, , , , , , 
2012-11-14,달성보, , , , , , 
2012-11-13,달성보, , , , , , 
2012-11-12,달성보, , , , , , 
2012-11-11,달성보, , , , , , 
2012-11-10,달성보, , , , , , 
2012-11-09,달성보, , , , , , 
2012-11-08,달성보, , , , , , 
2012-11-07,달성보, , , , , , 
2012-11-06,달성보, , , , , , 
2012-11-05,달성보, , , , , , 
2012-11-04,달성보, , , , , , 
2012-11-03,달성보, , , , , , 
2012-11-02,달성보, , , , , , 
2012-11-01,달성보, , , , , , 
2012-10-31,달성보, , , , , , 
2012-10-30,달성보, , , , , , 
2012-10-29,달성보, , , , , , 
2012-10-28,달성보, , , , , , 
2012-10-27,달성보, , , , , , 
2012-10-26,달성보, , , , , , 
2012-10-25,달성보, , , , , , 
2012-10-24,달성보, , , , , , 
2012-10-23,달성보, , , , , , 
2012-10-22,달성보, , , , , , 
2012-10-21,달성보, , , , , , 
2012-10-20,달성보, , , , , , 
2012-10-19,달성보, , , , , , 
2012-10-18,달성보, , , , , , 
2012-10-17,달성보, , , , , , 
2012-10-16,달성보, , , , , , 
2012-10-15,달성보, , , , , , 
2012-10-14,달성보, , , , , , 
2012-10-13,달성보, , , , , , 
2012-10-12,달성보, , , , , , 
2012-10-11,달성보, , , , , , 
2012-10-10,달성보, , , , , , 
2012-10-09,달성보, , , , , , 
2012-10-08,달성보, , , , , , 
2012-10-07,달성보, , , , , , 
2012-10-06,달성보, , , , , , 
2012-10-05,달성보, , , , , , 
2012-10-04,달성보, , , , , , 
2012-10-03,달성보, , , , , , 
2012-10-02,달성보, , , , , , 
2012-10-01,달성보, , , , , , 
2012-09-30,달성보, , , , , , 
2012-09-29,달성보, , , , , , 
2012-09-28,달성보, , , , , , 
2012-09-27,달성보, , , , , , 
2012-09-26,달성보, , , , , , 
2012-09-25,달성보, , , , , , 
2012-09-24,달성보, , , , , , 
2012-09-23,달성보, , , , , , 
2012-09-22,달성보, , , , , , 
2012-09-21,달성보, , , , , , 
2012-09-20,달성보, , , , , , 
2012-09-19,달성보, , , , , , 
2012-09-18,달성보, , , , , , 
2012-09-17,달성보, , , , , , 
2012-09-16,달성보, , , , , , 
2012-09-15,달성보, , , , , , 
2012-09-14,달성보, , , , , , 
2012-09-13,달성보, , , , , , 
2012-09-12,달성보, , , , , , 
