년/월/일,측정소명_DAY,보상류수위_DAY,보하류수위_DAY,유입량_DAY,저수량_DAY,공용량_DAY,총방류량_DAY
2012-12-31,백제보, , , , , , 
2012-12-30,백제보, , , , , , 
2012-12-29,백제보, , , , , , 
2012-12-28,백제보, , , , , , 
2012-12-27,백제보, , , , , , 
2012-12-26,백제보, , , , , , 
2012-12-25,백제보, , , , , , 
2012-12-24,백제보, , , , , , 
2012-12-23,백제보, , , , , , 
2012-12-22,백제보, , , , , , 
2012-12-21,백제보, , , , , , 
2012-12-20,백제보, , , , , , 
2012-12-19,백제보, , , , , , 
2012-12-18,백제보, , , , , , 
2012-12-17,백제보, , , , , , 
2012-12-16,백제보, , , , , , 
2012-12-15,백제보, , , , , , 
2012-12-14,백제보, , , , , , 
2012-12-13,백제보, , , , , , 
2012-12-12,백제보, , , , , , 
2012-12-11,백제보, , , , , , 
2012-12-10,백제보, , , , , , 
2012-12-09,백제보, , , , , , 
2012-12-08,백제보, , , , , , 
2012-12-07,백제보, , , , , , 
2012-12-06,백제보, , , , , , 
2012-12-05,백제보, , , , , , 
2012-12-04,백제보, , , , , , 
2012-12-03,백제보, , , , , , 
2012-12-02,백제보, , , , , , 
2012-12-01,백제보, , , , , , 
2012-11-30,백제보, , , , , , 
2012-11-29,백제보, , , , , , 
2012-11-28,백제보, , , , , , 
2012-11-27,백제보, , , , , , 
2012-11-26,백제보, , , , , , 
2012-11-25,백제보, , , , , , 
2012-11-24,백제보, , , , , , 
2012-11-23,백제보, , , , , , 
2012-11-22,백제보, , , , , , 
2012-11-21,백제보, , , , , , 
2012-11-20,백제보, , , , , , 
2012-11-19,백제보, , , , , , 
2012-11-18,백제보, , , , , , 
2012-11-17,백제보, , , , , , 
2012-11-16,백제보, , , , , , 
2012-11-15,백제보, , , , , , 
2012-11-14,백제보, , , , , , 
2012-11-13,백제보, , , , , , 
2012-11-12,백제보, , , , , , 
2012-11-11,백제보, , , , , , 
2012-11-10,백제보, , , , , , 
2012-11-09,백제보, , , , , , 
2012-11-08,백제보, , , , , , 
2012-11-07,백제보, , , , , , 
2012-11-06,백제보, , , , , , 
2012-11-05,백제보, , , , , , 
2012-11-04,백제보, , , , , , 
2012-11-03,백제보, , , , , , 
2012-11-02,백제보, , , , , , 
2012-11-01,백제보, , , , , , 
2012-10-31,백제보, , , , , , 
2012-10-30,백제보, , , , , , 
2012-10-29,백제보, , , , , , 
2012-10-28,백제보, , , , , , 
2012-10-27,백제보, , , , , , 
2012-10-26,백제보, , , , , , 
2012-10-25,백제보, , , , , , 
2012-10-24,백제보, , , , , , 
2012-10-23,백제보, , , , , , 
2012-10-22,백제보, , , , , , 
2012-10-21,백제보, , , , , , 
2012-10-20,백제보, , , , , , 
2012-10-19,백제보, , , , , , 
2012-10-18,백제보, , , , , , 
2012-10-17,백제보, , , , , , 
2012-10-16,백제보, , , , , , 
2012-10-15,백제보, , , , , , 
2012-10-14,백제보, , , , , , 
2012-10-13,백제보, , , , , , 
2012-10-12,백제보, , , , , , 
2012-10-11,백제보, , , , , , 
2012-10-10,백제보, , , , , , 
2012-10-09,백제보, , , , , , 
2012-10-08,백제보, , , , , , 
2012-10-07,백제보, , , , , , 
2012-10-06,백제보, , , , , , 
2012-10-05,백제보, , , , , , 
2012-10-04,백제보, , , , , , 
2012-10-03,백제보, , , , , , 
2012-10-02,백제보, , , , , , 
2012-10-01,백제보, , , , , , 
2012-09-30,백제보, , , , , , 
2012-09-29,백제보, , , , , , 
2012-09-28,백제보, , , , , , 
2012-09-27,백제보, , , , , , 
2012-09-26,백제보, , , , , , 
2012-09-25,백제보, , , , , , 
2012-09-24,백제보, , , , , , 
2012-09-23,백제보, , , , , , 
