,보방류량_DAY,보유입량_DAY,보자체유입량_DAY,보저수량_DAY,보저수위_DAY
2012-01-01,           0.00,           0.00,           0.00,0.0,38.79
2012-01-02,           0.00,           0.00,           0.00,0.0,38.79
2012-01-03,           0.00,           0.00,           0.00,0.0,38.79
2012-01-04,           0.00,           0.00,           0.00,0.0,38.89
2012-01-05,           0.00,           0.00,           0.00,0.0,38.89
2012-01-06,           0.00,           0.00,           0.00,0.0,38.89
2012-01-07,           0.00,           0.00,           0.00,0.0,38.89
2012-01-08,           0.00,           0.00,           0.00,0.0,38.89
2012-01-09,           0.00,           0.00,           0.00,0.0,38.78
2012-01-10,           0.00,           0.00,           0.00,0.0,38.78
2012-01-11,           0.00,           0.00,           0.00,0.0,38.78
2012-01-12,           0.00,           0.00,           0.00,0.0,38.78
2012-01-13,           0.00,           0.00,           0.00,0.0,38.79
2012-01-14,           0.00,           0.00,           0.00,0.0,38.95
2012-01-15,           0.00,           0.00,           0.00,0.0,38.89
2012-01-16,           0.00,           0.00,           0.00,0.0,38.98
2012-01-17,           0.00,           0.00,           0.00,0.0,38.78
2012-01-18,           0.00,           0.00,           0.00,0.0,38.78
2012-01-19,           0.00,           0.00,           0.00,0.0,38.77
2012-01-20,           0.00,           0.00,           0.00,0.0,38.77
2012-01-21,           0.00,           0.00,           0.00,0.0,38.77
2012-01-22,           0.00,           0.00,           0.00,0.0,38.77
2012-01-23,           0.00,           0.00,           0.00,0.0,38.77
2012-01-24,           0.00,           0.00,           0.00,0.0,38.77
2012-01-25,           0.00,           0.00,           0.00,0.0,38.77
2012-01-26,           0.00,           0.00,           0.00,0.0,38.77
2012-01-27,           0.00,           0.00,           0.00,0.0,38.77
2012-01-28,           0.00,           0.00,           0.00,0.0,38.77
2012-01-29,           0.00,           0.00,           0.00,0.0,38.77
2012-01-30,           0.00,           0.00,           0.00,0.0,38.77
2012-01-31,           0.00,           0.00,           0.00,0.0,38.77
2012-02-01,           0.00,           0.00,           0.00,0.0,38.77
