년/월/일,측정소명_DAY,보상류수위_DAY,보하류수위_DAY,유입량_DAY,저수량_DAY,공용량_DAY,총방류량_DAY
2012-12-31,상주보, , , , , , 
2012-12-30,상주보, , , , , , 
2012-12-29,상주보, , , , , , 
2012-12-28,상주보, , , , , , 
2012-12-27,상주보, , , , , , 
2012-12-26,상주보, , , , , , 
2012-12-25,상주보, , , , , , 
2012-12-24,상주보, , , , , , 
2012-12-23,상주보, , , , , , 
2012-12-22,상주보, , , , , , 
2012-12-21,상주보, , , , , , 
2012-12-20,상주보, , , , , , 
2012-12-19,상주보, , , , , , 
2012-12-18,상주보, , , , , , 
2012-12-17,상주보, , , , , , 
2012-12-16,상주보, , , , , , 
2012-12-15,상주보, , , , , , 
2012-12-14,상주보, , , , , , 
2012-12-13,상주보, , , , , , 
2012-12-12,상주보, , , , , , 
2012-12-11,상주보, , , , , , 
2012-12-10,상주보, , , , , , 
2012-12-09,상주보, , , , , , 
2012-12-08,상주보, , , , , , 
2012-12-07,상주보, , , , , , 
2012-12-06,상주보, , , , , , 
2012-12-05,상주보, , , , , , 
2012-12-04,상주보, , , , , , 
2012-12-03,상주보, , , , , , 
2012-12-02,상주보, , , , , , 
2012-12-01,상주보, , , , , , 
2012-11-30,상주보, , , , , , 
2012-11-29,상주보, , , , , , 
2012-11-28,상주보, , , , , , 
2012-11-27,상주보, , , , , , 
2012-11-26,상주보, , , , , , 
2012-11-25,상주보, , , , , , 
2012-11-24,상주보, , , , , , 
2012-11-23,상주보, , , , , , 
2012-11-22,상주보, , , , , , 
2012-11-21,상주보, , , , , , 
2012-11-20,상주보, , , , , , 
2012-11-19,상주보, , , , , , 
2012-11-18,상주보, , , , , , 
2012-11-17,상주보, , , , , , 
2012-11-16,상주보, , , , , , 
2012-11-15,상주보, , , , , , 
2012-11-14,상주보, , , , , , 
2012-11-13,상주보, , , , , , 
2012-11-12,상주보, , , , , , 
2012-11-11,상주보, , , , , , 
2012-11-10,상주보, , , , , , 
2012-11-09,상주보, , , , , , 
2012-11-08,상주보, , , , , , 
2012-11-07,상주보, , , , , , 
2012-11-06,상주보, , , , , , 
2012-11-05,상주보, , , , , , 
2012-11-04,상주보, , , , , , 
2012-11-03,상주보, , , , , , 
2012-11-02,상주보, , , , , , 
2012-11-01,상주보, , , , , , 
2012-10-31,상주보, , , , , , 
2012-10-30,상주보, , , , , , 
2012-10-29,상주보, , , , , , 
2012-10-28,상주보, , , , , , 
2012-10-27,상주보, , , , , , 
2012-10-26,상주보, , , , , , 
2012-10-25,상주보, , , , , , 
2012-10-24,상주보, , , , , , 
2012-10-23,상주보, , , , , , 
2012-10-22,상주보, , , , , , 
2012-10-21,상주보, , , , , , 
2012-10-20,상주보, , , , , , 
2012-10-19,상주보, , , , , , 
2012-10-18,상주보, , , , , , 
2012-10-17,상주보, , , , , , 
2012-10-16,상주보, , , , , , 
2012-10-15,상주보, , , , , , 
2012-10-14,상주보, , , , , , 
2012-10-13,상주보, , , , , , 
2012-10-12,상주보, , , , , , 
2012-10-11,상주보, , , , , , 
2012-10-10,상주보, , , , , , 
2012-10-09,상주보, , , , , , 
2012-10-08,상주보, , , , , , 
2012-10-07,상주보, , , , , , 
2012-10-06,상주보, , , , , , 
2012-10-05,상주보, , , , , , 
2012-10-04,상주보, , , , , , 
2012-10-03,상주보, , , , , , 
2012-10-02,상주보, , , , , , 
2012-10-01,상주보, , , , , , 
2012-09-30,상주보, , , , , , 
2012-09-29,상주보, , , , , , 
2012-09-28,상주보, , , , , , 
2012-09-27,상주보, , , , , , 
2012-09-26,상주보, , , , , , 
2012-09-25,상주보, , , , , , 
2012-09-24,상주보, , , , , , 
2012-09-23,상주보, , , , , , 
2012-09-22,상주보, , , , , , 
2012-09-21,상주보, , , , , , 
2012-09-20,상주보, , , , , , 
2012-09-19,상주보, , , , , , 
2012-09-18,상주보, , , , , , 
2012-09-17,상주보, , , , , , 
2012-09-16,상주보, , , , , , 
2012-09-15,상주보, , , , , , 
2012-09-14,상주보, , , , , , 
2012-09-13,상주보, , , , , , 
2012-09-12,상주보, , , , , , 
2012-09-11,상주보, , , , , , 
2012-09-10,상주보, , , , , , 
2012-09-09,상주보, , , , , , 
2012-09-08,상주보, , , , , , 
2012-09-07,상주보, , , , , , 
2012-09-06,상주보, , , , , , 
2012-09-05,상주보, , , , , , 
2012-09-04,상주보, , , , , , 
2012-09-03,상주보, , , , , , 
2012-09-02,상주보, , , , , , 
2012-09-01,상주보, , , , , , 
2012-08-31,상주보, , , , , , 
2012-08-30,상주보, , , , , , 
2012-08-29,상주보, , , , , , 
2012-08-28,상주보, , , , , , 
2012-08-27,상주보, , , , , , 
2012-08-26,상주보, , , , , , 
2012-08-25,상주보, , , , , , 
2012-08-24,상주보, , , , , , 
2012-08-23,상주보, , , , , , 
2012-08-22,상주보, , , , , , 
2012-08-21,상주보, , , , , , 
2012-08-20,상주보, , , , , , 
2012-08-19,상주보, , , , , , 
2012-08-18,상주보, , , , , , 
2012-08-17,상주보, , , , , , 
2012-08-16,상주보, , , , , , 
2012-08-15,상주보, , , , , , 
2012-08-14,상주보, , , , , , 
2012-08-13,상주보, , , , , , 
2012-08-12,상주보, , , , , , 
2012-08-11,상주보, , , , , , 
2012-08-10,상주보, , , , , , 
2012-08-09,상주보, , , , , , 
2012-08-08,상주보, , , , , , 
2012-08-07,상주보, , , , , , 
2012-08-06,상주보, , , , , , 
2012-08-05,상주보, , , , , , 
2012-08-04,상주보, , , , , , 
2012-08-03,상주보, , , , , , 
2012-08-02,상주보, , , , , , 
2012-08-01,상주보, , , , , , 
2012-07-31,상주보, , , , , , 
2012-07-30,상주보, , , , , , 
2012-07-29,상주보, , , , , , 
2012-07-28,상주보, , , , , , 
2012-07-27,상주보, , , , , , 
2012-07-26,상주보, , , , , , 
2012-07-25,상주보, , , , , , 
2012-07-24,상주보, , , , , , 
2012-07-23,상주보, , , , , , 
2012-07-22,상주보, , , , , , 
2012-07-21,상주보, , , , , , 
2012-07-20,상주보, , , , , , 
2012-07-19,상주보, , , , , , 
2012-07-18,상주보, , , , , , 
2012-07-17,상주보, , , , , , 
2012-07-16,상주보, , , , , , 
2012-07-15,상주보, , , , , , 
2012-07-14,상주보, , , , , , 
2012-07-13,상주보, , , , , , 
2012-07-12,상주보, , , , , , 
2012-07-11,상주보, , , , , , 
2012-07-10,상주보, , , , , , 
2012-07-09,상주보, , , , , , 
2012-07-08,상주보, , , , , , 
2012-07-07,상주보, , , , , , 
2012-07-06,상주보, , , , , , 
2012-07-05,상주보, , , , , , 
2012-07-04,상주보, , , , , , 
2012-07-03,상주보, , , , , , 
2012-07-02,상주보, , , , , , 
2012-07-01,상주보, , , , , , 
2012-06-30,상주보, , , , , , 
2012-06-29,상주보, , , , , , 
2012-06-28,상주보, , , , , , 
2012-06-27,상주보, , , , , , 
2012-06-26,상주보, , , , , , 
2012-06-25,상주보, , , , , , 
2012-06-24,상주보, , , , , , 
2012-06-23,상주보, , , , , , 
2012-06-22,상주보, , , , , , 
2012-06-21,상주보, , , , , , 
2012-06-20,상주보, , , , , , 
2012-06-19,상주보, , , , , , 
2012-06-18,상주보, , , , , , 
2012-06-17,상주보, , , , , , 
2012-06-16,상주보, , , , , , 
2012-06-15,상주보, , , , , , 
2012-06-14,상주보, , , , , , 
2012-06-13,상주보, , , , , , 
2012-06-12,상주보, , , , , , 
2012-06-11,상주보, , , , , , 
2012-06-10,상주보, , , , , , 
2012-06-09,상주보, , , , , , 
2012-06-08,상주보, , , , , , 
2012-06-07,상주보, , , , , , 
2012-06-06,상주보, , , , , , 
2012-06-05,상주보, , , , , , 
2012-06-04,상주보, , , , , , 
2012-06-03,상주보, , , , , , 
2012-06-02,상주보, , , , , , 
2012-06-01,상주보, , , , , , 
2012-05-31,상주보, , , , , , 
2012-05-30,상주보, , , , , , 
2012-05-29,상주보, , , , , , 
2012-05-28,상주보, , , , , , 
2012-05-27,상주보, , , , , , 
2012-05-26,상주보, , , , , , 
2012-05-25,상주보, , , , , , 
2012-05-24,상주보, , , , , , 
2012-05-23,상주보, , , , , , 
2012-05-22,상주보, , , , , , 
2012-05-21,상주보, , , , , , 
2012-05-20,상주보, , , , , , 
2012-05-19,상주보, , , , , , 
2012-05-18,상주보, , , , , , 
2012-05-17,상주보, , , , , , 
2012-05-16,상주보, , , , , , 
2012-05-15,상주보, , , , , , 
2012-05-14,상주보, , , , , , 
2012-05-13,상주보, , , , , , 
2012-05-12,상주보, , , , , , 
2012-05-11,상주보, , , , , , 
2012-05-10,상주보, , , , , , 
2012-05-09,상주보, , , , , , 
2012-05-08,상주보, , , , , , 
2012-05-07,상주보, , , , , , 
2012-05-06,상주보, , , , , , 
2012-05-05,상주보, , , , , , 
2012-05-04,상주보, , , , , , 
2012-05-03,상주보, , , , , , 
2012-05-02,상주보, , , , , , 
2012-05-01,상주보, , , , , , 
2012-04-30,상주보, , , , , , 
2012-04-29,상주보, , , , , , 
2012-04-28,상주보, , , , , , 
