년/월/일,측정소명_DAY,보상류수위_DAY,보하류수위_DAY,유입량_DAY,저수량_DAY,공용량_DAY,총방류량_DAY
2012-12-31,세종보, , , , , , 
2012-12-30,세종보, , , , , , 
2012-12-29,세종보, , , , , , 
2012-12-28,세종보, , , , , , 
2012-12-27,세종보, , , , , , 
2012-12-26,세종보, , , , , , 
2012-12-25,세종보, , , , , , 
2012-12-24,세종보, , , , , , 
2012-12-23,세종보, , , , , , 
2012-12-22,세종보, , , , , , 
2012-12-21,세종보, , , , , , 
2012-12-20,세종보, , , , , , 
2012-12-19,세종보, , , , , , 
2012-12-18,세종보, , , , , , 
2012-12-17,세종보, , , , , , 
2012-12-16,세종보, , , , , , 
2012-12-15,세종보, , , , , , 
2012-12-14,세종보, , , , , , 
2012-12-13,세종보, , , , , , 
2012-12-12,세종보, , , , , , 
2012-12-11,세종보, , , , , , 
2012-12-10,세종보, , , , , , 
2012-12-09,세종보, , , , , , 
2012-12-08,세종보, , , , , , 
2012-12-07,세종보, , , , , , 
2012-12-06,세종보, , , , , , 
2012-12-05,세종보, , , , , , 
2012-12-04,세종보, , , , , , 
2012-12-03,세종보, , , , , , 
2012-12-02,세종보, , , , , , 
2012-12-01,세종보, , , , , , 
2012-11-30,세종보, , , , , , 
2012-11-29,세종보, , , , , , 
2012-11-28,세종보, , , , , , 
2012-11-27,세종보, , , , , , 
2012-11-26,세종보, , , , , , 
2012-11-25,세종보, , , , , , 
2012-11-24,세종보, , , , , , 
2012-11-23,세종보, , , , , , 
2012-11-22,세종보, , , , , , 
2012-11-21,세종보, , , , , , 
2012-11-20,세종보, , , , , , 
2012-11-19,세종보, , , , , , 
2012-11-18,세종보, , , , , , 
2012-11-17,세종보, , , , , , 
2012-11-16,세종보, , , , , , 
2012-11-15,세종보, , , , , , 
2012-11-14,세종보, , , , , , 
2012-11-13,세종보, , , , , , 
2012-11-12,세종보, , , , , , 
2012-11-11,세종보, , , , , , 
2012-11-10,세종보, , , , , , 
2012-11-09,세종보, , , , , , 
2012-11-08,세종보, , , , , , 
2012-11-07,세종보, , , , , , 
2012-11-06,세종보, , , , , , 
2012-11-05,세종보, , , , , , 
2012-11-04,세종보, , , , , , 
2012-11-03,세종보, , , , , , 
2012-11-02,세종보, , , , , , 
2012-11-01,세종보, , , , , , 
2012-10-31,세종보, , , , , , 
2012-10-30,세종보, , , , , , 
2012-10-29,세종보, , , , , , 
2012-10-28,세종보, , , , , , 
2012-10-27,세종보, , , , , , 
2012-10-26,세종보, , , , , , 
2012-10-25,세종보, , , , , , 
2012-10-24,세종보, , , , , , 
2012-10-23,세종보, , , , , , 
2012-10-22,세종보, , , , , , 
2012-10-21,세종보, , , , , , 
2012-10-20,세종보, , , , , , 
2012-10-19,세종보, , , , , , 
2012-10-18,세종보, , , , , , 
2012-10-17,세종보, , , , , , 
2012-10-16,세종보, , , , , , 
2012-10-15,세종보, , , , , , 
2012-10-14,세종보, , , , , , 
2012-10-13,세종보, , , , , , 
2012-10-12,세종보, , , , , , 
2012-10-11,세종보, , , , , , 
2012-10-10,세종보, , , , , , 
2012-10-09,세종보, , , , , , 
2012-10-08,세종보, , , , , , 
2012-10-07,세종보, , , , , , 
2012-10-06,세종보, , , , , , 
2012-10-05,세종보, , , , , , 
2012-10-04,세종보, , , , , , 
2012-10-03,세종보, , , , , , 
2012-10-02,세종보, , , , , , 
2012-10-01,세종보, , , , , , 
2012-09-30,세종보, , , , , , 
2012-09-29,세종보, , , , , , 
2012-09-28,세종보, , , , , , 
2012-09-27,세종보, , , , , , 
2012-09-26,세종보, , , , , , 
2012-09-25,세종보, , , , , , 
