년/월/일,측정소명_DAY,보상류수위_DAY,보하류수위_DAY,유입량_DAY,저수량_DAY,공용량_DAY,총방류량_DAY
2012-12-31,여주보, , , , , , 
2012-12-30,여주보, , , , , , 
2012-12-29,여주보, , , , , , 
2012-12-28,여주보, , , , , , 
2012-12-27,여주보, , , , , , 
2012-12-26,여주보, , , , , , 
2012-12-25,여주보, , , , , , 
2012-12-24,여주보, , , , , , 
2012-12-23,여주보, , , , , , 
2012-12-22,여주보, , , , , , 
2012-12-21,여주보, , , , , , 
2012-12-20,여주보, , , , , , 
2012-12-19,여주보, , , , , , 
2012-12-18,여주보, , , , , , 
2012-12-17,여주보, , , , , , 
2012-12-16,여주보, , , , , , 
2012-12-15,여주보, , , , , , 
2012-12-14,여주보, , , , , , 
2012-12-13,여주보, , , , , , 
2012-12-12,여주보, , , , , , 
2012-12-11,여주보, , , , , , 
2012-12-10,여주보, , , , , , 
2012-12-09,여주보, , , , , , 
2012-12-08,여주보, , , , , , 
2012-12-07,여주보, , , , , , 
2012-12-06,여주보, , , , , , 
2012-12-05,여주보, , , , , , 
2012-12-04,여주보, , , , , , 
2012-12-03,여주보, , , , , , 
2012-12-02,여주보, , , , , , 
2012-12-01,여주보, , , , , , 
2012-11-30,여주보, , , , , , 
2012-11-29,여주보, , , , , , 
2012-11-28,여주보, , , , , , 
2012-11-27,여주보, , , , , , 
2012-11-26,여주보, , , , , , 
2012-11-25,여주보, , , , , , 
2012-11-24,여주보, , , , , , 
2012-11-23,여주보, , , , , , 
2012-11-22,여주보, , , , , , 
2012-11-21,여주보, , , , , , 
2012-11-20,여주보, , , , , , 
2012-11-19,여주보, , , , , , 
2012-11-18,여주보, , , , , , 
2012-11-17,여주보, , , , , , 
2012-11-16,여주보, , , , , , 
2012-11-15,여주보, , , , , , 
2012-11-14,여주보, , , , , , 
2012-11-13,여주보, , , , , , 
2012-11-12,여주보, , , , , , 
2012-11-11,여주보, , , , , , 
2012-11-10,여주보, , , , , , 
2012-11-09,여주보, , , , , , 
2012-11-08,여주보, , , , , , 
