년/월/일,측정소명_DAY,보상류수위_DAY,보하류수위_DAY,유입량_DAY,저수량_DAY,공용량_DAY,총방류량_DAY
2012-12-31,이포보, , , , , , 
2012-12-30,이포보, , , , , , 
2012-12-29,이포보, , , , , , 
2012-12-28,이포보, , , , , , 
2012-12-27,이포보, , , , , , 
2012-12-26,이포보, , , , , , 
2012-12-25,이포보, , , , , , 
2012-12-24,이포보, , , , , , 
2012-12-23,이포보, , , , , , 
2012-12-22,이포보, , , , , , 
2012-12-21,이포보, , , , , , 
2012-12-20,이포보, , , , , , 
2012-12-19,이포보, , , , , , 
2012-12-18,이포보, , , , , , 
2012-12-17,이포보, , , , , , 
2012-12-16,이포보, , , , , , 
2012-12-15,이포보, , , , , , 
2012-12-14,이포보, , , , , , 
2012-12-13,이포보, , , , , , 
2012-12-12,이포보, , , , , , 
2012-12-11,이포보, , , , , , 
2012-12-10,이포보, , , , , , 
2012-12-09,이포보, , , , , , 
2012-12-08,이포보, , , , , , 
2012-12-07,이포보, , , , , , 
2012-12-06,이포보, , , , , , 
2012-12-05,이포보, , , , , , 
2012-12-04,이포보, , , , , , 
2012-12-03,이포보, , , , , , 
2012-12-02,이포보, , , , , , 
2012-12-01,이포보, , , , , , 
2012-11-30,이포보, , , , , , 
2012-11-29,이포보, , , , , , 
2012-11-28,이포보, , , , , , 
2012-11-27,이포보, , , , , , 
2012-11-26,이포보, , , , , , 
2012-11-25,이포보, , , , , , 
2012-11-24,이포보, , , , , , 
2012-11-23,이포보, , , , , , 
2012-11-22,이포보, , , , , , 
2012-11-21,이포보, , , , , , 
2012-11-20,이포보, , , , , , 
2012-11-19,이포보, , , , , , 
2012-11-18,이포보, , , , , , 
2012-11-17,이포보, , , , , , 
2012-11-16,이포보, , , , , , 
2012-11-15,이포보, , , , , , 
2012-11-14,이포보, , , , , , 
2012-11-13,이포보, , , , , , 
2012-11-12,이포보, , , , , , 
2012-11-11,이포보, , , , , , 
2012-11-10,이포보, , , , , , 
2012-11-09,이포보, , , , , , 
2012-11-08,이포보, , , , , , 
2012-11-07,이포보, , , , , , 
2012-11-06,이포보, , , , , , 
2012-11-05,이포보, , , , , , 
2012-11-04,이포보, , , , , , 
2012-11-03,이포보, , , , , , 
2012-11-02,이포보, , , , , , 
2012-11-01,이포보, , , , , , 
2012-10-31,이포보, , , , , , 
2012-10-30,이포보, , , , , , 
2012-10-29,이포보, , , , , , 
2012-10-28,이포보, , , , , , 
2012-10-27,이포보, , , , , , 
2012-10-26,이포보, , , , , , 
2012-10-25,이포보, , , , , , 
2012-10-24,이포보, , , , , , 
2012-10-23,이포보, , , , , , 
2012-10-22,이포보, , , , , , 
2012-10-21,이포보, , , , , , 
2012-10-20,이포보, , , , , , 
2012-10-19,이포보, , , , , , 
2012-10-18,이포보, , , , , , 
2012-10-17,이포보, , , , , , 
2012-10-16,이포보, , , , , , 
2012-10-15,이포보, , , , , , 
2012-10-14,이포보, , , , , , 
2012-10-13,이포보, , , , , , 
2012-10-12,이포보, , , , , , 
2012-10-11,이포보, , , , , , 
2012-10-10,이포보, , , , , , 
2012-10-09,이포보, , , , , , 
2012-10-08,이포보, , , , , , 
2012-10-07,이포보, , , , , , 
2012-10-06,이포보, , , , , , 
2012-10-05,이포보, , , , , , 
