³â/¿ù/ÀÏ,ÃøÁ¤¼Ò¸í_DAY,ÇöÀç¼öÀ§_DAY,À¯ÀÔ·®_DAY,Àú¼ö·®_DAY,°ø¿ë·®_DAY,ÃÑ¹æ·ù·®_DAY
2012-12-31,ÆÈ´ç´ï,25.032,319.000,227.170,16.830,378.400
2012-12-30,ÆÈ´ç´ï,25.139,231.700,231.020,12.980,243.500
2012-12-29,ÆÈ´ç´ï,25.162,233.800,231.840,12.160,242.800
2012-12-28,ÆÈ´ç´ï,25.202,291.500,233.310,10.690,299.100
2012-12-27,ÆÈ´ç´ï,25.139,296.900,231.000,13.000,285.100
2012-12-26,ÆÈ´ç´ï,25.161,333.000,231.820,12.190,368.400
2012-12-25,ÆÈ´ç´ï,25.282,222.100,236.190,7.820,236.000
2012-12-24,ÆÈ´ç´ï,25.287,258.100,236.350,7.660,263.700
2012-12-23,ÆÈ´ç´ï,25.301,198.200,236.870,7.130,197.500
2012-12-22,ÆÈ´ç´ï,25.333,185.700,238.030,5.970,187.100
2012-12-21,ÆÈ´ç´ï,25.256,234.600,235.260,8.750,222.800
2012-12-20,ÆÈ´ç´ï,25.305,298.500,237.030,6.970,350.600
2012-12-19,ÆÈ´ç´ï,25.349,278.500,238.610,5.390,261.100
2012-12-18,ÆÈ´ç´ï,25.314,317.100,237.350,6.650,319.200
2012-12-17,ÆÈ´ç´ï,25.309,375.700,237.180,6.830,393.800
2012-12-16,ÆÈ´ç´ï,25.313,359.500,237.300,6.710,340.800
2012-12-15,ÆÈ´ç´ï,25.349,255.000,238.590,5.410,226.600
2012-12-14,ÆÈ´ç´ï,25.243,274.600,234.780,9.220,249.600
2012-12-13,ÆÈ´ç´ï,25.227,223.500,234.200,9.800,204.700
2012-12-12,ÆÈ´ç´ï,25.194,255.100,233.000,11.000,262.700
2012-12-11,ÆÈ´ç´ï,25.144,307.200,231.210,12.790,280.800
2012-12-10,ÆÈ´ç´ï,25.174,265.900,232.290,11.710,266.600
2012-12-09,ÆÈ´ç´ï,25.217,204.500,233.830,10.170,198.300
2012-12-08,ÆÈ´ç´ï,25.253,221.000,235.150,8.850,205.700
2012-12-07,ÆÈ´ç´ï,25.193,295.400,232.960,11.040,299.600
2012-12-06,ÆÈ´ç´ï,25.221,309.300,233.970,10.030,319.700
2012-12-05,ÆÈ´ç´ï,25.191,309.300,232.900,11.100,274.600
2012-12-04,ÆÈ´ç´ï,25.212,284.200,233.660,10.350,314.000
2012-12-03,ÆÈ´ç´ï,25.181,284.400,232.550,11.450,290.600
2012-12-02,ÆÈ´ç´ï,25.225,217.800,234.130,9.870,217.100
2012-12-01,ÆÈ´ç´ï,25.174,184.900,232.260,11.740,181.400
2012-11-30,ÆÈ´ç´ï,25.202,323.000,233.290,10.710,325.800
