,보방류량_DAY,보유입량_DAY,보자체유입량_DAY,보저수량_DAY,보저수위_DAY
2012-01-01,           0.00,           0.00,           0.00,0.0,3.15
2012-01-02,           0.00,           0.00,           0.00,0.0,3.15
2012-01-03,           0.00,           0.00,           0.00,0.0,3.32
2012-01-04,           0.00,           0.00,           0.00,0.0,3.25
2012-01-05,           0.00,           0.00,           0.00,0.0,3.24
2012-01-06,           0.00,           0.00,           0.00,0.0,3.28
2012-01-07,           0.00,           0.00,           0.00,0.0,3.33
2012-01-08,           0.00,           0.00,           0.00,0.0,3.43
2012-01-09,           0.00,           0.00,           0.00,0.0,3.35
2012-01-10,           0.00,           0.00,           0.00,0.0,3.24
2012-01-11,           0.00,           0.00,           0.00,0.0,3.3
2012-01-12,           0.00,           0.00,           0.00,0.0,3.25
2012-01-13,           0.00,           0.00,           0.00,0.0,3.33
2012-01-14,           0.00,           0.00,           0.00,0.0,3.32
2012-01-15,           0.00,           0.00,           0.00,0.0,3.36
2012-01-16,           0.00,           0.00,           0.00,0.0,3.28
2012-01-17,           0.00,           0.00,           0.00,0.0,3.32
2012-01-18,           0.00,           0.00,           0.00,0.0,3.43
2012-01-19,           0.00,           0.00,           0.00,0.0,3.35
2012-01-20,           0.00,           0.00,           0.00,0.0,3.38
2012-01-21,           0.00,           0.00,           0.00,0.0,3.43
2012-01-22,           0.00,           0.00,           0.00,0.0,3.22
2012-01-23,           0.00,           0.00,           0.00,0.0,3.32
2012-01-24,           0.00,           0.00,           0.00,0.0,3.46
2012-01-25,           0.00,           0.00,           0.00,0.0,3.28
2012-01-26,           0.00,           0.00,           0.00,0.0,3.25
2012-01-27,           0.00,           0.00,           0.00,0.0,4.07
2012-01-28,           0.00,           0.00,           0.00,0.0,4.53
2012-01-29,           0.00,           0.00,           0.00,0.0,4.72
2012-01-30,           0.00,           0.00,           0.00,0.0,4.71
2012-01-31,           0.00,           0.00,           0.00,0.0,4.63
2012-02-01,           0.00,           0.00,           0.00,0.0,4.6
2012-02-02,           0.00,           0.00,           0.00,0.0,4.51
