,보방류량_DAY,보유입량_DAY,보자체유입량_DAY,보저수량_DAY,보저수위_DAY
2012-01-01,0,0,0,0,7.4
2012-01-02,0,0,0,0,7.45
2012-01-03,0,0,0,0,7.43
2012-01-04,0,0,0,0,7.44
2012-01-05,0,0,0,0,7.63
2012-01-06,0,0,0,0,7.56
2012-01-07,0,0,0,0,7.62
2012-01-08,0,0,0,0,7.4
2012-01-09,0,0,0,0,7.34
2012-01-10,0,0,0,0,7.79
2012-01-11,0,0,0,0,7.63
2012-01-12,0,0,0,0,7.87
2012-01-13,0,0,0,0,7.67
2012-01-14,0,0,0,0,7.53
2012-01-15,0,0,0,0,7.29
2012-01-16,0,0,0,0,7.45
2012-01-17,0,0,0,0,7.6
2012-01-18,0,0,0,0,7.38
2012-01-19,0,0,0,0,7.39
2012-01-20,0,0,0,0,7.59
2012-01-21,0,0,0,0,7.22
2012-01-22,0,0,0,0,7.66
2012-01-23,0,0,0,0,7.72
2012-01-24,0,0,0,0,7.4
2012-01-25,0,0,0,0,7.22
2012-01-26,0,0,0,0,6.75
2012-01-27,0,0,0,0,4.91
2012-01-28,0,0,0,0,4.61
2012-01-29,0,0,0,0,4.69
2012-01-30,0,0,0,0,4.65
2012-01-31,0,0,0,0,4.59
2012-02-01,0,0,0,0,4.49
2012-02-02,0,0,0,0,4.42
2012-02-03,0,0,0,0,4.76
2012-02-04,0,0,0,0,5.17
2012-02-05,0,0,0,0,5.34
2012-02-06,0,0,0,0,6.18
2012-02-07,0,0,0,0,6.78
2012-02-08,0,0,0,0,7.47
2012-02-09,0,0,0,0,7.91
2012-02-10,0,570.96,570.96,49.33,8.54
2012-02-11,0,80.69,80.69,56.3,9.29
2012-02-12,0,12.19,12.19,57.36,9.4
2012-02-13,0,4.42,4.42,57.74,9.44
2012-02-14,0,19.94,19.94,59.46,9.62
2012-02-15,0,17.72,17.72,60.99,9.78
2012-02-16,0,9.97,9.97,61.85,9.87
2012-02-17,0,0,0,61.85,9.87
2012-02-18,0,0,-6.64,61.28,9.81
2012-02-19,0,0,-2.21,61.09,9.79
2012-02-20,0,0,-707.04,0,9.78
2012-02-21,0,719.21,719.21,62.14,9.9
2012-02-22,0,37.06,37.06,65.34,10.22
2012-02-23,0,0,-7.08,64.73,10.16
2012-02-24,0,0,-23.33,62.71,9.96
2012-02-25,0,0,-16.61,61.28,9.81
2012-02-26,0,0,-15.51,59.94,9.67
2012-02-27,0,19.94,19.94,61.66,9.85
2012-02-28,0,8.85,8.85,62.43,9.93
2012-02-29,0,19.57,19.57,64.12,10.1
2012-03-01,0,10.63,10.63,65.04,10.19
2012-03-02,0,0,-2.36,64.83,10.17
2012-03-03,0,0,-13,63.71,10.06
2012-03-04,0,8.28,8.28,64.42,10.13
2012-03-05,0,7.08,7.08,65.04,10.19
2012-03-06,0,0,-752.73,0,10.43
2012-03-07,0,782.27,782.27,67.59,10.44
2012-03-08,0,1.18,1.18,67.69,10.45
2012-03-09,0,0,-7.1,67.08,10.39
2012-03-10,0,14.16,14.16,68.3,10.51
2012-03-11,0,0,-8.24,67.59,10.44
2012-03-12,0,0,-5.91,67.08,10.39
2012-03-13,0,0,-10.63,66.16,10.3
2012-03-14,0,0,-13,65.04,10.19
2012-03-15,0,0,-5.9,64.53,10.14
2012-03-16,0,0,-25.39,62.33,9.92
2012-03-17,0,12.4,12.4,63.4,10.03
2012-03-18,0,0,-4.65,63,9.99
2012-03-19,0,0,-19.93,61.28,9.81
2012-03-20,0,11.08,11.08,62.24,9.91
2012-03-21,0,28.87,28.87,64.73,10.16
2012-03-22,0,40.16,40.16,68.2,10.5
2012-03-23,0,19.77,19.77,69.91,10.67
2012-03-24,0,0,-8.15,69.2,10.6
2012-03-25,0,0,-2.32,69,10.58
2012-03-26,0,1.16,1.16,69.1,10.59
2012-03-27,0,0,0,69.1,10.59
2012-03-28,0,17.44,17.44,70.61,10.74
2012-03-29,0,0,-22.1,68.7,10.55
2012-03-30,0,31.39,31.39,71.41,10.82
2012-03-31,0,0,-51.38,66.98,10.38
2012-04-01,0,32.78,32.78,69.81,10.66
2012-04-02,0,0,-104.25,60.8,9.76
2012-04-03,0,39.58,39.58,64.22,10.11
2012-04-04,0,0,-8.28,63.51,10.04
2012-04-05,0,57.82,57.82,68.5,10.53
2012-04-06,0,37.2,37.2,71.72,10.85
2012-04-07,0,0,-34.87,68.7,10.55
2012-04-08,0,25.58,25.58,70.91,10.77
2012-04-09,0,0,-91.56,63,9.99
2012-04-10,0,0,-7.74,62.33,9.92
2012-04-11,0,0,-22.15,60.42,9.72
2012-04-12,0,0,-8.87,59.65,9.64
2012-04-13,0,52.87,52.87,64.22,10.11
2012-04-14,0,0,-8.28,63.51,10.04
2012-04-15,0,0,-18.01,61.95,9.88
2012-04-16,0,49.91,49.91,66.26,10.31
2012-04-17,0,17.72,17.72,67.79,10.46
2012-04-18,0,0,-22.44,65.85,10.27
2012-04-19,0,0,-5.91,65.34,10.22
2012-04-20,0,0,-42.59,61.66,9.85
2012-04-21,0,0,-97.32,53.25,8.97
2012-04-22,0,218.32,218.32,72.12,10.89
2012-04-23,0,31.52,31.52,74.84,11.15
2012-04-24,0,0,-253,52.98,8.94
2012-04-25,0,39.56,39.56,56.4,9.3
2012-04-26,0,65.34,65.34,62.04,9.89
2012-04-27,0,51.17,51.17,66.47,10.33
2012-04-28,0,0,-82.18,59.37,9.61
2012-04-29,0,0,-9.97,58.5,9.52
2012-04-30,0,0,-57.59,53.53,9
2012-05-01,0,0,-40.13,50.06,8.62
2012-05-02,0,130.95,130.95,61.38,9.82
2012-05-03,0,0,-5.54,60.9,9.77
2012-05-04,0,0,-101.12,52.16,8.85
2012-05-05,0,0,-40.13,48.69,8.47
2012-05-06,0,1.07,1.07,48.78,8.48
2012-05-07,0,43.29,43.29,52.52,8.89
2012-05-08,0,0,-20.06,50.79,8.7
2012-05-09,0,63.8,63.8,56.3,9.29
2012-05-10,0,6.64,6.64,56.88,9.35
2012-05-11,0,0,-31.01,54.2,9.07
2012-05-12,0,12.18,12.18,55.25,9.18
2012-05-13,0,0,-69.56,49.24,8.53
2012-05-14,0,52.95,52.95,53.82,9.03
2012-05-15,0,16.61,16.61,55.25,9.18
2012-05-16,0,0,-15.5,53.91,9.04
2012-05-17,0,1.1,1.1,54.01,9.05
2012-05-18,0,0,-76.29,47.42,8.33
2012-05-19,0,31.68,31.68,50.15,8.63
2012-05-20,0,66.76,66.76,55.92,9.25
2012-05-21,0,0,-32.96,53.07,8.95
2012-05-22,0,14.14,14.14,54.29,9.08
2012-05-23,0,38.76,38.76,57.64,9.43
2012-05-24,0,0,-38.76,54.29,9.08
2012-05-25,0,0,-47.94,50.15,8.63
2012-05-26,0,9.5,9.5,50.97,8.72
2012-05-27,0,25.35,25.35,53.16,8.96
2012-05-28,0,41.89,41.89,56.78,9.34
2012-05-29,0,0,-11.08,55.83,9.24
2012-05-30,0,0,-12.19,54.77,9.13
2012-05-31,0,0,-40.8,51.25,8.75
2012-06-01,0,23.23,23.23,53.25,8.97
2012-06-02,0,0,-8.45,52.52,8.89
2012-06-03,0,0,-28.51,50.06,8.62
2012-06-04,0,8.45,8.45,50.79,8.7
2012-06-05,0,9.5,9.5,51.61,8.79
2012-06-06,0,0,-597.36,0,9.14
2012-06-07,0,580.46,482.11,50.15,8.63
2012-06-08,0,123.24,26.29,60.8,9.76
2012-06-09,0,0,-172.87,45.86,8.16
2012-06-10,0,0,-18.91,44.23,7.98
2012-06-11,0,59.04,59.04,49.33,8.54
2012-06-12,0,31.68,31.68,52.07,8.84
2012-06-13,0,4.23,4.23,52.43,8.88
2012-06-14,0,51.44,51.44,56.88,9.35
2012-06-15,0,0,-2.21,56.69,9.33
2012-06-16,0,0,-70.35,50.61,8.68
2012-06-17,0,83.63,83.63,57.83,9.45
2012-06-18,0,26.59,26.59,60.13,9.69
2012-06-19,0,0,-3.32,59.84,9.66
2012-06-20,0,0,-3.32,59.56,9.63
2012-06-21,0,52.79,52.79,64.12,10.1
2012-06-22,0,0,-3.55,63.81,10.07
2012-06-23,0,0,-40.38,60.32,9.71
2012-06-24,0,0,-75.31,53.82,9.03
2012-06-25,0,0,-13.94,52.61,8.95
2012-06-26,0,0,-24.34,50.51,8.72
