년/월/일,측정소명_DAY,수위_DAY,유량_DAY
2012-12-31,공주시(금강교),3.07, 
2012-12-30,공주시(금강교),3.08, 
2012-12-29,공주시(금강교),3.06, 
2012-12-28,공주시(금강교),3.08, 
2012-12-27,공주시(금강교),3.05, 
2012-12-26,공주시(금강교),3.08, 
2012-12-25,공주시(금강교),3.09, 
2012-12-24,공주시(금강교),3.07, 
2012-12-23,공주시(금강교),3.07, 
2012-12-22,공주시(금강교),3.11, 
2012-12-21,공주시(금강교),3.06, 
2012-12-20,공주시(금강교),3.06, 
2012-12-19,공주시(금강교),3.09, 
2012-12-18,공주시(금강교),3.02, 
2012-12-17,공주시(금강교),3.09, 
2012-12-16,공주시(금강교),3.15, 
2012-12-15,공주시(금강교),3.14, 
2012-12-14,공주시(금강교),3.06, 
2012-12-13,공주시(금강교),3.10, 
2012-12-12,공주시(금강교),3.07, 
2012-12-11,공주시(금강교),3.04, 
2012-12-10,공주시(금강교),3.03, 
2012-12-09,공주시(금강교),3.01, 
2012-12-08,공주시(금강교),2.92, 
2012-12-07,공주시(금강교),3.03, 
2012-12-06,공주시(금강교),3.39, 
2012-12-05,공주시(금강교),3.28, 
2012-12-04,공주시(금강교),3.22, 
2012-12-03,공주시(금강교),3.22, 
2012-12-02,공주시(금강교),3.23, 
2012-12-01,공주시(금강교),3.20, 
2012-11-30,공주시(금강교),3.22, 
2012-11-29,공주시(금강교),3.23, 
2012-11-28,공주시(금강교),3.24, 
2012-11-27,공주시(금강교),3.22, 
2012-11-26,공주시(금강교),3.20, 
2012-11-25,공주시(금강교),3.20, 
2012-11-24,공주시(금강교),3.23, 
2012-11-23,공주시(금강교),3.26, 
2012-11-22,공주시(금강교),3.26, 
2012-11-21,공주시(금강교),3.29, 
2012-11-20,공주시(금강교),3.35, 
2012-11-19,공주시(금강교),3.35, 
2012-11-18,공주시(금강교),3.37, 
2012-11-17,공주시(금강교),3.37, 
2012-11-16,공주시(금강교),3.37, 
2012-11-15,공주시(금강교),3.22, 
2012-11-14,공주시(금강교),2.37, 
2012-11-13,공주시(금강교),2.09, 
2012-11-12,공주시(금강교),2.06, 
2012-11-11,공주시(금강교),2.09, 
2012-11-10,공주시(금강교),2.04, 
2012-11-09,공주시(금강교),2.07, 
2012-11-08,공주시(금강교),2.06, 
2012-11-07,공주시(금강교),2.86, 
2012-11-06,공주시(금강교),3.22, 
2012-11-05,공주시(금강교),3.17, 
2012-11-04,공주시(금강교),3.18, 
2012-11-03,공주시(금강교),3.14, 
2012-11-02,공주시(금강교),3.13, 
2012-11-01,공주시(금강교),3.21, 
2012-10-31,공주시(금강교),3.15, 
2012-10-30,공주시(금강교),3.22, 
2012-10-29,공주시(금강교),3.32, 
2012-10-28,공주시(금강교),3.41, 
2012-10-27,공주시(금강교),3.34, 
2012-10-26,공주시(금강교),3.32, 
2012-10-25,공주시(금강교),3.32, 
2012-10-24,공주시(금강교),3.35, 
2012-10-23,공주시(금강교),3.52, 
2012-10-22,공주시(금강교),3.31, 
2012-10-21,공주시(금강교),3.19, 
2012-10-20,공주시(금강교),2.88, 
2012-10-19,공주시(금강교),2.37, 
2012-10-18,공주시(금강교),3.10, 
2012-10-17,공주시(금강교),3.19, 
2012-10-16,공주시(금강교),3.21, 
2012-10-15,공주시(금강교),3.15, 
2012-10-14,공주시(금강교),3.15, 
2012-10-13,공주시(금강교),3.21, 
2012-10-12,공주시(금강교),3.26, 
2012-10-11,공주시(금강교),3.34, 
2012-10-10,공주시(금강교),3.30, 
2012-10-09,공주시(금강교),3.28, 
2012-10-08,공주시(금강교),3.34, 
2012-10-07,공주시(금강교),3.28, 
2012-10-06,공주시(금강교),3.24, 
2012-10-05,공주시(금강교),3.17, 
2012-10-04,공주시(금강교),3.23, 
2012-10-03,공주시(금강교),3.32, 
2012-10-02,공주시(금강교),3.27, 
2012-10-01,공주시(금강교),3.34, 
2012-09-30,공주시(금강교),3.40, 
2012-09-29,공주시(금강교),3.41, 
2012-09-28,공주시(금강교),3.41, 
2012-09-27,공주시(금강교),3.14, 
2012-09-26,공주시(금강교),3.23, 
2012-09-25,공주시(금강교),3.42, 
2012-09-24,공주시(금강교),3.27, 
2012-09-23,공주시(금강교),3.36, 
2012-09-22,공주시(금강교),3.43, 
2012-09-21,공주시(금강교),3.33, 
2012-09-20,공주시(금강교),3.34, 
2012-09-19,공주시(금강교),3.47, 
2012-09-18,공주시(금강교),3.75, 
2012-09-17,공주시(금강교),3.75, 
2012-09-16,공주시(금강교),3.50, 
2012-09-15,공주시(금강교),3.52, 
2012-09-14,공주시(금강교),3.37, 
2012-09-13,공주시(금강교),3.33, 
2012-09-12,공주시(금강교),3.33, 
2012-09-11,공주시(금강교),3.40, 
2012-09-10,공주시(금강교),3.31, 
2012-09-09,공주시(금강교),3.26, 
2012-09-08,공주시(금강교),3.59, 
2012-09-07,공주시(금강교),3.54, 
2012-09-06,공주시(금강교),3.62, 
2012-09-05,공주시(금강교),3.89, 
2012-09-04,공주시(금강교),3.52, 
2012-09-03,공주시(금강교),3.39, 
2012-09-02,공주시(금강교),3.38, 
2012-09-01,공주시(금강교),3.51, 
2012-08-31,공주시(금강교),4.35, 
2012-08-30,공주시(금강교),3.89, 
2012-08-29,공주시(금강교),3.41, 
2012-08-28,공주시(금강교),3.15, 
2012-08-27,공주시(금강교),3.38, 
2012-08-26,공주시(금강교),3.39, 
2012-08-25,공주시(금강교),3.53, 
2012-08-24,공주시(금강교),3.51, 
2012-08-23,공주시(금강교),3.61, 
2012-08-22,공주시(금강교),3.59, 
2012-08-21,공주시(금강교),3.39, 
2012-08-20,공주시(금강교),3.29, 
2012-08-19,공주시(금강교),3.33, 
2012-08-18,공주시(금강교),3.35, 
2012-08-17,공주시(금강교),3.49, 
2012-08-16,공주시(금강교),4.38, 
2012-08-15,공주시(금강교),3.52, 
2012-08-14,공주시(금강교),3.33, 
2012-08-13,공주시(금강교),3.89, 
2012-08-12,공주시(금강교),3.27, 
2012-08-11,공주시(금강교),3.32, 
2012-08-10,공주시(금강교),3.35, 
2012-08-09,공주시(금강교),3.37, 
2012-08-08,공주시(금강교),3.11, 
2012-08-07,공주시(금강교),3.23, 
2012-08-06,공주시(금강교),3.16, 
2012-08-05,공주시(금강교),3.09, 
2012-08-04,공주시(금강교),3.13, 
2012-08-03,공주시(금강교),3.12, 
2012-08-02,공주시(금강교),3.08, 
2012-08-01,공주시(금강교),3.05, 
2012-07-31,공주시(금강교),3.08, 
2012-07-30,공주시(금강교),3.15, 
2012-07-29,공주시(금강교),3.05, 
2012-07-28,공주시(금강교),3.28, 
2012-07-27,공주시(금강교),3.09, 
2012-07-26,공주시(금강교),3.06, 
2012-07-25,공주시(금강교),3.11, 
2012-07-24,공주시(금강교),2.93, 
2012-07-23,공주시(금강교),3.21, 
2012-07-22,공주시(금강교),3.16, 
2012-07-21,공주시(금강교),3.23, 
2012-07-20,공주시(금강교),3.13, 
2012-07-19,공주시(금강교),3.12, 
2012-07-18,공주시(금강교),3.30, 
2012-07-17,공주시(금강교),3.27, 
2012-07-16,공주시(금강교),3.21, 
2012-07-15,공주시(금강교),3.50, 
2012-07-14,공주시(금강교),3.17, 
2012-07-13,공주시(금강교),3.08, 
2012-07-12,공주시(금강교),3.17, 
2012-07-11,공주시(금강교),2.99, 
2012-07-10,공주시(금강교),3.16, 
2012-07-09,공주시(금강교),3.10, 
2012-07-08,공주시(금강교),3.17, 
2012-07-07,공주시(금강교),3.38, 
2012-07-06,공주시(금강교),3.69, 
2012-07-05,공주시(금강교),3.14, 
2012-07-04,공주시(금강교),2.89, 
2012-07-03,공주시(금강교),3.01, 
2012-07-02,공주시(금강교),2.93, 
2012-07-01,공주시(금강교),3.30, 
2012-06-30,공주시(금강교),3.22, 
2012-06-29,공주시(금강교),3.23, 
2012-06-28,공주시(금강교),3.23, 
2012-06-27,공주시(금강교),3.16, 
2012-06-26,공주시(금강교),3.16, 
2012-06-25,공주시(금강교),3.16, 
2012-06-24,공주시(금강교),3.20, 
2012-06-23,공주시(금강교),3.25, 
2012-06-22,공주시(금강교),3.23, 
2012-06-21,공주시(금강교),3.23, 
2012-06-20,공주시(금강교),3.20, 
2012-06-19,공주시(금강교),3.18, 
2012-06-18,공주시(금강교),3.16, 
2012-06-17,공주시(금강교),3.14, 
2012-06-16,공주시(금강교),3.12, 
2012-06-15,공주시(금강교),3.09, 
2012-06-14,공주시(금강교),2.99, 
2012-06-13,공주시(금강교),2.98, 
2012-06-12,공주시(금강교),3.12, 
2012-06-11,공주시(금강교),3.25, 
2012-06-10,공주시(금강교),3.40, 
2012-06-09,공주시(금강교),3.52, 
2012-06-08,공주시(금강교),3.42, 
2012-06-07,공주시(금강교),3.47, 
2012-06-06,공주시(금강교),3.42, 
2012-06-05,공주시(금강교),3.28, 
2012-06-04,공주시(금강교),3.23, 
2012-06-03,공주시(금강교),3.20, 
2012-06-02,공주시(금강교),3.08, 
2012-06-01,공주시(금강교),3.26, 
2012-05-31,공주시(금강교),3.08, 
2012-05-30,공주시(금강교),2.98, 
2012-05-29,공주시(금강교),3.27, 
2012-05-28,공주시(금강교),3.24, 
2012-05-27,공주시(금강교),3.28, 
2012-05-26,공주시(금강교),3.31, 
2012-05-25,공주시(금강교),3.23, 
2012-05-24,공주시(금강교),2.74, 
2012-05-23,공주시(금강교),3.22, 
2012-05-22,공주시(금강교),3.13, 
2012-05-21,공주시(금강교),2.96, 
2012-05-20,공주시(금강교),2.88, 
2012-05-19,공주시(금강교),2.89, 
2012-05-18,공주시(금강교),2.95, 
2012-05-17,공주시(금강교),3.29, 
2012-05-16,공주시(금강교),3.10, 
2012-05-15,공주시(금강교),3.37, 
2012-05-14,공주시(금강교),3.35, 
2012-05-13,공주시(금강교),3.27, 
2012-05-12,공주시(금강교),2.83, 
2012-05-11,공주시(금강교),2.60, 
2012-05-10,공주시(금강교),2.93, 
2012-05-09,공주시(금강교),3.05, 
2012-05-08,공주시(금강교),2.99, 
2012-05-07,공주시(금강교),2.99, 
2012-05-06,공주시(금강교),3.20, 
2012-05-05,공주시(금강교),3.12, 
2012-05-04,공주시(금강교),3.01, 
2012-05-03,공주시(금강교),2.70, 
2012-05-02,공주시(금강교),2.61, 
2012-05-01,공주시(금강교),2.95, 
2012-04-30,공주시(금강교),3.12, 
2012-04-29,공주시(금강교),3.03, 
2012-04-28,공주시(금강교),3.17, 
