년/월/일,측정소명,수위_DAY,유량_DAY
2012-12-31,구미시(일선교),1.75,118.03
2012-12-30,구미시(일선교),1.76,109.78
2012-12-29,구미시(일선교),1.75,107.23
2012-12-28,구미시(일선교),1.73,103.60
2012-12-27,구미시(일선교),1.65,82.85
2012-12-26,구미시(일선교),1.65,95.58
2012-12-25,구미시(일선교),1.72,101.18
2012-12-24,구미시(일선교),1.77,110.35
2012-12-23,구미시(일선교),1.78,181.14
2012-12-22,구미시(일선교),1.80,105.94
2012-12-21,구미시(일선교),1.75,104.54
2012-12-20,구미시(일선교),1.81,125.19
2012-12-19,구미시(일선교),1.78,129.82
2012-12-18,구미시(일선교),1.79,186.39
2012-12-17,구미시(일선교),1.89,188.00
2012-12-16,구미시(일선교),1.88,152.61
2012-12-15,구미시(일선교),1.76,94.44
2012-12-14,구미시(일선교),1.74,85.04
2012-12-13,구미시(일선교),1.74,84.68
2012-12-12,구미시(일선교),1.67,79.81
2012-12-11,구미시(일선교),1.67,99.06
2012-12-10,구미시(일선교),1.79,114.48
2012-12-09,구미시(일선교),1.82,108.06
2012-12-08,구미시(일선교),1.81,112.53
2012-12-07,구미시(일선교),1.73,102.48
2012-12-06,구미시(일선교),1.73,146.73
2012-12-05,구미시(일선교),1.74,107.14
2012-12-04,구미시(일선교),1.78,170.25
2012-12-03,구미시(일선교),1.83,91.60
2012-12-02,구미시(일선교),1.82,90.70
2012-12-01,구미시(일선교),1.82,110.58
2012-11-30,구미시(일선교),1.82,79.18
2012-11-29,구미시(일선교),1.61,60.04
2012-11-28,구미시(일선교),1.44,69.92
2012-11-27,구미시(일선교),1.45,111.34
2012-11-26,구미시(일선교),1.63,178.25
2012-11-25,구미시(일선교),1.79,109.29
2012-11-24,구미시(일선교),1.73,82.42
2012-11-23,구미시(일선교),1.61,95.04
2012-11-22,구미시(일선교),1.51,95.64
2012-11-21,구미시(일선교),1.34,102.45
2012-11-20,구미시(일선교),1.45,135.70
2012-11-19,구미시(일선교),1.75,137.90
2012-11-18,구미시(일선교),1.81,126.29
2012-11-17,구미시(일선교),1.82,156.53
2012-11-16,구미시(일선교),1.83,112.39
2012-11-15,구미시(일선교),1.82,141.49
2012-11-14,구미시(일선교),1.80,168.46
2012-11-13,구미시(일선교),1.81,180.93
2012-11-12,구미시(일선교),1.79,194.99
2012-11-11,구미시(일선교),1.77,111.21
2012-11-10,구미시(일선교),1.73,88.36
2012-11-09,구미시(일선교),1.78,98.09
2012-11-08,구미시(일선교),1.74,106.75
2012-11-07,구미시(일선교),1.74,136.35
2012-11-06,구미시(일선교),1.73,97.14
2012-11-05,구미시(일선교),1.74,84.81
2012-11-04,구미시(일선교),1.77,88.63
2012-11-03,구미시(일선교),1.75,82.25
2012-11-02,구미시(일선교),1.77,100.52
2012-11-01,구미시(일선교),1.77,159.41
2012-10-31,구미시(일선교),1.77,107.48
2012-10-30,구미시(일선교),1.80,111.88
2012-10-29,구미시(일선교),1.84,126.07
2012-10-28,구미시(일선교),1.83,138.39
2012-10-27,구미시(일선교),1.80,125.07
2012-10-26,구미시(일선교),1.82,112.13
2012-10-25,구미시(일선교),1.84,107.48
2012-10-24,구미시(일선교),1.84,140.43
2012-10-23,구미시(일선교),1.75,175.39
2012-10-22,구미시(일선교),1.76,103.38
2012-10-21,구미시(일선교),1.75,92.84
2012-10-20,구미시(일선교),1.78,104.95
2012-10-19,구미시(일선교),1.63,57.69
2012-10-18,구미시(일선교),1.51,112.43
2012-10-17,구미시(일선교),1.75,135.03
2012-10-16,구미시(일선교),1.77,118.41
2012-10-15,구미시(일선교),1.73,90.25
