년/월/일,측정소명,수위_DAY,유량_DAY
2012-12-31,김해시(월촌리), , 
2012-12-30,김해시(월촌리), , 
2012-12-29,김해시(월촌리), , 
2012-12-28,김해시(월촌리), , 
2012-12-27,김해시(월촌리), , 
2012-12-26,김해시(월촌리), , 
2012-12-25,김해시(월촌리), , 
2012-12-24,김해시(월촌리), , 
2012-12-23,김해시(월촌리), , 
2012-12-22,김해시(월촌리), , 
2012-12-21,김해시(월촌리), , 
2012-12-20,김해시(월촌리), , 
2012-12-19,김해시(월촌리), , 
2012-12-18,김해시(월촌리), , 
2012-12-17,김해시(월촌리), , 
2012-12-16,김해시(월촌리), , 
2012-12-15,김해시(월촌리), , 
2012-12-14,김해시(월촌리), , 
2012-12-13,김해시(월촌리), , 
2012-12-12,김해시(월촌리), , 
2012-12-11,김해시(월촌리), , 
2012-12-10,김해시(월촌리), , 
2012-12-09,김해시(월촌리), , 
2012-12-08,김해시(월촌리), , 
2012-12-07,김해시(월촌리), , 
2012-12-06,김해시(월촌리), , 
2012-12-05,김해시(월촌리), , 
2012-12-04,김해시(월촌리), , 
2012-12-03,김해시(월촌리), , 
2012-12-02,김해시(월촌리), , 
2012-12-01,김해시(월촌리), , 
2012-11-30,김해시(월촌리), , 
2012-11-29,김해시(월촌리), , 
2012-11-28,김해시(월촌리), , 
2012-11-27,김해시(월촌리), , 
2012-11-26,김해시(월촌리), , 
2012-11-25,김해시(월촌리), , 
2012-11-24,김해시(월촌리), , 
2012-11-23,김해시(월촌리), , 
2012-11-22,김해시(월촌리), , 
2012-11-21,김해시(월촌리), , 
2012-11-20,김해시(월촌리), , 
2012-11-19,김해시(월촌리), , 
2012-11-18,김해시(월촌리), , 
2012-11-17,김해시(월촌리), , 
2012-11-16,김해시(월촌리), , 
2012-11-15,김해시(월촌리), , 
2012-11-14,김해시(월촌리), , 
2012-11-13,김해시(월촌리), , 
2012-11-12,김해시(월촌리), , 
2012-11-11,김해시(월촌리), , 
2012-11-10,김해시(월촌리), , 
2012-11-09,김해시(월촌리), , 
2012-11-08,김해시(월촌리), , 
2012-11-07,김해시(월촌리), , 
2012-11-06,김해시(월촌리), , 
2012-11-05,김해시(월촌리), , 
2012-11-04,김해시(월촌리), , 
2012-11-03,김해시(월촌리), , 
2012-11-02,김해시(월촌리), , 
2012-11-01,김해시(월촌리), , 
2012-10-31,김해시(월촌리), , 
2012-10-30,김해시(월촌리), , 
2012-10-29,김해시(월촌리), , 
2012-10-28,김해시(월촌리), , 
2012-10-27,김해시(월촌리), , 
2012-10-26,김해시(월촌리), , 
2012-10-25,김해시(월촌리), , 
2012-10-24,김해시(월촌리), , 
2012-10-23,김해시(월촌리), , 
2012-10-22,김해시(월촌리), , 
2012-10-21,김해시(월촌리), , 
2012-10-20,김해시(월촌리), , 
2012-10-19,김해시(월촌리), , 
2012-10-18,김해시(월촌리), , 
2012-10-17,김해시(월촌리), , 
2012-10-16,김해시(월촌리), , 
2012-10-15,김해시(월촌리), , 
2012-10-14,김해시(월촌리), , 
2012-10-13,김해시(월촌리), , 
2012-10-12,김해시(월촌리), , 
2012-10-11,김해시(월촌리), , 
2012-10-10,김해시(월촌리), , 
2012-10-09,김해시(월촌리), , 
2012-10-08,김해시(월촌리), , 
2012-10-07,김해시(월촌리), , 
2012-10-06,김해시(월촌리), , 
2012-10-05,김해시(월촌리), , 
2012-10-04,김해시(월촌리), , 
2012-10-03,김해시(월촌리), , 
2012-10-02,김해시(월촌리), , 
2012-10-01,김해시(월촌리), , 
2012-09-30,김해시(월촌리), , 
2012-09-29,김해시(월촌리), , 
2012-09-28,김해시(월촌리), , 
2012-09-27,김해시(월촌리), , 
2012-09-26,김해시(월촌리), , 
2012-09-25,김해시(월촌리), , 
2012-09-24,김해시(월촌리), , 
2012-09-23,김해시(월촌리), , 
2012-09-22,김해시(월촌리), , 
2012-09-21,김해시(월촌리), , 
2012-09-20,김해시(월촌리),1.86,1920.48
2012-09-19,김해시(월촌리),3.19,5758.48
2012-09-18,김해시(월촌리),4.93,13917.63
2012-09-17,김해시(월촌리),3.37,7125.57
2012-09-16,김해시(월촌리),1.48,1086.48
2012-09-15,김해시(월촌리),1.33,767.69
2012-09-14,김해시(월촌리),1.32,762.75
2012-09-13,김해시(월촌리),1.34,814.43
2012-09-12,김해시(월촌리),1.27,627.47
2012-09-11,김해시(월촌리),1.46,1071.31
2012-09-10,김해시(월촌리),1.28,645.02
2012-09-09,김해시(월촌리),1.59,1322.84
2012-09-08,김해시(월촌리),1.50,1134.98
2012-09-07,김해시(월촌리),1.28,668.42
2012-09-06,김해시(월촌리),1.34,781.31
2012-09-05,김해시(월촌리),1.36,850.09
2012-09-04,김해시(월촌리),1.36,849.14
2012-09-03,김해시(월촌리),1.31,753.83
2012-09-02,김해시(월촌리),1.27,644.96
2012-09-01,김해시(월촌리),1.34,791.09
2012-08-31,김해시(월촌리),1.60,1353.27
2012-08-30,김해시(월촌리),1.48,1081.20
2012-08-29,김해시(월촌리),1.53,1206.86
2012-08-28,김해시(월촌리),1.57,1269.30
2012-08-27,김해시(월촌리),1.42,979.72
2012-08-26,김해시(월촌리),1.46,1048.80
2012-08-25,김해시(월촌리),2.24,2799.68
2012-08-24,김해시(월촌리),2.38,3141.11
2012-08-23,김해시(월촌리),1.45,1035.00
2012-08-22,김해시(월촌리),1.31,737.40
2012-08-21,김해시(월촌리),1.28,673.76
2012-08-20,김해시(월촌리),1.37,890.54
2012-08-19,김해시(월촌리),1.27,657.46
2012-08-18,김해시(월촌리),1.37,863.61
2012-08-17,김해시(월촌리),1.29,687.89
2012-08-16,김해시(월촌리),1.43,985.83
2012-08-15,김해시(월촌리),1.27,636.86
2012-08-14,김해시(월촌리),1.42,983.47
2012-08-13,김해시(월촌리),1.47,1088.64
2012-08-12,김해시(월촌리),1.34,821.54
2012-08-11,김해시(월촌리),1.38,915.29
2012-08-10,김해시(월촌리),1.37,903.75
2012-08-09,김해시(월촌리),1.35,854.11
2012-08-08,김해시(월촌리),1.36,878.78
2012-08-07,김해시(월촌리),1.39,938.60
2012-08-06,김해시(월촌리),1.36,870.88
2012-08-05,김해시(월촌리),1.37,886.75
2012-08-04,김해시(월촌리),1.41,991.43
2012-08-03,김해시(월촌리),1.40,970.18
2012-08-02,김해시(월촌리),1.40,957.65
2012-08-01,김해시(월촌리),1.36,863.97
2012-07-31,김해시(월촌리),1.37,900.11
2012-07-30,김해시(월촌리),1.45,1068.04
2012-07-29,김해시(월촌리),1.44,1045.26
2012-07-28,김해시(월촌리),1.41,978.83
2012-07-27,김해시(월촌리),1.38,923.34
2012-07-26,김해시(월촌리),1.40,952.64
2012-07-25,김해시(월촌리),1.35,846.81
2012-07-24,김해시(월촌리),1.38,883.30
2012-07-23,김해시(월촌리),1.39,928.35
2012-07-22,김해시(월촌리),1.36,829.24
2012-07-21,김해시(월촌리),1.39,920.84
2012-07-20,김해시(월촌리),1.41,958.69
2012-07-19,김해시(월촌리),1.39,899.08
