년/월/일,측정소명_DAY,수위_DAY,유량_DAY
2012-12-31,나주시(나주대교),2.35,-17.40
2012-12-30,나주시(나주대교),2.36,-39.81
2012-12-29,나주시(나주대교),2.34,-68.44
2012-12-28,나주시(나주대교),2.32,-40.24
2012-12-27,나주시(나주대교),2.33,12.32
2012-12-26,나주시(나주대교),2.34,-62.75
2012-12-25,나주시(나주대교),2.34,-32.73
2012-12-24,나주시(나주대교),2.32,3.17
2012-12-23,나주시(나주대교),2.18,11.95
2012-12-22,나주시(나주대교),2.25,79.13
2012-12-21,나주시(나주대교),2.35,80.91
2012-12-20,나주시(나주대교),2.34,14.50
2012-12-19,나주시(나주대교),2.31,-32.10
2012-12-18,나주시(나주대교),2.13,2.33
2012-12-17,나주시(나주대교),2.15,-64.32
2012-12-16,나주시(나주대교),2.07,-0.48
2012-12-15,나주시(나주대교),2.11,71.65
2012-12-14,나주시(나주대교),2.31,63.05
2012-12-13,나주시(나주대교),2.27,37.40
2012-12-12,나주시(나주대교),2.15,51.03
2012-12-11,나주시(나주대교),2.11,-19.93
2012-12-10,나주시(나주대교),2.10,-74.77
2012-12-09,나주시(나주대교),2.14,76.29
2012-12-08,나주시(나주대교),2.14,21.69
2012-12-07,나주시(나주대교),2.12,-5.35
2012-12-06,나주시(나주대교),2.28,17.36
2012-12-05,나주시(나주대교),2.13,19.05
2012-12-04,나주시(나주대교),2.12,83.07
2012-12-03,나주시(나주대교),2.11,114.53
2012-12-02,나주시(나주대교),2.10,-70.49
2012-12-01,나주시(나주대교),2.09,26.34
2012-11-30,나주시(나주대교),2.10,57.10
2012-11-29,나주시(나주대교),2.11,28.26
2012-11-28,나주시(나주대교),2.11,17.45
2012-11-27,나주시(나주대교),2.14,-10.06
2012-11-26,나주시(나주대교),2.11,-2.84
2012-11-25,나주시(나주대교),2.11,13.54
2012-11-24,나주시(나주대교),2.10,32.77
2012-11-23,나주시(나주대교),2.14,44.50
2012-11-22,나주시(나주대교),2.11,-54.15
2012-11-21,나주시(나주대교),2.09,-81.99
2012-11-20,나주시(나주대교),2.10,-65.71
2012-11-19,나주시(나주대교),2.11,46.98
2012-11-18,나주시(나주대교),2.12,-18.19
2012-11-17,나주시(나주대교),2.14,5.06
2012-11-16,나주시(나주대교),2.10,4.46
2012-11-15,나주시(나주대교),2.11,40.69
2012-11-14,나주시(나주대교),2.10,23.33
2012-11-13,나주시(나주대교),2.15,15.71
2012-11-12,나주시(나주대교),2.12,22.42
2012-11-11,나주시(나주대교),2.14,19.85
2012-11-10,나주시(나주대교),2.09,-3.27
2012-11-09,나주시(나주대교),2.07,-2.64
2012-11-08,나주시(나주대교),2.09,16.46
2012-11-07,나주시(나주대교),1.94,-25.22
2012-11-06,나주시(나주대교),2.11,-9.15
2012-11-05,나주시(나주대교),2.09,-23.72
2012-11-04,나주시(나주대교),2.10,-2.97
2012-11-03,나주시(나주대교),2.10,-33.79
2012-11-02,나주시(나주대교),2.15,17.71
2012-11-01,나주시(나주대교),2.11,6.32
2012-10-31,나주시(나주대교),2.12,2.35
2012-10-30,나주시(나주대교),2.13,-36.42
2012-10-29,나주시(나주대교),2.24,-17.68
2012-10-28,나주시(나주대교),2.36,31.79
2012-10-27,나주시(나주대교),2.25,13.09
2012-10-26,나주시(나주대교),2.12,-20.70
2012-10-25,나주시(나주대교),2.12,-36.92
2012-10-24,나주시(나주대교),2.12,2.17
2012-10-23,나주시(나주대교),2.23,13.84
2012-10-22,나주시(나주대교),2.21,78.39
2012-10-21,나주시(나주대교),2.14,10.25
2012-10-20,나주시(나주대교),2.13,-6.47
2012-10-19,나주시(나주대교),2.13,-5.01
2012-10-18,나주시(나주대교),2.14,-3.96
2012-10-17,나주시(나주대교),2.17,11.11
2012-10-16,나주시(나주대교),2.23,24.48
2012-10-15,나주시(나주대교),2.13,-6.07
2012-10-14,나주시(나주대교),2.12,-2.92
2012-10-13,나주시(나주대교),2.14, 
2012-10-12,나주시(나주대교),2.15,-6.16
2012-10-11,나주시(나주대교),2.17,1.22
2012-10-10,나주시(나주대교),2.18,13.32
2012-10-09,나주시(나주대교),2.19,23.83
2012-10-08,나주시(나주대교),2.13,19.62
2012-10-07,나주시(나주대교),2.11,-1.51
2012-10-06,나주시(나주대교),2.16,20.50
2012-10-05,나주시(나주대교),2.19,8.78
2012-10-04,나주시(나주대교),2.19,21.84
2012-10-03,나주시(나주대교),2.19,-0.31
2012-10-02,나주시(나주대교),2.21,13.99
2012-10-01,나주시(나주대교),2.22,20.01
2012-09-30,나주시(나주대교),2.24,22.23
2012-09-29,나주시(나주대교),2.28,18.70
2012-09-28,나주시(나주대교),2.28,16.05
2012-09-27,나주시(나주대교),2.28,4.79
2012-09-26,나주시(나주대교),2.26,12.38
2012-09-25,나주시(나주대교),2.05,1.44
2012-09-24,나주시(나주대교),2.06,30.94
2012-09-23,나주시(나주대교),2.06,49.56
2012-09-22,나주시(나주대교),2.19,50.09
2012-09-21,나주시(나주대교),1.86,112.69
2012-09-20,나주시(나주대교),2.07,137.78
2012-09-19,나주시(나주대교),2.24,263.71
2012-09-18,나주시(나주대교),2.31,530.80
2012-09-17,나주시(나주대교),2.21,997.67
2012-09-16,나주시(나주대교),0.52,129.91
2012-09-15,나주시(나주대교),0.65,70.06
2012-09-14,나주시(나주대교),1.37,128.42
2012-09-13,나주시(나주대교),1.62,114.73
2012-09-12,나주시(나주대교),1.84,97.22
2012-09-11,나주시(나주대교),2.09,178.34
2012-09-10,나주시(나주대교),2.12,199.00
2012-09-09,나주시(나주대교),0.98,244.53
2012-09-08,나주시(나주대교),2.48,1072.53
2012-09-07,나주시(나주대교),0.69,104.14
2012-09-06,나주시(나주대교),1.78,178.99
2012-09-05,나주시(나주대교),2.35,383.43
2012-09-04,나주시(나주대교),2.26,135.65
2012-09-03,나주시(나주대교),0.99,113.99
2012-09-02,나주시(나주대교),0.69,129.00
2012-09-01,나주시(나주대교),0.79,220.90
2012-08-31,나주시(나주대교),2.28,673.99
2012-08-30,나주시(나주대교),3.03,1441.39
2012-08-29,나주시(나주대교),1.76,414.72
2012-08-28,나주시(나주대교),2.58,1027.91
2012-08-27,나주시(나주대교),0.87,111.63
2012-08-26,나주시(나주대교),1.25,132.52
2012-08-25,나주시(나주대교),1.87,547.48
2012-08-24,나주시(나주대교),2.02,642.42
2012-08-23,나주시(나주대교),1.90,95.85
2012-08-22,나주시(나주대교),2.17,132.25
2012-08-21,나주시(나주대교),2.34,38.22
2012-08-20,나주시(나주대교),2.32,29.11
2012-08-19,나주시(나주대교),2.26,43.54
2012-08-18,나주시(나주대교),2.30,28.83
2012-08-17,나주시(나주대교),1.90,75.78
2012-08-16,나주시(나주대교),1.86,234.41
2012-08-15,나주시(나주대교),1.69,38.84
2012-08-14,나주시(나주대교),1.92,85.93
2012-08-13,나주시(나주대교),2.05,61.18
2012-08-12,나주시(나주대교),2.22,67.45
2012-08-11,나주시(나주대교),2.20,16.24
2012-08-10,나주시(나주대교),2.03, 
2012-08-09,나주시(나주대교),2.07,12.43
2012-08-08,나주시(나주대교),2.07,15.17
2012-08-07,나주시(나주대교),2.39,51.70
2012-08-06,나주시(나주대교),2.27,28.47
2012-08-05,나주시(나주대교),2.24,-6.59
2012-08-04,나주시(나주대교),2.21,9.48
2012-08-03,나주시(나주대교),2.16,5.08
2012-08-02,나주시(나주대교),2.19,6.88
2012-08-01,나주시(나주대교),2.16,-9.09
2012-07-31,나주시(나주대교),2.17,4.12
2012-07-30,나주시(나주대교),2.18,17.44
2012-07-29,나주시(나주대교),2.19,28.31
2012-07-28,나주시(나주대교),2.17,21.76
2012-07-27,나주시(나주대교),2.13,14.85
2012-07-26,나주시(나주대교),2.04,13.11
2012-07-25,나주시(나주대교),2.21,22.59
2012-07-24,나주시(나주대교),2.14,21.38
2012-07-23,나주시(나주대교),2.17,34.36
2012-07-22,나주시(나주대교),2.00,50.21
2012-07-21,나주시(나주대교),2.12,79.15
2012-07-20,나주시(나주대교),2.07,207.55
2012-07-19,나주시(나주대교),2.10,531.04
2012-07-18,나주시(나주대교),1.69,128.72
2012-07-17,나주시(나주대교),1.95,133.84
2012-07-16,나주시(나주대교),2.13,166.09
2012-07-15,나주시(나주대교),2.93,942.14
2012-07-14,나주시(나주대교),2.18,183.51
2012-07-13,나주시(나주대교),2.15,61.96
2012-07-12,나주시(나주대교),2.32,148.92
2012-07-11,나주시(나주대교),2.50,308.57
2012-07-10,나주시(나주대교),2.23,-1.28
2012-07-09,나주시(나주대교),2.25,-16.94
2012-07-08,나주시(나주대교),2.37,0.97
2012-07-07,나주시(나주대교),2.28,92.53
2012-07-06,나주시(나주대교),2.34, 
2012-07-05,나주시(나주대교),2.32, 
2012-07-04,나주시(나주대교),2.24,17.14
2012-07-03,나주시(나주대교),2.21,23.12
2012-07-02,나주시(나주대교),2.28,18.58
2012-07-01,나주시(나주대교),2.38,40.65
2012-06-30,나주시(나주대교),2.24,41.75
2012-06-29,나주시(나주대교),2.12,12.90
2012-06-28,나주시(나주대교),2.09,19.56
2012-06-27,나주시(나주대교),2.10,7.96
2012-06-26,나주시(나주대교),2.10,7.07
2012-06-25,나주시(나주대교),2.12,14.41
2012-06-24,나주시(나주대교),2.13,5.30
2012-06-23,나주시(나주대교),2.13,12.92
2012-06-22,나주시(나주대교),2.13,18.38
2012-06-21,나주시(나주대교),2.16,8.13
2012-06-20,나주시(나주대교),2.22,20.30
2012-06-19,나주시(나주대교),2.27,7.38
2012-06-18,나주시(나주대교),2.11,17.48
2012-06-17,나주시(나주대교),2.10,4.78
2012-06-16,나주시(나주대교),2.08,7.22
2012-06-15,나주시(나주대교),2.05,11.69
2012-06-14,나주시(나주대교),2.21,22.82
2012-06-13,나주시(나주대교),2.01,23.04
2012-06-12,나주시(나주대교),2.22,22.09
2012-06-11,나주시(나주대교),2.22,10.16
2012-06-10,나주시(나주대교),2.17,9.51
2012-06-09,나주시(나주대교),2.18,23.43
2012-06-08,나주시(나주대교),2.15,11.19
2012-06-07,나주시(나주대교),2.11,18.11
2012-06-06,나주시(나주대교),2.17,5.78
2012-06-05,나주시(나주대교),2.17,-11.25
2012-06-04,나주시(나주대교),2.18,17.29
2012-06-03,나주시(나주대교),2.21,9.04
2012-06-02,나주시(나주대교),2.15,8.61
2012-06-01,나주시(나주대교),1.84,3.57
2012-05-31,나주시(나주대교),1.63,-16.40
2012-05-30,나주시(나주대교),1.37,61.54
2012-05-29,나주시(나주대교),0.97,10.19
2012-05-28,나주시(나주대교),0.70,7.26
2012-05-27,나주시(나주대교),0.42,10.04
2012-05-26,나주시(나주대교),0.13,7.96
2012-05-25,나주시(나주대교),-0.17,9.43
2012-05-24,나주시(나주대교),-0.33, 
2012-05-23,나주시(나주대교),-0.14,15.95
2012-05-22,나주시(나주대교),0.16,12.63
2012-05-21,나주시(나주대교),0.18,16.45
2012-05-20,나주시(나주대교),0.52,12.80
