년/월/일,측정소명_DAY,수위_DAY,유량_DAY
2012-12-31,나주시(회진리),5.31,24.45
2012-12-30,나주시(회진리),5.31,9.36
2012-12-29,나주시(회진리),5.30,11.86
2012-12-28,나주시(회진리),5.28,40.38
2012-12-27,나주시(회진리),5.29,57.23
2012-12-26,나주시(회진리),5.30,54.93
2012-12-25,나주시(회진리),5.30,34.78
2012-12-24,나주시(회진리),5.27,32.28
2012-12-23,나주시(회진리),5.14,0.14
2012-12-22,나주시(회진리),5.21,26.37
2012-12-21,나주시(회진리),5.31,41.44
2012-12-20,나주시(회진리),5.30,48.11
2012-12-19,나주시(회진리),5.27,33.46
2012-12-18,나주시(회진리),5.09,25.15
2012-12-17,나주시(회진리),5.10,66.01
2012-12-16,나주시(회진리),5.02,53.30
2012-12-15,나주시(회진리),5.06,63.02
2012-12-14,나주시(회진리),5.27,42.14
2012-12-13,나주시(회진리),5.23,11.44
2012-12-12,나주시(회진리),5.11,29.47
2012-12-11,나주시(회진리),5.07,9.20
2012-12-10,나주시(회진리),5.06,30.54
2012-12-09,나주시(회진리),5.10,55.19
2012-12-08,나주시(회진리),5.09,51.61
2012-12-07,나주시(회진리),5.08,31.93
2012-12-06,나주시(회진리),5.23,47.22
2012-12-05,나주시(회진리),5.09,39.93
2012-12-04,나주시(회진리),5.08,37.79
2012-12-03,나주시(회진리),5.07,19.76
2012-12-02,나주시(회진리),5.06,36.99
2012-12-01,나주시(회진리),5.06,27.87
2012-11-30,나주시(회진리),5.06,-3.28
2012-11-29,나주시(회진리),5.07,2.22
2012-11-28,나주시(회진리),5.07,49.53
2012-11-27,나주시(회진리),5.10,29.26
2012-11-26,나주시(회진리),5.08,26.43
2012-11-25,나주시(회진리),5.07,24.94
2012-11-24,나주시(회진리),5.06,30.80
2012-11-23,나주시(회진리),5.10,71.08
2012-11-22,나주시(회진리),5.07,6.65
2012-11-21,나주시(회진리),5.05,10.06
2012-11-20,나주시(회진리),5.06,2.64
2012-11-19,나주시(회진리),5.07,10.16
2012-11-18,나주시(회진리),5.08,25.10
2012-11-17,나주시(회진리),5.10,34.22
2012-11-16,나주시(회진리),5.06,16.14
2012-11-15,나주시(회진리),5.08,4.15
2012-11-14,나주시(회진리),5.06,23.32
2012-11-13,나주시(회진리),5.11,47.74
2012-11-12,나주시(회진리),5.08,53.42
2012-11-11,나주시(회진리),5.09,62.17
2012-11-10,나주시(회진리),5.06,40.67
2012-11-09,나주시(회진리),5.03,19.39
2012-11-08,나주시(회진리),5.05,22.86
2012-11-07,나주시(회진리),4.90,19.89
2012-11-06,나주시(회진리),5.07,29.84
2012-11-05,나주시(회진리),5.05,9.57
2012-11-04,나주시(회진리),5.06,15.82
2012-11-03,나주시(회진리),5.06,25.63
2012-11-02,나주시(회진리),5.11,11.50
2012-11-01,나주시(회진리),5.07,16.30
2012-10-31,나주시(회진리),5.08,18.43
2012-10-30,나주시(회진리),5.09,24.94
2012-10-29,나주시(회진리),5.20, 
2012-10-28,나주시(회진리),5.32, 
2012-10-27,나주시(회진리),5.20,48.90
2012-10-26,나주시(회진리),5.08, 
2012-10-25,나주시(회진리),5.08, 
2012-10-24,나주시(회진리),5.08,28.67
2012-10-23,나주시(회진리),5.19,48.57
2012-10-22,나주시(회진리),5.16,80.19
2012-10-21,나주시(회진리),5.10,29.95
2012-10-20,나주시(회진리),5.09,24.94
2012-10-19,나주시(회진리),5.09,25.90
2012-10-18,나주시(회진리),5.11,0.99
2012-10-17,나주시(회진리),5.14,24.25
2012-10-16,나주시(회진리),5.20,12.51
2012-10-15,나주시(회진리),5.09,17.20
2012-10-14,나주시(회진리),5.08,32.89
2012-10-13,나주시(회진리),5.10,28.78
2012-10-12,나주시(회진리),5.11,34.44
2012-10-11,나주시(회진리),5.13,25.69
2012-10-10,나주시(회진리),5.14,36.73
2012-10-09,나주시(회진리),5.16,19.18
2012-10-08,나주시(회진리),5.09,19.07
2012-10-07,나주시(회진리),5.07,39.93
2012-10-06,나주시(회진리),5.12,33.53
2012-10-05,나주시(회진리),5.15,38.33
2012-10-04,나주시(회진리),5.15,40.52
2012-10-03,나주시(회진리),5.15,50.60
2012-10-02,나주시(회진리),5.17,50.44
2012-10-01,나주시(회진리),5.18,45.85
2012-09-30,나주시(회진리),5.20,24.03
2012-09-29,나주시(회진리),5.25,34.26
2012-09-28,나주시(회진리),5.24,44.88
2012-09-27,나주시(회진리),5.24,28.61
2012-09-26,나주시(회진리),5.23,28.40
2012-09-25,나주시(회진리),5.01,37.08
2012-09-24,나주시(회진리),5.02,43.76
2012-09-23,나주시(회진리),5.02,64.28
2012-09-22,나주시(회진리),5.15,54.05
2012-09-21,나주시(회진리),4.79,134.30
2012-09-20,나주시(회진리),5.01,164.18
2012-09-19,나주시(회진리),5.14,244.39
2012-09-18,나주시(회진리),5.04,492.25
2012-09-17,나주시(회진리),4.25,1040.24
2012-09-16,나주시(회진리),3.44,173.00
2012-09-15,나주시(회진리),3.60,118.54
2012-09-14,나주시(회진리),4.28,194.46
2012-09-13,나주시(회진리),4.56,140.43
2012-09-12,나주시(회진리),4.79,106.28
2012-09-11,나주시(회진리),5.02,160.91
2012-09-10,나주시(회진리),5.05,150.56
2012-09-09,나주시(회진리),3.80,347.75
2012-09-08,나주시(회진리),4.42,1111.92
2012-09-07,나주시(회진리),3.62,137.78
2012-09-06,나주시(회진리),4.70,203.03
2012-09-05,나주시(회진리),5.18,302.86
2012-09-04,나주시(회진리),5.19,128.17
2012-09-03,나주시(회진리),3.92,108.90
2012-09-02,나주시(회진리),3.60,205.59
2012-09-01,나주시(회진리),3.62,325.34
2012-08-31,나주시(회진리),4.79,771.92
2012-08-30,나주시(회진리),4.86,1313.81
2012-08-29,나주시(회진리),4.48,516.95
2012-08-28,나주시(회진리),4.68,938.78
2012-08-27,나주시(회진리),3.81,188.51
2012-08-26,나주시(회진리),4.17,184.80
2012-08-25,나주시(회진리),4.50,545.92
