년/월/일,측정소명_DAY,수위_DAY,유량_DAY
2012-12-31,남양주시(팔당대교),1.33,339.42
2012-12-30,남양주시(팔당대교),1.17,223.88
2012-12-29,남양주시(팔당대교),1.18,230.49
2012-12-28,남양주시(팔당대교),1.25,272.36
2012-12-27,남양주시(팔당대교),1.23,259.72
2012-12-26,남양주시(팔당대교),1.33,332.28
2012-12-25,남양주시(팔당대교),1.17,223.22
2012-12-24,남양주시(팔당대교),1.22,243.72
2012-12-23,남양주시(팔당대교),1.13,192.64
2012-12-22,남양주시(팔당대교),1.12,187.04
2012-12-21,남양주시(팔당대교),1.17,215.71
2012-12-20,남양주시(팔당대교),1.31,311.28
2012-12-19,남양주시(팔당대교),1.20,237.34
2012-12-18,남양주시(팔당대교),1.28,297.11
2012-12-17,남양주시(팔당대교),1.37,351.13
2012-12-16,남양주시(팔당대교),1.31,301.89
2012-12-15,남양주시(팔당대교),1.15,209.46
2012-12-14,남양주시(팔당대교),1.20,232.98
2012-12-13,남양주시(팔당대교),1.14,197.24
2012-12-12,남양주시(팔당대교),1.20,236.24
2012-12-11,남양주시(팔당대교),1.22,253.77
2012-12-10,남양주시(팔당대교),1.21,247.29
2012-12-09,남양주시(팔당대교),1.13,193.57
2012-12-08,남양주시(팔당대교),1.13,193.98
2012-12-07,남양주시(팔당대교),1.25,273.64
2012-12-06,남양주시(팔당대교),1.28,291.50
2012-12-05,남양주시(팔당대교),1.22,248.08
2012-12-04,남양주시(팔당대교),1.27,290.51
2012-12-03,남양주시(팔당대교),1.25,274.36
2012-12-02,남양주시(팔당대교),1.15,211.05
2012-12-01,남양주시(팔당대교),1.11,179.26
2012-11-30,남양주시(팔당대교),1.29,301.65
2012-11-29,남양주시(팔당대교),1.33,327.58
2012-11-28,남양주시(팔당대교),1.25,271.20
2012-11-27,남양주시(팔당대교),1.32,322.20
2012-11-26,남양주시(팔당대교),1.31,314.36
2012-11-25,남양주시(팔당대교),1.08,166.46
2012-11-24,남양주시(팔당대교),1.07,161.54
2012-11-23,남양주시(팔당대교),1.27,283.70
2012-11-22,남양주시(팔당대교),1.31,311.51
2012-11-21,남양주시(팔당대교),1.25,265.23
2012-11-20,남양주시(팔당대교),1.30,294.31
2012-11-19,남양주시(팔당대교),1.25,265.49
2012-11-18,남양주시(팔당대교),1.22,250.44
2012-11-17,남양주시(팔당대교),1.25,267.49
2012-11-16,남양주시(팔당대교),1.31,312.56
2012-11-15,남양주시(팔당대교),1.36,350.70
2012-11-14,남양주시(팔당대교),1.31,304.51
2012-11-13,남양주시(팔당대교),1.45,417.50
2012-11-12,남양주시(팔당대교),1.40,372.79
2012-11-11,남양주시(팔당대교),1.19,229.95
2012-11-10,남양주시(팔당대교),1.14,197.72
2012-11-09,남양주시(팔당대교),1.20,234.49
2012-11-08,남양주시(팔당대교),1.22,250.46
2012-11-07,남양주시(팔당대교),1.21,248.20
2012-11-06,남양주시(팔당대교),1.16,218.47
2012-11-05,남양주시(팔당대교),1.09,167.09
2012-11-04,남양주시(팔당대교),1.05,150.04
2012-11-03,남양주시(팔당대교),1.08,161.45
2012-11-02,남양주시(팔당대교),1.09,167.87
2012-11-01,남양주시(팔당대교),1.20,233.89
2012-10-31,남양주시(팔당대교),1.27,284.86
2012-10-30,남양주시(팔당대교),1.41,386.37
2012-10-29,남양주시(팔당대교),1.30,293.26
2012-10-28,남양주시(팔당대교),1.36,337.86
2012-10-27,남양주시(팔당대교),1.23,252.88
2012-10-26,남양주시(팔당대교),1.20,246.31
2012-10-25,남양주시(팔당대교),1.28,292.10
2012-10-24,남양주시(팔당대교),1.27,286.51
2012-10-23,남양주시(팔당대교),1.38,358.91
2012-10-22,남양주시(팔당대교),1.27,304.67
2012-10-21,남양주시(팔당대교),1.05,150.31
2012-10-20,남양주시(팔당대교),1.07,157.67
2012-10-19,남양주시(팔당대교),1.24,260.33
2012-10-18,남양주시(팔당대교),1.23,267.56
2012-10-17,남양주시(팔당대교),1.23,254.93
2012-10-16,남양주시(팔당대교),1.24,258.59
2012-10-15,남양주시(팔당대교),1.24,258.68
2012-10-14,남양주시(팔당대교),1.15,207.99
2012-10-13,남양주시(팔당대교),1.19,230.28
2012-10-12,남양주시(팔당대교),1.24,256.48
2012-10-11,남양주시(팔당대교),1.21,251.96
2012-10-10,남양주시(팔당대교),1.24,259.88
2012-10-09,남양주시(팔당대교),1.21,243.29
2012-10-08,남양주시(팔당대교),1.32,312.40
2012-10-07,남양주시(팔당대교),1.13,189.85
2012-10-06,남양주시(팔당대교),1.15,203.68
2012-10-05,남양주시(팔당대교),1.28,298.73
2012-10-04,남양주시(팔당대교),1.30,301.94
2012-10-03,남양주시(팔당대교),1.11,179.47
2012-10-02,남양주시(팔당대교),1.31,313.74
2012-10-01,남양주시(팔당대교),1.22,259.21
2012-09-30,남양주시(팔당대교),1.22,245.99
2012-09-29,남양주시(팔당대교),1.38,360.46
2012-09-28,남양주시(팔당대교),1.55,497.51
2012-09-27,남양주시(팔당대교),1.48,445.31
2012-09-26,남양주시(팔당대교),1.57,521.72
2012-09-25,남양주시(팔당대교),1.51,476.18
2012-09-24,남양주시(팔당대교),1.42,393.96
2012-09-23,남양주시(팔당대교),1.37,345.08
2012-09-22,남양주시(팔당대교),1.38,357.76
2012-09-21,남양주시(팔당대교),1.42,395.44
2012-09-20,남양주시(팔당대교),1.43,394.61
2012-09-19,남양주시(팔당대교),1.78,712.68
2012-09-18,남양주시(팔당대교),2.32,1354.81
2012-09-17,남양주시(팔당대교),2.49,1604.56
2012-09-16,남양주시(팔당대교),2.30,1326.19
2012-09-15,남양주시(팔당대교),2.12,1102.53
2012-09-14,남양주시(팔당대교),1.54,501.96
2012-09-13,남양주시(팔당대교),1.65,574.45
2012-09-12,남양주시(팔당대교),1.52,491.40
2012-09-11,남양주시(팔당대교),1.51,471.63
2012-09-10,남양주시(팔당대교),1.71,634.85
2012-09-09,남양주시(팔당대교),1.86,799.83
2012-09-08,남양주시(팔당대교),2.00,978.05
2012-09-07,남양주시(팔당대교),2.19,1188.14
2012-09-06,남양주시(팔당대교),2.48,1579.57
2012-09-05,남양주시(팔당대교),2.68,1894.53
2012-09-04,남양주시(팔당대교),1.74,675.08
2012-09-03,남양주시(팔당대교),1.81,739.26
2012-09-02,남양주시(팔당대교),1.89,832.21
2012-09-01,남양주시(팔당대교),2.21,1215.78
2012-08-31,남양주시(팔당대교),3.66,3907.28
2012-08-30,남양주시(팔당대교),2.35,1604.94
2012-08-29,남양주시(팔당대교),1.61,548.00
2012-08-28,남양주시(팔당대교),1.93,899.18
2012-08-27,남양주시(팔당대교),2.40,1468.03
2012-08-26,남양주시(팔당대교),2.42,1487.09
2012-08-25,남양주시(팔당대교),2.43,1501.96
2012-08-24,남양주시(팔당대교),2.45,1540.37
2012-08-23,남양주시(팔당대교),2.54,1677.17
2012-08-22,남양주시(팔당대교),2.84,2158.57
2012-08-21,남양주시(팔당대교),3.93,4489.98
2012-08-20,남양주시(팔당대교),1.92,895.48
2012-08-19,남양주시(팔당대교),1.69,623.09
2012-08-18,남양주시(팔당대교),1.80,727.25
2012-08-17,남양주시(팔당대교),1.98,942.76
2012-08-16,남양주시(팔당대교),2.63,1813.77
2012-08-15,남양주시(팔당대교),2.71,2047.41
2012-08-14,남양주시(팔당대교),2.05,1007.03
2012-08-13,남양주시(팔당대교),1.89,820.31
2012-08-12,남양주시(팔당대교),1.70,627.22
2012-08-11,남양주시(팔당대교),1.51,463.31
2012-08-10,남양주시(팔당대교),1.31,326.09
2012-08-09,남양주시(팔당대교),1.13,200.78
2012-08-08,남양주시(팔당대교),1.13,190.99
2012-08-07,남양주시(팔당대교),1.36,345.76
2012-08-06,남양주시(팔당대교),1.33,338.05
2012-08-05,남양주시(팔당대교),1.10,175.37
2012-08-04,남양주시(팔당대교),1.12,185.44
2012-08-03,남양주시(팔당대교),1.25,280.58
2012-08-02,남양주시(팔당대교),1.18,232.74
2012-08-01,남양주시(팔당대교),1.30,317.19
2012-07-31,남양주시(팔당대교),1.26,280.86
2012-07-30,남양주시(팔당대교),1.33,340.60
2012-07-29,남양주시(팔당대교),1.10,179.17
2012-07-28,남양주시(팔당대교),1.14,196.35
2012-07-27,남양주시(팔당대교),1.35,339.77
2012-07-26,남양주시(팔당대교),1.31,315.52
2012-07-25,남양주시(팔당대교),1.37,358.32
2012-07-24,남양주시(팔당대교),1.45,419.43
2012-07-23,남양주시(팔당대교),1.73,663.03
2012-07-22,남양주시(팔당대교),1.70,628.27
2012-07-21,남양주시(팔당대교),1.81,744.87
2012-07-20,남양주시(팔당대교),2.36,1423.59
2012-07-19,남양주시(팔당대교),2.51,1672.84
2012-07-18,남양주시(팔당대교),2.15,1127.60
2012-07-17,남양주시(팔당대교),2.12,1090.33
2012-07-16,남양주시(팔당대교),2.52,1675.95
2012-07-15,남양주시(팔당대교),2.60,1894.66
2012-07-14,남양주시(팔당대교),1.67,601.02
2012-07-13,남양주시(팔당대교),1.46,420.06
2012-07-12,남양주시(팔당대교),1.42,388.81
2012-07-11,남양주시(팔당대교),1.86,806.77
2012-07-10,남양주시(팔당대교),1.95,886.14
2012-07-09,남양주시(팔당대교),1.86,789.08
2012-07-08,남양주시(팔당대교),1.92,860.98
2012-07-07,남양주시(팔당대교),2.78,2079.69
2012-07-06,남양주시(팔당대교),3.65,4030.72
2012-07-05,남양주시(팔당대교),1.49,445.97
2012-07-04,남양주시(팔당대교),1.22,262.73
2012-07-03,남양주시(팔당대교),1.16,207.86
2012-07-02,남양주시(팔당대교),1.23,258.86
2012-07-01,남양주시(팔당대교),1.25,263.05
2012-06-30,남양주시(팔당대교),1.55,504.14
2012-06-29,남양주시(팔당대교),1.33,338.82
2012-06-28,남양주시(팔당대교),1.08,167.20
2012-06-27,남양주시(팔당대교),1.03,139.10
2012-06-26,남양주시(팔당대교),1.03,140.32
2012-06-25,남양주시(팔당대교),1.13,189.28
2012-06-24,남양주시(팔당대교),1.15,208.96
2012-06-23,남양주시(팔당대교),1.03,138.29
2012-06-22,남양주시(팔당대교),1.04,142.16
2012-06-21,남양주시(팔당대교),1.08,162.78
2012-06-20,남양주시(팔당대교),1.13,195.66
2012-06-19,남양주시(팔당대교),1.15,206.72
2012-06-18,남양주시(팔당대교),1.08,164.69
2012-06-17,남양주시(팔당대교),1.04,141.94
2012-06-16,남양주시(팔당대교),1.05,148.68
2012-06-15,남양주시(팔당대교),1.18,220.48
2012-06-14,남양주시(팔당대교),1.20,233.84
2012-06-13,남양주시(팔당대교),1.18,221.74
2012-06-12,남양주시(팔당대교),1.14,197.80
2012-06-11,남양주시(팔당대교),1.11,183.90
2012-06-10,남양주시(팔당대교),1.03,138.09
2012-06-09,남양주시(팔당대교),1.04,142.96
2012-06-08,남양주시(팔당대교),1.07,156.61
2012-06-07,남양주시(팔당대교),1.05,148.58
2012-06-06,남양주시(팔당대교),1.05,149.60
2012-06-05,남양주시(팔당대교),1.06,150.43
2012-06-04,남양주시(팔당대교),1.11,184.00
2012-06-03,남양주시(팔당대교),1.07,160.54
2012-06-02,남양주시(팔당대교),1.08,163.30
2012-06-01,남양주시(팔당대교),1.09,171.81
2012-05-31,남양주시(팔당대교),1.22,247.87
2012-05-30,남양주시(팔당대교),1.20,238.92
2012-05-29,남양주시(팔당대교),1.19,230.01
2012-05-28,남양주시(팔당대교),1.15,207.81
2012-05-27,남양주시(팔당대교),1.17,217.72
2012-05-26,남양주시(팔당대교),1.18,232.30
2012-05-25,남양주시(팔당대교),1.19,233.07
2012-05-24,남양주시(팔당대교),1.21,237.68
2012-05-23,남양주시(팔당대교),1.20,236.86
2012-05-22,남양주시(팔당대교),1.19,230.58
2012-05-21,남양주시(팔당대교),1.14,199.57
2012-05-20,남양주시(팔당대교),1.14,218.64
2012-05-19,남양주시(팔당대교),1.15,201.35
2012-05-18,남양주시(팔당대교),1.20,238.38
2012-05-17,남양주시(팔당대교),1.20,236.16
2012-05-16,남양주시(팔당대교),1.21,240.71
2012-05-15,남양주시(팔당대교),1.20,233.34
2012-05-14,남양주시(팔당대교),1.25,274.56
2012-05-13,남양주시(팔당대교),1.21,243.26
2012-05-12,남양주시(팔당대교),1.23,260.39
2012-05-11,남양주시(팔당대교),1.23,257.89
2012-05-10,남양주시(팔당대교),1.20,238.42
2012-05-09,남양주시(팔당대교),1.16,209.21
2012-05-08,남양주시(팔당대교),1.30,295.61
2012-05-07,남양주시(팔당대교),1.28,292.53
2012-05-06,남양주시(팔당대교),1.24,273.23
2012-05-05,남양주시(팔당대교),1.40,378.71
2012-05-04,남양주시(팔당대교),1.41,375.41
2012-05-03,남양주시(팔당대교),1.44,397.26
2012-05-02,남양주시(팔당대교),1.35,338.04
2012-05-01,남양주시(팔당대교),1.50,448.90
2012-04-30,남양주시(팔당대교),1.57,505.09
2012-04-29,남양주시(팔당대교),1.54,480.02
2012-04-28,남양주시(팔당대교),1.56,496.57
2012-04-27,남양주시(팔당대교),1.77,691.46
2012-04-26,남양주시(팔당대교),1.64,575.15
2012-04-25,남양주시(팔당대교),1.66,591.95
2012-04-24,남양주시(팔당대교),1.67,602.85
2012-04-23,남양주시(팔당대교),1.67,601.42
2012-04-22,남양주시(팔당대교),1.65,587.29
2012-04-21,남양주시(팔당대교),1.60,532.59
2012-04-20,남양주시(팔당대교),1.51,459.55
2012-04-19,남양주시(팔당대교),1.50,445.02
2012-04-18,남양주시(팔당대교),1.36,351.59
2012-04-17,남양주시(팔당대교),1.29,297.75
2012-04-16,남양주시(팔당대교),1.32,316.08
2012-04-15,남양주시(팔당대교),1.25,272.97
2012-04-14,남양주시(팔당대교),1.26,268.58
2012-04-13,남양주시(팔당대교),1.37,350.74
2012-04-12,남양주시(팔당대교),1.45,407.51
2012-04-11,남양주시(팔당대교),1.51,465.30
2012-04-10,남양주시(팔당대교),1.62,557.74
2012-04-09,남양주시(팔당대교),1.59,527.42
2012-04-08,남양주시(팔당대교),1.69,620.39
2012-04-07,남양주시(팔당대교),1.72,644.72
2012-04-06,남양주시(팔당대교),1.69,621.20
2012-04-05,남양주시(팔당대교),1.71,639.24
2012-04-04,남양주시(팔당대교),1.80,722.89
2012-04-03,남양주시(팔당대교),1.81,775.19
2012-04-02,남양주시(팔당대교),1.28,293.61
2012-04-01,남양주시(팔당대교),1.16,212.73
2012-03-31,남양주시(팔당대교),1.18,223.57
2012-03-30,남양주시(팔당대교),1.18,224.13
2012-03-29,남양주시(팔당대교),1.22,259.33
2012-03-28,남양주시(팔당대교),1.21,255.24
2012-03-27,남양주시(팔당대교),1.25,271.67
2012-03-26,남양주시(팔당대교),1.32,316.83
2012-03-25,남양주시(팔당대교),1.07,158.65
2012-03-24,남양주시(팔당대교),1.18,223.88
2012-03-23,남양주시(팔당대교),1.19,229.57
2012-03-22,남양주시(팔당대교),1.26,279.96
2012-03-21,남양주시(팔당대교),1.23,259.62
2012-03-20,남양주시(팔당대교),1.16,211.34
2012-03-19,남양주시(팔당대교),1.15,206.43
2012-03-18,남양주시(팔당대교),1.07,156.44
2012-03-17,남양주시(팔당대교),1.07,160.28
2012-03-16,남양주시(팔당대교),1.17,223.66
2012-03-15,남양주시(팔당대교),1.18,226.01
2012-03-14,남양주시(팔당대교),1.12,192.92
2012-03-13,남양주시(팔당대교),1.19,228.66
2012-03-12,남양주시(팔당대교),1.14,207.49
2012-03-11,남양주시(팔당대교),1.10,176.32
2012-03-10,남양주시(팔당대교),1.07,156.15
2012-03-09,남양주시(팔당대교),1.16,210.60
2012-03-08,남양주시(팔당대교),1.15,202.11
2012-03-07,남양주시(팔당대교),1.17,215.23
2012-03-06,남양주시(팔당대교),1.15,207.11
2012-03-05,남양주시(팔당대교),1.12,188.14
2012-03-04,남양주시(팔당대교),1.09,172.01
2012-03-03,남양주시(팔당대교),1.13,194.56
2012-03-02,남양주시(팔당대교),1.12,190.10
2012-03-01,남양주시(팔당대교),1.07,159.45
2012-02-29,남양주시(팔당대교),1.18,229.29
2012-02-28,남양주시(팔당대교),1.15,205.69
2012-02-27,남양주시(팔당대교),1.14,197.06
2012-02-26,남양주시(팔당대교),1.05,147.63
2012-02-25,남양주시(팔당대교),1.09,167.73
2012-02-24,남양주시(팔당대교),1.11,178.63
2012-02-23,남양주시(팔당대교),1.11,183.67
2012-02-22,남양주시(팔당대교),1.13,195.95
2012-02-21,남양주시(팔당대교),1.12,188.94
2012-02-20,남양주시(팔당대교),1.10,178.26
2012-02-19,남양주시(팔당대교),1.05,150.15
2012-02-18,남양주시(팔당대교),1.05,149.10
2012-02-17,남양주시(팔당대교),1.13,195.78
2012-02-16,남양주시(팔당대교),1.18,223.65
2012-02-15,남양주시(팔당대교),1.10,177.73
2012-02-14,남양주시(팔당대교),1.08,167.97
2012-02-13,남양주시(팔당대교),1.17,223.78
2012-02-12,남양주시(팔당대교),1.03,138.09
2012-02-11,남양주시(팔당대교),1.04,142.83
2012-02-10,남양주시(팔당대교),1.07,157.38
2012-02-09,남양주시(팔당대교),1.09,169.37
2012-02-08,남양주시(팔당대교),1.09,168.82
2012-02-07,남양주시(팔당대교),1.10,177.70
2012-02-06,남양주시(팔당대교),1.09,167.32
2012-02-05,남양주시(팔당대교),1.04,141.59
2012-02-04,남양주시(팔당대교),1.05,148.65
2012-02-03,남양주시(팔당대교),1.08,167.06
2012-02-02,남양주시(팔당대교),1.08,164.75
2012-02-01,남양주시(팔당대교),1.06,150.45
2012-01-31,남양주시(팔당대교),1.07,156.36
2012-01-30,남양주시(팔당대교),1.03,138.09
2012-01-29,남양주시(팔당대교),1.03,138.09
2012-01-28,남양주시(팔당대교),1.04,141.98
2012-01-27,남양주시(팔당대교),1.08,164.69
2012-01-26,남양주시(팔당대교),1.03,140.32
2012-01-25,남양주시(팔당대교),1.07,162.14
2012-01-24,남양주시(팔당대교),1.03,138.09
2012-01-23,남양주시(팔당대교),1.03,138.09
2012-01-22,남양주시(팔당대교),1.03,138.09
2012-01-21,남양주시(팔당대교),1.03,138.09
2012-01-20,남양주시(팔당대교),1.04,141.96
2012-01-19,남양주시(팔당대교),1.09,170.50
2012-01-18,남양주시(팔당대교),1.06,154.07
2012-01-17,남양주시(팔당대교),1.07,159.52
2012-01-16,남양주시(팔당대교),1.13,191.89
2012-01-15,남양주시(팔당대교),1.03,138.09
2012-01-14,남양주시(팔당대교),1.04,143.39
2012-01-13,남양주시(팔당대교),1.05,146.46
2012-01-12,남양주시(팔당대교),1.06,151.92
2012-01-11,남양주시(팔당대교),1.03,138.09
2012-01-10,남양주시(팔당대교),1.03,138.09
2012-01-09,남양주시(팔당대교),1.03,138.09
2012-01-08,남양주시(팔당대교),1.03,138.50
2012-01-07,남양주시(팔당대교),1.06,155.84
2012-01-06,남양주시(팔당대교),1.29,301.76
2012-01-05,남양주시(팔당대교),1.22,252.89
2012-01-04,남양주시(팔당대교),1.20,247.94
2012-01-03,남양주시(팔당대교),1.04,145.22
2012-01-02,남양주시(팔당대교),1.14,204.62
2012-01-01,남양주시(팔당대교),1.06,154.59
2013-12-31,남양주시(팔당대교),1.02,136.47
2013-12-30,남양주시(팔당대교),1.02,136.47
2013-12-29,남양주시(팔당대교),1.02,136.47
2013-12-28,남양주시(팔당대교),1.02,136.47
2013-12-27,남양주시(팔당대교),1.03,145.08
2013-12-26,남양주시(팔당대교),1.03,141.51
2013-12-25,남양주시(팔당대교),1.02,139.22
2013-12-24,남양주시(팔당대교),1.06,163.44
2013-12-23,남양주시(팔당대교),1.02,136.47
2013-12-22,남양주시(팔당대교),1.02,138.12
2013-12-21,남양주시(팔당대교),1.08,177.97
2013-12-20,남양주시(팔당대교),1.07,173.74
