년/월/일,측정소명,수위_DAY,유량_DAY
2012-12-31,대구시(매곡리),5.75,3751.64
2012-12-30,대구시(매곡리),5.74,3737.77
2012-12-29,대구시(매곡리),5.71,3705.57
2012-12-28,대구시(매곡리),5.67,3667.10
2012-12-27,대구시(매곡리),5.68,3675.15
2012-12-26,대구시(매곡리),5.70,3693.49
2012-12-25,대구시(매곡리),5.67,3670.68
2012-12-24,대구시(매곡리),5.69,3690.81
2012-12-23,대구시(매곡리),5.75,3748.51
2012-12-22,대구시(매곡리),5.83,3836.28
2012-12-21,대구시(매곡리),5.77,3769.66
2012-12-20,대구시(매곡리),5.81,3818.12
2012-12-19,대구시(매곡리),5.74,3740.46
2012-12-18,대구시(매곡리),5.84,3854.04
2012-12-17,대구시(매곡리),5.74,3744.94
2012-12-16,대구시(매곡리),5.74,3738.69
2012-12-15,대구시(매곡리),5.68,3675.15
2012-12-14,대구시(매곡리),5.74,3745.38
2012-12-13,대구시(매곡리),5.72,3715.41
2012-12-12,대구시(매곡리),5.65,3645.77
2012-12-11,대구시(매곡리),5.79,3790.20
2012-12-10,대구시(매곡리),5.80,3808.21
2012-12-09,대구시(매곡리),5.81,3815.89
2012-12-08,대구시(매곡리),5.86,3870.45
2012-12-07,대구시(매곡리),5.93,3947.53
2012-12-06,대구시(매곡리),6.03,4057.68
2012-12-05,대구시(매곡리),6.05,4086.72
2012-12-04,대구시(매곡리),6.00,4022.73
2012-12-03,대구시(매곡리),6.11,4149.19
2012-12-02,대구시(매곡리),5.95,3972.38
2012-12-01,대구시(매곡리),5.88,3889.27
2012-11-30,대구시(매곡리),5.86,3869.18
2012-11-29,대구시(매곡리),5.81,3819.59
2012-11-28,대구시(매곡리),5.89,3907.20
2012-11-27,대구시(매곡리),5.98,4003.50
2012-11-26,대구시(매곡리),6.24,4299.63
2012-11-25,대구시(매곡리),6.43,4521.36
2012-11-24,대구시(매곡리),6.47,4561.25
2012-11-23,대구시(매곡리),6.54,4642.58
2012-11-22,대구시(매곡리),6.55,4664.26
2012-11-21,대구시(매곡리),6.57,4684.47
2012-11-20,대구시(매곡리),6.51,4609.06
2012-11-19,대구시(매곡리),6.57,4679.05
2012-11-18,대구시(매곡리),6.60,4718.98
2012-11-17,대구시(매곡리),6.61,4727.81
2012-11-16,대구시(매곡리),6.56,4676.21
2012-11-15,대구시(매곡리),6.59,4702.85
2012-11-14,대구시(매곡리),6.63,4758.51
2012-11-13,대구시(매곡리),6.55,4664.65
2012-11-12,대구시(매곡리),6.42,4507.53
2012-11-11,대구시(매곡리),6.48,4581.95
2012-11-10,대구시(매곡리),6.52,4624.34
2012-11-09,대구시(매곡리),6.61,4726.99
2012-11-08,대구시(매곡리),6.54,4643.59
2012-11-07,대구시(매곡리),6.56,4671.16
2012-11-06,대구시(매곡리),6.52,4630.25
2012-11-05,대구시(매곡리),6.57,4685.95
2012-11-04,대구시(매곡리),6.55,4664.26
2012-11-03,대구시(매곡리),6.53,4635.18
2012-11-02,대구시(매곡리),6.56,4668.21
2012-11-01,대구시(매곡리),6.55,4662.78
2012-10-31,대구시(매곡리),6.57,4678.56
2012-10-30,대구시(매곡리),6.53,4641.10
2012-10-29,대구시(매곡리),6.53,4633.28
2012-10-28,대구시(매곡리),6.46,4553.37
2012-10-27,대구시(매곡리),6.46,4558.30
2012-10-26,대구시(매곡리),6.48,4571.61
2012-10-25,대구시(매곡리),6.50,4600.19
2012-10-24,대구시(매곡리),6.52,4628.28
2012-10-23,대구시(매곡리),6.55,4657.47
2012-10-22,대구시(매곡리),6.49,4589.35
2012-10-21,대구시(매곡리),6.47,4568.65
2012-10-20,대구시(매곡리),6.51,4610.54
2012-10-19,대구시(매곡리),6.44,4532.23
2012-10-18,대구시(매곡리),6.53,4637.16
2012-10-17,대구시(매곡리),6.46,4555.34
2012-10-16,대구시(매곡리),6.46,4553.37
2012-10-15,대구시(매곡리),6.54,4648.84
2012-10-14,대구시(매곡리),6.48,4579.49
2012-10-13,대구시(매곡리),6.45,4542.59
2012-10-12,대구시(매곡리),6.41,4499.23
2012-10-11,대구시(매곡리),6.36,4439.77
2012-10-10,대구시(매곡리),6.46,4551.71
2012-10-09,대구시(매곡리),6.50,4604.17
2012-10-08,대구시(매곡리),6.50,4605.12
2012-10-07,대구시(매곡리),6.49,4593.29
2012-10-06,대구시(매곡리),6.49,4590.83
2012-10-05,대구시(매곡리),6.44,4531.19
2012-10-04,대구시(매곡리),6.52,4625.33
2012-10-03,대구시(매곡리),6.57,4688.42
2012-10-02,대구시(매곡리),6.58,4695.81
2012-10-01,대구시(매곡리),6.58,4690.39
2012-09-30,대구시(매곡리),6.56,4666.24
2012-09-29,대구시(매곡리),6.59,4706.86
2012-09-28,대구시(매곡리),6.48,4579.49
2012-09-27,대구시(매곡리),6.48,4576.24
2012-09-26,대구시(매곡리),6.41,4493.72
2012-09-25,대구시(매곡리),6.20,4248.30
2012-09-24,대구시(매곡리),6.48,4576.77
2012-09-23,대구시(매곡리),6.53,4633.71
2012-09-22,대구시(매곡리),6.55,4665.75
2012-09-21,대구시(매곡리),6.58,4693.35
2012-09-20,대구시(매곡리),6.54,4646.15
2012-09-19,대구시(매곡리),6.59,4710.81
2012-09-18,대구시(매곡리),7.77,6294.58
2012-09-17,대구시(매곡리),7.22,5622.81
2012-09-16,대구시(매곡리),5.98,4016.01
2012-09-15,대구시(매곡리),6.40,4488.24
2012-09-14,대구시(매곡리),6.28,4345.05
2012-09-13,대구시(매곡리),5.97,4012.25
2012-09-12,대구시(매곡리),6.75,4903.03
2012-09-11,대구시(매곡리),6.61,4733.90
2012-09-10,대구시(매곡리),6.58,4690.81
2012-09-09,대구시(매곡리),6.67,4804.43
2012-09-08,대구시(매곡리),6.75,4902.06
2012-09-07,대구시(매곡리),6.61,4729.99
2012-09-06,대구시(매곡리),6.61,4732.86
2012-09-05,대구시(매곡리),6.70,4837.76
2012-09-04,대구시(매곡리),6.67,4804.17
2012-09-03,대구시(매곡리),6.44,4531.70
2012-09-02,대구시(매곡리),6.44,4535.95
2012-09-01,대구시(매곡리),6.58,4690.36
2012-08-31,대구시(매곡리),6.66,4790.52
2012-08-30,대구시(매곡리),6.52,4625.93
2012-08-29,대구시(매곡리),6.64,4773.55
2012-08-28,대구시(매곡리),6.26,4317.95
2012-08-27,대구시(매곡리),6.33,4405.35
2012-08-26,대구시(매곡리),6.51,4615.19
2012-08-25,대구시(매곡리),6.56,4671.56
2012-08-24,대구시(매곡리),6.61,4727.37
2012-08-23,대구시(매곡리),6.61,4731.75
2012-08-22,대구시(매곡리),6.63,4760.81
2012-08-21,대구시(매곡리),6.60,4722.08
2012-08-20,대구시(매곡리),6.66,4793.08
2012-08-19,대구시(매곡리),6.64,4764.82
2012-08-18,대구시(매곡리),6.64,4771.97
2012-08-17,대구시(매곡리),6.66,4788.32
2012-08-16,대구시(매곡리),6.72,4858.76
2012-08-15,대구시(매곡리),6.68,4811.18
2012-08-14,대구시(매곡리),6.68,4814.78
2012-08-13,대구시(매곡리),6.68,4820.46
2012-08-12,대구시(매곡리),6.56,4672.64
2012-08-11,대구시(매곡리),6.50,4603.15
2012-08-10,대구시(매곡리),6.52,4627.79
2012-08-09,대구시(매곡리),6.54,4646.52
2012-08-08,대구시(매곡리),6.53,4635.18
2012-08-07,대구시(매곡리),6.49,4584.91
2012-08-06,대구시(매곡리),6.53,4641.59
2012-08-05,대구시(매곡리),6.51,4614.48
2012-08-04,대구시(매곡리),6.52,4624.83
2012-08-03,대구시(매곡리),6.49,4594.28
2012-08-02,대구시(매곡리),6.50,4601.18
2012-08-01,대구시(매곡리),6.51,4608.07
2012-07-31,대구시(매곡리),6.52,4629.27
2012-07-30,대구시(매곡리),6.54,4644.05
2012-07-29,대구시(매곡리),6.56,4667.71
2012-07-28,대구시(매곡리),6.49,4587.37
2012-07-27,대구시(매곡리),6.50,4603.15
2012-07-26,대구시(매곡리),6.48,4575.55
2012-07-25,대구시(매곡리),6.55,4660.89
2012-07-24,대구시(매곡리),6.58,4698.95
2012-07-23,대구시(매곡리),6.56,4672.25
2012-07-22,대구시(매곡리),6.53,4635.26
2012-07-21,대구시(매곡리),6.52,4622.37
2012-07-20,대구시(매곡리),6.63,4754.20
2012-07-19,대구시(매곡리),6.61,4728.49
2012-07-18,대구시(매곡리),6.64,4770.44
2012-07-17,대구시(매곡리),6.56,4673.95
2012-07-16,대구시(매곡리),6.64,4772.66
2012-07-15,대구시(매곡리),6.65,4782.85
2012-07-14,대구시(매곡리),6.72,4865.27
2012-07-13,대구시(매곡리),6.76,4908.30
2012-07-12,대구시(매곡리),6.60,4726.38
