년/월/일,측정소명_DAY,수위_DAY,유량_DAY
2012-12-31,부여군(백제교),1.05,76.07
2012-12-30,부여군(백제교),0.85,81.90
2012-12-29,부여군(백제교),0.64,81.46
2012-12-28,부여군(백제교),0.87,110.41
2012-12-27,부여군(백제교),0.73,105.14
2012-12-26,부여군(백제교),0.93,74.91
2012-12-25,부여군(백제교),0.77,86.77
2012-12-24,부여군(백제교),0.95,83.67
2012-12-23,부여군(백제교),0.86,81.31
2012-12-22,부여군(백제교),0.63,83.30
2012-12-21,부여군(백제교),0.67,96.89
2012-12-20,부여군(백제교),0.88,85.73
2012-12-19,부여군(백제교),0.86,88.22
2012-12-18,부여군(백제교),0.86,123.94
2012-12-17,부여군(백제교),0.93,135.38
2012-12-16,부여군(백제교),0.85,147.48
2012-12-15,부여군(백제교),0.82,131.97
2012-12-14,부여군(백제교),0.86,83.76
2012-12-13,부여군(백제교),0.69,60.20
2012-12-12,부여군(백제교),0.81,48.30
2012-12-11,부여군(백제교),0.74,58.72
2012-12-10,부여군(백제교),0.92,73.71
2012-12-09,부여군(백제교),0.87,61.13
2012-12-08,부여군(백제교),0.68,82.34
2012-12-07,부여군(백제교),0.77,103.71
2012-12-06,부여군(백제교),0.76,98.24
2012-12-05,부여군(백제교),0.77,85.39
2012-12-04,부여군(백제교),0.85,76.00
2012-12-03,부여군(백제교),0.64,79.20
2012-12-02,부여군(백제교),1.05,75.34
2012-12-01,부여군(백제교),0.86,68.11
2012-11-30,부여군(백제교),0.67,68.02
2012-11-29,부여군(백제교),0.94,80.67
2012-11-28,부여군(백제교),0.84,68.81
2012-11-27,부여군(백제교),0.64,77.81
2012-11-26,부여군(백제교),0.83,77.67
2012-11-25,부여군(백제교),0.74,65.23
2012-11-24,부여군(백제교),0.78,78.80
2012-11-23,부여군(백제교),0.68,75.21
2012-11-22,부여군(백제교),0.81,87.35
2012-11-21,부여군(백제교),0.84,80.08
2012-11-20,부여군(백제교),0.82,101.88
2012-11-19,부여군(백제교),0.79,86.03
2012-11-18,부여군(백제교),0.72,98.09
2012-11-17,부여군(백제교),0.65,95.53
2012-11-16,부여군(백제교),0.91,108.27
2012-11-15,부여군(백제교),0.70,71.49
2012-11-14,부여군(백제교),0.84,117.08
2012-11-13,부여군(백제교),0.61,119.48
2012-11-12,부여군(백제교),0.91,172.12
2012-11-11,부여군(백제교),0.66,135.72
2012-11-10,부여군(백제교),0.73,111.41
2012-11-09,부여군(백제교),0.72,91.72
2012-11-08,부여군(백제교),0.75,118.76
2012-11-07,부여군(백제교),0.67,162.80
2012-11-06,부여군(백제교),0.73,117.98
2012-11-05,부여군(백제교),0.43,107.05
2012-11-04,부여군(백제교),0.22,84.45
2012-11-03,부여군(백제교),0.61,81.50
2012-11-02,부여군(백제교),0.43,101.02
2012-11-01,부여군(백제교),0.61,111.85
2012-10-31,부여군(백제교),0.47,81.05
2012-10-30,부여군(백제교),0.71,104.50
2012-10-29,부여군(백제교),0.95,104.45
