년/월/일,측정소명,수위_DAY,유량_DAY
2012-12-31,상주시(강창교),0.83,24.01
2012-12-30,상주시(강창교),0.88,16.98
2012-12-29,상주시(강창교),0.86,13.99
2012-12-28,상주시(강창교),0.85,25.86
2012-12-27,상주시(강창교),0.72,11.69
2012-12-26,상주시(강창교),0.85,15.11
2012-12-25,상주시(강창교),0.85,23.13
2012-12-24,상주시(강창교),0.88,17.54
2012-12-23,상주시(강창교),0.89,18.70
2012-12-22,상주시(강창교),0.89,-21.33
2012-12-21,상주시(강창교),0.87,-1.84
2012-12-20,상주시(강창교),1.01,5.10
2012-12-19,상주시(강창교),1.20,3.76
2012-12-18,상주시(강창교),1.34,16.44
2012-12-17,상주시(강창교),1.49,30.77
2012-12-16,상주시(강창교),1.45,21.48
2012-12-15,상주시(강창교),1.46,26.98
2012-12-14,상주시(강창교),1.37,23.74
2012-12-13,상주시(강창교),1.33,-0.12
2012-12-12,상주시(강창교),1.38,4.64
2012-12-11,상주시(강창교),1.39,45.53
2012-12-10,상주시(강창교),1.34,27.00
2012-12-09,상주시(강창교),1.35,18.33
2012-12-08,상주시(강창교),1.37,19.64
2012-12-07,상주시(강창교),1.39,27.86
2012-12-06,상주시(강창교),1.45,17.04
2012-12-05,상주시(강창교),1.38,32.14
2012-12-04,상주시(강창교),1.41,20.98
2012-12-03,상주시(강창교),1.36,12.15
2012-12-02,상주시(강창교),1.37,17.67
2012-12-01,상주시(강창교),1.37,18.15
2012-11-30,상주시(강창교),1.37,26.46
2012-11-29,상주시(강창교),1.35,15.18
2012-11-28,상주시(강창교),1.44,36.74
2012-11-27,상주시(강창교),1.11,37.33
2012-11-26,상주시(강창교),1.55,26.16
2012-11-25,상주시(강창교),1.51,9.50
2012-11-24,상주시(강창교),1.50,22.82
2012-11-23,상주시(강창교),1.50,19.82
2012-11-22,상주시(강창교),1.49,23.54
2012-11-21,상주시(강창교),1.50,15.21
2012-11-20,상주시(강창교),1.40,7.93
2012-11-19,상주시(강창교),1.30,15.85
2012-11-18,상주시(강창교),1.12,23.30
2012-11-17,상주시(강창교),0.95,16.69
2012-11-16,상주시(강창교),0.91,21.75
2012-11-15,상주시(강창교),1.16,26.52
2012-11-14,상주시(강창교),1.51,27.09
2012-11-13,상주시(강창교),1.45,28.08
2012-11-12,상주시(강창교),1.45,31.55
2012-11-11,상주시(강창교),1.37,16.51
2012-11-10,상주시(강창교),1.16,11.98
2012-11-09,상주시(강창교),1.02,21.96
2012-11-08,상주시(강창교),1.34,17.27
2012-11-07,상주시(강창교),1.38,14.43
2012-11-06,상주시(강창교),1.39,26.69
2012-11-05,상주시(강창교),1.17,29.31
2012-11-04,상주시(강창교),0.85,21.50
2012-11-03,상주시(강창교),0.83,23.48
2012-11-02,상주시(강창교),0.81,18.71
2012-11-01,상주시(강창교),0.83,19.14
2012-10-31,상주시(강창교),0.83,21.46
2012-10-30,상주시(강창교),0.86,20.65
2012-10-29,상주시(강창교),1.27,24.23
2012-10-28,상주시(강창교),1.41,22.99
2012-10-27,상주시(강창교),1.39,19.01
2012-10-26,상주시(강창교),1.43,22.27
2012-10-25,상주시(강창교),1.46,19.49
