년/월/일,측정소명_DAY,수위_DAY,유량_DAY
2012-12-31,서울시(광진교),1.16,2054.51
2012-12-30,서울시(광진교),1.08,2054.51
2012-12-29,서울시(광진교),1.10,2054.51
2012-12-28,서울시(광진교),1.11,2054.51
2012-12-27,서울시(광진교),1.18,2054.51
2012-12-26,서울시(광진교),1.21,2054.51
2012-12-25,서울시(광진교),1.13,2054.51
2012-12-24,서울시(광진교),1.16,2054.51
2012-12-23,서울시(광진교),1.09,2054.51
2012-12-22,서울시(광진교),1.09,2054.51
2012-12-21,서울시(광진교),1.10,2054.51
2012-12-20,서울시(광진교),1.16,2054.51
2012-12-19,서울시(광진교),1.13,2054.51
2012-12-18,서울시(광진교),1.11,2054.51
2012-12-17,서울시(광진교),1.17,2054.51
2012-12-16,서울시(광진교),1.16,2054.51
2012-12-15,서울시(광진교),1.08,2054.51
2012-12-14,서울시(광진교),1.11,2054.51
2012-12-13,서울시(광진교),1.09,2054.51
2012-12-12,서울시(광진교),1.11,2054.51
2012-12-11,서울시(광진교),1.11,2054.51
2012-12-10,서울시(광진교),1.13,2054.51
2012-12-09,서울시(광진교),1.07,2054.51
2012-12-08,서울시(광진교),1.08,2054.51
2012-12-07,서울시(광진교),1.09,2054.51
2012-12-06,서울시(광진교),1.13,2054.51
2012-12-05,서울시(광진교),1.12,2054.51
2012-12-04,서울시(광진교),1.14,2054.51
2012-12-03,서울시(광진교),1.12,2054.51
2012-12-02,서울시(광진교),1.08,2054.51
2012-12-01,서울시(광진교),1.07,2054.51
2012-11-30,서울시(광진교),1.12,2054.51
2012-11-29,서울시(광진교),1.13,2054.51
2012-11-28,서울시(광진교),1.12,2054.51
2012-11-27,서울시(광진교),1.12,2054.51
2012-11-26,서울시(광진교),1.14,2054.51
2012-11-25,서울시(광진교),1.03,2054.51
2012-11-24,서울시(광진교),1.05,2054.51
2012-11-23,서울시(광진교),1.13,2054.51
2012-11-22,서울시(광진교),1.13,2054.51
2012-11-21,서울시(광진교),1.13,2054.51
2012-11-20,서울시(광진교),1.16,2054.51
2012-11-19,서울시(광진교),1.14,2054.51
2012-11-18,서울시(광진교),1.13,2054.51
2012-11-17,서울시(광진교),1.13,2054.51
2012-11-16,서울시(광진교),1.10,2054.51
2012-11-15,서울시(광진교),1.15,2054.51
2012-11-14,서울시(광진교),1.15,2054.51
2012-11-13,서울시(광진교),1.17,2054.51
2012-11-12,서울시(광진교),1.17,2054.51
2012-11-11,서울시(광진교),1.13,2054.51
