년/월/일,측정소명,수위_DAY,유량_DAY
2012-12-31,서울시(한강대교),0.94,361.94
2012-12-30,서울시(한강대교),0.85,244.40
2012-12-29,서울시(한강대교),0.87,273.72
2012-12-28,서울시(한강대교),0.86,315.96
2012-12-27,서울시(한강대교),1.08,254.92
2012-12-26,서울시(한강대교),0.74,329.82
2012-12-25,서울시(한강대교),0.64,226.51
2012-12-24,서울시(한강대교),0.62,227.33
2012-12-23,서울시(한강대교),0.61,164.68
2012-12-22,서울시(한강대교),0.62,195.23
2012-12-21,서울시(한강대교),0.67,276.63
2012-12-20,서울시(한강대교),0.83,405.57
2012-12-19,서울시(한강대교),0.79,338.68
2012-12-18,서울시(한강대교),0.93,378.28
2012-12-17,서울시(한강대교),1.19,434.96
2012-12-16,서울시(한강대교),1.22,359.57
2012-12-15,서울시(한강대교),1.17,279.09
2012-12-14,서울시(한강대교),1.22,315.21
2012-12-13,서울시(한강대교),1.01,195.19
2012-12-12,서울시(한강대교),0.85,259.97
2012-12-11,서울시(한강대교),0.80,292.66
2012-12-10,서울시(한강대교),0.68,283.32
2012-12-09,서울시(한강대교),0.60,204.67
2012-12-08,서울시(한강대교),0.62,218.99
2012-12-07,서울시(한강대교),0.74,337.93
2012-12-06,서울시(한강대교),0.77,348.46
2012-12-05,서울시(한강대교),0.80,350.58
2012-12-04,서울시(한강대교),0.85,323.75
2012-12-03,서울시(한강대교),0.90,296.10
2012-12-02,서울시(한강대교),0.86,236.51
2012-12-01,서울시(한강대교),0.83,218.60
2012-11-30,서울시(한강대교),0.95,339.71
2012-11-29,서울시(한강대교),0.94,375.15
2012-11-28,서울시(한강대교),0.99,323.70
2012-11-27,서울시(한강대교),0.83,325.79
2012-11-26,서울시(한강대교),0.75,339.41
2012-11-25,서울시(한강대교),0.60,179.81
2012-11-24,서울시(한강대교),0.65,208.21
2012-11-23,서울시(한강대교),0.71,318.86
2012-11-22,서울시(한강대교),0.75,371.24
2012-11-21,서울시(한강대교),0.76,302.56
2012-11-20,서울시(한강대교),0.85,382.15
2012-11-19,서울시(한강대교),1.03,430.56
2012-11-18,서울시(한강대교),1.02,255.27
2012-11-17,서울시(한강대교),1.22,345.30
2012-11-16,서울시(한강대교),1.38,381.21
2012-11-15,서울시(한강대교),1.30,328.37
2012-11-14,서울시(한강대교),1.29,380.62
2012-11-13,서울시(한강대교),1.34,485.62
2012-11-12,서울시(한강대교),1.14,431.29
2012-11-11,서울시(한강대교),0.91,327.23
2012-11-10,서울시(한강대교),0.65,258.02
2012-11-09,서울시(한강대교),0.65,265.20
2012-11-08,서울시(한강대교),0.67,317.53
2012-11-07,서울시(한강대교),0.68,285.30
2012-11-06,서울시(한강대교),0.68,274.49
2012-11-05,서울시(한강대교),0.70,247.33
2012-11-04,서울시(한강대교),0.73,222.41
2012-11-03,서울시(한강대교),0.80,180.27
2012-11-02,서울시(한강대교),0.88,206.05
2012-11-01,서울시(한강대교),0.99,278.38
2012-10-31,서울시(한강대교),1.05,297.50
2012-10-30,서울시(한강대교),1.11,459.51
2012-10-29,서울시(한강대교),1.01,362.52
2012-10-28,서울시(한강대교),1.02,444.30
2012-10-27,서울시(한강대교),0.95,402.34
2012-10-26,서울시(한강대교),0.72,306.73
2012-10-25,서울시(한강대교),0.73,376.23
2012-10-24,서울시(한강대교),0.74,355.00
2012-10-23,서울시(한강대교),0.85,439.93
2012-10-22,서울시(한강대교),0.90,428.31
2012-10-21,서울시(한강대교),0.82,271.79
2012-10-20,서울시(한강대교),1.01,232.00
2012-10-19,서울시(한강대교),1.19,287.79
2012-10-18,서울시(한강대교),1.24,254.84
2012-10-17,서울시(한강대교),1.34,289.50
2012-10-16,서울시(한강대교),1.31,277.87
2012-10-15,서울시(한강대교),1.10,253.07
2012-10-14,서울시(한강대교),0.96,237.84
2012-10-13,서울시(한강대교),0.85,283.58
2012-10-12,서울시(한강대교),0.73,318.54
2012-10-11,서울시(한강대교),0.66,294.48
2012-10-10,서울시(한강대교),0.70,324.05
2012-10-09,서울시(한강대교),0.67,322.57
2012-10-08,서울시(한강대교),0.75,397.72
2012-10-07,서울시(한강대교),0.70,309.25
2012-10-06,서울시(한강대교),0.85,286.64
2012-10-05,서울시(한강대교),0.98,386.53
2012-10-04,서울시(한강대교),1.05,369.36
2012-10-03,서울시(한강대교),1.03,215.79
2012-10-02,서울시(한강대교),1.19,401.48
2012-10-01,서울시(한강대교),1.08,273.17
2012-09-30,서울시(한강대교),1.08,305.59
2012-09-29,서울시(한강대교),1.23,442.22
2012-09-28,서울시(한강대교),1.14,562.47
2012-09-27,서울시(한강대교),1.04,608.23
2012-09-26,서울시(한강대교),0.95,656.99
2012-09-25,서울시(한강대교),0.92,611.16
2012-09-24,서울시(한강대교),0.87,523.58
2012-09-23,서울시(한강대교),0.92,495.79
2012-09-22,서울시(한강대교),1.08,547.69
2012-09-21,서울시(한강대교),1.23,534.02
2012-09-20,서울시(한강대교),1.42,512.31
2012-09-19,서울시(한강대교),1.87,1035.88
2012-09-18,서울시(한강대교),2.24,1869.26
2012-09-17,서울시(한강대교),2.23,2235.62
