斥/岿/老,螟沥家疙,荐困_DAY,蜡樊_DAY
2012-12-31,己林焙(己林措背),3.53,130.84
2012-12-30,己林焙(己林措背),3.52,130.28
2012-12-29,己林焙(己林措背),3.49,152.81
2012-12-28,己林焙(己林措背),3.45,117.99
2012-12-27,己林焙(己林措背),3.47,127.35
2012-12-26,己林焙(己林措背),3.48,131.03
2012-12-25,己林焙(己林措背),3.47,136.01
2012-12-24,己林焙(己林措背),3.50,116.30
2012-12-23,己林焙(己林措背),3.54,-80.28
2012-12-22,己林焙(己林措背),3.61,-130.40
2012-12-21,己林焙(己林措背),3.55,45.42
2012-12-20,己林焙(己林措背),3.60,193.81
2012-12-19,己林焙(己林措背),3.53,-63.10
2012-12-18,己林焙(己林措背),3.63,-78.01
2012-12-17,己林焙(己林措背),3.53,240.07
2012-12-16,己林焙(己林措背),3.52,203.29
2012-12-15,己林焙(己林措背),3.47,158.94
2012-12-14,己林焙(己林措背),3.53,80.94
2012-12-13,己林焙(己林措背),3.49,60.74
2012-12-12,己林焙(己林措背),3.44,52.05
2012-12-11,己林焙(己林措背),3.57,62.99
2012-12-10,己林焙(己林措背),3.59,-16.09
2012-12-09,己林焙(己林措背),3.60,-155.99
2012-12-08,己林焙(己林措背),3.65,8.84
2012-12-07,己林焙(己林措背),3.72,101.08
2012-12-06,己林焙(己林措背),3.82,-51.49
2012-12-05,己林焙(己林措背),3.84,98.78
2012-12-04,己林焙(己林措背),3.78,-30.30
2012-12-03,己林焙(己林措背),3.89,33.66
2012-12-02,己林焙(己林措背),3.73,19.47
2012-12-01,己林焙(己林措背),3.66,-37.62
2012-11-30,己林焙(己林措背),3.64,138.71
2012-11-29,己林焙(己林措背),3.60,27.18
2012-11-28,己林焙(己林措背),3.68,191.03
2012-11-27,己林焙(己林措背),3.76,1.76
2012-11-26,己林焙(己林措背),4.02,161.03
2012-11-25,己林焙(己林措背),4.22,89.79
2012-11-24,己林焙(己林措背),4.26,-103.53
2012-11-23,己林焙(己林措背),4.32,4.66
2012-11-22,己林焙(己林措背),4.34,24.33
2012-11-21,己林焙(己林措背),4.35,39.90
2012-11-20,己林焙(己林措背),4.29,-62.87
2012-11-19,己林焙(己林措背),4.35,97.25
2012-11-18,己林焙(己林措背),4.39,171.55
2012-11-17,己林焙(己林措背),4.39,80.69
2012-11-16,己林焙(己林措背),4.35,226.36
2012-11-15,己林焙(己林措背),4.37,59.10
2012-11-14,己林焙(己林措背),4.42,214.12
2012-11-13,己林焙(己林措背),4.33,180.52
2012-11-12,己林焙(己林措背),4.20,192.82
2012-11-11,己林焙(己林措背),4.27,147.89
2012-11-10,己林焙(己林措背),4.31,57.99
2012-11-09,己林焙(己林措背),4.39,147.91
2012-11-08,己林焙(己林措背),4.32,114.85
2012-11-07,己林焙(己林措背),4.34,172.07
2012-11-06,己林焙(己林措背),4.31,194.88
2012-11-05,己林焙(己林措背),4.35,256.77
2012-11-04,己林焙(己林措背),4.33,139.33
2012-11-03,己林焙(己林措背),4.31,28.62
2012-11-02,己林焙(己林措背),4.34,70.67
2012-11-01,己林焙(己林措背),4.33,-70.86
2012-10-31,己林焙(己林措背),4.35,73.87
2012-10-30,己林焙(己林措背),4.31,-13.01
2012-10-29,己林焙(己林措背),4.31,141.68
2012-10-28,己林焙(己林措背),4.24,-127.37
2012-10-27,己林焙(己林措背),4.25,122.67
2012-10-26,己林焙(己林措背),4.26,-9.47
2012-10-25,己林焙(己林措背),4.28,106.12
2012-10-24,己林焙(己林措背),4.30,179.84
2012-10-23,己林焙(己林措背),4.33,160.11
2012-10-22,己林焙(己林措背),4.28,280.02
2012-10-21,己林焙(己林措背),4.26,140.89
2012-10-20,己林焙(己林措背),4.29,66.93
2012-10-19,己林焙(己林措背),4.22,-12.55
2012-10-18,己林焙(己林措背),4.31,-24.21
2012-10-17,己林焙(己林措背),4.24,1.02
2012-10-16,己林焙(己林措背),4.24,198.04
2012-10-15,己林焙(己林措背),4.32,225.49
2012-10-14,己林焙(己林措背),4.27,151.71
2012-10-13,己林焙(己林措背),4.23,75.16
2012-10-12,己林焙(己林措背),4.20,1.80
2012-10-11,己林焙(己林措背),4.15,138.53
2012-10-10,己林焙(己林措背),4.25,254.48
2012-10-09,己林焙(己林措背),4.28,227.28
2012-10-08,己林焙(己林措背),4.28,76.92
2012-10-07,己林焙(己林措背),4.28,27.47
2012-10-06,己林焙(己林措背),4.27,24.80
2012-10-05,己林焙(己林措背),4.22,-5.32
2012-10-04,己林焙(己林措背),4.31,44.28
2012-10-03,己林焙(己林措背),4.36,72.01
2012-10-02,己林焙(己林措背),4.36,167.17
2012-10-01,己林焙(己林措背),4.36,182.60
2012-09-30,己林焙(己林措背),4.34,217.58
2012-09-29,己林焙(己林措背),4.37,188.58
2012-09-28,己林焙(己林措背),4.26,139.45
2012-09-27,己林焙(己林措背),4.26,161.55
2012-09-26,己林焙(己林措背),4.18,-17.90
2012-09-25,己林焙(己林措背),3.98,588.48
2012-09-24,己林焙(己林措背),4.27,455.46
2012-09-23,己林焙(己林措背),4.32,468.14
2012-09-22,己林焙(己林措背),4.33,613.24
2012-09-21,己林焙(己林措背),4.36,748.76
2012-09-20,己林焙(己林措背),4.33,835.89
2012-09-19,己林焙(己林措背),4.39,1782.66
2012-09-18,己林焙(己林措背),5.77,5574.76
2012-09-17,己林焙(己林措背),5.23,4555.17
2012-09-16,己林焙(己林措背),3.78,881.22
2012-09-15,己林焙(己林措背),4.19,519.60
2012-09-14,己林焙(己林措背),4.07,317.61
2012-09-13,己林焙(己林措背),3.74,441.32
2012-09-12,己林焙(己林措背),4.54,425.51
2012-09-11,己林焙(己林措背),4.40,591.48
2012-09-10,己林焙(己林措背),4.36,730.62
2012-09-09,己林焙(己林措背),4.47,1189.71
2012-09-08,己林焙(己林措背),4.56, 
2012-09-07,己林焙(己林措背),4.40,656.47
2012-09-06,己林焙(己林措背),4.40, 
2012-09-05,己林焙(己林措背),4.49, 
2012-09-04,己林焙(己林措背),4.46,486.43
2012-09-03,己林焙(己林措背),4.22,583.84
2012-09-02,己林焙(己林措背),4.23,669.49
2012-09-01,己林焙(己林措背),4.37,1062.21
2012-08-31,己林焙(己林措背),4.48,1711.79
2012-08-30,己林焙(己林措背),4.33,1427.79
2012-08-29,己林焙(己林措背),4.44,997.67
2012-08-28,己林焙(己林措背),4.05,537.43
2012-08-27,己林焙(己林措背),4.13,743.84
2012-08-26,己林焙(己林措背),4.30,983.32
2012-08-25,己林焙(己林措背),4.36,1500.28
2012-08-24,己林焙(己林措背),4.41,1755.94
2012-08-23,己林焙(己林措背),4.42,1704.66
2012-08-22,己林焙(己林措背),4.42,549.76
2012-08-21,己林焙(己林措背),4.39,563.36
2012-08-20,己林焙(己林措背),4.44,564.18
2012-08-19,己林焙(己林措背),4.42,723.28
2012-08-18,己林焙(己林措背),4.44,1145.17
2012-08-17,己林焙(己林措背),4.45,1163.31
2012-08-16,己林焙(己林措背),4.52,1918.06
2012-08-15,己林焙(己林措背),4.46,822.23
2012-08-14,己林焙(己林措背),4.46,874.92
2012-08-13,己林焙(己林措背),4.48,1357.20
2012-08-12,己林焙(己林措背),4.34, 
2012-08-11,己林焙(己林措背),4.28, 
2012-08-10,己林焙(己林措背),4.31,-8.38
2012-08-09,己林焙(己林措背),4.32,245.60
2012-08-08,己林焙(己林措背),4.31,260.16
2012-08-07,己林焙(己林措背),4.28,196.92
2012-08-06,己林焙(己林措背),4.32,-23.40
2012-08-05,己林焙(己林措背),4.29,16.25
2012-08-04,己林焙(己林措背),4.30,121.32
2012-08-03,己林焙(己林措背),4.28,90.04
2012-08-02,己林焙(己林措背),4.29,170.27
2012-08-01,己林焙(己林措背),4.30,44.26
2012-07-31,己林焙(己林措背),4.32,-120.16
2012-07-30,己林焙(己林措背),4.33,82.46
2012-07-29,己林焙(己林措背),4.34,87.02
2012-07-28,己林焙(己林措背),4.27, 
2012-07-27,己林焙(己林措背),4.29,23.37
2012-07-26,己林焙(己林措背),4.27,42.92
2012-07-25,己林焙(己林措背),4.34,202.90
2012-07-24,己林焙(己林措背),4.37,203.07
2012-07-23,己林焙(己林措背),4.35,540.02
2012-07-22,己林焙(己林措背),4.32,378.26
2012-07-21,己林焙(己林措背),4.31,536.94
2012-07-20,己林焙(己林措背),4.42, 
2012-07-19,己林焙(己林措背),4.41,1028.72
2012-07-18,己林焙(己林措背),4.43, 
2012-07-17,己林焙(己林措背),4.35,646.81
2012-07-16,己林焙(己林措背),4.45,1152.10
2012-07-15,己林焙(己林措背),4.46,1470.00
2012-07-14,己林焙(己林措背),4.51,501.41
2012-07-13,己林焙(己林措背),4.54,503.72
2012-07-12,己林焙(己林措背),4.39, 
2012-07-11,己林焙(己林措背),4.35,525.06
2012-07-10,己林焙(己林措背),4.39,314.38
2012-07-09,己林焙(己林措背),4.48,455.42
2012-07-08,己林焙(己林措背),4.41,667.54
2012-07-07,己林焙(己林措背),4.52,1825.12
2012-07-06,己林焙(己林措背),4.51,758.38
2012-07-05,己林焙(己林措背),4.40,203.00
2012-07-04,己林焙(己林措背),4.34,189.10
2012-07-03,己林焙(己林措背),4.22,-44.82
2012-07-02,己林焙(己林措背),4.28,180.49
2012-07-01,己林焙(己林措背),4.30,97.91
2012-06-30,己林焙(己林措背),4.31,362.85
2012-06-29,己林焙(己林措背),4.28,302.77
2012-06-28,己林焙(己林措背),4.22,-24.87
2012-06-27,己林焙(己林措背),4.35,103.66
2012-06-26,己林焙(己林措背),4.28,-4.15
2012-06-25,己林焙(己林措背),4.33,74.27
2012-06-24,己林焙(己林措背),4.31,-56.21
2012-06-23,己林焙(己林措背),4.19,120.97
2012-06-22,己林焙(己林措背),4.16,265.12
2012-06-21,己林焙(己林措背),4.25,-51.02
2012-06-20,己林焙(己林措背),4.16,287.53
2012-06-19,己林焙(己林措背),4.14,-107.94
2012-06-18,己林焙(己林措背),4.28,46.72
2012-06-17,己林焙(己林措背),4.25,128.87
2012-06-16,己林焙(己林措背),4.23,104.86
2012-06-15,己林焙(己林措背),4.26,168.89
2012-06-14,己林焙(己林措背),4.28,107.55
2012-06-13,己林焙(己林措背),4.12,-25.83
2012-06-12,己林焙(己林措背),4.01,-94.09
2012-06-11,己林焙(己林措背),4.12,-18.97
2012-06-10,己林焙(己林措背),4.22,86.24
2012-06-09,己林焙(己林措背),4.16,-16.88
2012-06-08,己林焙(己林措背),4.30,365.30
2012-06-07,己林焙(己林措背),4.13,254.48
2012-06-06,己林焙(己林措背),3.94,-105.33
2012-06-05,己林焙(己林措背),4.04,5.71
2012-06-04,己林焙(己林措背),4.19,174.80
2012-06-03,己林焙(己林措背),4.19,99.48
2012-06-02,己林焙(己林措背),4.28,110.78
2012-06-01,己林焙(己林措背),4.20,163.37
2012-05-31,己林焙(己林措背),4.17,-95.53
2012-05-30,己林焙(己林措背),4.22,118.89
2012-05-29,己林焙(己林措背),4.12,103.93
2012-05-28,己林焙(己林措背),4.14,126.89
2012-05-27,己林焙(己林措背),4.06,-52.04
2012-05-26,己林焙(己林措背),4.11,-123.63
2012-05-25,己林焙(己林措背),4.03,14.75
2012-05-24,己林焙(己林措背),4.10,37.71
2012-05-23,己林焙(己林措背),4.22,216.54
2012-05-22,己林焙(己林措背),3.99,100.70
2012-05-21,己林焙(己林措背),4.02,-23.23
2012-05-20,己林焙(己林措背),4.11,154.04
2012-05-19,己林焙(己林措背),4.00,225.50
2012-05-18,己林焙(己林措背),3.88,75.60
2012-05-17,己林焙(己林措背),4.09,84.53
2012-05-16,己林焙(己林措背),4.07,59.75
2012-05-15,己林焙(己林措背),4.09,-42.90
2012-05-14,己林焙(己林措背),4.10,88.71
2012-05-13,己林焙(己林措背),4.15,233.54
2012-05-12,己林焙(己林措背),4.18,174.83
2012-05-11,己林焙(己林措背),4.22,163.10
2012-05-10,己林焙(己林措背),4.31,176.72
2012-05-09,己林焙(己林措背),4.23,-7.55
2012-05-08,己林焙(己林措背),4.22,30.61
2012-05-07,己林焙(己林措背),4.30,128.44
2012-05-06,己林焙(己林措背),4.27,-24.96
2012-05-05,己林焙(己林措背),4.29,-63.81
2012-05-04,己林焙(己林措背),4.30,46.97
2012-05-03,己林焙(己林措背),4.25,48.05
2012-05-02,己林焙(己林措背),4.29,239.95
2012-05-01,己林焙(己林措背),4.28,206.41
2012-04-30,己林焙(己林措背),4.25,193.13
2012-04-29,己林焙(己林措背),4.31,323.17
2012-04-28,己林焙(己林措背),4.30,515.24
2012-04-27,己林焙(己林措背),4.35,767.58
2012-04-26,己林焙(己林措背),4.31,343.20
2012-04-25,己林焙(己林措背),4.31,344.75
2012-04-24,己林焙(己林措背),4.26,306.00
2012-04-23,己林焙(己林措背),4.34,535.79
2012-04-22,己林焙(己林措背),4.31,592.07
2012-04-21,己林焙(己林措背),4.28,185.35
2012-04-20,己林焙(己林措背),4.30,23.12
2012-04-19,己林焙(己林措背),4.26,67.08
2012-04-18,己林焙(己林措背),4.30,356.43
2012-04-17,己林焙(己林措背),4.30,-24.89
2012-04-16,己林焙(己林措背),4.32, 
2012-04-15,己林焙(己林措背),4.32, 
2012-04-14,己林焙(己林措背),4.19,-2.81
2012-04-13,己林焙(己林措背),4.16,-80.48
2012-04-12,己林焙(己林措背),4.25,13.30
2012-04-11,己林焙(己林措背),4.29,84.50
2012-04-10,己林焙(己林措背),4.20, 
2012-04-09,己林焙(己林措背),4.25, 
2012-04-08,己林焙(己林措背),4.30, 
2012-04-07,己林焙(己林措背),4.34, 
2012-04-06,己林焙(己林措背),4.31, 
2012-04-05,己林焙(己林措背),4.17,318.60
2012-04-04,己林焙(己林措背),4.19,569.46
2012-04-03,己林焙(己林措背),4.17,308.92
2012-04-02,己林焙(己林措背),4.29,218.25
2012-04-01,己林焙(己林措背),4.29,147.20
2012-03-31,己林焙(己林措背),4.36,101.85
2012-03-30,己林焙(己林措背),4.30,474.09
2012-03-29,己林焙(己林措背),4.05,308.25
2012-03-28,己林焙(己林措背),4.11,15.40
2012-03-27,己林焙(己林措背),4.02,23.76
2012-03-26,己林焙(己林措背),4.07,-24.80
