년/월/일,측정소명_DAY,수위_DAY,유량_DAY
2012-12-31,세종시(금남교),0.88,343.51
2012-12-30,세종시(금남교),0.92,378.59
2012-12-29,세종시(금남교),0.94,394.75
2012-12-28,세종시(금남교),0.92,378.64
2012-12-27,세종시(금남교),0.87,337.77
2012-12-26,세종시(금남교),0.92,377.96
2012-12-25,세종시(금남교),0.90,362.18
2012-12-24,세종시(금남교),0.92,379.76
2012-12-23,세종시(금남교),0.89,352.77
2012-12-22,세종시(금남교),0.89,352.64
2012-12-21,세종시(금남교),0.90,357.53
2012-12-20,세종시(금남교),0.90,358.50
2012-12-19,세종시(금남교),0.91,370.51
2012-12-18,세종시(금남교),0.87,342.17
2012-12-17,세종시(금남교),0.87,342.23
2012-12-16,세종시(금남교),0.94,390.71
2012-12-15,세종시(금남교),0.96,409.21
2012-12-14,세종시(금남교),0.90,361.48
2012-12-13,세종시(금남교),0.86,329.82
2012-12-12,세종시(금남교),0.86,331.03
2012-12-11,세종시(금남교),0.82,300.31
2012-12-10,세종시(금남교),0.88,346.37
2012-12-09,세종시(금남교),0.87,336.84
2012-12-08,세종시(금남교),0.85,319.85
2012-12-07,세종시(금남교),0.86,329.94
2012-12-06,세종시(금남교),0.85,318.54
2012-12-05,세종시(금남교),0.83,308.50
2012-12-04,세종시(금남교),0.86,326.45
2012-12-03,세종시(금남교),0.87,337.14
2012-12-02,세종시(금남교),0.83,306.96
2012-12-01,세종시(금남교),0.87,340.43
2012-11-30,세종시(금남교),0.85,325.71
2012-11-29,세종시(금남교),0.85,319.53
2012-11-28,세종시(금남교),0.80,282.15
2012-11-27,세종시(금남교),0.88,341.74
2012-11-26,세종시(금남교),0.84,316.08
2012-11-25,세종시(금남교),0.86,331.28
2012-11-24,세종시(금남교),0.83,309.34
2012-11-23,세종시(금남교),0.84,318.21
2012-11-22,세종시(금남교),0.91,367.59
2012-11-21,세종시(금남교),0.90,360.78
2012-11-20,세종시(금남교),0.86,328.09
2012-11-19,세종시(금남교),0.87,340.25
2012-11-18,세종시(금남교),0.88,347.52
2012-11-17,세종시(금남교),0.79,283.67
2012-11-16,세종시(금남교),0.90,364.15
2012-11-15,세종시(금남교),0.92,374.76
2012-11-14,세종시(금남교),1.01,457.56
2012-11-13,세종시(금남교),1.06,502.27
2012-11-12,세종시(금남교),0.85,340.70
2012-11-11,세종시(금남교),0.71,225.58
2012-11-10,세종시(금남교),0.63,180.56
2012-11-09,세종시(금남교),0.74,243.86
2012-11-08,세종시(금남교),0.79,286.88
2012-11-07,세종시(금남교),0.35,90.98
2012-11-06,세종시(금남교),0.84,314.25
2012-11-05,세종시(금남교),0.90,363.98
2012-11-04,세종시(금남교),0.86,329.00
2012-11-03,세종시(금남교),0.87,334.65
2012-11-02,세종시(금남교),0.92,378.49
2012-11-01,세종시(금남교),0.94,391.05
2012-10-31,세종시(금남교),0.86,330.88
2012-10-30,세종시(금남교),0.88,346.86
2012-10-29,세종시(금남교),0.93,383.31
2012-10-28,세종시(금남교),0.97,419.08
2012-10-27,세종시(금남교),0.94,398.49
2012-10-26,세종시(금남교),0.93,385.77
2012-10-25,세종시(금남교),0.92,378.30
2012-10-24,세종시(금남교),0.94,393.14
2012-10-23,세종시(금남교),1.05,493.11
2012-10-22,세종시(금남교),0.97,427.61
2012-10-21,세종시(금남교),0.87,336.27
2012-10-20,세종시(금남교),0.96,412.68
2012-10-19,세종시(금남교),0.87,339.91
2012-10-18,세종시(금남교),0.84,315.95
2012-10-17,세종시(금남교),0.88,344.41
2012-10-16,세종시(금남교),0.87,336.75
2012-10-15,세종시(금남교),0.87,334.22
2012-10-14,세종시(금남교),0.82,300.65
2012-10-13,세종시(금남교),0.86,331.98
2012-10-12,세종시(금남교),0.92,377.92
2012-10-11,세종시(금남교),0.94,391.10
2012-10-10,세종시(금남교),0.77,285.93
2012-10-09,세종시(금남교),0.75,257.41
2012-10-08,세종시(금남교),0.89,353.09
2012-10-07,세종시(금남교),0.82,297.76
2012-10-06,세종시(금남교),0.91,368.66
2012-10-05,세종시(금남교),0.85,325.87
2012-10-04,세종시(금남교),0.88,349.04
2012-10-03,세종시(금남교),0.81,296.04
2012-10-02,세종시(금남교),0.84,316.08
2012-10-01,세종시(금남교),0.82,301.89
2012-09-30,세종시(금남교),0.88,342.43
2012-09-29,세종시(금남교),0.88,341.87
2012-09-28,세종시(금남교),0.82,303.44
2012-09-27,세종시(금남교),1.01,458.51
2012-09-26,세종시(금남교),1.03,493.72
2012-09-25,세종시(금남교),1.13,580.83
2012-09-24,세종시(금남교),0.94,402.91
2012-09-23,세종시(금남교),0.99,441.91
2012-09-22,세종시(금남교),1.05,496.97
2012-09-21,세종시(금남교),0.90,368.88
2012-09-20,세종시(금남교),0.95,403.06
2012-09-19,세종시(금남교),1.02,481.88
2012-09-18,세종시(금남교),1.61,1143.05
2012-09-17,세종시(금남교),1.57,1107.62
2012-09-16,세종시(금남교),1.09,535.74
2012-09-15,세종시(금남교),1.05,498.62
2012-09-14,세종시(금남교),1.00,446.36
2012-09-13,세종시(금남교),0.98,428.40
2012-09-12,세종시(금남교),0.98,425.25
2012-09-11,세종시(금남교),1.09,537.10
2012-09-10,세종시(금남교),0.92,385.61
2012-09-09,세종시(금남교),0.69,217.34
2012-09-08,세종시(금남교),1.19,697.39
2012-09-07,세종시(금남교),1.31,778.49
2012-09-06,세종시(금남교),1.50,1048.99
2012-09-05,세종시(금남교),1.86,1416.85
2012-09-04,세종시(금남교),1.01,466.28
2012-09-03,세종시(금남교),0.98,431.76
2012-09-02,세종시(금남교),0.85,333.73
2012-09-01,세종시(금남교),0.93,405.40
2012-08-31,세종시(금남교),2.39,1830.01
2012-08-30,세종시(금남교),1.71,1122.18
2012-08-29,세종시(금남교),1.00,453.45
2012-08-28,세종시(금남교),0.78,278.50
2012-08-27,세종시(금남교),0.88,347.35
2012-08-26,세종시(금남교),0.80,295.86
2012-08-25,세종시(금남교),0.81,293.07
2012-08-24,세종시(금남교),0.90,360.94
2012-08-23,세종시(금남교),1.01,473.98
2012-08-22,세종시(금남교),1.23,692.63
2012-08-21,세종시(금남교),1.14,591.09
2012-08-20,세종시(금남교),0.94,398.93
2012-08-19,세종시(금남교),0.95,408.04
2012-08-18,세종시(금남교),0.85,327.61
2012-08-17,세종시(금남교),0.86,335.56
2012-08-16,세종시(금남교),2.48,1875.38
2012-08-15,세종시(금남교),1.16,634.62
2012-08-14,세종시(금남교),0.86,336.83
2012-08-13,세종시(금남교),1.20,679.68
2012-08-12,세종시(금남교),0.86,336.41
2012-08-11,세종시(금남교),0.87,338.72
2012-08-10,세종시(금남교),0.82,306.17
2012-08-09,세종시(금남교),0.77,267.97
2012-08-08,세종시(금남교),0.77,267.90
2012-08-07,세종시(금남교),0.77,271.11
2012-08-06,세종시(금남교),0.81,301.01
2012-08-05,세종시(금남교),0.70,217.19
2012-08-04,세종시(금남교),0.68,207.52
2012-08-03,세종시(금남교),0.67,199.33
