년/월/일,측정소명_DAY,수위_DAY,유량_DAY
2012-12-31,여주시(여주대교),0.68,158.44
2012-12-30,여주시(여주대교),0.70,164.11
2012-12-29,여주시(여주대교),0.70,165.56
2012-12-28,여주시(여주대교),0.71,168.89
2012-12-27,여주시(여주대교),0.72,173.88
2012-12-26,여주시(여주대교),0.72,168.42
2012-12-25,여주시(여주대교),0.72,174.72
2012-12-24,여주시(여주대교),0.73,171.90
2012-12-23,여주시(여주대교),0.73,175.55
2012-12-22,여주시(여주대교),0.73,180.47
2012-12-21,여주시(여주대교),0.73,178.30
2012-12-20,여주시(여주대교),0.75,182.86
2012-12-19,여주시(여주대교),0.78,196.12
2012-12-18,여주시(여주대교),0.81,212.50
2012-12-17,여주시(여주대교),0.82,228.64
2012-12-16,여주시(여주대교),0.79,218.48
2012-12-15,여주시(여주대교),0.75,199.28
2012-12-14,여주시(여주대교),0.69,162.30
2012-12-13,여주시(여주대교),0.67,148.88
2012-12-12,여주시(여주대교),0.67,147.52
2012-12-11,여주시(여주대교),0.67,153.45
2012-12-10,여주시(여주대교),0.69,151.89
2012-12-09,여주시(여주대교),0.70,151.98
2012-12-08,여주시(여주대교),0.67,154.05
2012-12-07,여주시(여주대교),0.68,160.09
2012-12-06,여주시(여주대교),0.70,160.86
2012-12-05,여주시(여주대교),0.71,159.77
2012-12-04,여주시(여주대교),0.69,159.62
2012-12-03,여주시(여주대교),0.68,162.04
2012-12-02,여주시(여주대교),0.71,160.47
2012-12-01,여주시(여주대교),0.71,152.18
2012-11-30,여주시(여주대교),0.59,164.05
2012-11-29,여주시(여주대교),0.62,168.51
2012-11-28,여주시(여주대교),0.34,163.83
2012-11-27,여주시(여주대교),0.38,159.98
2012-11-26,여주시(여주대교),0.66,153.31
2012-11-25,여주시(여주대교),0.61,148.47
2012-11-24,여주시(여주대교),0.66,154.81
2012-11-23,여주시(여주대교),0.58,161.55
2012-11-22,여주시(여주대교),0.69,168.50
2012-11-21,여주시(여주대교),0.71,176.02
2012-11-20,여주시(여주대교),0.72,175.54
2012-11-19,여주시(여주대교),0.71,171.78
2012-11-18,여주시(여주대교),0.68,159.78
2012-11-17,여주시(여주대교),0.76,186.67
2012-11-16,여주시(여주대교),0.76,191.04
2012-11-15,여주시(여주대교),0.77,196.90
2012-11-14,여주시(여주대교),0.79,207.70
2012-11-13,여주시(여주대교),0.78,199.40
2012-11-12,여주시(여주대교),0.73,183.07
2012-11-11,여주시(여주대교),0.68,155.87
2012-11-10,여주시(여주대교),0.64,146.86
2012-11-09,여주시(여주대교),0.65,154.73
2012-11-08,여주시(여주대교),0.66,154.94
2012-11-07,여주시(여주대교),0.71,158.81
2012-11-06,여주시(여주대교),0.64,163.59
2012-11-05,여주시(여주대교),0.63,142.59
2012-11-04,여주시(여주대교),0.60,142.75
2012-11-03,여주시(여주대교),0.61,146.05
2012-11-02,여주시(여주대교),0.67,155.18
2012-11-01,여주시(여주대교),0.68,157.09
2012-10-31,여주시(여주대교),0.72,171.38
2012-10-30,여주시(여주대교),0.74,180.82
2012-10-29,여주시(여주대교),0.78,196.27
