년/월/일,측정소명_DAY,수위_DAY,유량_DAY
2012-12-31,여주시(이포대교),2.09,205.06
2012-12-30,여주시(이포대교),2.03,161.68
2012-12-29,여주시(이포대교),2.06,150.16
2012-12-28,여주시(이포대교),2.09,163.30
2012-12-27,여주시(이포대교),2.10,152.39
2012-12-26,여주시(이포대교),2.08,156.70
2012-12-25,여주시(이포대교),2.07,172.96
2012-12-24,여주시(이포대교),2.06,147.18
2012-12-23,여주시(이포대교),2.05,178.28
2012-12-22,여주시(이포대교),2.07,187.84
2012-12-21,여주시(이포대교),2.08,183.94
2012-12-20,여주시(이포대교),2.08,169.74
2012-12-19,여주시(이포대교),2.11,216.57
2012-12-18,여주시(이포대교),2.14,249.77
2012-12-17,여주시(이포대교),2.18,270.44
2012-12-16,여주시(이포대교),2.17,262.68
2012-12-15,여주시(이포대교),2.13,236.28
2012-12-14,여주시(이포대교),2.05,157.85
2012-12-13,여주시(이포대교),2.05,120.93
2012-12-12,여주시(이포대교),2.05,119.98
2012-12-11,여주시(이포대교),2.05,120.30
2012-12-10,여주시(이포대교),1.98,129.48
2012-12-09,여주시(이포대교),1.92,133.97
2012-12-08,여주시(이포대교),1.95,149.67
2012-12-07,여주시(이포대교),1.98,151.43
2012-12-06,여주시(이포대교),1.99,156.96
2012-12-05,여주시(이포대교),1.98,162.15
2012-12-04,여주시(이포대교),2.00,159.34
2012-12-03,여주시(이포대교),2.00,142.70
2012-12-02,여주시(이포대교),2.00,157.30
2012-12-01,여주시(이포대교),1.99,139.01
2012-11-30,여주시(이포대교),1.98,138.21
2012-11-29,여주시(이포대교),1.98,144.93
2012-11-28,여주시(이포대교),1.97,145.46
2012-11-27,여주시(이포대교),1.97,154.60
2012-11-26,여주시(이포대교),1.97,137.55
2012-11-25,여주시(이포대교),1.93,134.28
2012-11-24,여주시(이포대교),1.99,140.40
2012-11-23,여주시(이포대교),1.95,159.80
2012-11-22,여주시(이포대교),2.00,164.69
2012-11-21,여주시(이포대교),2.06,171.64
2012-11-20,여주시(이포대교),2.06,171.08
2012-11-19,여주시(이포대교),1.97,174.55
2012-11-18,여주시(이포대교),1.99,164.11
2012-11-17,여주시(이포대교),2.03,206.69
2012-11-16,여주시(이포대교),2.01,196.31
2012-11-15,여주시(이포대교),2.04,216.68
2012-11-14,여주시(이포대교),2.08,233.43
2012-11-13,여주시(이포대교),2.08,225.02
2012-11-12,여주시(이포대교),2.03,200.77
2012-11-11,여주시(이포대교),1.99,161.81
2012-11-10,여주시(이포대교),1.92,119.67
2012-11-09,여주시(이포대교),1.95,157.12
2012-11-08,여주시(이포대교),1.94,144.53
2012-11-07,여주시(이포대교),2.01,168.23
2012-11-06,여주시(이포대교),1.99,159.00
2012-11-05,여주시(이포대교),1.94,130.37
2012-11-04,여주시(이포대교),1.92,111.74
2012-11-03,여주시(이포대교),1.94,134.43
2012-11-02,여주시(이포대교),1.96,151.43
2012-11-01,여주시(이포대교),1.99,163.98
2012-10-31,여주시(이포대교),2.06,187.72
2012-10-30,여주시(이포대교),2.10,183.67
2012-10-29,여주시(이포대교),2.07,225.53
2012-10-28,여주시(이포대교),2.15,247.07
2012-10-27,여주시(이포대교),2.06,192.06
2012-10-26,여주시(이포대교),1.95,99.28
2012-10-25,여주시(이포대교),1.99,164.04
2012-10-24,여주시(이포대교),2.07,196.82
2012-10-23,여주시(이포대교),2.15,257.89
2012-10-22,여주시(이포대교),1.99,173.89
2012-10-21,여주시(이포대교),1.92,110.27
2012-10-20,여주시(이포대교),1.79,164.81
2012-10-19,여주시(이포대교),1.99,159.57
2012-10-18,여주시(이포대교),1.85,214.93
2012-10-17,여주시(이포대교),1.77,152.84
2012-10-16,여주시(이포대교),1.98,140.08
2012-10-15,여주시(이포대교),1.99,144.25
2012-10-14,여주시(이포대교),1.95,156.86
2012-10-13,여주시(이포대교),1.98,151.93
2012-10-12,여주시(이포대교),2.02,157.50
2012-10-11,여주시(이포대교),2.02,150.88
2012-10-10,여주시(이포대교),2.01,168.83
2012-10-09,여주시(이포대교),1.99,159.61
2012-10-08,여주시(이포대교),2.05,195.50
2012-10-07,여주시(이포대교),2.01,167.22
2012-10-06,여주시(이포대교),2.08,207.99
2012-10-05,여주시(이포대교),2.09,224.78
2012-10-04,여주시(이포대교),2.12,246.39
2012-10-03,여주시(이포대교),2.07,204.53
2012-10-02,여주시(이포대교),2.07,198.94
2012-10-01,여주시(이포대교),2.08,212.93
2012-09-30,여주시(이포대교),2.12,233.17
2012-09-29,여주시(이포대교),2.09,361.03
2012-09-28,여주시(이포대교),2.25,630.91
