년/월/일,측정소명_DAY,수위_DAY,유량_DAY
2012-12-31,여주시(남한강교),1.88,150.68
2012-12-30,여주시(남한강교),1.89,163.53
2012-12-29,여주시(남한강교),1.90,174.91
2012-12-28,여주시(남한강교),1.92,175.12
2012-12-27,여주시(남한강교),1.94,180.51
2012-12-26,여주시(남한강교),1.91,156.60
2012-12-25,여주시(남한강교),1.92,176.94
2012-12-24,여주시(남한강교),1.92,170.16
2012-12-23,여주시(남한강교),1.93,179.50
2012-12-22,여주시(남한강교),1.94,186.74
2012-12-21,여주시(남한강교),1.92,189.04
2012-12-20,여주시(남한강교),1.89,187.32
2012-12-19,여주시(남한강교),1.93,201.58
2012-12-18,여주시(남한강교),1.96,212.91
2012-12-17,여주시(남한강교),2.00,228.09
2012-12-16,여주시(남한강교),1.98,226.68
2012-12-15,여주시(남한강교),1.94,203.85
2012-12-14,여주시(남한강교),1.83,163.00
2012-12-13,여주시(남한강교),1.80,148.54
2012-12-12,여주시(남한강교),1.79,145.33
2012-12-11,여주시(남한강교),1.81,152.92
2012-12-10,여주시(남한강교),1.80,149.29
2012-12-09,여주시(남한강교),1.82,148.04
2012-12-08,여주시(남한강교),1.82,151.96
2012-12-07,여주시(남한강교),1.82,157.10
2012-12-06,여주시(남한강교),1.82,156.97
2012-12-05,여주시(남한강교),1.74,150.31
2012-12-04,여주시(남한강교),1.93,151.61
2012-12-03,여주시(남한강교),1.84,150.91
2012-12-02,여주시(남한강교),1.83,146.63
2012-12-01,여주시(남한강교),1.83,147.10
2012-11-30,여주시(남한강교),1.85,151.88
2012-11-29,여주시(남한강교),1.81,152.33
2012-11-28,여주시(남한강교),1.89,142.31
2012-11-27,여주시(남한강교),1.89,137.62
2012-11-26,여주시(남한강교),1.82,141.74
2012-11-25,여주시(남한강교),1.81,140.56
2012-11-24,여주시(남한강교),1.84,139.35
2012-11-23,여주시(남한강교),1.84,145.24
2012-11-22,여주시(남한강교),1.83,154.33
2012-11-21,여주시(남한강교),1.86,162.32
2012-11-20,여주시(남한강교),1.86,159.87
2012-11-19,여주시(남한강교),1.87,163.53
2012-11-18,여주시(남한강교),1.80,145.87
2012-11-17,여주시(남한강교),1.89,176.11
2012-11-16,여주시(남한강교),1.91,183.12
2012-11-15,여주시(남한강교),1.94,184.99
2012-11-14,여주시(남한강교),1.97,202.10
2012-11-13,여주시(남한강교),1.92,180.91
2012-11-12,여주시(남한강교),1.93,159.75
2012-11-11,여주시(남한강교),1.83,138.74
2012-11-10,여주시(남한강교),1.77,147.70
2012-11-09,여주시(남한강교),1.81,150.81
2012-11-08,여주시(남한강교),1.83,145.76
2012-11-07,여주시(남한강교),1.82,147.87
2012-11-06,여주시(남한강교),1.82,149.12
2012-11-05,여주시(남한강교),1.78,141.59
2012-11-04,여주시(남한강교),1.77,142.07
2012-11-03,여주시(남한강교),1.76,136.00
2012-11-02,여주시(남한강교),1.80,151.38
2012-11-01,여주시(남한강교),1.78,150.45
