년/월/일,측정소명,수위_DAY,유량_DAY
2012-12-31,의성군(낙단교,-0.63,35.05
2012-12-30,의성군(낙단교,-0.61,43.19
2012-12-29,의성군(낙단교,-0.61,58.86
2012-12-28,의성군(낙단교,-0.63,63.10
2012-12-27,의성군(낙단교,-0.72,57.30
2012-12-26,의성군(낙단교,-0.72,56.48
2012-12-25,의성군(낙단교,-0.66,64.47
2012-12-24,의성군(낙단교,-0.59,47.64
2012-12-23,의성군(낙단교,-0.60,32.10
2012-12-22,의성군(낙단교,-0.57,38.27
2012-12-21,의성군(낙단교,-0.61,37.43
2012-12-20,의성군(낙단교,-0.55,54.57
2012-12-19,의성군(낙단교,-0.59,31.47
2012-12-18,의성군(낙단교,-0.59,78.97
2012-12-17,의성군(낙단교,-0.49,113.79
2012-12-16,의성군(낙단교,-0.49,115.60
2012-12-15,의성군(낙단교,-0.60,66.56
2012-12-14,의성군(낙단교,-0.62,85.81
2012-12-13,의성군(낙단교,-0.63,59.48
2012-12-12,의성군(낙단교,-0.69,52.15
2012-12-11,의성군(낙단교,-0.71,47.63
2012-12-10,의성군(낙단교,-0.59,51.64
2012-12-09,의성군(낙단교,-0.56,53.08
2012-12-08,의성군(낙단교,-0.57,59.45
2012-12-07,의성군(낙단교,-0.64,53.21
2012-12-06,의성군(낙단교,-0.65,61.13
2012-12-05,의성군(낙단교,-0.64,68.44
2012-12-04,의성군(낙단교,-0.61,73.63
2012-12-03,의성군(낙단교,-0.55,61.00
2012-12-02,의성군(낙단교,-0.55,37.28
2012-12-01,의성군(낙단교,-0.56,45.71
2012-11-30,의성군(낙단교,-0.55,65.88
2012-11-29,의성군(낙단교,-0.76,61.91
2012-11-28,의성군(낙단교,-0.94,53.75
2012-11-27,의성군(낙단교,-0.92,43.01
2012-11-26,의성군(낙단교,-0.75,42.98
2012-11-25,의성군(낙단교,-0.58,52.89
2012-11-24,의성군(낙단교,-0.65,47.63
2012-11-23,의성군(낙단교,-0.77,52.00
2012-11-22,의성군(낙단교,-0.86,41.26
2012-11-21,의성군(낙단교,-1.04,22.46
2012-11-20,의성군(낙단교,-0.93,32.84
2012-11-19,의성군(낙단교,-0.63,36.75
