년/월/일,측정소명,수위_DAY,유량_DAY
2012-12-31,진주시(내평리),40.49,0.00
2012-12-30,진주시(내평리),40.54,0.00
2012-12-29,진주시(내평리),40.57,0.00
2012-12-28,진주시(내평리),40.60,0.00
2012-12-27,진주시(내평리),40.63,0.00
2012-12-26,진주시(내평리),40.68,0.00
2012-12-25,진주시(내평리),40.72,0.00
2012-12-24,진주시(내평리),40.79,0.00
2012-12-23,진주시(내평리),40.92,0.00
2012-12-22,진주시(내평리),41.04,0.00
2012-12-21,진주시(내평리),41.13,0.00
2012-12-20,진주시(내평리),41.22,0.00
2012-12-19,진주시(내평리),41.32,0.00
2012-12-18,진주시(내평리),41.42,0.00
2012-12-17,진주시(내평리),41.47,0.00
2012-12-16,진주시(내평리),41.46,0.00
2012-12-15,진주시(내평리),41.33,0.00
2012-12-14,진주시(내평리),41.13,0.00
2012-12-13,진주시(내평리),41.14,0.00
2012-12-12,진주시(내평리),41.18,0.00
2012-12-11,진주시(내평리),41.16,0.00
2012-12-10,진주시(내평리),41.19,0.00
2012-12-09,진주시(내평리),41.21,0.00
2012-12-08,진주시(내평리),41.21,0.00
2012-12-07,진주시(내평리),41.20,0.00
2012-12-06,진주시(내평리),41.21,0.00
2012-12-05,진주시(내평리),41.21,0.00
2012-12-04,진주시(내평리),41.21,0.00
2012-12-03,진주시(내평리),41.22,0.00
2012-12-02,진주시(내평리),41.22,0.00
2012-12-01,진주시(내평리),41.22,0.00
2012-11-30,진주시(내평리),41.21,0.00
2012-11-29,진주시(내평리),41.21,0.00
2012-11-28,진주시(내평리),41.20,0.00
2012-11-27,진주시(내평리),41.19,0.00
2012-11-26,진주시(내평리),41.22,0.00
2012-11-25,진주시(내평리),41.27,0.00
2012-11-24,진주시(내평리),41.32,0.00
2012-11-23,진주시(내평리),41.33,0.00
2012-11-22,진주시(내평리),41.29,0.00
2012-11-21,진주시(내평리),41.24,0.00
2012-11-20,진주시(내평리),41.20,0.00
2012-11-19,진주시(내평리),41.14,0.00
2012-11-18,진주시(내평리),41.08,0.00
2012-11-17,진주시(내평리),41.00,0.00
2012-11-16,진주시(내평리),40.94,0.00
2012-11-15,진주시(내평리),40.90,0.00
2012-11-14,진주시(내평리),40.87,0.00
2012-11-13,진주시(내평리),40.81,0.00
2012-11-12,진주시(내평리),40.74,0.00
2012-11-11,진주시(내평리),40.73,0.00
2012-11-10,진주시(내평리),40.75,0.00
2012-11-09,진주시(내평리),40.81,0.00
2012-11-08,진주시(내평리),40.85,0.00
2012-11-07,진주시(내평리),40.82,0.00
2012-11-06,진주시(내평리),40.79,0.00
2012-11-05,진주시(내평리),40.78,0.00
2012-11-04,진주시(내평리),40.93,0.00
2012-11-03,진주시(내평리),41.10,0.00
2012-11-02,진주시(내평리),41.24,0.00
2012-11-01,진주시(내평리),41.31,0.00
2012-10-31,진주시(내평리),41.36,0.00
2012-10-30,진주시(내평리),41.40,0.00
2012-10-29,진주시(내평리),41.42,0.00
2012-10-28,진주시(내평리),41.37,0.00
2012-10-27,진주시(내평리),41.31,0.00
2012-10-26,진주시(내평리),41.33,0.00
2012-10-25,진주시(내평리),41.31,0.00
2012-10-24,진주시(내평리),41.29,0.00
2012-10-23,진주시(내평리),41.24,0.00
2012-10-22,진주시(내평리),41.17,0.00
2012-10-21,진주시(내평리),41.14,0.00
2012-10-20,진주시(내평리),41.13,0.00
2012-10-19,진주시(내평리),41.12,0.00
2012-10-18,진주시(내평리),41.11,0.00
2012-10-17,진주시(내평리),41.10,0.00
2012-10-16,진주시(내평리),41.07,0.00
2012-10-15,진주시(내평리),41.05,0.00
2012-10-14,진주시(내평리),41.13,0.00
2012-10-13,진주시(내평리),41.18,0.00
2012-10-12,진주시(내평리),41.23,0.00
2012-10-11,진주시(내평리),41.27,0.00
2012-10-10,진주시(내평리),41.30,0.00
2012-10-09,진주시(내평리),41.34,0.00
2012-10-08,진주시(내평리),41.37,0.00
2012-10-07,진주시(내평리),41.39,0.00
2012-10-06,진주시(내평리),41.40,0.00
2012-10-05,진주시(내평리),41.42,0.00
2012-10-04,진주시(내평리),41.47,0.00
2012-10-03,진주시(내평리),41.59,0.00
2012-10-02,진주시(내평리),41.70,0.00
2012-10-01,진주시(내평리),41.77,0.00
2012-09-30,진주시(내평리),41.77,0.00
2012-09-29,진주시(내평리),41.82,0.00
2012-09-28,진주시(내평리),41.89,0.00
2012-09-27,진주시(내평리),41.96,0.00
2012-09-26,진주시(내평리),42.03,0.00
2012-09-25,진주시(내평리),42.07,0.00
2012-09-24,진주시(내평리),42.08,0.00
2012-09-23,진주시(내평리),42.05,0.00
2012-09-22,진주시(내평리),41.96,0.00
2012-09-21,진주시(내평리),41.88,0.00
2012-09-20,진주시(내평리),42.16,0.00
2012-09-19,진주시(내평리),42.62,0.00
2012-09-18,진주시(내평리),43.29,0.00
2012-09-17,진주시(내평리),39.22,0.00
2012-09-16,진주시(내평리),36.91,0.00
2012-09-15,진주시(내평리),39.61,0.00
2012-09-14,진주시(내평리),41.01,0.00
2012-09-13,진주시(내평리),41.57,0.00
2012-09-12,진주시(내평리),41.48,0.00
2012-09-11,진주시(내평리),41.19,0.00
2012-09-10,진주시(내평리),40.60,0.00
2012-09-09,진주시(내평리),40.26,0.00
2012-09-08,진주시(내평리),40.54,0.00
2012-09-07,진주시(내평리),41.05,0.00
2012-09-06,진주시(내평리),41.76,0.00
2012-09-05,진주시(내평리),42.26,0.00
2012-09-04,진주시(내평리),42.44,0.00
2012-09-03,진주시(내평리),42.33,0.00
2012-09-02,진주시(내평리),42.12,0.00
2012-09-01,진주시(내평리),41.74,0.00
2012-08-31,진주시(내평리),40.96,0.00
2012-08-30,진주시(내평리),39.68,0.00
2012-08-29,진주시(내평리),41.50,0.00
2012-08-28,진주시(내평리),38.69,0.00
2012-08-27,진주시(내평리),37.84,0.00
2012-08-26,진주시(내평리),38.74,0.00
2012-08-25,진주시(내평리),40.23,0.00
2012-08-24,진주시(내평리),41.99,0.00
2012-08-23,진주시(내평리),40.49,0.00
2012-08-22,진주시(내평리),38.65,0.00
2012-08-21,진주시(내평리),38.40,0.00
2012-08-20,진주시(내평리),38.42,0.00
2012-08-19,진주시(내평리),38.42,0.00
2012-08-18,진주시(내평리),38.38,0.00
2012-08-17,진주시(내평리),38.28,0.00
2012-08-16,진주시(내평리),38.16,0.00
2012-08-15,진주시(내평리),38.13,0.00
2012-08-14,진주시(내평리),38.39,0.00
2012-08-13,진주시(내평리),39.02,0.00
2012-08-12,진주시(내평리),39.31,0.00
2012-08-11,진주시(내평리),39.49,0.00
2012-08-10,진주시(내평리),39.60,0.00
2012-08-09,진주시(내평리),39.70,0.00
2012-08-08,진주시(내평리),39.80,0.00
2012-08-07,진주시(내평리),39.93,0.00
2012-08-06,진주시(내평리),40.04,0.00
2012-08-05,진주시(내평리),40.15,0.00
2012-08-04,진주시(내평리),40.23,0.00
2012-08-03,진주시(내평리),40.40,0.00
2012-08-02,진주시(내평리),40.60,0.00
2012-08-01,진주시(내평리),40.78,0.00
2012-07-31,진주시(내평리),40.96,0.00
2012-07-30,진주시(내평리),41.14,0.00
2012-07-29,진주시(내평리),41.31,0.00
2012-07-28,진주시(내평리),41.47,0.00
2012-07-27,진주시(내평리),41.60,0.00
2012-07-26,진주시(내평리),41.71,0.00
2012-07-25,진주시(내평리),41.79,0.00
2012-07-24,진주시(내평리),41.83,0.00
2012-07-23,진주시(내평리),41.82,0.00
2012-07-22,진주시(내평리),41.74,0.00
2012-07-21,진주시(내평리),41.51,0.00
2012-07-20,진주시(내평리),40.90,0.00
2012-07-19,진주시(내평리),38.73,0.00
2012-07-18,진주시(내평리),37.47,0.00
2012-07-17,진주시(내평리),37.75,0.00
2012-07-16,진주시(내평리),38.55,0.00
2012-07-15,진주시(내평리),38.50,0.00
2012-07-14,진주시(내평리),38.77,0.00
2012-07-13,진주시(내평리),39.03,0.00
2012-07-12,진주시(내평리),38.68,0.00
2012-07-11,진주시(내평리),37.67,0.00
2012-07-10,진주시(내평리),37.39,0.00
2012-07-09,진주시(내평리),37.37,0.00
2012-07-08,진주시(내평리),37.29,0.00
2012-07-07,진주시(내평리),37.08,0.00
2012-07-06,진주시(내평리),36.77,0.00
2012-07-05,진주시(내평리),36.61,0.00
2012-07-04,진주시(내평리),36.59,0.00
2012-07-03,진주시(내평리),36.60,0.00
2012-07-02,진주시(내평리),36.59,0.00
2012-07-01,진주시(내평리),36.51,0.00
2012-06-30,진주시(내평리),36.50,0.00
2012-06-29,진주시(내평리),36.53,0.00
2012-06-28,진주시(내평리),36.58,0.00
2012-06-27,진주시(내평리),36.65,0.00
2012-06-26,진주시(내평리),36.69,0.00
2012-06-25,진주시(내평리),36.75,0.00
2012-06-24,진주시(내평리),36.80,0.00
2012-06-23,진주시(내평리),36.83,0.00
2012-06-22,진주시(내평리),36.86,0.00
2012-06-21,진주시(내평리),36.89,0.00
2012-06-20,진주시(내평리),36.90,0.00
2012-06-19,진주시(내평리),36.91,0.00
2012-06-18,진주시(내평리),36.93,0.00
2012-06-17,진주시(내평리),36.96,0.00
2012-06-16,진주시(내평리),36.99,0.00
2012-06-15,진주시(내평리),37.04,0.00
2012-06-14,진주시(내평리),37.07,0.00
2012-06-13,진주시(내평리),37.16,0.00
2012-06-12,진주시(내평리),37.22,0.00
2012-06-11,진주시(내평리),37.31,0.00
2012-06-10,진주시(내평리),37.37,0.00
2012-06-09,진주시(내평리),37.44,0.00
2012-06-08,진주시(내평리),37.50,0.00
2012-06-07,진주시(내평리),37.57,0.00
2012-06-06,진주시(내평리),37.65,0.00
2012-06-05,진주시(내평리),37.71,0.00
2012-06-04,진주시(내평리),37.77,0.00
2012-06-03,진주시(내평리),37.84,0.00
2012-06-02,진주시(내평리),37.92,0.00
2012-06-01,진주시(내평리),38.00,0.00
2012-05-31,진주시(내평리),38.07,0.00
2012-05-30,진주시(내평리),38.18,0.00
2012-05-29,진주시(내평리),38.27,0.00
2012-05-28,진주시(내평리),38.31,0.00
2012-05-27,진주시(내평리),38.36,0.00
2012-05-26,진주시(내평리),38.39,0.00
2012-05-25,진주시(내평리),38.44,0.00
2012-05-24,진주시(내평리),38.48,0.00
2012-05-23,진주시(내평리),38.52,0.00
2012-05-22,진주시(내평리),38.56,0.00
2012-05-21,진주시(내평리),38.60,0.00
2012-05-20,진주시(내평리),38.62,0.00
2012-05-19,진주시(내평리),38.64,0.00
2012-05-18,진주시(내평리),38.68,0.00
2012-05-17,진주시(내평리),38.76,0.00
2012-05-16,진주시(내평리),38.81,0.00
2012-05-15,진주시(내평리),38.84,0.00
2012-05-14,진주시(내평리),38.86,0.00
2012-05-13,진주시(내평리),38.93,0.00
2012-05-12,진주시(내평리),39.01,0.00
2012-05-11,진주시(내평리),39.16,0.00
2012-05-10,진주시(내평리),39.38,0.00
