³â/¿ù/ÀÏ,ÃøÁ¤¼Ò¸í,¼öÀ§_DAY,À¯·®_DAY
2012-12-31,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.30,41.61
2012-12-30,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.31,109.46
2012-12-29,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.33,81.31
2012-12-28,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.38,104.02
2012-12-27,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.37,80.43
2012-12-26,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.36,97.39
2012-12-25,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.38,72.04
2012-12-24,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.35,86.43
2012-12-23,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.32,101.01
2012-12-22,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.22,83.19
2012-12-21,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.29,101.53
2012-12-20,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.23,115.67
2012-12-19,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.32,85.42
2012-12-18,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.22,102.27
2012-12-17,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.31,153.40
2012-12-16,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.30,122.54
2012-12-15,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.37,92.11
2012-12-14,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.31,114.94
2012-12-13,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.33,72.39
2012-12-12,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.40,65.43
2012-12-11,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.26,66.56
2012-12-10,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.25,69.25
2012-12-09,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.25,74.17
2012-12-08,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.20,67.64
2012-12-07,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.11,71.81
2012-12-06,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.02,73.83
2012-12-05,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.01,54.54
2012-12-04,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.06,66.84
2012-12-03,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.06,72.93
2012-12-02,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.10,53.96
2012-12-01,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.18,62.25
2012-11-30,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.19,58.92
2012-11-29,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.24,73.79
2012-11-28,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.16,50.64
2012-11-27,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.07,49.16
2012-11-26,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.19,72.10
2012-11-25,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.39,11.26
2012-11-24,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.42,38.48
2012-11-23,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.48,49.25
2012-11-22,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.51,50.93
2012-11-21,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.52,82.96
2012-11-20,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.46,54.32
2012-11-19,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.51,38.05
2012-11-18,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.55,64.16
2012-11-17,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.55,69.05
2012-11-16,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.52,43.14
2012-11-15,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.54,82.71
2012-11-14,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.58,100.85
2012-11-13,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.50,115.20
2012-11-12,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.37,29.85
2012-11-11,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.43,71.36
2012-11-10,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.47,46.68
2012-11-09,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.55,70.63
2012-11-08,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.49,105.32
2012-11-07,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.50,77.85
2012-11-06,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.47,70.55
2012-11-05,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.52,56.29
2012-11-04,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.50,33.29
2012-11-03,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.48,81.62
2012-11-02,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.51,136.87
2012-11-01,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.49,79.01
2012-10-31,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.51,69.81
2012-10-30,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.47,73.65
2012-10-29,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.48,87.82
2012-10-28,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.40,72.40
2012-10-27,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.41,96.40
2012-10-26,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.42,89.65
2012-10-25,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.45,60.09
2012-10-24,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.47,86.92
2012-10-23,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.49,92.41
2012-10-22,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.44,106.34
2012-10-21,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.42,56.35
2012-10-20,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.46,44.76
2012-10-19,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.39,69.13
2012-10-18,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.47,106.66
2012-10-17,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.41,87.22
2012-10-16,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.40,94.44
2012-10-15,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.48,123.03
2012-10-14,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.43,121.00
2012-10-13,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.40,78.85
2012-10-12,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.36,69.14
2012-10-11,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.31,117.11
2012-10-10,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.41,130.73
2012-10-09,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.45,132.74
2012-10-08,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.45,91.00
2012-10-07,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.44,83.18
2012-10-06,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.44,97.11
2012-10-05,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.39,40.12
2012-10-04,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.47,107.66
2012-10-03,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.52,126.20
2012-10-02,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.53,119.77
2012-10-01,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.53,127.31
2012-09-30,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.50,125.88
2012-09-29,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.54,66.38
2012-09-28,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.43,63.02
2012-09-27,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.42,66.96
2012-09-26,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.35,134.03
2012-09-25,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.16,277.66
2012-09-24,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.44,193.74
2012-09-23,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.48,191.96
2012-09-22,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.52,211.81
2012-09-21,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.55,310.76
2012-09-20,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.53,354.72
2012-09-19,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.68,1022.09
2012-09-18,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),2.72,4331.10
2012-09-17,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),2.13,4422.97
2012-09-16,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.04,736.76
2012-09-15,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.36,212.08
2012-09-14,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.24,214.20
2012-09-13,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),-0.08,183.12
2012-09-12,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.71,144.85
2012-09-11,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.59,327.62
2012-09-10,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.55, 
2012-09-09,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.69,729.59
2012-09-08,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.88,1200.06
2012-09-07,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.58,311.94
2012-09-06,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.60,443.81
2012-09-05,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.72,636.12
2012-09-04,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.62,229.07
2012-09-03,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.40,293.03
2012-09-02,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.43,490.94
2012-09-01,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.61,828.89
2012-08-31,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.95,1740.24
2012-08-30,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.66,1097.04
2012-08-29,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.64,617.71
2012-08-28,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.25,351.56
2012-08-27,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.31,425.11
2012-08-26,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.52,716.32
2012-08-25,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.64,1064.10
2012-08-24,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.68, 
2012-08-23,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.65, 
2012-08-22,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.59,233.71
2012-08-21,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.55,184.86
2012-08-20,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.62,264.70
2012-08-19,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.60,428.25
2012-08-18,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.69, 
2012-08-17,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.68,849.17
2012-08-16,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.94,1652.20
2012-08-15,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.63,355.15
2012-08-14,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.65,532.31
2012-08-13,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.72,856.93
2012-08-12,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.51,133.13
2012-08-11,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.45,110.68
2012-08-10,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.46,55.83
2012-08-09,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.48,117.12
2012-08-08,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.48,125.89
2012-08-07,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.43,80.16
2012-08-06,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.48,125.64
2012-08-05,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.45,106.37
2012-08-04,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.46, 
2012-08-03,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.44,76.58
2012-08-02,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.45,74.69
2012-08-01,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.46,104.48
2012-07-31,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.47,143.32
2012-07-30,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.48,149.08
2012-07-29,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.50,143.03
2012-07-28,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.44,111.44
2012-07-27,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.45,153.14
2012-07-26,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.43,153.13
2012-07-25,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.50,113.78
2012-07-24,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.54,141.36
2012-07-23,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.52,224.17
2012-07-22,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.48, 
2012-07-21,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.48, 
2012-07-20,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.59,404.97
2012-07-19,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.62,649.88
2012-07-18,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.60, 
2012-07-17,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.54, 
2012-07-16,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.73,1270.53
2012-07-15,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.72, 
2012-07-14,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.68, 
2012-07-13,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.71, 
2012-07-12,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.56,239.02
2012-07-11,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.51,248.94
2012-07-10,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.56,204.88
2012-07-09,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.66,282.35
2012-07-08,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.60,548.34
2012-07-07,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.80,1371.50
2012-07-06,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.70,459.43
2012-07-05,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.57,154.82
2012-07-04,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.50,115.47
2012-07-03,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.38,145.59
2012-07-02,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.44,176.86
2012-07-01,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.46,129.70
2012-06-30,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.47,120.73
2012-06-29,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.45,146.98
2012-06-28,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.38,70.18
2012-06-27,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.52,79.83
2012-06-26,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.45,87.28
2012-06-25,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.49,89.61
2012-06-24,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.47,123.67
2012-06-23,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.36,93.56
2012-06-22,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.32,96.46
2012-06-21,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.41,126.19
2012-06-20,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.33,111.80
2012-06-19,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.29,59.60
2012-06-18,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.44,123.59
2012-06-17,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.41,133.25
2012-06-16,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.39,107.32
2012-06-15,Ä¥°î±º(È£±¹ÀÇ´Ù¸®),0.41,109.21
