년/월/일,측정소명,수위_DAY,유량_DAY
2012-12-31,함안군(계내리),2.68,192.54
2012-12-30,함안군(계내리),2.50,168.84
2012-12-29,함안군(계내리),2.63,191.62
2012-12-28,함안군(계내리),2.78,224.95
2012-12-27,함안군(계내리),2.62,187.06
2012-12-26,함안군(계내리),2.50,168.06
2012-12-25,함안군(계내리),2.63,234.47
2012-12-24,함안군(계내리),2.61,300.72
2012-12-23,함안군(계내리),2.66,330.53
2012-12-22,함안군(계내리),2.72,342.09
2012-12-21,함안군(계내리),2.76,314.87
2012-12-20,함안군(계내리),2.71,312.19
2012-12-19,함안군(계내리),2.79,355.81
2012-12-18,함안군(계내리),2.97,430.75
2012-12-17,함안군(계내리),3.02,410.05
2012-12-16,함안군(계내리),2.93,323.86
2012-12-15,함안군(계내리),2.78,262.02
2012-12-14,함안군(계내리),2.56,185.63
2012-12-13,함안군(계내리),2.46,155.13
2012-12-12,함안군(계내리),2.57,222.58
2012-12-11,함안군(계내리),2.53,157.78
2012-12-10,함안군(계내리),2.51,147.83
2012-12-09,함안군(계내리),2.52,177.79
2012-12-08,함안군(계내리),2.59,187.10
2012-12-07,함안군(계내리),2.69,238.89
2012-12-06,함안군(계내리),2.64,215.29
2012-12-05,함안군(계내리),2.54,118.38
2012-12-04,함안군(계내리),2.54,157.69
2012-12-03,함안군(계내리),2.57,153.89
2012-12-02,함안군(계내리),2.51,113.49
2012-12-01,함안군(계내리),2.57,129.38
2012-11-30,함안군(계내리),2.54,133.73
2012-11-29,함안군(계내리),2.72,174.93
2012-11-28,함안군(계내리),2.52,161.83
2012-11-27,함안군(계내리),2.86,331.81
2012-11-26,함안군(계내리),2.69,206.10
2012-11-25,함안군(계내리),2.58,149.56
2012-11-24,함안군(계내리),2.57,150.70
2012-11-23,함안군(계내리),2.77,147.19
2012-11-22,함안군(계내리),2.72,143.51
2012-11-21,함안군(계내리),2.58,143.01
2012-11-20,함안군(계내리),2.62,153.77
2012-11-19,함안군(계내리),2.63,157.14
2012-11-18,함안군(계내리),2.87,261.22
2012-11-17,함안군(계내리),2.64,198.99
2012-11-16,함안군(계내리),2.63,229.84
2012-11-15,함안군(계내리),2.82,313.38
2012-11-14,함안군(계내리),2.78,224.66
2012-11-13,함안군(계내리),2.91,301.93
2012-11-12,함안군(계내리),3.08,281.46
2012-11-11,함안군(계내리),3.12,232.92
2012-11-10,함안군(계내리),3.23,202.80
2012-11-09,함안군(계내리),3.23,170.40
2012-11-08,함안군(계내리),2.88,109.18
2012-11-07,함안군(계내리),2.63,159.71
2012-11-06,함안군(계내리),2.63,178.42
2012-11-05,함안군(계내리),2.62,178.16
2012-11-04,함안군(계내리),2.28,159.44
2012-11-03,함안군(계내리),2.03,123.54
2012-11-02,함안군(계내리),1.91,128.93
2012-11-01,함안군(계내리),2.32,189.35
2012-10-31,함안군(계내리),2.48,248.36
2012-10-30,함안군(계내리),2.41,317.34
2012-10-29,함안군(계내리),2.53,130.53
2012-10-28,함안군(계내리),3.14,195.51
2012-10-27,함안군(계내리),3.12,423.76
2012-10-26,함안군(계내리),3.20,396.27
2012-10-25,함안군(계내리),3.18,378.35
2012-10-24,함안군(계내리),3.24,484.87
2012-10-23,함안군(계내리),3.13,244.50
2012-10-22,함안군(계내리),3.20,381.09
2012-10-21,함안군(계내리),3.12,361.84
2012-10-20,함안군(계내리),3.12,272.26
2012-10-19,함안군(계내리),3.15,407.98
2012-10-18,함안군(계내리),3.15,351.90
2012-10-17,함안군(계내리),3.14,508.81
2012-10-16,함안군(계내리),3.07,409.85
2012-10-15,함안군(계내리),3.21,399.16
2012-10-14,함안군(계내리),3.22,493.42
2012-10-13,함안군(계내리),3.16,445.35
2012-10-12,함안군(계내리),3.20,341.43
2012-10-11,함안군(계내리),3.28,495.92
2012-10-10,함안군(계내리),3.24,367.11
2012-10-09,함안군(계내리),3.27,565.80
2012-10-08,함안군(계내리),3.30,502.25
2012-10-07,함안군(계내리),3.32,743.62
2012-10-06,함안군(계내리),3.25,601.41
2012-10-05,함안군(계내리),3.32,587.58
2012-10-04,함안군(계내리),3.37,614.99
2012-10-03,함안군(계내리),3.38,522.99
2012-10-02,함안군(계내리),3.39,826.19
2012-10-01,함안군(계내리),3.34,852.79
2012-09-30,함안군(계내리),3.33,992.48
2012-09-29,함안군(계내리),3.17,808.31
2012-09-28,함안군(계내리),3.27,1287.44
2012-09-27,함안군(계내리),3.08,995.17
2012-09-26,함안군(계내리),2.77,801.53
2012-09-25,함안군(계내리),3.31,937.74
2012-09-24,함안군(계내리),3.34,1120.22
2012-09-23,함안군(계내리),3.40,1035.16
2012-09-22,함안군(계내리),3.33,1204.05
2012-09-21,함안군(계내리),3.57,1361.16
2012-09-20,함안군(계내리),3.63,1939.72
2012-09-19,함안군(계내리),5.25,5602.96
2012-09-18,함안군(계내리),8.82,11996.91
2012-09-17,함안군(계내리),6.39,7545.06
2012-09-16,함안군(계내리),3.55,2282.88
2012-09-15,함안군(계내리),3.40,1276.27
2012-09-14,함안군(계내리),3.26,923.31
2012-09-13,함안군(계내리),3.47,1388.10
2012-09-12,함안군(계내리),3.18,1038.15
2012-09-11,함안군(계내리),3.47,1503.82
2012-09-10,함안군(계내리),3.47,1702.69
2012-09-09,함안군(계내리),4.04,2637.13
2012-09-08,함안군(계내리),4.18,2963.77
2012-09-07,함안군(계내리),3.31,1094.73
2012-09-06,함안군(계내리),3.64,1306.81
2012-09-05,함안군(계내리),3.69,1621.58
2012-09-04,함안군(계내리),3.38,1226.04
2012-09-03,함안군(계내리),3.30,960.16
2012-09-02,함안군(계내리),3.52,1464.85
2012-09-01,함안군(계내리),3.52,1111.77
2012-08-31,함안군(계내리),4.45,689.49
2012-08-30,함안군(계내리),3.64,1022.84
2012-08-29,함안군(계내리),3.76,1215.12
2012-08-28,함안군(계내리),3.13,528.35
2012-08-27,함안군(계내리),3.31,84.35
2012-08-26,함안군(계내리),3.80,163.70
2012-08-25,함안군(계내리),5.01,1008.77
2012-08-24,함안군(계내리),5.53,5193.79
2012-08-23,함안군(계내리),4.49,3041.57
2012-08-22,함안군(계내리),3.32,95.81
2012-08-21,함안군(계내리),3.27,164.24
2012-08-20,함안군(계내리),3.34,120.24
2012-08-19,함안군(계내리),3.33,263.73
2012-08-18,함안군(계내리),3.65,233.70
2012-08-17,함안군(계내리),3.56,448.10
2012-08-16,함안군(계내리),3.91,362.80
2012-08-15,함안군(계내리),3.46,475.23
2012-08-14,함안군(계내리),3.75,757.94
2012-08-13,함안군(계내리),3.70,297.51
2012-08-12,함안군(계내리),3.17,310.34
2012-08-11,함안군(계내리),3.19,195.04
2012-08-10,함안군(계내리),3.25,188.89
2012-08-09,함안군(계내리),3.19,152.86
2012-08-08,함안군(계내리),3.15,119.54
2012-08-07,함안군(계내리),3.17,87.70
2012-08-06,함안군(계내리),3.16,38.93
2012-08-05,함안군(계내리),3.13,66.36
2012-08-04,함안군(계내리),3.20,119.86
2012-08-03,함안군(계내리),3.19,55.51
2012-08-02,함안군(계내리),3.23,159.01
2012-08-01,함안군(계내리),3.23,265.94
2012-07-31,함안군(계내리),3.18,262.09
2012-07-30,함안군(계내리),3.33,306.87
2012-07-29,함안군(계내리),3.15,228.82
2012-07-28,함안군(계내리),3.20,270.77
2012-07-27,함안군(계내리),2.91,242.50
2012-07-26,함안군(계내리),3.26,447.69
2012-07-25,함안군(계내리),2.98,360.65
2012-07-24,함안군(계내리),3.21,493.14
2012-07-23,함안군(계내리),2.87,568.26
2012-07-22,함안군(계내리),3.04,633.88
2012-07-21,함안군(계내리),3.17,798.73
2012-07-20,함안군(계내리),3.32,878.55
2012-07-19,함안군(계내리),3.43,972.45
2012-07-18,함안군(계내리),3.26,845.44
2012-07-17,함안군(계내리),3.58,1165.68
2012-07-16,함안군(계내리),4.33,1964.65
2012-07-15,함안군(계내리),4.25,1715.35
2012-07-14,함안군(계내리),3.50,961.47
2012-07-13,함안군(계내리),3.28,795.41
2012-07-12,함안군(계내리),3.62,1028.34
2012-07-11,함안군(계내리),3.21,775.90
2012-07-10,함안군(계내리),3.35,833.48
2012-07-09,함안군(계내리),3.04,648.01
2012-07-08,함안군(계내리),3.63,1047.07
2012-07-07,함안군(계내리),3.99,1321.57
2012-07-06,함안군(계내리),3.33,687.50
2012-07-05,함안군(계내리),3.25,417.59
2012-07-04,함안군(계내리),3.29,404.76
2012-07-03,함안군(계내리),3.25,345.86
2012-07-02,함안군(계내리),3.25,295.08
2012-07-01,함안군(계내리),3.15,207.26
2012-06-30,함안군(계내리),3.06,180.38
2012-06-29,함안군(계내리),2.93,159.53
2012-06-28,함안군(계내리),2.88,148.04
2012-06-27,함안군(계내리),2.84,136.63
2012-06-26,함안군(계내리),2.85,139.27
2012-06-25,함안군(계내리),2.90,147.84
2012-06-24,함안군(계내리),3.02,167.11
2012-06-23,함안군(계내리),3.14,201.62
2012-06-22,함안군(계내리),2.85,149.49
2012-06-21,함안군(계내리),2.80,130.85
2012-06-20,함안군(계내리),2.92,152.94
2012-06-19,함안군(계내리),2.85,147.30
2012-06-18,함안군(계내리),2.73,126.79
2012-06-17,함안군(계내리),2.75,124.36
