년/월/일,측정소명,수위_DAY,유량_DAY
2012-12-31,합천군(율지교),6.26,3438.11
2012-12-30,합천군(율지교),6.14,3336.71
2012-12-29,합천군(율지교),6.03,3251.00
2012-12-28,합천군(율지교),6.11,3312.64
2012-12-27,합천군(율지교),6.05,3269.79
2012-12-26,합천군(율지교),5.98,3211.42
2012-12-25,합천군(율지교),6.03,3251.26
2012-12-24,합천군(율지교),6.21,3391.68
2012-12-23,합천군(율지교),6.03,3252.33
2012-12-22,합천군(율지교),6.03,3251.82
2012-12-21,합천군(율지교),6.34,3498.78
2012-12-20,합천군(율지교),6.26,3434.86
2012-12-19,합천군(율지교),6.23,3412.29
2012-12-18,합천군(율지교),6.28,3448.23
2012-12-17,합천군(율지교),6.48,3612.51
2012-12-16,합천군(율지교),6.32,3480.96
2012-12-15,합천군(율지교),6.38,3531.60
2012-12-14,합천군(율지교),6.28,3448.11
2012-12-13,합천군(율지교),6.22,3400.20
2012-12-12,합천군(율지교),6.33,3491.80
2012-12-11,합천군(율지교),6.32,3485.38
2012-12-10,합천군(율지교),6.28,3448.80
2012-12-09,합천군(율지교),6.19,3378.15
2012-12-08,합천군(율지교),6.09,3298.09
2012-12-07,합천군(율지교),6.04,3262.73
2012-12-06,합천군(율지교),6.40,3551.11
2012-12-05,합천군(율지교),6.44,3582.35
2012-12-04,합천군(율지교),6.39,3537.96
2012-12-03,합천군(율지교),6.31,3479.18
2012-12-02,합천군(율지교),6.33,3487.71
2012-12-01,합천군(율지교),6.17,3361.36
2012-11-30,합천군(율지교),6.19,3382.53
2012-11-29,합천군(율지교),6.19,3381.21
2012-11-28,합천군(율지교),6.29,3457.08
2012-11-27,합천군(율지교),6.12,3325.60
2012-11-26,합천군(율지교),6.03,3256.07
2012-11-25,합천군(율지교),5.66,2974.49
2012-11-24,합천군(율지교),5.63,2945.62
2012-11-23,합천군(율지교),5.25,2676.10
2012-11-22,합천군(율지교),5.27,2691.13
2012-11-21,합천군(율지교),5.35,2748.95
2012-11-20,합천군(율지교),5.39,2774.51
2012-11-19,합천군(율지교),5.47,2832.15
2012-11-18,합천군(율지교),5.70,3003.96
2012-11-17,합천군(율지교),6.34,3502.77
2012-11-16,합천군(율지교),6.50,3634.46
2012-11-15,합천군(율지교),6.28,3454.57
2012-11-14,합천군(율지교),6.23,3416.08
2012-11-13,합천군(율지교),6.14,3337.62
2012-11-12,합천군(율지교),6.17,3361.32
2012-11-11,합천군(율지교),6.39,3539.02
2012-11-10,합천군(율지교),6.57,3691.65
2012-11-09,합천군(율지교),6.46,3596.76
2012-11-08,합천군(율지교),6.19,3385.44
2012-11-07,합천군(율지교),5.99,3222.80
2012-11-06,합천군(율지교),6.10,3312.43
2012-11-05,합천군(율지교),5.83,3101.30
2012-11-04,합천군(율지교),6.21,3392.13
2012-11-03,합천군(율지교),6.14,3341.57
2012-11-02,합천군(율지교),5.73,3022.48
2012-11-01,합천군(율지교),5.39,2777.08
2012-10-31,합천군(율지교),5.23,2660.35
2012-10-30,합천군(율지교),5.21,2645.11
2012-10-29,합천군(율지교),5.24,2669.09
2012-10-28,합천군(율지교),5.13,2592.98
2012-10-27,합천군(율지교),5.11,2576.89
2012-10-26,합천군(율지교),5.00,2506.13
2012-10-25,합천군(율지교),5.12,2584.35
2012-10-24,합천군(율지교),5.09,2564.77
2012-10-23,합천군(율지교),5.18,2626.95
2012-10-22,합천군(율지교),5.21,2650.51
2012-10-21,합천군(율지교),5.18,2625.35
2012-10-20,합천군(율지교),5.12,2586.46
2012-10-19,합천군(율지교),5.24,2666.76
2012-10-18,합천군(율지교),5.35,2744.91
2012-10-17,합천군(율지교),5.78,3059.46
2012-10-16,합천군(율지교),6.10,3307.29
2012-10-15,합천군(율지교),5.93,3178.92
2012-10-14,합천군(율지교),5.90,3151.80
2012-10-13,합천군(율지교),5.90,3148.86
2012-10-12,합천군(율지교),5.85,3113.07
2012-10-11,합천군(율지교),6.34,3504.38
2012-10-10,합천군(율지교),6.20,3386.10
2012-10-09,합천군(율지교),6.41,3555.02
2012-10-08,합천군(율지교),6.25,3427.78
2012-10-07,합천군(율지교),6.27,3446.92
2012-10-06,합천군(율지교),6.19,3379.67
2012-10-05,합천군(율지교),6.13,3333.38
2012-10-04,합천군(율지교),6.39,3543.33
2012-10-03,합천군(율지교),6.38,3530.54
2012-10-02,합천군(율지교),6.41,3560.07
2012-10-01,합천군(율지교),6.52,3645.70
2012-09-30,합천군(율지교),6.46,3598.33
2012-09-29,합천군(율지교),6.15,3347.16
2012-09-28,합천군(율지교),5.77,3056.26
2012-09-27,합천군(율지교),6.05,3277.39
2012-09-26,합천군(율지교),5.50,2859.84
2012-09-25,합천군(율지교),6.25,3426.95
2012-09-24,합천군(율지교),6.36,3519.96
2012-09-23,합천군(율지교),6.48,3615.70
2012-09-22,합천군(율지교),5.99,3226.74
2012-09-21,합천군(율지교),6.03,3266.73
2012-09-20,합천군(율지교),5.17,2640.46
2012-09-19,합천군(율지교),5.92,3273.41
2012-09-18,합천군(율지교),11.44,10413.56
