,측정소명,수온,수소이온농도,전기전도도,용존산소,탁도,총유기탄소,총질소,총인,클로로필
2012-07-01,남면,,,,,,,,,
2012-07-02,남면,,,,,,,,,
2012-07-03,남면,,,,,,,,,
2012-07-04,남면,,,,,,,,,
2012-07-05,남면,,,,,,,,,
2012-07-06,남면,,,,,,,,,
2012-07-07,남면,,,,,,,,,
2012-07-08,남면,,,,,,,,,
2012-07-09,남면,,,,,,,,,
2012-07-10,남면,,,,,,,,,
2012-07-11,남면,,,,,,,,,
2012-07-12,남면,,,,,,,,,
2012-07-13,남면,,,,,,,,,
2012-07-14,남면,,,,,,,,,
2012-07-15,남면,,,,,,,,,
2012-07-16,남면,,,,,,,,,
2012-07-17,남면,,,,,,,,,
2012-07-18,남면,,,,,,,,,
2012-07-19,남면,,,,,,,,,
2012-07-20,남면,,,,,,,,,
2012-07-21,남면,,,,,,,,,
2012-07-22,남면,,,,,,,,,
2012-07-23,남면,,,,,,,,,
2012-07-24,남면,,,,,,,,,
2012-07-25,남면,,,,,,,,,
2012-07-26,남면,,,,,,,,,
2012-07-27,남면,,,,,,,,,
2012-07-28,남면,,,,,,,,,
2012-07-29,남면,,,,,,,,,
2012-07-30,남면,,,,,,,,,
2012-07-31,남면,,,,,,,,,
2012-08-01,남면,,,,,,,,,
2012-08-02,남면,,,,,,,,,
2012-08-03,남면,,,,,,,,,
2012-08-04,남면,,,,,,,,,
2012-08-05,남면,,,,,,,,,
2012-08-06,남면,,,,,,,,,
2012-08-07,남면,,,,,,,,,
2012-08-08,남면,,,,,,,,,
2012-08-09,남면,,,,,,,,,
2012-08-10,남면,,,,,,,,,
2012-08-11,남면,,,,,,,,,
2012-08-12,남면,,,,,,,,,
2012-08-13,남면,,,,,,,,,
2012-08-14,남면,,,,,,,,,
2012-08-15,남면,,,,,,,,,
2012-08-16,남면,,,,,,,,,
2012-08-17,남면,,,,,,,,,
2012-08-18,남면,,,,,,,,,
2012-08-19,남면,,,,,,,,,
2012-08-20,남면,,,,,,,,,
2012-08-21,남면,,,,,,,,,
2012-08-22,남면,,,,,,,,,
2012-08-23,남면,,,,,,,,,
2012-08-24,남면,,,,,,,,,
2012-08-25,남면,,,,,,,,,
2012-08-26,남면,,,,,,,,,
2012-08-27,남면,,,,,,,,,
2012-08-28,남면,,,,,,,,,
2012-08-29,남면,,,,,,,,,
2012-08-30,남면,,,,,,,,,
2012-08-31,남면,,,,,,,,,
2012-09-01,남면,,,,,,,,,
2012-09-02,남면,,,,,,,,,
2012-09-03,남면,,,,,,,,,
2012-09-04,남면,,,,,,,,,
2012-09-05,남면,,,,,,,,,
2012-09-06,남면,,,,,,,,,
2012-09-07,남면,,,,,,,,,
2012-09-08,남면,,,,,,,,,
2012-09-09,남면,,,,,,,,,
2012-09-10,남면,,,,,,,,,
2012-09-11,남면,,,,,,,,,
2012-09-12,남면,,,,,,,,,
2012-09-13,남면,,,,,,,,,
2012-09-14,남면,,,,,,,,,
2012-09-15,남면,,,,,,,,,
2012-09-16,남면,,,,,,,,,
2012-09-17,남면,,,,,,,,,
2012-09-18,남면,,,,,,,,,
2012-09-19,남면,,,,,,,,,
2012-09-20,남면,,,,,,,,,
2012-09-21,남면,,,,,,,,,
2012-09-22,남면,21.1,7.1,204.0,8.4,51.0,,,,
2012-09-23,남면,21.3,7.1,207.0,8.5,51.4,,,,
2012-09-24,남면,21.0,7.1,215.0,8.6,49.2,,,,
2012-09-25,남면,21.1,7.2,202.0,8.8,61.2,,,,
2012-09-26,남면,20.8,7.1,199.0,8.9,51.7,,,,
2012-09-27,남면,20.5,7.1,219.0,9.1,44.8,,,,
2012-09-28,남면,20.9,7.1,284.0,9.4,44.8,,,,
2012-09-29,남면,20.5,7.2,306.0,9.4,38.6,,,,
2012-09-30,남면,20.0,7.3,302.0,9.9,36.9,,,,
2012-10-01,남면,20.2,7.3,286.0,10.2,37.2,2.7,3.671,0.042,44.4
2012-10-02,남면,20.6,7.4,289.0,10.8,36.1,2.6,3.584,0.043,47.5
