,측정소명,수온,수소이온농도,전기전도도,용존산소,총유기탄소,총질소,총인,클로로필
2012-07-01,대청호,24.7,8.3,152.0,8.3,1.8,,0.033,5.9
2012-07-02,대청호,25.3,8.4,150.0,8.6,1.8,0.849,0.026,3.9
2012-07-03,대청호,25.7,8.4,150.0,8.7,1.8,0.938,0.009,2.9
2012-07-04,대청호,26.1,8.5,149.0,8.8,2.0,0.896,0.007,3.6
2012-07-05,대청호,25.8,8.6,150.0,9.1,2.3,0.79,0.004,4.1
2012-07-06,대청호,25.3,8.5,148.0,8.9,2.3,,0.003,5.4
2012-07-07,대청호,24.7,8.0,,7.6,2.5,,,6.3
2012-07-08,대청호,24.9,7.2,,8.4,2.5,,0.007,4.9
2012-07-09,대청호,27.1,8.7,154.0,10.0,2.6,,0.013,6.8
2012-07-10,대청호,27.1,8.9,152.0,10.8,2.6,0.868,0.014,7.0
2012-07-11,대청호,26.4,8.9,151.0,10.9,2.6,0.936,0.012,9.3
2012-07-12,대청호,26.5,9.0,151.0,11.1,2.4,0.787,0.004,8.9
2012-07-13,대청호,26.5,9.0,152.0,11.3,,0.875,0.009,8.8
2012-07-14,대청호,26.6,9.0,152.0,11.4,2.6,0.914,0.011,9.1
2012-07-15,대청호,25.7,8.4,147.0,9.7,2.6,1.076,0.013,8.6
2012-07-16,대청호,24.9,7.3,142.0,8.1,3.0,1.906,0.025,10.0
2012-07-17,대청호,25.2,7.9,145.0,9.4,2.7,1.364,0.024,16.8
2012-07-18,대청호,25.6,7.8,143.0,8.9,2.8,1.511,0.067,18.1
2012-07-19,대청호,25.2,7.8,144.0,8.0,2.7,1.559,0.088,23.1
2012-07-20,대청호,25.3,8.1,143.0,8.9,2.8,1.535,0.08,22.8
2012-07-21,대청호,26.9,8.9,145.0,11.4,2.6,1.371,0.087,16.1
2012-07-22,대청호,27.5,9.1,145.0,11.8,2.6,1.288,0.073,17.0
2012-07-23,대청호,27.8,9.2,145.0,12.1,2.8,1.356,0.069,18.4
2012-07-24,대청호,28.5,9.3,145.0,12.3,3.2,1.186,0.066,11.2
2012-07-25,대청호,29.2,9.3,146.0,11.9,2.7,1.064,0.062,11.0
2012-07-26,대청호,29.7,9.3,147.0,12.0,2.7,1.076,0.06,14.1
2012-07-27,대청호,30.0,9.4,148.0,12.6,2.7,1.129,0.06,15.9
2012-07-28,대청호,30.2,9.5,150.0,13.3,2.4,1.07,,12.9
2012-07-29,대청호,30.5,9.5,152.0,13.7,2.4,1.169,,22.7
2012-07-30,대청호,30.5,9.6,154.0,13.9,2.5,1.193,,27.3
2012-07-31,대청호,30.6,9.7,156.0,14.2,2.7,1.001,,17.1
2012-08-01,대청호,31.0,9.9,163.0,14.9,3.1,1.07,0.019,11.1
2012-08-02,대청호,30.3,9.8,165.0,14.8,3.4,1.066,0.007,13.2
2012-08-03,대청호,29.9,9.8,169.0,15.2,3.5,1.052,,19.0
2012-08-04,대청호,30.4,9.8,178.0,,3.5,1.305,0.013,22.7
2012-08-05,대청호,30.7,9.3,154.0,15.5,3.5,1.51,0.008,15.3
2012-08-06,대청호,30.9,9.3,162.0,,3.5,1.286,,10.1
2012-08-07,대청호,30.8,9.4,170.0,15.9,3.6,1.577,0.018,21.1
2012-08-08,대청호,30.2,9.5,163.0,,3.7,,,23.4
2012-08-09,대청호,29.7,10.1,154.0,14.9,3.7,,,22.9
2012-08-10,대청호,29.2,10.1,148.0,14.1,3.6,,0.01,24.1
2012-08-11,대청호,29.6,10.1,145.0,13.2,3.5,,0.015,18.3
2012-08-12,대청호,29.3,10.2,151.0,,3.6,,0.026,27.1
2012-08-13,대청호,28.5,10.0,131.0,12.3,3.3,,0.023,25.8
2012-08-14,대청호,27.7,9.1,114.0,8.5,2.8,,,12.8
2012-08-15,대청호,27.4,8.9,116.0,8.9,2.9,,0.023,18.0
2012-08-16,대청호,26.4,8.0,110.0,6.7,3.0,1.286,0.041,12.5
2012-08-17,대청호,27.5,9.2,117.0,10.6,3.2,1.616,0.05,30.4
2012-08-18,대청호,28.5,9.9,126.0,13.5,3.4,,,45.1
2012-08-19,대청호,28.7,10.1,137.0,16.0,3.6,,,46.9
2012-08-20,대청호,28.8,10.1,128.0,16.2,,,0.036,64.5
2012-08-21,대청호,29.0,10.1,118.0,16.5,3.7,0.777,0.036,85.6
2012-08-22,대청호,28.1,10.2,,13.1,3.7,0.731,0.036,70.5
2012-08-23,대청호,27.0,9.5,133.0,10.0,3.2,0.699,0.032,34.0
2012-08-24,대청호,26.5,9.5,129.0,9.4,3.4,0.91,0.023,30.3
2012-08-25,대청호,26.7,9.7,132.0,10.4,3.4,1.041,0.024,30.5
2012-08-26,대청호,27.9,9.9,153.0,14.5,4.0,1.489,0.029,61.4
2012-08-27,대청호,27.7,10.1,159.0,15.6,4.0,1.605,0.042,68.5
2012-08-28,대청호,25.9,9.1,123.0,8.4,3.4,1.667,0.025,25.3
2012-08-29,대청호,25.6,8.6,117.0,9.1,3.4,2.006,0.035,26.1
2012-08-30,대청호,25.5,8.6,116.0,8.5,3.2,1.983,0.034,27.6
2012-08-31,대청호,24.9,7.6,115.0,7.7,3.0,2.248,0.039,8.0
2012-09-01,대청호,26.1,8.7,116.0,9.5,3.2,1.961,0.042,19.3
2012-09-02,대청호,26.3,8.7,119.0,9.5,3.1,1.793,0.045,12.9
2012-09-03,대청호,26.4,9.2,121.0,11.8,3.6,1.555,0.04,21.3
2012-09-04,대청호,26.4,9.4,122.0,12.6,3.5,1.175,0.034,22.9
2012-09-05,대청호,25.6,8.8,117.0,8.6,3.1,1.41,0.035,15.8
2012-09-06,대청호,26.0,9.1,119.0,9.9,3.3,1.346,0.037,21.1
2012-09-07,대청호,25.7,9.2,118.0,10.6,3.6,1.328,0.038,28.1
2012-09-08,대청호,25.3,9.0,116.0,10.3,3.6,1.389,0.035,32.5
2012-09-09,대청호,24.9,8.8,115.0,10.1,3.5,1.31,0.027,28.0
2012-09-10,대청호,25.3,8.9,115.0,10.7,,1.465,0.028,24.7
2012-09-11,대청호,25.8,9.4,118.0,13.6,3.5,1.228,0.028,34.2
2012-09-12,대청호,25.1,9.5,118.0,15.3,3.4,1.244,0.025,34.9
2012-09-13,대청호,24.6,9.0,115.0,12.2,3.2,1.532,0.028,21.3
2012-09-14,대청호,24.4,8.6,115.0,10.5,3.0,1.455,0.031,14.3
2012-09-15,대청호,24.5,8.4,115.0,9.4,3.0,1.141,0.024,10.3
2012-09-16,대청호,24.0,8.3,115.0,8.0,3.1,1.173,0.021,14.4
2012-09-17,대청호,23.3,7.8,111.0,,2.8,1.676,0.026,11.0
2012-09-18,대청호,22.3,7.5,109.0,,2.4,1.84,0.041,5.2
2012-09-19,대청호,22.7,7.3,106.0,7.9,2.7,1.617,0.032,9.3
2012-09-20,대청호,23.3,7.7,107.0,9.0,2.9,1.425,0.028,11.9
2012-09-21,대청호,23.3,8.4,108.0,10.7,3.2,1.301,0.033,17.2
2012-09-22,대청호,23.5,8.6,109.0,11.2,3.2,1.136,0.019,17.7
2012-09-23,대청호,23.7,8.9,110.0,12.2,3.2,1.182,0.017,23.1
2012-09-24,대청호,23.8,8.9,110.0,11.9,3.4,1.211,,17.0
2012-09-25,대청호,23.5,8.9,110.0,12.1,3.3,0.954,0.005,13.5
2012-09-26,대청호,22.8,8.3,109.0,10.2,3.2,1.272,0.001,12.4
2012-09-27,대청호,22.6,8.6,114.0,10.4,3.1,,,12.8
2012-09-28,대청호,22.6,8.5,114.0,10.3,2.9,1.527,,12.2
2012-09-29,대청호,22.3,8.2,113.0,9.9,3.1,1.786,,9.6
2012-09-30,대청호,22.2,7.5,113.0,9.2,3.1,1.399,0.013,8.9
2012-10-01,대청호,22.4,7.6,114.0,9.9,2.9,1.457,0.011,9.2
2012-10-02,대청호,22.4,7.9,114.0,11.0,2.9,1.343,0.016,10.8
2012-10-03,대청호,22.6,8.1,114.0,11.4,3.0,1.321,0.009,11.0
2012-10-04,대청호,22.6,8.0,113.0,11.6,2.9,1.367,0.012,7.4
2012-10-05,대청호,22.2,8.5,112.0,11.8,3.2,1.236,0.007,5.2
2012-10-06,대청호,22.0,8.6,112.0,11.3,3.0,1.245,0.005,5.7
2012-10-07,대청호,22.0,8.6,114.0,10.6,2.9,1.328,0.01,5.9
2012-10-08,대청호,21.8,8.6,114.0,10.7,2.9,1.368,0.012,6.2
2012-10-09,대청호,21.6,8.2,114.0,10.5,2.8,1.336,0.012,8.3
2012-10-10,대청호,21.3,8.1,115.0,9.7,2.7,1.411,0.009,8.8
