,螟沥家疙,荐柯,荐家捞柯丑档,傈扁傈档档,侩粮魂家,醚蜡扁藕家,醚龙家,醚牢,努肺肺鞘,堪拳皋瓶坊,飘府努肺肺俊抛牢,荤堪拳藕家,飘府努肺肺俊瓶坊,抛飘扼努肺肺俊瓶坊,亥哩,喷风浚,俊瓶亥哩,磊老坊,磊老坊,堪拳皋瓶坊,飘府努肺肺俊抛牢,荤堪拳藕家,飘府努肺肺俊瓶坊,抛飘扼努肺肺俊瓶坊
2012-07-01,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-02,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-03,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-04,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-05,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-06,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-07,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-08,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-09,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-10,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-11,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-12,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-13,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-14,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-15,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-16,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-17,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-18,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-19,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-20,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-21,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-22,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-23,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-24,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-25,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-26,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-27,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-28,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-29,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-30,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-07-31,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-01,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-02,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-03,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-04,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-05,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-06,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-07,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-08,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-09,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-10,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-11,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-12,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-13,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-14,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-15,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-16,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-17,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-18,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-19,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-20,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-21,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-22,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-23,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-24,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-25,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-26,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-27,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-28,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-29,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-30,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-08-31,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-01,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-02,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-03,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-04,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-05,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-06,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-07,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-08,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-09,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-10,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-11,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-12,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-13,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-14,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-15,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-16,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-17,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-18,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-19,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-20,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-21,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-22,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-23,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-24,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-25,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-26,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-27,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-28,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-29,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-10-01,何咯,19.4,8.2,193.0,12.3,2.6,,,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-02,何咯,19.6,8.6,241.0,12.5,1.8,,,33.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-03,何咯,19.7,8.7,250.0,13.0,1.9,,,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-04,何咯,19.7,8.9,251.0,14.0,,,,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-05,何咯,19.5,8.9,243.0,14.2,3.7,,,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-06,何咯,19.7,8.9,236.0,14.2,3.4,,,70.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,,
2012-10-07,何咯,19.8,8.8,242.0,13.5,3.1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-08,何咯,19.6,8.8,251.0,12.9,3.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-09,何咯,19.5,9.0,264.0,13.1,4.5,,,41.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-10,何咯,19.0,8.9,256.0,12.6,5.1,,,41.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-11,何咯,18.4,9.0,247.0,12.8,5.5,,,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-12,何咯,18.1,9.0,261.0,12.7,4.9,,,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-13,何咯,17.8,8.9,284.0,12.4,4.3,,,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
