,측정소명,수온,수소이온농도,전기전도도,용존산소,탁도,총유기탄소,총질소,총인,클로로필,염화메틸렌,트리클로로에테인,사염화탄소,트리클로로에틸렌,테트라클로로에틸렌,벤젠,톨루엔,에틸벤젠,자일렌,자일렌,염화메틸렌,트리클로로에테인,사염화탄소,트리클로로에틸렌,테트라클로로에틸렌
2012-07-01,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-02,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-03,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-04,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-05,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-06,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-07,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-08,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-09,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-10,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-11,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-12,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-13,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-14,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-15,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-16,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-17,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-18,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-19,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-20,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-21,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-22,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-23,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-24,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-25,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-26,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-27,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-28,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-29,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-30,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-31,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-01,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-02,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-03,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-04,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-05,고령,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-06,고령,,,,,,,,,,,,,,,,,,,,,,,,
