,측정소명,수온,수소이온농도,전기전도도,용존산소,탁도,총유기탄소,총질소,총인,암모니아성질소,질산성질소,인산염인,클로로필,염화메틸렌,트리클로로에테인,사염화탄소,트리클로로에틸렌,테트라클로로에틸렌,벤젠,톨루엔,에틸벤젠,자일렌,자일렌,염화메틸렌,트리클로로에테인,사염화탄소,트리클로로에틸렌,테트라클로로에틸렌,페놀
2012-07-01,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-02,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-03,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-04,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-05,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-06,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-07,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-08,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-09,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-10,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-11,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-12,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-13,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-14,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-15,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-16,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-17,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-18,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-19,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-20,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-21,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-22,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-23,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-24,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-25,다산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
