,측정소명,수온,수소이온농도,전기전도도,용존산소,탁도,총유기탄소,총질소,총인,클로로필
2012-07-01,상동,,,,,,,,,
2012-07-02,상동,,,,,,,,,
2012-07-03,상동,,,,,,,,,
2012-07-04,상동,,,,,,,,,
2012-07-05,상동,,,,,,,,,
2012-07-06,상동,,,,,,,,,
2012-07-07,상동,,,,,,,,,
2012-07-08,상동,,,,,,,,,
2012-07-09,상동,,,,,,,,,
2012-07-10,상동,,,,,,,,,
2012-07-11,상동,,,,,,,,,
2012-07-12,상동,,,,,,,,,
2012-07-13,상동,,,,,,,,,
2012-07-14,상동,,,,,,,,,
2012-07-15,상동,,,,,,,,,
2012-07-16,상동,,,,,,,,,
2012-07-17,상동,,,,,,,,,
2012-07-18,상동,,,,,,,,,
2012-07-19,상동,,,,,,,,,
2012-07-20,상동,,,,,,,,,
2012-07-21,상동,,,,,,,,,
2012-07-22,상동,,,,,,,,,
2012-07-23,상동,,,,,,,,,
2012-07-24,상동,,,,,,,,,
2012-07-25,상동,,,,,,,,,
2012-07-26,상동,,,,,,,,,
2012-07-27,상동,,,,,,,,,
2012-07-28,상동,,,,,,,,,
2012-07-29,상동,,,,,,,,,
2012-07-30,상동,,,,,,,,,
2012-07-31,상동,,,,,,,,,
2012-08-01,상동,,,,,,,,,
2012-08-02,상동,,,,,,,,,
2012-08-03,상동,,,,,,,,,
2012-08-04,상동,,,,,,,,,
2012-08-05,상동,,,,,,,,,
2012-08-06,상동,,,,,,,,,
2012-08-07,상동,,,,,,,,,
2012-08-08,상동,,,,,,,,,
2012-08-09,상동,,,,,,,,,
2012-08-10,상동,,,,,,,,,
2012-08-11,상동,,,,,,,,,
2012-08-12,상동,,,,,,,,,
2012-08-13,상동,,,,,,,,,
2012-08-14,상동,,,,,,,,,
2012-08-15,상동,,,,,,,,,
2012-08-16,상동,,,,,,,,,
2012-08-17,상동,,,,,,,,,
2012-08-18,상동,,,,,,,,,
2012-08-19,상동,,,,,,,,,
2012-08-20,상동,,,,,,,,,
2012-08-21,상동,,,,,,,,,
2012-08-22,상동,,,,,,,,,
2012-08-23,상동,,,,,,,,,
2012-08-24,상동,,,,,,,,,
2012-08-25,상동,,,,,,,,,
2012-08-26,상동,,,,,,,,,
2012-08-27,상동,,,,,,,,,
2012-08-28,상동,,,,,,,,,
2012-08-29,상동,,,,,,,,,
2012-08-30,상동,,,,,,,,,
2012-08-31,상동,,,,,,,,,
2012-09-01,상동,,,,,,,,,
2012-09-02,상동,,,,,,,,,
