,螟沥家疙,荐柯,荐家捞柯丑档,傈扁傈档档,侩粮魂家,醚蜡扁藕家,努肺肺鞘,堪拳皋瓶坊,飘府努肺肺俊抛牢,荤堪拳藕家,飘府努肺肺俊瓶坊,抛飘扼努肺肺俊瓶坊,亥哩,喷风浚,俊瓶亥哩,磊老坊,磊老坊,堪拳皋瓶坊,飘府努肺肺俊抛牢,荤堪拳藕家,飘府努肺肺俊瓶坊,抛飘扼努肺肺俊瓶坊
2012-07-01,柳林,26.0,7.2,188.0,7.1,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-02,柳林,26.7,7.5,200.0,7.7,2.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-03,柳林,27.7,7.6,207.0,8.4,2.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-04,柳林,28.2,7.8,258.0,7.9,4.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-05,柳林,25.8,6.9,176.0,5.4,4.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-06,柳林,25.4,6.9,184.0,5.3,3.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-07,柳林,25.0,7.1,197.0,6.5,3.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-08,柳林,26.6,7.2,204.0,7.7,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-09,柳林,28.0,7.5,252.0,8.0,2.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-10,柳林,27.5,7.5,188.0,7.6,3.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-11,柳林,25.1,7.0,140.0,5.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1
2012-07-12,柳林,25.5,7.1,125.0,6.5,2.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-13,柳林,26.6,7.3,118.0,7.1,2.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-14,柳林,25.5,7.2,118.0,7.1,3.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-15,柳林,24.3,7.1,120.0,6.8,3.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-16,柳林,24.0,7.0,106.0,6.9,3.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-17,柳林,23.2,7.0,137.0,7.1,3.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-18,柳林,23.4,7.0,133.0,7.3,3.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-19,柳林,23.7,6.9,111.0,7.1,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-20,柳林,24.7,7.0,107.0,7.2,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-21,柳林,25.3,7.1,106.0,7.3,2.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-22,柳林,24.5,7.0,97.0,7.4,3.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-23,柳林,25.1,7.1,91.0,7.7,3.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-24,柳林,26.0,7.1,85.0,8.0,2.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-25,柳林,26.0,7.2,78.0,8.1,2.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-26,柳林,26.2,7.3,78.0,8.4,2.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-27,柳林,26.0,7.3,75.0,8.4,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-28,柳林,26.5,7.3,75.0,8.4,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-29,柳林,26.9,7.2,78.0,8.3,2.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-30,柳林,26.9,7.4,75.0,8.2,2.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-31,柳林,26.8,7.5,76.0,8.3,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,柳林,26.9,7.4,74.0,8.1,2.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-02,柳林,26.6,7.3,79.0,7.9,2.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-03,柳林,27.1,7.3,79.0,7.7,2.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-04,柳林,27.3,7.4,86.0,7.8,2.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-05,柳林,28.7,7.6,124.0,7.6,2.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-06,柳林,28.8,7.5,110.0,7.5,2.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-07,柳林,28.2,7.4,116.0,7.8,2.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-08,柳林,27.7,7.4,87.0,7.9,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
2012-08-09,柳林,28.4,7.4,105.0,8.0,2.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-10,柳林,27.9,7.4,111.0,7.2,2.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-11,柳林,27.9,7.7,103.0,7.3,2.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-12,柳林,27.7,7.2,81.0,6.9,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-13,柳林,26.5,6.9,57.0,5.3,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-14,柳林,,,,,,,,,,,,,,,,,,,,,
2012-08-15,柳林,,,,,,,,,,,,,,,,,,,,,
2012-08-16,柳林,,,,,,,,,,,,,,,,,,,,,
2012-08-17,柳林,28.6,7.4,145.0,6.8,2.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,0.1,0.0,0.0,0.0,0.0,0.0
2012-08-18,柳林,29.2,7.5,141.0,7.2,2.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-19,柳林,29.6,7.7,146.0,7.3,2.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-20,柳林,28.8,7.8,143.0,7.4,2.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-21,柳林,28.2,7.7,133.0,7.7,2.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-22,柳林,26.0,7.1,114.0,5.9,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-23,柳林,24.8,7.1,106.0,6.3,2.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-24,柳林,23.5,7.0,96.0,6.9,3.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-25,柳林,22.8,6.9,67.0,7.4,2.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-26,柳林,22.8,6.9,69.0,8.0,2.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-27,柳林,23.0,6.9,68.0,8.0,2.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-28,柳林,24.5,6.8,86.0,5.1,2.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-29,柳林,24.8,6.7,74.0,5.8,3.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-30,柳林,23.9,6.8,71.0,6.9,3.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-31,柳林,23.3,6.9,83.0,7.8,2.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,柳林,24.3,7.0,99.0,7.5,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
