,측정소명,수온,수소이온농도,전기전도도,용존산소,탁도,총유기탄소,총질소,총인,클로로필,염화메틸렌,트리클로로에테인,사염화탄소,트리클로로에틸렌,테트라클로로에틸렌,벤젠,톨루엔,에틸벤젠,자일렌,자일렌,염화메틸렌,트리클로로에테인,사염화탄소,트리클로로에틸렌,테트라클로로에틸렌
2012-07-01,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-02,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-03,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-04,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-05,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-06,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-07,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-08,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-09,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-10,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-11,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-12,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-13,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-14,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-15,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-16,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-17,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-18,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-19,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-20,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-21,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-22,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-23,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-24,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-25,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-26,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-27,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-28,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-29,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-30,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-31,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-01,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-02,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-03,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-04,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-05,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-06,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-07,회상,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-08,회상,,,,,,,,,,,,,,,,,,,,,,,,
