,螟沥家疙,荐柯,荐家捞柯丑档,傈扁傈档档,侩粮魂家,殴档,醚蜡扁藕家,醚龙家,醚牢,努肺肺鞘
2012-07-01,咯林,,,,,,,,,
2012-07-02,咯林,,,,,,,,,
2012-07-03,咯林,,,,,,,,,
2012-07-04,咯林,,,,,,,,,
2012-07-05,咯林,,,,,,,,,
2012-07-06,咯林,,,,,,,,,
2012-07-07,咯林,,,,,,,,,
2012-07-08,咯林,,,,,,,,,
2012-07-09,咯林,,,,,,,,,
2012-07-10,咯林,,,,,,,,,
2012-07-11,咯林,,,,,,,,,
2012-07-12,咯林,,,,,,,,,
2012-07-13,咯林,,,,,,,,,
2012-07-14,咯林,,,,,,,,,
2012-07-15,咯林,,,,,,,,,
2012-07-16,咯林,,,,,,,,,
2012-07-17,咯林,,,,,,,,,
2012-07-18,咯林,,,,,,,,,
2012-07-19,咯林,,,,,,,,,
2012-07-20,咯林,,,,,,,,,
2012-07-21,咯林,,,,,,,,,
2012-07-22,咯林,,,,,,,,,
2012-07-23,咯林,,,,,,,,,
2012-07-24,咯林,,,,,,,,,
2012-07-25,咯林,,,,,,,,,
2012-07-26,咯林,,,,,,,,,
2012-07-27,咯林,,,,,,,,,
2012-07-28,咯林,,,,,,,,,
2012-07-29,咯林,,,,,,,,,
2012-07-30,咯林,,,,,,,,,
2012-07-31,咯林,,,,,,,,,
2012-08-01,咯林,,,,,,,,,
2012-08-02,咯林,,,,,,,,,
2012-08-03,咯林,,,,,,,,,
2012-08-04,咯林,,,,,,,,,
2012-08-05,咯林,,,,,,,,,
2012-08-06,咯林,,,,,,,,,
2012-08-07,咯林,,,,,,,,,
2012-08-08,咯林,,,,,,,,,
2012-08-09,咯林,,,,,,,,,
2012-08-10,咯林,,,,,,,,,
2012-08-11,咯林,,,,,,,,,
2012-08-12,咯林,,,,,,,,,
2012-08-13,咯林,,,,,,,,,
2012-08-14,咯林,,,,,,,,,
2012-08-15,咯林,,,,,,,,,
2012-08-16,咯林,,,,,,,,,
2012-08-17,咯林,,,,,,,,,
2012-08-18,咯林,,,,,,,,,
2012-08-19,咯林,,,,,,,,,
2012-08-20,咯林,,,,,,,,,
2012-08-21,咯林,,,,,,,,,
2012-08-22,咯林,,,,,,,,,
2012-08-23,咯林,,,,,,,,,
2012-08-24,咯林,,,,,,,,,
2012-08-25,咯林,,,,,,,,,
2012-08-26,咯林,,,,,,,,,
2012-08-27,咯林,,,,,,,,,
2012-08-28,咯林,,,,,,,,,
2012-08-29,咯林,,,,,,,,,
2012-08-30,咯林,,,,,,,,,
2012-08-31,咯林,,,,,,,,,
2012-09-01,咯林,,,,,,,,,
2012-09-02,咯林,,,,,,,,,
2012-09-03,咯林,,,,,,,,,
2012-09-04,咯林,,,,,,,,,
2012-09-05,咯林,,,,,,,,,
2012-09-06,咯林,,,,,,,,,
2012-09-07,咯林,,,,,,,,,
2012-09-08,咯林,,,,,,,,,
2012-09-09,咯林,,,,,,,,,
2012-09-10,咯林,,,,,,,,,
2012-09-11,咯林,,,,,,,,,
2012-09-12,咯林,,,,,,,,,
2012-09-13,咯林,,,,,,,,,
2012-09-14,咯林,,,,,,,,,
2012-09-15,咯林,,,,,,,,,
2012-09-16,咯林,,,,,,,,,
2012-09-17,咯林,,,,,,,,,
2012-09-18,咯林,,,,,,,,,
2012-09-19,咯林,,,,,,,,,
2012-09-20,咯林,20.1,7.3,141.0,8.9,7.3,,,,
2012-09-21,咯林,20.6,7.4,153.0,9.0,5.4,,,,
2012-09-22,咯林,20.8,7.5,164.0,9.3,4.6,,,,
2012-09-23,咯林,21.4,7.7,169.0,9.4,23.7,,,,
2012-09-24,咯林,21.2,7.8,172.0,9.6,63.5,,,,
2012-09-25,咯林,21.1,8.0,173.0,9.9,50.7,,,,
2012-09-26,咯林,20.0,7.8,180.0,9.7,260.2,,,,
2012-09-27,咯林,,,,,,,,,
2012-09-28,咯林,,,,,,,,,
2012-09-29,咯林,19.0,7.8,185.0,8.7,150.7,,,,
2012-09-30,咯林,19.0,8.1,187.0,9.3,22.1,,,,
2012-10-01,咯林,19.4,8.3,187.0,9.5,149.5,,,,
2012-10-02,咯林,19.6,8.5,185.0,9.8,44.6,,,,
2012-10-03,咯林,20.0,8.7,184.0,9.9,53.0,,,,
2012-10-04,咯林,19.8,8.6,183.0,9.7,60.8,,,,
2012-10-05,咯林,19.7,8.5,185.0,8.6,85.9,,,,
2012-10-06,咯林,19.6,8.3,187.0,8.5,2.1,,,,
2012-10-07,咯林,19.5,8.6,184.0,8.8,2.1,,,,
2012-10-08,咯林,19.5,8.7,186.0,8.5,1.9,,,,
2012-10-09,咯林,19.4,8.7,186.0,8.2,1.9,,,,
2012-10-10,咯林,18.7,8.6,186.0,8.3,1.7,,,,
2012-10-11,咯林,18.1,8.3,185.0,9.0,1.7,,,,
2012-10-12,咯林,17.9,8.6,188.0,9.1,1.8,,,,
2012-10-13,咯林,17.7,8.7,189.0,9.5,11.1,,,,
2012-10-14,咯林,17.3,8.6,189.0,9.6,115.5,,,,
2012-10-15,咯林,17.0,8.7,189.0,9.9,262.3,,,,
2012-10-16,咯林,17.1,8.7,191.0,10.1,1.2,,,,
2012-10-17,咯林,17.8,8.0,192.0,8.4,1.5,,,,
2012-10-18,咯林,16.3,8.5,192.0,9.6,1.9,,,,
2012-10-19,咯林,,,,,,,,,
2012-10-20,咯林,16.4,8.4,198.0,9.4,1.7,,,,
2012-10-21,咯林,17.4,8.4,200.0,9.3,1.6,,,,
2012-10-22,咯林,17.1,8.1,198.0,8.5,2.5,,,,
2012-10-23,咯林,15.2,7.8,187.0,9.0,18.5,,,,
2012-10-24,咯林,15.6,8.1,194.0,9.5,5.7,,,,
2012-10-25,咯林,16.5,8.1,194.0,10.5,2.6,,,,
2012-10-26,咯林,16.3,8.2,191.0,9.6,2.3,,,,
2012-10-27,咯林,16.5,8.2,191.0,9.5,2.9,,,,
2012-10-28,咯林,16.2,7.8,186.0,9.1,8.5,,,,
2012-10-29,咯林,16.3,8.0,183.0,9.3,6.8,,,,
2012-10-30,咯林,16.0,8.1,185.0,9.5,3.3,,,,
2012-10-31,咯林,15.1,8.2,185.0,9.3,3.0,,,,
2012-11-01,咯林,14.1,8.2,186.0,9.2,2.7,,,,
2012-11-02,咯林,12.9,8.3,189.0,9.1,2.1,,,,
2012-11-03,咯林,13.1,8.2,190.0,8.9,1.7,,,,
2012-11-04,咯林,13.2,8.2,193.0,9.0,1.5,,,,
2012-11-05,咯林,13.4,8.1,192.0,8.6,1.4,,,,
2012-11-06,咯林,13.5,7.9,195.0,8.9,1.5,1.1,,,1.8
2012-11-07,咯林,13.1,7.8,195.0,9.1,1.7,1.4,,,1.8
2012-11-08,咯林,12.9,8.0,195.0,9.2,1.8,1.6,,,1.7
2012-11-09,咯林,12.7,7.8,195.0,9.1,1.6,2.1,,,1.7
2012-11-10,咯林,13.1,8.1,197.0,9.4,1.7,2.4,,,1.7
2012-11-11,咯林,13.1,8.1,199.0,9.1,1.8,2.7,,,1.8
2012-11-12,咯林,12.0,7.8,202.0,9.1,2.4,,,,1.9
2012-11-13,咯林,11.3,7.8,202.0,9.4,3.5,,,,1.8
2012-11-14,咯林,10.9,7.9,199.0,9.5,4.1,,,,1.9
2012-11-15,咯林,10.6,8.0,197.0,9.7,2.7,,,,1.8
2012-11-16,咯林,10.4,8.0,197.0,9.6,2.2,1.6,,,1.8
2012-11-17,咯林,10.7,7.8,197.0,9.5,2.2,1.5,,,1.7
2012-11-18,咯林,10.3,8.1,200.0,9.5,2.1,1.5,,,1.7
2012-11-19,咯林,9.8,8.1,200.0,9.7,1.9,1.5,,,1.7
2012-11-20,咯林,9.5,8.0,202.0,9.6,1.7,1.3,,,1.7
2012-11-21,咯林,9.2,8.1,202.0,9.7,1.8,1.2,,,1.7
2012-11-22,咯林,9.5,8.1,202.0,9.7,1.9,1.2,,,1.7
2012-11-23,咯林,9.8,8.1,206.0,9.8,2.7,1.3,,,1.9
2012-11-24,咯林,9.5,8.0,210.0,10.0,1.7,1.4,,,1.8
2012-11-25,咯林,9.1,8.3,205.0,10.1,1.7,1.5,,,1.7
2012-11-26,咯林,9.2,8.2,206.0,10.0,1.9,1.6,,,1.7
2012-11-27,咯林,8.4,8.2,206.0,10.1,1.8,1.7,,,1.7
2012-11-28,咯林,8.1,8.4,207.0,10.4,1.7,1.5,,,1.7
2012-11-29,咯林,8.3,7.9,205.0,10.2,2.2,1.7,,,1.8
2012-11-30,咯林,8.2,8.3,205.0,10.5,1.7,1.5,,,1.7
2012-12-01,咯林,8.1,8.3,205.0,10.4,1.7,1.5,,,1.7
2012-12-02,咯林,8.0,8.3,205.0,10.3,1.7,1.6,,,2.1
2012-12-03,咯林,8.0,8.2,206.0,10.1,1.9,1.7,,,2.2
2012-12-04,咯林,7.2,7.9,205.0,10.1,2.1,1.7,,,1.8
2012-12-05,咯林,6.2,8.1,207.0,10.2,2.9,,,,1.6
2012-12-06,咯林,5.2,7.9,207.0,10.1,2.4,,,,1.7
2012-12-07,咯林,5.3,8.1,208.0,10.2,2.4,,,,1.4
2012-12-08,咯林,4.7,7.8,212.0,10.3,2.6,,,,1.2
2012-12-09,咯林,4.0,8.1,213.0,10.2,2.2,,,,1.2
2012-12-10,咯林,3.4,8.0,219.0,10.2,2.1,,,,1.2
2012-12-11,咯林,,8.0,218.0,,2.0,,,,1.1
2012-12-12,咯林,,7.8,222.0,,1.6,1.5,,,1.1
2012-12-13,咯林,4.0,8.0,219.0,12.1,2.4,1.7,,,1.4
2012-12-14,咯林,5.1,8.0,214.0,12.0,2.6,1.8,,,1.3
2012-12-15,咯林,,,,,,1.6,,,
2012-12-16,咯林,,,,,,,,,
2012-12-17,咯林,,,,,,,,,
2012-12-18,咯林,,,,,,,,,
2012-12-19,咯林,3.4,7.8,221.0,11.0,4.1,,,,1.3
2012-12-20,咯林,3.1,7.8,216.0,11.8,4.5,,,,1.3
2012-12-21,咯林,3.4,7.8,213.0,12.2,3.4,3.0,,,1.3
2012-12-22,咯林,3.8,7.8,208.0,12.1,3.1,2.2,,,1.3
2012-12-23,咯林,3.4,7.9,208.0,12.4,2.8,,,,1.3
2012-12-24,咯林,2.4,8.1,208.0,12.9,2.4,,,,1.2
2012-12-25,咯林,2.7,8.0,211.0,13.0,2.0,2.6,,,1.2
2012-12-26,咯林,2.2,8.1,212.0,13.1,2.0,1.5,,,1.2
2012-12-27,咯林,2.3,8.1,212.0,13.2,1.8,2.0,,,1.2
2012-12-28,咯林,2.8,7.9,216.0,13.1,1.9,2.2,,,1.2
2012-12-29,咯林,3.2,7.7,217.0,12.6,1.8,2.3,,,1.2
2012-12-30,咯林,3.7,7.8,214.0,12.4,2.0,2.1,,,1.2
2012-12-31,咯林,2.6,8.0,220.0,13.3,1.6,1.9,,,1.3
2013-01-01,咯林,2.5,7.9,228.0,14.2,1.4,,,,
2013-01-02,咯林,2.4,7.8,232.0,14.2,3.0,,,,
2013-01-03,咯林,1.7,8.0,218.0,14.2,2.6,,,,
2013-01-04,咯林,1.6,8.0,208.0,14.0,1.9,,,,
2013-01-05,咯林,1.9,8.0,206.0,13.9,2.3,,,,
2013-01-06,咯林,2.2,7.9,208.0,14.0,2.1,,,,
2013-01-07,咯林,,,,,,,,,
2013-01-08,咯林,2.7,7.9,206.0,13.5,0.8,,,,
2013-01-09,咯林,2.6,7.9,205.0,13.5,0.8,,,,
2013-01-10,咯林,2.1,8.0,203.0,13.7,0.6,,,,
2013-01-11,咯林,2.0,7.9,205.0,14.0,0.5,,,,
2013-01-12,咯林,2.7,7.8,207.0,13.7,0.6,,,,
2013-01-13,咯林,3.0,7.7,206.0,13.3,0.8,,,,
2013-01-14,咯林,3.1,7.9,205.0,13.4,0.8,,,,
2013-01-15,咯林,2.9,7.8,206.0,13.5,0.6,,,,
2013-01-16,咯林,3.0,7.9,205.0,13.6,0.6,,,,
2013-01-17,咯林,3.2,7.9,203.0,13.4,0.5,,,,
2013-01-18,咯林,3.0,7.9,201.0,13.4,0.5,,,,
2013-01-19,咯林,3.1,7.9,202.0,13.4,0.5,,,,
2013-01-20,咯林,3.3,7.9,202.0,13.3,0.5,,,,
2013-01-21,咯林,3.7,7.9,202.0,13.4,0.6,,,,
2013-01-22,咯林,2.9,7.5,207.0,13.3,24.1,,,,
2013-01-23,咯林,2.7,7.6,200.0,13.5,21.7,,,,
2013-01-24,咯林,3.0,7.7,199.0,13.4,7.4,,,,
2013-01-25,咯林,1.9,7.8,199.0,13.7,3.9,,,,
2013-01-26,咯林,1.4,7.8,196.0,14.0,2.4,,,,
2013-01-27,咯林,1.5,7.7,198.0,14.5,1.4,,,,
2013-01-28,咯林,1.4,7.7,199.0,13.9,1.1,,,,
2013-01-29,咯林,2.3,7.6,201.0,12.8,1.0,,,,
2013-01-30,咯林,3.0,7.7,198.0,12.0,0.9,,,,
2013-01-31,咯林,4.0,7.9,194.0,12.1,1.0,,,,
2013-02-01,咯林,4.9,8.0,191.0,11.8,7.2,,,,
2013-02-02,咯林,,,,,,,,,
2013-02-03,咯林,,,,,,,,,
2013-02-04,咯林,,,,,,,,,
2013-02-05,咯林,,,,,,,,,
2013-02-06,咯林,,,,,,,,,
2013-02-07,咯林,2.8,7.8,191.0,12.6,3.6,,,,
2013-02-08,咯林,1.0,7.8,196.0,12.9,2.1,,,,
2013-02-09,咯林,1.2,7.8,199.0,12.5,1.4,,,,
2013-02-10,咯林,1.4,7.8,204.0,12.0,1.5,,,,
2013-02-11,咯林,1.5,7.8,200.0,11.6,1.5,,,,
2013-02-12,咯林,2.0,7.9,199.0,11.3,1.6,,,,
2013-02-13,咯林,2.0,7.9,196.0,10.9,1.4,,,,
2013-02-14,咯林,,8.0,,10.6,1.0,,,,
2013-02-15,咯林,,7.9,,9.7,0.6,,,,
2013-02-16,咯林,3.4,8.2,193.0,9.9,1.0,,,,
2013-02-17,咯林,3.7,8.2,196.0,9.7,0.9,,,,
2013-02-18,咯林,4.6,8.2,194.0,9.3,1.3,,,,
2013-02-19,咯林,4.5,8.2,196.0,9.0,2.2,,,,
2013-02-20,咯林,3.6,8.2,199.0,8.8,1.9,,,,
2013-02-21,咯林,3.4,8.3,201.0,8.8,1.3,,,,
2013-02-22,咯林,3.6,8.3,200.0,8.9,1.1,,,,
2013-02-23,咯林,3.5,8.2,201.0,9.0,1.4,,,,
2013-02-24,咯林,3.7,8.2,202.0,9.1,1.3,,,,
2013-02-25,咯林,4.0,8.3,203.0,9.3,1.2,,,,
2013-02-26,咯林,4.4,8.3,203.0,9.6,0.9,,,,
2013-02-27,咯林,4.9,8.2,202.0,9.4,1.1,,,,
2013-02-28,咯林,5.5,8.3,207.0,9.6,1.4,,,,
2013-03-01,咯林,5.9,8.2,224.0,9.7,2.4,,,,4.9
2013-03-02,咯林,5.2,8.1,232.0,9.4,5.8,,,,5.1
2013-03-03,咯林,5.0,8.3,230.0,10.0,4.3,,,,5.1
2013-03-04,咯林,5.2,8.3,228.0,10.1,2.0,,,,3.9
2013-03-05,咯林,4.9,8.2,229.0,10.0,1.6,,,,1.9
2013-03-06,咯林,5.8,8.4,228.0,10.2,1.7,,,,2.3
2013-03-07,咯林,6.0,8.3,230.0,9.9,1.6,,,,3.3
2013-03-08,咯林,6.0,7.9,235.0,9.2,1.7,,,,3.5
2013-03-09,咯林,7.4,8.3,229.0,9.7,1.9,,,,4.0
2013-03-10,咯林,,,,,,,,,
2013-03-11,咯林,,,,,,,,,
2013-03-12,咯林,7.2,8.3,228.0,9.5,1.5,,,,2.1
2013-03-13,咯林,8.0,7.9,229.0,8.8,3.8,,,,3.3
2013-03-14,咯林,7.7,7.7,233.0,8.5,13.2,,,,5.9
2013-03-15,咯林,7.9,7.9,227.0,10.8,3.6,,,,4.4
2013-03-16,咯林,7.8,7.9,222.0,12.5,2.4,,,,3.8
2013-03-17,咯林,7.7,7.9,220.0,12.8,2.3,,,,3.5
2013-03-18,咯林,8.5,7.9,216.0,12.3,4.8,,,,3.7
2013-03-19,咯林,8.9,7.8,215.0,11.8,8.8,,,,5.2
2013-03-20,咯林,8.2,7.7,217.0,11.9,3.5,,,,5.8
2013-03-21,咯林,6.4,7.8,217.0,12.5,3.4,,,,5.6
2013-03-22,咯林,6.5,7.9,217.0,12.6,2.7,,,,6.9
2013-03-23,咯林,6.6,7.9,221.0,12.6,2.4,,,,6.1
2013-03-24,咯林,7.5,8.0,222.0,12.6,2.4,,,,6.7
2013-03-25,咯林,7.3,8.0,223.0,12.5,2.4,,,,6.8
2013-03-26,咯林,7.2,8.0,221.0,12.6,2.2,,,,7.1
2013-03-27,咯林,7.8,8.1,221.0,12.7,2.4,,,,10.0
2013-03-28,咯林,7.3,8.0,223.0,12.4,2.6,,,,10.6
2013-03-29,咯林,,,,,,,,,
2013-03-30,咯林,7.1,8.1,222.0,12.3,2.1,,,,9.4
2013-03-31,咯林,7.3,8.0,223.0,12.3,2.0,,,,6.8
2013-04-01,咯林,7.4,8.1,223.0,12.4,2.1,,2.914,0.02,7.2
2013-04-02,咯林,7.1,8.0,224.0,12.0,2.0,1.4,2.927,0.019,10.0
2013-04-03,咯林,7.1,8.0,223.0,12.1,2.1,1.3,2.925,0.019,9.1
2013-04-04,咯林,8.5,8.1,221.0,12.0,2.2,1.5,2.878,0.021,10.1
2013-04-05,咯林,8.9,8.1,223.0,11.9,2.1,1.4,2.89,0.02,7.3
2013-04-06,咯林,8.7,8.0,224.0,11.4,2.2,1.3,2.969,0.018,11.0
2013-04-07,咯林,7.8,7.9,222.0,11.2,4.6,1.6,3.124,0.027,14.4
2013-04-08,咯林,7.5,7.9,223.0,11.6,4.0,1.9,3.125,0.038,12.5
2013-04-09,咯林,8.8,7.9,219.0,11.6,3.0,2.6,3.019,0.036,10.2
2013-04-10,咯林,8.1,7.9,220.0,11.4,2.8,3.2,2.984,0.032,7.9
2013-04-11,咯林,8.0,8.0,218.0,11.5,2.6,3.2,2.974,0.033,11.7
2013-04-12,咯林,7.6,8.0,221.0,11.5,2.6,3.1,2.829,0.032,12.1
2013-04-13,咯林,7.8,8.0,223.0,11.7,2.5,3.1,2.844,0.03,9.9
2013-04-14,咯林,9.7,8.1,221.0,11.3,2.2,2.5,2.858,0.027,10.0
2013-04-15,咯林,9.0,8.2,211.0,10.8,,2.5,2.792,0.032,10.8
2013-04-16,咯林,8.4,8.5,199.0,11.3,,2.9,2.742,0.026,6.3
2013-04-17,咯林,11.3,8.5,195.0,10.4,,2.6,2.641,0.024,12.7
2013-04-18,咯林,10.3,8.4,199.0,10.4,,2.5,2.649,0.024,11.4
2013-04-19,咯林,10.9,8.5,197.0,10.7,2.1,2.5,2.678,0.027,10.7
2013-04-20,咯林,10.8,8.5,197.0,10.7,17.1,2.3,2.653,0.025,14.5
2013-04-21,咯林,9.8,8.5,199.0,10.9,36.7,2.4,2.62,0.026,17.0
2013-04-22,咯林,11.1,8.7,197.0,10.9,28.2,2.3,2.624,0.027,19.8
2013-04-23,咯林,,,,,,,2.629,0.023,17.7
2013-04-24,咯林,,,,,,,2.651,0.022,19.1
