 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2011-01-05,594,2011,1,1회차,낙동강,강정고령보(낙동왜관),강정,,,,,0.00000,,,0.9,,0.00000,,,1.5,,3.2,,,0.000,,,,,,14.7,2.29,0.025,296.0,50,,,,,0.0000000,,0.223,,,1.967,,0.00000,,,7.9,0.000,0.017,,30.5,,180.0,1.0,2.41,,0.054,,
2012-01-10,1153,2012,1,1회차,낙동강,강정고령보(낙동왜관),강정,,,,,,,,0.9,,,,,1.3,,4.0,,,,,,,,,15.0,3.371,0.020,229.0,0,,,,,,,0.096,,,2.937,,,,,7.9,0.000,0.011,,9.2,,440.0,1.0,3.461,1.8,0.026,,
2013-01-09,1895,2013,1,1회차,낙동강,강정고령보(낙동왜관),강정,,,,,,,,0.7,,,,,2.9,,2.6,,,,,,,,,14.6,2.612,0.015,226.0,20,,,,,,,0.289,,,2.620,,,,,7.7,0.000,0.001,,1.0,,64.0,1.0,2.629,1.6,0.023,,
2014-01-14,2535,2014,1,1회차,낙동강,강정고령보(낙동왜관),강정,,,,,,,,1.2,,,,,5.4,,2.8,,,,,,,,,14.7,2.734,0.018,231.0,0,,,,,,,0.007,,,2.302,,,,,8.9,0.000,0.001,,6.0,,30.0,2.0,2.792,1.9,0.031,,
2015-01-13,3476,2015,1,1회차,낙동강,강정고령보(낙동왜관),강정,,,,,,,,1.1,,,,,5.0,,4.4,,,,,,,,,15.3,3.014,0.008,254.0,0,,,,,,,0.144,,,2.626,,,,,8.0,0.000,0.007,,0.8,,4.0,3.0,3.053,2.1,0.010,,
2011-01-19,48501,2011,1,2회차,낙동강,강정고령보(낙동왜관),강정,,,,,,,,0.9,,,,,,,3.2,,,,,,,,,19.0,,,230.0,,,,,,,,,,,,,,,,7.9,,,,38.0,,,3.0,,,,,
2011-02-09,4477,2011,2,1회차,낙동강,강정고령보(낙동왜관),강정,,,,,0.00000,,,1.0,,0.00000,,,5.2,,4.0,,,0.000,,,,,,14.5,2.359,0.031,273.0,100,,,,,0.0000000,,0.196,,,2.092,,0.00000,,,8.0,0.000,0.027,,78.8,,200.0,3.0,2.419,,0.071,,
2012-02-08,5026,2012,2,1회차,낙동강,강정고령보(낙동왜관),강정,,,,,,,,0.7,,,,,2.6,,3.6,,,,,,,,,14.2,3.31,0.026,255.0,2,,,,,,,0.293,,,2.484,,,,,7.9,0.000,0.019,,8.8,,180.0,0.0,3.43,1.6,0.029,,
2013-02-18,5570,2013,2,1회차,낙동강,강정고령보(낙동왜관),강정,,,,,,,,0.8,,,,,3.2,,4.0,,,,,,,,,14.2,2.669,0.036,184.0,10,,,,,,,0.176,,,2.472,,,,,7.8,0.000,0.034,,6.4,,30.0,3.0,2.683,2.2,0.051,,
2014-02-11,6452,2014,2,1회차,낙동강,강정고령보(낙동왜관),강정,,,,,,,,1.4,,,,,10.2,,5.0,,,,,,,,,15.6,3.08,0.012,260.0,0,,,,,,,0.251,,,3.068,,,,,8.7,0.000,0.000,,5.2,,0.0,4.0,3.206,2.3,0.024,,
