 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2011-01-04,561,2011,1,1회차,한강,남한강하류,강천,,,,,,,,0.2,,,,,0.7,,2.6,,,,,,,,,14.5,3.026,0.021,227.0,6,,,,,,,0.060,,,2.943,,,,,6.4,,0.005,,4.9,,830.0,5.0,3.175,,0.022,,
2012-01-02,1463,2012,1,1회차,한강,남한강하류,강천,,,,,,,,0.5,,,,,2.3,,2.1,,,,,,,,,15.4,2.567,0.008,164.0,1,,,,,,,0.032,,,2.366,,,,,7.9,,0.006,,3.6,,380.0,4.3,2.588,1.3,0.012,,
2013-01-02,2297,2013,1,1회차,한강,남한강하류,강천,,,,,,,,0.5,,,,,2.1,,1.9,,,,,,,,,15.3,2.363,0.007,230.0,1,,,,,,,0.032,,,2.135,,,,,7.8,0.000,0.006,,0.6,,310.0,2.7,2.442,1.2,0.009,,
2014-01-07,2862,2014,1,1회차,한강,남한강하류,강천,,정량한계미만,,정량한계미만,정량한계미만,,,0.6,,정량한계미만,,,4.4,정량한계미만,2.8,,,정량한계미만,,,,,,13.4,2.384,0.010,233.0,6,,,,,정량한계미만,,0.102,,,2.091,,정량한계미만,,,8.4,정량한계미만,0.006,,2.7,,500.0,4.7,2.427,1.7,0.018,,
2015-01-06,3751,2015,1,1회차,한강,남한강하류,강천,,정량한계미만,,정량한계미만,정량한계미만,,,0.9,,정량한계미만,,,1.5,정량한계미만,2.4,,,정량한계미만,,,,,,13.6,2.77,0.005,261.0,5,,,,,0.0000000,,0.056,,,2.219,,정량한계미만,,,8.1,정량한계미만,0.000,,1.3,,170.0,3.5,2.819,2.9,0.012,,
2011-01-10,48520,2011,1,2회차,한강,남한강하류,강천,,,,,,,,0.6,,,,,2.2,,2.6,,,,,,,,,15.6,2.38,0.020,224.0,4,,,,,,,0.001,,,1.498,,,,,6.7,,0.016,,4.9,,2900.0,3.0,2.653,,0.022,,
2012-01-09,48830,2012,1,2회차,한강,남한강하류,강천,,,,,,,,0.5,,,,,3.2,,2.6,,,,,,,,,14.7,2.424,0.036,238.0,120,,,,,,,0.017,,,2.366,,,,,8.3,,0.015,,1.4,,2300.0,4.2,2.523,1.4,0.049,,
2013-01-07,49137,2013,1,2회차,한강,남한강하류,강천,,,,,,,,0.9,,,,,1.7,,1.9,,,,,,,,,15.1,2.398,0.013,249.0,3,,,,,,,0.036,,,2.260,,,,,7.7,0.000,0.010,,0.4,,210.0,3.9,2.487,1.3,0.015,,
2014-01-13,49414,2014,1,2회차,한강,남한강하류,강천,,,,,,,,0.9,,,,,4.0,,2.9,,,,,,,,,14.4,2.796,0.008,238.0,2,,,,,,,0.387,,,2.158,,,,,8.1,정량한계미만,0.007,,6.4,,140.0,1.8,2.85,1.9,0.016,,
2015-01-12,49701,2015,1,2회차,한강,남한강하류,강천,,,,,,,,1.0,,,,,1.7,,2.3,,,,,,,,,15.7,2.728,0.006,259.0,1,,,,,,,0.042,,,1.833,,,,,8.2,정량한계미만,0.001,,2.1,,71.0,3.3,2.749,1.8,0.013,,
