 Ã¤¼ö ÀÏÀÚ,No,¿¬µµ,¿ù,Á¶»çÈ¸Â÷,¼ö°è¸í,Áß±Ç¿ª¸í,ÃøÁ¤¼Ò¸í,¼ö½É,À½ÀÌ¿Â°è¸éÈ°¼ºÁ¦,À¯·®,¾ÈÆ¼¸ó,ºñ¼Ò,¹Ù·ý,º¥Á¨,»ý¹°È­ÇÐÀû»ê¼Ò¿ä±¸·®,»ç¿°È­Åº¼Ò,Ä«µå¹Å,Å¬·Î·ÎÆ÷¸§,¿°¼ÒÀÌ¿Â,Å¬·Î·ÎÇÊ,½Ã¾È,È­ÇÐÀû»ê¼Ò¿ä±¸·®,»öµµ,Å©·Ò,°¡Å©·Ò,±¸¸®,´ÙÀÌÅ¬·Î·Î¿¡Åº,´ÙÀÌÅ¬·Î·Î¸ÞÅº,´ÙÀÌ¿¡Æ¿Çí½ÇÇÁÅ»·¹ÀÌÆ®,´ÙÀÌ¿Á¼¼ÀÎ,¿ëÁ¸»ê¼Ò,¿ëÁ¸ÃÑÁú¼Ò,¿ëÁ¸ÃÑÀÎ,Àü±âÀüµµµµ,ºÐ¿ø¼º´ëÀå±Õ±º,¿ëÇØ¼ºÃ¶,ºÒ¼Ò,Çí»çÅ¬·Î·Îº¥Á¨,Æ÷¸§¾Ëµ¥È÷µå,¼öÀº,¿ëÇØ¼º¸Á°£,¾Ï¸ð´Ï¾Æ¼ºÁú¼Ò,³ë¸»Çí»êÃßÃâ¹°Áú,´ÏÄÌ,Áú»ê¼ºÁú¼Ò,À¯±âÀÎ,³³,Æú¸®Å¬·Î¸®³×ÀÌÆ¼µåºñÆä´Ò,Å×Æ®¶óÅ¬·Î·Î¿¡Æ¿·»,¼ö¼ÒÀÌ¿Â³óµµ,Æä³î·ù,ÀÎ»ê¿°ÀÎ,¼¿·¹´½,ºÎÀ¯¹°Áú,Æ®¸®Å¬·Î·Î¿¡Æ¿·»,ÃÑ´ëÀå±Õ±º,¼ö¿Â,ÃÑÁú¼Ò,ÃÑÀ¯±âÅº¼Ò,ÃÑÀÎ,Åõ¸íµµ,¾Æ¿¬
2011-01-04,93,2011,1,1È¸Â÷ »óÃþºÎ,³«µ¿°­,³²°­´ï,³²°­´ï2,1.0,,,,,,,0.7,,,,0.0,3.8,,2.2,,,,,,,0,,11.1,1.026,0.013,97.0,0,,,,,,,0.094,,,0.791,,,,,8.2,0.000,0.000,,1.6,,0.0,4.0,1.051,,0.015,3.0,
2011-01-04,203,2011,1,1È¸Â÷ ÁßÃþºÎ,³«µ¿°­,³²°­´ï,³²°­´ï2,5.0,,,,,,,0.9,,,,0.0,,,2.3,,,,,,,0,,10.9,1.042,0.014,99.0,0,,,,,,,0.085,,,0.783,,,,,8.0,0.000,0.000,,2.0,,0.0,4.0,1.077,,0.016,,
2011-01-04,304,2011,1,1È¸Â÷ ÇÏÃþºÎ,³«µ¿°­,³²°­´ï,³²°­´ï2,9.0,,,,,,,0.9,,,,0.0,,,2.2,,,,,,,0,,10.9,1.082,0.014,98.0,0,,,,,,,0.094,,,0.754,,,,,7.8,0.000,0.000,,2.0,,0.0,4.0,1.152,,0.017,,
2011-02-07,535,2011,2,1È¸Â÷ »óÃþºÎ,³«µ¿°­,³²°­´ï,³²°­´ï2,1.0,,,,,,,0.5,,,,0.0,2.6,,3.0,,,,,,,0,,9.8,1.318,0.004,131.0,0,,,,,,,0.050,,,1.192,,,,,8.0,0.000,0.002,,1.8,,0.0,4.0,1.37,,0.010,2.8,
2011-02-07,639,2011,2,1È¸Â÷ ÁßÃþºÎ,³«µ¿°­,³²°­´ï,³²°­´ï2,5.0,,,,,,,0.6,,,,0.0,,,2.0,,,,,,,0,,9.5,1.3,0.004,140.0,0,,,,,,,0.080,,,1.212,,,,,8.1,0.000,0.004,,1.6,,0.0,4.0,1.342,,0.010,,
2011-02-07,734,2011,2,1È¸Â÷ ÇÏÃþºÎ,³«µ¿°­,³²°­´ï,³²°­´ï2,9.0,,,,,,,1.1,,,,0.0,,,3.0,,,,,,,0,,9.2,1.388,0.009,151.0,0,,,,,,,0.060,,,1.318,,,,,8.0,0.000,0.008,,1.2,,0.0,4.0,1.4,,0.020,,
2011-03-02,915,2011,3,1È¸Â÷ »óÃþºÎ,³«µ¿°­,³²°­´ï,³²°­´ï2,1.0,0.00,,,0.00000,,0.0000,0.9,0.0000,0.00000,0.001,0.0,4.1,0.00,2.0,,,0.000,,0.0000,0.0000,0,,9.7,1.517,0.006,127.0,0,,,,,0.0000000,,0.020,,,1.178,,0.00000,,0.000,8.0,0.000,0.000,,2.6,0.000,0.0,6.0,1.634,,0.010,2.7,
2011-03-02,1039,2011,3,1È¸Â÷ ÁßÃþºÎ,³«µ¿°­,³²°­´ï,³²°­´ï2,5.0,0.00,,,0.00000,,0.0000,1.0,0.0000,0.00000,0.000,0.0,,0.00,2.0,,,0.000,,0.0000,0.0000,0,,9.8,1.431,0.004,131.0,0,,,,,0.0000000,,0.010,,,1.263,,0.00000,,0.000,8.0,0.000,0.000,,2.8,0.000,0.0,6.0,1.592,,0.010,,
2011-03-02,1152,2011,3,1È¸Â÷ ÇÏÃþºÎ,³«µ¿°­,³²°­´ï,³²°­´ï2,9.0,0.00,,,0.00000,,0.0000,1.1,0.0000,0.00000,0.001,0.0,,0.00,2.0,,,0.000,,0.0000,0.0000,0,,9.2,1.344,0.004,131.0,0,,,,,0.0000000,,0.010,,,1.218,,0.00000,,0.000,7.9,0.000,0.000,,2.4,0.000,0.0,6.0,1.709,,0.000,,
2011-04-04,1395,2011,4,1È¸Â÷ »óÃþºÎ,³«µ¿°­,³²°­´ï,³²°­´ï2,1.0,,,,,,,0.5,,,,0.0,4.2,,2.0,,,,,,,0,,8.6,1.65,0.006,140.0,0,,,,,,,0.030,,,1.473,,,,,7.7,0.000,0.000,,2.0,,0.0,11.0,1.719,,0.010,2.4,
