 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2011-01-27,15,2011,1,1회차,한강,한강서울,노량진,,,,,,,,3.0,,,,,21.2,,4.8,,,,,,,,,14.9,4.53,0.098,264.0,1400,,,,,,,1.844,,,2.595,,,,,7.8,0.000,0.083,,7.5,,7500.0,1.0,4.682,3.1,0.140,,
2012-01-03,1347,2012,1,1회차,한강,한강서울,노량진,,,,,,,,4.0,,,,,20.1,,6.1,,,,,,,,,14.0,5.793,0.181,263.0,320,,,,,,,1.779,,,2.888,,,,,7.6,0.000,0.177,,4.0,,36000.0,2.8,6.133,3.8,0.205,,
2013-01-02,2236,2013,1,1회차,한강,한강서울,노량진,,,,,,,,1.1,,,,,5.3,,4.6,,,,,,,,,14.7,3.378,0.085,235.0,57,,,,,,,0.499,,,2.646,,,,,8.6,정량한계미만,0.084,,2.0,,720.0,0.2,3.425,2.3,0.100,,
2014-01-07,2786,2014,1,1회차,한강,한강서울,노량진,,,,,,,,2.0,,,,,14.2,,5.0,,,,,,,,,12.6,5.472,0.146,308.0,4300,,,,,,,1.241,,,3.906,,,,,7.4,정량한계미만,0.136,,3.0,,38000.0,3.2,5.664,3.8,0.182,,
2015-01-06,3771,2015,1,1회차,한강,한강서울,노량진,,,,,,,,1.6,,,,,4.7,,3.9,,,,,,,,,13.8,5.334,0.136,343.0,1700,,,,,,,1.000,,,3.688,,,,,8.3,정량한계미만,0.129,,2.6,,14000.0,2.4,5.474,2.9,0.160,,
2011-01-06,48516,2011,1,2회차,한강,한강서울,노량진,,,,,,,,4.0,,,,,31.6,,6.2,,,,,,,,,15.0,6.789,0.310,333.0,1100,,,,,,,2.687,,,3.406,,,,,7.6,0.000,0.308,,6.4,,30000.0,2.0,6.928,3.5,0.338,,
2012-01-10,48785,2012,1,2회차,한강,한강서울,노량진,,,,,,,,3.1,,,,,15.7,,6.0,,,,,,,,,13.2,4.853,0.223,266.0,330,,,,,,,1.278,,,3.014,,,,,7.7,0.000,0.211,,5.5,,7200.0,1.2,4.917,3.2,0.263,,
2013-01-09,49095,2013,1,2회차,한강,한강서울,노량진,,,,,,,,1.4,,,,,3.5,,4.6,,,,,,,,,15.0,4.592,0.166,256.0,450,,,,,,,1.144,,,2.852,,,,,8.6,정량한계미만,0.148,,1.9,,1300.0,0.7,5.45,2.1,0.186,,
2014-01-13,49418,2014,1,2회차,한강,한강서울,노량진,,,,,,,,2.6,,,,,26.2,,5.0,,,,,,,,,13.5,5.166,0.122,311.0,2600,,,,,,,0.907,,,3.894,,,,,8.3,정량한계미만,0.118,,4.7,,44000.0,2.0,5.286,3.8,0.204,,
2015-01-12,49713,2015,1,2회차,한강,한강서울,노량진,,,,,,,,1.8,,,,,6.7,,4.5,,,,,,,,,13.5,5.716,0.190,356.0,3200,,,,,,,1.205,,,3.520,,,,,8.6,정량한계미만,0.175,,2.6,,16000.0,2.5,5.816,3.3,0.222,,
2011-01-13,67827,2011,1,3회차,한강,한강서울,노량진,,,,,,,,3.9,,,,,27.6,,5.7,,,,,,,,,15.2,5.343,0.241,295.0,1700,,,,,,,2.034,,,2.929,,,,,8.3,0.000,0.240,,5.2,,15000.0,1.0,5.568,3.3,0.288,,
2012-01-19,67944,2012,1,3회차,한강,한강서울,노량진,,0.00,153.287,,0.00000,,,4.7,,0.00000,,,40.1,0.00,6.7,,,0.000,,,,,,13.4,5.239,0.123,265.0,370,,,,,0.0000000,,1.695,,,2.714,,0.00000,,,7.7,0.000,0.111,,8.6,,6000.0,3.3,5.586,5.4,0.239,,
2013-01-16,68233,2013,1,3회차,한강,한강서울,노량진,,,,,,,,2.1,,,,,7.0,,5.2,,,,,,,,,14.8,5.186,0.208,288.0,710,,,,,,,1.958,,,2.786,,,,,7.6,정량한계미만,0.196,,2.8,,36000.0,2.6,5.29,2.5,0.240,,
2014-01-24,68312,2014,1,3회차,한강,한강서울,노량진,,정량한계미만,164.81,정량한계미만,정량한계미만,,,2.5,,정량한계미만,,,18.5,정량한계미만,4.9,,,정량한계미만,,,,,,12.0,4.512,0.056,340.0,2500,,,,,정량한계미만,,0.783,,,3.512,,정량한계미만,,,7.6,정량한계미만,0.042,,4.9,,45000.0,2.6,4.716,2.8,0.164,,
2015-01-19,68744,2015,1,3회차,한강,한강서울,노량진,,,,,,,,2.1,,,,,6.7,,4.5,,,,,,,,,13.2,5.688,0.176,342.0,1200,,,,,,,1.279,,,3.535,,,,,8.4,정량한계미만,0.164,,3.4,,6600.0,3.8,5.692,3.2,0.206,,
