 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2012-01-10,1090,2012,1,1회차,낙동강,창녕합천보(낙동고령),논공,,0.00,,,0.00000,,,1.2,,0.00000,,,5.3,0.00,4.8,,,0.000,,,,,,13.3,5.388,0.213,518.0,17,,,,,0.0000000,,0.184,,,5.001,,0.00000,,,7.4,0.000,0.203,,4.7,,37.0,3.3,5.396,3.5,0.229,,
2013-01-07,2167,2013,1,1회차,낙동강,창녕합천보(낙동고령),논공,,,,,,,,1.3,,,,,18.9,,4.8,,,,,,,,,14.2,4.462,0.016,462.0,2,,,,,,,0.115,,,4.035,,,,,8.0,정량한계미만,0.004,,5.1,,22.0,2.2,5.15,3.7,0.049,,
2014-01-06,3033,2014,1,1회차,낙동강,창녕합천보(낙동고령),논공,,,,,,,,1.9,,,,,20.0,,5.8,,,,,,,,,13.3,5.544,0.024,604.0,2,,,,,,,0.066,,,4.638,,,,,7.8,정량한계미만,정량한계미만,,5.2,,6.0,5.8,6.134,3.8,0.053,,
2015-01-05,3925,2015,1,1회차,낙동강,창녕합천보(낙동고령),논공,,,,,,,,2.4,,,,,19.3,,6.3,,,,,,,,,15.8,4.305,0.011,423.0,2,,,,,,,0.051,,,3.497,,,,,8.6,정량한계미만,정량한계미만,,5.0,,14.0,2.9,4.536,4.3,0.028,,
2012-01-16,48742,2012,1,2회차,낙동강,창녕합천보(낙동고령),논공,,,,,,,,1.1,,,,,11.5,,4.4,,,,,,,,,13.5,4.967,0.193,450.0,9,,,,,,,0.113,,,4.309,,,,,7.7,0.000,0.176,,9.2,,23.0,2.4,5.275,3.2,0.223,,
2013-01-14,49053,2013,1,2회차,낙동강,창녕합천보(낙동고령),논공,,정량한계미만,,,정량한계미만,,,1.4,,정량한계미만,,,15.0,정량한계미만,5.1,,,정량한계미만,,,,,,15.0,4.677,0.017,438.0,6,,,,,정량한계미만,,0.115,,,4.308,,정량한계미만,,,8.1,정량한계미만,0.003,,6.9,,16.0,3.4,4.977,3.4,0.046,,
2014-01-13,49459,2014,1,2회차,낙동강,창녕합천보(낙동고령),논공,,정량한계미만,,정량한계미만,정량한계미만,,,2.2,,정량한계미만,,,29.3,정량한계미만,5.8,,,정량한계미만,,,,,,14.0,4.961,0.021,527.0,0,,,,,정량한계미만,,0.040,,,4.262,,정량한계미만,,,8.1,정량한계미만,정량한계미만,,5.4,,7.0,4.1,5.28,3.6,0.042,,
2015-01-12,49745,2015,1,2회차,낙동강,창녕합천보(낙동고령),논공,,정량한계미만,,정량한계미만,정량한계미만,,,1.9,,정량한계미만,,,23.1,정량한계미만,6.4,,,정량한계미만,,,,,,15.5,4.63,0.011,438.0,1,,,,,정량한계미만,,0.109,,,3.864,,정량한계미만,,,8.1,정량한계미만,0.004,,5.6,,27.0,3.0,4.765,4.5,0.033,,
2012-01-25,67881,2012,1,3회차,낙동강,창녕합천보(낙동고령),논공,,,,,,,,2.0,,,,,31.9,,7.5,,,,,,,,,14.4,5.532,0.219,575.0,32,,,,,,,0.145,,,4.856,,,,,7.9,0.000,0.201,,9.5,,125.0,3.1,5.817,4.1,0.268,,
2013-01-21,68259,2013,1,3회차,낙동강,창녕합천보(낙동고령),논공,,,,,,,,2.2,,,,,24.7,,5.3,,,,,,,,,15.4,4.22,0.011,404.0,5,,,,,,,0.106,,,3.636,,,,,8.2,정량한계미만,정량한계미만,,7.1,,16.0,3.2,4.592,3.6,0.034,,
