 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2012-01-12,984,2012,1,1회차,낙동강,강정고령보(낙동왜관),다사,,0.00,,,0.00000,,,0.5,,0.00000,,,2.4,0.00,3.3,,,0.000,,,,,,13.4,4.059,0.087,329.0,0,,,,,0.0000000,,0.061,,,3.333,,0.00000,,,7.5,0.000,0.068,,4.5,,2.0,3.1,4.178,2.4,0.101,,
2013-01-07,2124,2013,1,1회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06,3072,2014,1,1회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,1.2,,,,,25.8,,5.5,,,,,,,,,14.3,3.15,0.023,334.0,0,,,,,,,0.022,,,2.570,,,,,8.1,정량한계미만,정량한계미만,,5.4,,1.0,4.7,3.917,3.1,0.038,,
2015-01-05,3973,2015,1,1회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,2.5,,,,,32.5,,6.0,,,,,,,,,17.4,3.022,0.009,290.0,0,,,,,,,0.030,,,2.501,,,,,9.0,정량한계미만,정량한계미만,,6.2,,1.0,2.5,3.082,4.2,0.023,,
2012-01-16,48726,2012,1,2회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,0.5,,,,,4.7,,3.2,,,,,,,,,13.0,4.022,0.107,338.0,0,,,,,,,0.117,,,3.633,,,,,7.8,0.000,0.083,,4.3,,1.0,1.9,4.036,2.4,0.121,,
2013-01-14,49116,2013,1,2회차,낙동강,강정고령보(낙동왜관),다사,,정량한계미만,,,정량한계미만,,,1.7,,정량한계미만,,,20.6,정량한계미만,4.2,,,정량한계미만,,,,,,16.2,3.016,0.013,277.0,0,,,,,정량한계미만,,0.039,,,2.797,,정량한계미만,,,8.7,정량한계미만,0.003,,4.0,,2.0,2.6,3.279,3.0,0.030,,
2014-01-13,49486,2014,1,2회차,낙동강,강정고령보(낙동왜관),다사,,정량한계미만,,정량한계미만,정량한계미만,,,1.9,,정량한계미만,,,24.4,정량한계미만,4.6,,,정량한계미만,,,,,,14.9,3.091,0.014,359.0,1,,,,,정량한계미만,,0.013,,,2.533,,정량한계미만,,,8.8,정량한계미만,정량한계미만,,5.0,,2.0,2.6,3.401,3.0,0.029,,
2015-01-12,49774,2015,1,2회차,낙동강,강정고령보(낙동왜관),다사,,정량한계미만,,정량한계미만,정량한계미만,,,2.6,,정량한계미만,,,20.2,정량한계미만,5.7,,,정량한계미만,,,,,,15.6,3.212,0.008,287.0,0,,,,,정량한계미만,,0.067,,,2.660,,정량한계미만,,,7.9,정량한계미만,0.003,,9.0,,3.0,2.6,3.406,4.0,0.031,,
2012-01-25,67945,2012,1,3회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,1.0,,,,,8.6,,6.2,,,,,,,,,13.0,3.722,0.089,337.0,1,,,,,,,0.152,,,3.196,,,,,7.7,0.000,0.072,,7.2,,14.0,0.9,3.877,2.7,0.109,,
2013-01-21,68253,2013,1,3회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,1.9,,,,,23.9,,4.5,,,,,,,,,15.5,3.103,0.008,280.0,0,,,,,,,0.108,,,2.649,,,,,8.5,정량한계미만,정량한계미만,,8.9,,10.0,2.3,3.422,3.1,0.028,,
2014-01-20,68536,2014,1,3회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,68834,2015,1,3회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,2.1,,,,,14.3,,5.2,,,,,,,,,15.3,3.374,0.009,301.0,0,,,,,,,0.119,,,2.816,,,,,7.8,정량한계미만,0.003,,4.0,,4.0,2.9,4.1,3.7,0.029,,
2012-01-30,85752,2012,1,4회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,1.2,,,,,13.8,,4.1,,,,,,,,,13.2,3.486,0.064,319.0,0,,,,,,,0.085,,,3.279,,,,,7.6,0.000,0.057,,4.5,,1.0,2.9,3.62,2.7,0.089,,
2013-01-28,85935,2013,1,4회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,1.4,,,,,11.3,,4.3,,,,,,,,,14.6,3.258,0.016,292.0,7,,,,,,,0.190,,,2.830,,,,,7.7,정량한계미만,0.005,,3.7,,26.0,2.2,3.664,2.8,0.038,,
2014-01-27,86116,2014,1,4회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,1.8,,,,,18.9,,5.2,,,,,,,,,14.8,3.416,0.013,341.0,0,,,,,,,0.024,,,2.721,,,,,8.8,정량한계미만,정량한계미만,,4.0,,1.0,3.6,3.548,3.1,0.031,,
2015-01-26,86341,2015,1,4회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,1.8,,,,,21.1,,5.4,,,,,,,,,16.4,3.512,0.011,303.0,0,,,,,,,0.108,,,3.119,,,,,7.7,정량한계미만,0.007,,4.6,,3.0,3.2,3.66,3.5,0.027,,
2012-02-06,5305,2012,2,1회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,1.6,,,,,46.1,,4.7,,,,,,,,,14.0,3.644,0.029,338.0,0,,,,,,,0.030,,,3.309,,,,,9.2,0.000,0.025,,6.4,,1.0,3.0,3.646,3.3,0.100,,
2013-02-04,6289,2013,2,1회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,0.7,,,,,7.6,,3.6,,,,,,,,,14.8,3.125,0.020,268.0,64,,,,,,,0.174,,,2.596,,,,,7.6,정량한계미만,0.009,,5.1,,90.0,1.9,3.464,2.7,0.038,,
2014-02-03,7096,2014,2,1회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,2.0,,,,,22.9,,5.2,,,,,,,,,14.9,3.442,0.020,340.0,0,,,,,,,0.034,,,2.796,,,,,8.8,정량한계미만,정량한계미만,,4.8,,1.0,5.4,3.616,3.3,0.036,,
2015-02-02,7866,2015,2,1회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,1.7,,,,,25.5,,5.3,,,,,,,,,15.7,3.519,0.011,301.0,0,,,,,,,0.097,,,2.855,,,,,7.9,정량한계미만,0.003,,4.8,,9.0,3.3,3.635,3.7,0.028,,
2012-02-13,50187,2012,2,2회차,낙동강,강정고령보(낙동왜관),다사,,0.00,,,0.00000,,,1.9,,0.00000,,,27.3,0.00,4.3,,,0.000,,,,,,17.0,3.686,0.074,346.0,0,,,,,0.0000000,,0.085,,,3.537,,0.00000,,,8.6,0.000,0.053,,7.5,,2.0,2.6,3.848,3.3,0.103,,
2013-02-12,50597,2013,2,2회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,1.5,,,,,8.6,,3.9,,,,,,,,,14.9,2.996,0.019,239.0,0,,,,,,,0.217,,,2.319,,,,,7.5,정량한계미만,0.011,,3.7,,1.0,1.5,3.176,2.8,0.034,,
2014-02-10,50929,2014,2,2회차,낙동강,강정고령보(낙동왜관),다사,,정량한계미만,,정량한계미만,정량한계미만,,,3.3,,정량한계미만,,,32.6,정량한계미만,5.8,,,정량한계미만,,,,,,15.1,3.463,0.016,345.0,0,,,,,정량한계미만,,0.019,,,2.814,,정량한계미만,,,8.9,정량한계미만,정량한계미만,,7.2,,2.0,3.8,3.68,3.6,0.057,,
2015-02-09,51254,2015,2,2회차,낙동강,강정고령보(낙동왜관),다사,,정량한계미만,,정량한계미만,정량한계미만,,,1.8,,정량한계미만,,,25.1,정량한계미만,5.8,,,정량한계미만,,,,,,15.8,3.58,0.013,295.0,0,,,,,정량한계미만,,0.062,,,2.815,,정량한계미만,,,7.8,정량한계미만,0.004,,7.2,,3.0,3.3,3.981,3.9,0.034,,
2012-02-20,69241,2012,2,3회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,1.3,,,,,21.7,,4.6,,,,,,,,,14.8,3.613,0.043,339.0,2,,,,,,,0.096,,,3.169,,,,,8.2,0.000,0.038,,6.5,,10.0,2.6,3.789,3.1,0.079,,
2013-02-18,69664,2013,2,3회차,낙동강,강정고령보(낙동왜관),다사,,정량한계미만,,,정량한계미만,,,1.2,,정량한계미만,,,13.0,정량한계미만,4.0,,,정량한계미만,,,,,,15.0,2.859,0.022,244.0,0,,,,,정량한계미만,,0.224,,,2.489,,정량한계미만,,,7.4,정량한계미만,0.011,,7.1,,2.0,2.2,3.209,3.1,0.042,,
2014-02-17,70016,2014,2,3회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,3.0,,,,,38.1,,7.1,,,,,,,,,15.0,3.384,0.016,349.0,4,,,,,,,0.016,,,2.822,,,,,9.2,정량한계미만,정량한계미만,,8.2,,11.0,4.8,3.777,4.0,0.037,,
2015-02-16,70145,2015,2,3회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,3.8,,,,,23.4,,5.9,,,,,,,,,13.5,3.465,0.011,296.0,0,,,,,,,0.057,,,2.784,,,,,8.1,정량한계미만,0.003,,7.0,,1.0,3.8,3.68,4.1,0.035,,
2012-02-27,86520,2012,2,4회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,1.9,,,,,34.9,,4.8,,,,,,,,,14.6,3.285,0.053,304.0,0,,,,,,,0.058,,,3.125,,,,,8.5,0.000,0.042,,7.7,,8.0,2.5,3.536,3.2,0.089,,
2013-02-25,86755,2013,2,4회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,2.0,,,,,24.0,,4.5,,,,,,,,,14.7,2.861,0.016,243.0,0,,,,,,,0.182,,,2.422,,,,,7.5,정량한계미만,0.006,,7.1,,5.0,2.6,3.306,3.0,0.046,,
2014-02-24,87099,2014,2,4회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,3.0,,,,,38.5,,6.6,,,,,,,,,15.1,3.397,0.027,350.0,0,,,,,,,0.015,,,2.756,,,,,9.2,정량한계미만,정량한계미만,,9.2,,1.0,5.1,3.78,4.0,0.047,,
2015-02-23,87191,2015,2,4회차,낙동강,강정고령보(낙동왜관),다사,,,,,,,,3.3,,,,,17.2,,6.1,,,,,,,,,14.6,3.387,0.014,291.0,0,,,,,,,0.067,,,2.622,,,,,8.4,정량한계미만,0.003,,5.6,,7.0,4.5,3.461,4.0,0.032,,
