 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2012-01-03,1422,2012,1,1회차,한강,남한강하류,대신,,0.00,,,0.00000,,,0.7,,0.00000,,,1.9,0.00,3.2,,,0.000,,,,,,13.8,3.136,0.018,214.0,23,,,,,0.0000000,,0.052,,,2.459,,0.00000,,,8.1,0.000,0.005,,2.3,,720.0,2.9,3.187,1.7,0.029,,
2013-01-02,2295,2013,1,1회차,한강,남한강하류,대신,,정량한계미만,,,정량한계미만,,,0.6,,정량한계미만,,,1.7,정량한계미만,3.1,,,정량한계미만,,,,,,14.2,2.906,0.026,227.0,8,,,,,0.0000000,,0.134,,,2.444,,정량한계미만,,,8.3,정량한계미만,0.022,,2.0,,250.0,2.0,2.962,1.3,0.032,,
2014-01-07,2861,2014,1,1회차,한강,남한강하류,대신,,정량한계미만,,정량한계미만,정량한계미만,,,0.7,,정량한계미만,,,4.1,정량한계미만,2.6,,,정량한계미만,,,,,,13.3,2.382,0.010,233.0,20,,,,,정량한계미만,,0.098,,,2.092,,정량한계미만,,,8.3,정량한계미만,0.009,,2.9,,230.0,4.6,2.436,1.7,0.018,,
2015-01-06,3750,2015,1,1회차,한강,남한강하류,대신,,정량한계미만,,정량한계미만,정량한계미만,,,0.8,,정량한계미만,,,2.5,정량한계미만,2.4,,,정량한계미만,,,,,,13.9,2.619,0.010,258.0,210,,,,,0.0000254,,0.061,,,2.083,,정량한계미만,,,8.0,정량한계미만,0.002,,1.7,,640.0,3.8,2.774,3.1,0.017,,
2012-01-10,48780,2012,1,2회차,한강,남한강하류,대신,,,,,,,,0.4,,,,,0.5,,2.8,,,,,,,,,12.6,2.843,0.014,223.0,5,,,,,,,0.039,,,2.626,,,,,8.0,0.000,0.003,,1.9,,110.0,3.4,2.86,1.6,0.026,,
2013-01-08,49154,2013,1,2회차,한강,남한강하류,대신,,,,,,,,0.8,,,,,1.5,,4.8,,,,,,,,,12.6,2.967,0.048,239.0,74,,,,,,,0.191,,,2.517,,,,,7.8,정량한계미만,0.038,,1.5,,750.0,2.5,3.063,1.6,0.055,,
2014-01-13,49412,2014,1,2회차,한강,남한강하류,대신,,,,,,,,0.7,,,,,8.5,,2.8,,,,,,,,,14.3,2.626,0.007,237.0,5,,,,,,,0.198,,,2.137,,,,,8.3,정량한계미만,0.000,,2.9,,260.0,2.2,2.635,1.7,0.014,,
2015-01-12,49699,2015,1,2회차,한강,남한강하류,대신,,,,,,,,0.9,,,,,0.5,,2.6,,,,,,,,,15.6,2.647,0.008,258.0,44,,,,,,,0.084,,,1.717,,,,,8.2,정량한계미만,0.003,,1.8,,430.0,3.1,2.661,1.9,0.018,,
2012-01-18,67922,2012,1,3회차,한강,남한강하류,대신,,,,,,,,0.7,,,,,2.3,,2.9,,,,,,,,,12.8,2.983,0.015,242.0,6,,,,,,,0.056,,,2.814,,,,,7.9,0.000,0.004,,2.6,,190.0,4.5,2.998,1.9,0.017,,
2013-01-15,68298,2013,1,3회차,한강,남한강하류,대신,,,,,,,,0.4,,,,,2.4,,3.6,,,,,,,,,14.4,3.052,0.025,255.0,87,,,,,,,0.191,,,2.487,,,,,7.8,정량한계미만,0.020,,1.3,,580.0,3.5,3.132,1.4,0.032,,
