 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2011-01-19,149,2011,1,1회차,한강,한강잠실,도곡,0.5,,,,,,,1.1,,,,,14.3,,2.6,,,,,,,,,16.8,2.5,0.031,185.0,13,,,,,,,0.001,,,1.834,,,,,9.5,0.000,0.006,,4.0,,630.0,2.0,2.502,,0.036,,
2012-01-11,964,2012,1,1회차,한강,한강잠실,도곡,0.5,,,,,,,0.7,,,,,16.8,,3.4,,,,,,,,,14.8,2.503,0.014,163.0,3,,,,,,,0.024,,,2.332,,,,,7.0,0.000,0.009,,3.2,,92.0,2.3,2.534,1.6,0.038,,
2013-01-23,1555,2013,1,1회차,한강,한강잠실,도곡,0.5,,,,,,,0.6,,,,,8.0,,2.3,,,,,,,,,15.3,1.74,0.026,220.0,7,,,,,,,0.100,,,1.352,,,,,7.9,0.000,0.001,,1.8,,270.0,2.3,1.834,1.4,0.028,,
2014-01-16,2395,2014,1,1회차,한강,한강잠실,도곡,0.5,,,,,,,0.8,,,,,13.8,,3.2,,,,,,,,,16.2,2.594,0.003,247.0,6,,,,,,,0.093,,,1.707,,,,,8.0,0.000,0.001,,4.2,,50.0,3.2,2.647,1.8,0.012,,
2015-01-14,3319,2015,1,1회차,한강,한강잠실,도곡,0.5,,,,,,,0.9,,,,,6.3,,3.6,,,,,,,,,12.9,2.523,0.009,282.0,4,,,,,,,0.093,,,2.394,,,,,7.3,0.000,0.008,,2.2,,34.0,2.3,2.599,1.5,0.026,,
2011-02-16,4112,2011,2,1회차,한강,한강잠실,도곡,0.5,,,,,,,1.2,,,,,27.2,,3.8,,,,,,,,,16.2,2.013,0.033,167.0,15,,,,,,,0.082,,,1.263,,,,,8.3,0.000,0.003,,4.2,,590.0,3.0,2.141,,0.034,,
2012-02-15,4794,2012,2,1회차,한강,한강잠실,도곡,0.5,,,,,,,1.5,,,,,31.0,,3.7,,,,,,,,,14.9,2.219,0.018,173.0,0,,,,,,,0.033,,,2.094,,,,,8.8,0.000,0.001,,5.8,,48.0,2.8,2.32,2.0,0.026,,
2013-02-20,5480,2013,2,1회차,한강,한강잠실,도곡,0.5,,,,,,,0.8,,,,,8.9,,3.6,,,,,,,,,15.6,2.749,0.015,205.0,0,,,,,,,0.710,,,1.690,,,,,8.0,0.000,0.002,,2.4,,110.0,3.4,2.763,1.4,0.018,,
2014-02-12,6424,2014,2,1회차,한강,한강잠실,도곡,0.5,,,,,,,0.7,,,,,7.8,,3.9,,,,,,,,,14.4,2.262,0.020,186.0,10,,,,,,,0.137,,,1.808,,,,,7.9,0.000,0.014,,4.3,,42.0,3.2,2.312,1.8,0.036,,
2015-02-11,7244,2015,2,1회차,한강,한강잠실,도곡,0.5,,,,,,,1.4,,,,,17.4,,3.6,,,,,,,,,13.5,2.592,0.007,287.0,0,,,,,,,0.124,,,2.434,,,,,7.6,0.000,0.004,,2.8,,44.0,4.0,2.671,1.8,0.012,,
2011-03-15,8057,2011,3,1회차,한강,한강잠실,도곡,0.5,0.00,,,0.00000,,,1.5,,0.00000,,,27.1,0.00,4.3,,,0.000,,,,,,15.0,2.155,0.013,152.0,3,,,,,0.0000000,,0.066,,,0.851,,0.00000,,,8.1,0.000,0.004,,5.8,,450.0,5.0,2.192,,0.017,,
2012-03-14,8780,2012,3,1회차,한강,한강잠실,도곡,0.5,0.00,,,0.00000,,,1.7,,0.00000,,,17.0,0.00,4.2,,,0.000,,,,,,13.1,1.935,0.024,167.0,1,,,,,0.0000000,,0.029,,,1.259,,0.00000,,,8.4,0.000,0.004,,6.8,,180.0,5.3,2.087,2.2,0.035,,
2013-03-20,9445,2013,3,1회차,한강,한강잠실,도곡,0.5,0.00,,,0.00000,,,1.6,,0.00000,,,19.4,0.00,3.6,,,0.000,,,,,,12.1,2.4,0.008,176.0,3,,,,,0.0000000,,0.103,,,1.448,,0.00000,,,7.9,0.000,0.006,,7.2,,270.0,8.1,2.444,1.6,0.010,,
2014-03-11,10382,2014,3,1회차,한강,한강잠실,도곡,0.5,0.00,,0.0000,0.00000,,,0.9,,0.00000,,,9.1,0.00,4.2,,,0.000,,,,,,14.4,2.001,0.018,183.0,2,,,,,0.0000000,,0.091,,,1.847,,0.00000,,,7.8,0.000,0.005,,5.8,,24.0,5.9,2.072,2.0,0.019,,
2015-03-11,11175,2015,3,1회차,한강,한강잠실,도곡,0.5,0.00,,0.0000,0.00000,,,1.7,,0.00000,,,18.7,0.00,4.2,,,0.000,,,,,,13.1,2.503,0.009,279.0,4,,,,,0.0000000,,0.147,,,2.063,,0.00000,,,8.6,0.000,0.002,,6.0,,37.0,4.7,2.638,2.1,0.026,,
2011-04-18,11978,2011,4,1회차,한강,한강잠실,도곡,0.5,,,,,,,1.2,,,,,9.1,,3.5,,,,,,,,,10.3,1.983,0.020,91.0,1,,,,,,,0.166,,,1.400,,,,,8.3,0.000,0.008,,7.2,,50.0,11.0,2.064,,0.023,,
2012-04-18,12671,2012,4,1회차,한강,한강잠실,도곡,0.5,,,,,,,1.8,,,,,24.7,,3.9,,,,,,,,,12.9,1.678,0.035,165.0,0,,,,,,,0.009,,,1.292,,,,,8.6,0.000,0.005,,6.8,,390.0,11.4,1.977,1.9,0.040,,
2013-04-17,13396,2013,4,1회차,한강,한강잠실,도곡,0.5,,,,,,,1.6,,,,,19.3,,3.6,,,,,,,,,14.5,2.089,0.314,204.0,0,,,,,,,0.130,,,1.615,,,,,8.5,0.000,0.160,,7.0,,160.0,10.6,2.175,1.7,0.326,,
2014-04-09,14417,2014,4,1회차,한강,한강잠실,도곡,0.5,,,,,,,1.5,,,,,19.1,,3.9,,,,,,,,,11.3,1.908,0.018,213.0,7,,,,,,,0.036,,,1.728,,,,,7.9,0.000,0.013,,8.0,,58.0,11.7,2.031,2.0,0.019,,
2015-04-15,15095,2015,4,1회차,한강,한강잠실,도곡,0.5,,,,,,,1.8,,,,,17.5,,4.6,,,,,,,,,10.1,2.542,0.014,233.0,2,,,,,,,0.088,,,1.897,,,,,7.8,0.000,0.003,,8.2,,340.0,14.2,2.685,2.1,0.043,,
2011-05-11,16051,2011,5,1회차,한강,한강잠실,도곡,0.5,0.00,,,,,,1.1,,,,,15.3,0.00,3.9,,,,,,,,,10.5,3.405,0.022,129.0,22,,,,,,,0.059,,,2.893,,,,,6.7,0.000,0.000,,9.8,,810.0,16.0,3.456,,0.051,,
2012-05-16,16704,2012,5,1회차,한강,한강잠실,도곡,0.5,,,,,,,1.0,,,,,7.5,,3.1,,,,,,,,,11.7,1.223,0.021,132.0,6,,,,,,,0.024,,,1.079,,,,,8.3,0.000,0.006,,6.4,,1300.0,16.7,1.366,1.7,0.026,,
2013-05-22,17346,2013,5,1회차,한강,한강잠실,도곡,0.5,,,,,,,1.8,,,,,20.1,,3.7,,,,,,,,,10.2,1.97,0.026,181.0,15,,,,,,,0.017,,,1.302,,,,,7.3,0.000,0.010,,6.4,,5200.0,17.0,1.983,1.6,0.028,,
2014-05-14,18317,2014,5,1회차,한강,한강잠실,도곡,0.5,,,,,,,0.7,,,,,3.2,,3.1,,,,,,,,,9.0,1.563,0.007,198.0,5,,,,,,,0.029,,,1.409,,,,,8.0,0.000,0.006,,4.4,,2900.0,19.4,1.602,1.8,0.013,,
