 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2012-01-09,1180,2012,1,1회차,낙동강,낙동상주,도남,,0.00,,,0.00000,,,1.0,,0.00000,,,4.4,0.00,3.1,,,0.000,,,,,,13.4,2.908,0.023,243.0,11,,,,,0.0000000,,0.080,,,2.708,,0.00000,,,7.4,0.000,0.022,,11.2,,25.0,1.0,2.959,2.0,0.042,,
2013-01-07,2145,2013,1,1회차,낙동강,낙동상주,도남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06,3090,2014,1,1회차,낙동강,낙동상주,도남,,,,,,,,0.4,,,,,4.8,,2.9,,,,,,,,,13.7,3.027,0.017,238.0,0,,,,,,,0.013,,,2.676,,,,,7.7,정량한계미만,정량한계미만,,1.4,,4.0,3.1,3.11,1.5,0.020,,
2015-01-05,3988,2015,1,1회차,낙동강,낙동상주,도남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-17,48754,2012,1,2회차,낙동강,낙동상주,도남,,,,,,,,0.4,,,,,2.0,,2.9,,,,,,,,,13.2,3.194,0.025,246.0,3,,,,,,,0.074,,,3.087,,,,,7.7,0.000,0.014,,4.4,,7.0,3.2,3.234,1.9,0.032,,
2013-01-14,49130,2013,1,2회차,낙동강,낙동상주,도남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-13,49445,2014,1,2회차,낙동강,낙동상주,도남,,정량한계미만,,정량한계미만,정량한계미만,,,1.0,,정량한계미만,,,17.2,정량한계미만,2.9,,,정량한계미만,,,,,,16.0,3.019,0.004,247.0,0,,,,,정량한계미만,,0.017,,,2.687,,정량한계미만,,,8.6,정량한계미만,정량한계미만,,2.2,,2.0,2.3,3.129,1.8,0.016,,
2015-01-12,49731,2015,1,2회차,낙동강,낙동상주,도남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-25,67871,2012,1,3회차,낙동강,낙동상주,도남,,,,,,,,0.6,,,,,4.6,,3.4,,,,,,,,,14.0,2.771,0.014,233.0,5,,,,,,,0.144,,,2.409,,,,,7.8,0.000,0.011,,5.1,,14.0,0.3,2.837,2.3,0.023,,
2013-01-21,68258,2013,1,3회차,낙동강,낙동상주,도남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-20,68548,2014,1,3회차,낙동강,낙동상주,도남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,68846,2015,1,3회차,낙동강,낙동상주,도남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-30,85757,2012,1,4회차,낙동강,낙동상주,도남,,,,,,,,0.7,,,,,1.9,,3.2,,,,,,,,,15.5,2.818,0.016,232.0,0,,,,,,,0.148,,,2.527,,,,,7.8,0.000,0.015,,5.9,,6.0,1.0,2.878,2.0,0.025,,
2013-01-28,85943,2013,1,4회차,낙동강,낙동상주,도남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-27,86049,2014,1,4회차,낙동강,낙동상주,도남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,86354,2015,1,4회차,낙동강,낙동상주,도남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-07,5134,2012,2,1회차,낙동강,낙동상주,도남,,,,,,,,0.6,,,,,3.1,,2.9,,,,,,,,,14.5,2.758,0.020,232.0,2,,,,,,,0.132,,,2.364,,,,,7.9,0.000,0.012,,6.5,,3.0,1.5,2.952,2.2,0.037,,
2013-02-04,6230,2013,2,1회차,낙동강,낙동상주,도남,,,,,,,,2.4,,,,,4.4,,7.3,,,,,,,,,12.8,2.591,0.106,115.0,875,,,,,,,0.211,,,2.087,,,,,7.7,정량한계미만,0.094,,53.3,,3350.0,2.6,2.947,4.8,0.189,,
2014-02-03,7110,2014,2,1회차,낙동강,낙동상주,도남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,7883,2015,2,1회차,낙동강,낙동상주,도남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-14,50067,2012,2,2회차,낙동강,낙동상주,도남,,0.00,,,0.00000,,,0.6,,0.00000,,,2.7,0.00,3.8,,,0.000,,,,,,14.0,2.661,0.023,234.0,4,,,,,0.0000000,,0.114,,,2.399,,0.00000,,,7.8,0.000,0.014,,5.9,,9.0,3.8,2.665,2.4,0.026,,
2013-02-12,50603,2013,2,2회차,낙동강,낙동상주,도남,,,,,,,,0.6,,,,,0.9,,3.0,,,,,,,,,14.6,2.907,0.020,169.0,1,,,,,,,0.182,,,2.458,,,,,7.8,정량한계미만,0.017,,2.9,,2.0,1.3,3.079,2.2,0.029,,
2014-02-10,50941,2014,2,2회차,낙동강,낙동상주,도남,,정량한계미만,,정량한계미만,정량한계미만,,,1.6,,정량한계미만,,,17.9,정량한계미만,3.8,,,정량한계미만,,,,,,14.6,2.961,0.011,258.0,0,,,,,정량한계미만,,0.063,,,2.546,,정량한계미만,,,8.3,정량한계미만,정량한계미만,,4.2,,3.0,3.3,3.128,2.1,0.026,,
2015-02-09,51269,2015,2,2회차,낙동강,낙동상주,도남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-20,69153,2012,2,3회차,낙동강,낙동상주,도남,,,,,,,,0.6,,,,,1.9,,3.7,,,,,,,,,13.7,2.325,0.012,220.0,1,,,,,,,0.114,,,1.914,,,,,7.7,0.000,0.009,,4.2,,3.0,2.4,2.358,2.4,0.025,,
2013-02-18,69631,2013,2,3회차,낙동강,낙동상주,도남,,정량한계미만,,,정량한계미만,,,0.4,,정량한계미만,,,0.9,정량한계미만,2.6,,,정량한계미만,,,,,,13.7,2.844,0.017,167.0,1,,,,,정량한계미만,,0.214,,,2.428,,정량한계미만,,,7.8,정량한계미만,0.012,,2.6,,9.0,2.8,3.054,2.0,0.023,,
