 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2011-01-05,601,2011,1,1회차,낙동강,낙동강하구언,물금,,,236.334,,,,,1.8,,,,,41.9,,5.3,,,,,,,,,12.9,3.637,0.025,453.0,15,,,,,,,0.100,,,3.221,,,,,7.7,0.000,0.016,,20.2,,100.0,2.0,3.879,3.5,0.087,,
2012-01-10,1158,2012,1,1회차,낙동강,낙동강하구언,물금,,0.00,123.14,,0.00000,,,3.2,,0.00000,,,93.1,0.00,7.0,,,0.000,,,,,,13.6,2.807,0.027,372.0,0,,,,,0.0000000,,0.015,,,2.595,,0.00000,,,7.9,0.000,0.009,,15.8,,8.0,3.2,3.358,3.9,0.104,,
2013-01-08,2000,2013,1,1회차,낙동강,낙동강하구언,물금,,,180.76,,,,,1.9,,,,,24.4,,4.4,,,,,,,,,15.1,2.73,0.011,431.0,1,,,,,,,0.095,,,2.450,,,,,7.0,정량한계미만,정량한계미만,,4.6,,7.0,2.6,3.141,2.6,0.037,,
2014-01-07,2878,2014,1,1회차,낙동강,낙동강하구언,물금,,,155.418,,,,,2.2,,,,,28.4,,5.4,,,,,,,,,13.9,3.171,0.022,499.0,2,,,,,,,0.033,,,2.597,,,,,8.3,정량한계미만,정량한계미만,,6.0,,25.0,5.0,3.401,3.5,0.047,,
2015-01-06,3857,2015,1,1회차,낙동강,낙동강하구언,물금,,,93.334,,,,,2.1,,,,,15.4,,4.5,,,,,,,,,14.3,3.191,0.013,368.0,0,,,,,,,0.096,,,2.549,,,,,8.0,정량한계미만,0.004,,3.6,,29.0,4.1,3.198,3.0,0.041,,
2011-01-12,48537,2011,1,2회차,낙동강,낙동강하구언,물금,,,43.559,,,,,2.0,,,,,49.2,,5.5,,,,,,,,,13.6,3.562,0.018,450.0,2,,,,,,,0.134,,,3.167,,,,,7.3,0.000,0.010,,26.3,,70.0,1.0,3.835,3.2,0.092,,
2012-01-16,48730,2012,1,2회차,낙동강,낙동강하구언,물금,,,152.17,,,,,2.8,,,,,85.2,,6.9,,,,,,,,,14.1,3.017,0.022,347.0,6,,,,,,,0.011,,,2.354,,,,,8.1,0.000,0.004,,11.4,,8.0,2.0,3.397,3.8,0.095,,
2013-01-14,49125,2013,1,2회차,낙동강,낙동강하구언,물금,,정량한계미만,119.09,,정량한계미만,,,1.6,,정량한계미만,,,21.7,정량한계미만,4.4,,,정량한계미만,,,,,,14.8,3.161,0.014,497.0,0,,,,,정량한계미만,,0.168,,,2.892,,정량한계미만,,,7.8,정량한계미만,정량한계미만,,6.0,,14.0,2.9,3.461,2.6,0.042,,
2014-01-13,49440,2014,1,2회차,낙동강,낙동강하구언,물금,,정량한계미만,124.578,정량한계미만,정량한계미만,,,2.1,,정량한계미만,,,18.5,정량한계미만,5.1,,,정량한계미만,,,,,,14.8,3.293,0.013,452.0,1,,,,,정량한계미만,,0.030,,,2.734,,정량한계미만,,,8.3,정량한계미만,정량한계미만,,4.8,,9.0,4.0,3.621,3.5,0.052,,
2015-01-12,49782,2015,1,2회차,낙동강,낙동강하구언,물금,,정량한계미만,125.423,정량한계미만,정량한계미만,,,1.2,,정량한계미만,,,16.2,정량한계미만,4.4,,,정량한계미만,,,,,,13.7,2.945,0.012,358.0,0,,,,,정량한계미만,,0.088,,,2.456,,정량한계미만,,,7.4,정량한계미만,0.004,,3.6,,9.0,4.1,2.962,2.9,0.036,,
