 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2012-01-05,1312,2012,1,1회차,금강,금강공주,부여,,,,,0.00000,,,1.5,,0.00000,,,5.8,,5.2,,,0.000,,,,,,14.2,5.137,0.049,397.0,0,,,,,0.0000000,,1.062,,,3.034,,0.00000,,,7.6,0.000,0.006,,3.3,,35.0,2.0,6.126,4.8,0.076,,
2013-01-08,2034,2013,1,1회차,금강,금강공주,부여,,0.00,,,0.00000,,,1.0,,0.00000,,,2.0,0.00,4.0,,,0.000,,,,,,15.6,3.814,0.016,318.0,2,,,,,0.0000000,,0.873,,,2.534,,0.00000,,,7.3,0.000,0.013,,1.3,,50.0,1.0,3.972,3.3,0.031,,
2014-01-06,3125,2014,1,1회차,금강,금강공주,부여,,정량한계미만,,정량한계미만,정량한계미만,,,1.5,,정량한계미만,,,38.5,정량한계미만,6.1,,,정량한계미만,,,,,,15.9,4.678,0.018,455.0,2,,,,,정량한계미만,,0.534,,,3.501,,정량한계미만,,,7.5,정량한계미만,0.003,,5.3,,10.0,3.5,4.727,4.7,0.033,,
2015-01-05,3960,2015,1,1회차,금강,금강공주,부여,,,,,,,,1.5,,,,,5.7,,4.7,,,,,,,,,15.6,3.695,0.014,348.0,0,,,,,,,0.385,,,2.822,,,,,7.8,정량한계미만,0.002,,2.7,,15.0,3.5,3.74,2.9,0.020,,
2012-01-11,48786,2012,1,2회차,금강,금강공주,부여,,,,,,,,1.8,,,,,4.5,,5.5,,,,,,,,,14.2,4.695,0.069,349.0,5,,,,,,,1.384,,,3.026,,,,,8.6,0.000,0.007,,3.2,,100.0,2.1,5.124,5.5,0.097,,
2013-01-15,49074,2013,1,2회차,금강,금강공주,부여,,,,,,,,1.3,,,,,3.3,,4.5,,,,,,,,,15.1,3.723,0.043,306.0,2,,,,,,,0.876,,,2.354,,,,,7.6,0.000,0.012,,2.4,,310.0,1.6,3.804,2.9,0.048,,
2014-01-13,49484,2014,1,2회차,금강,금강공주,부여,,,,,,,,1.9,,,,,44.8,,5.6,,,,,,,,,13.6,5.07,0.016,458.0,0,,,,,,,0.683,,,3.752,,,,,8.3,정량한계미만,0.004,,5.0,,45.0,2.7,5.864,4.9,0.046,,
2015-01-12,49771,2015,1,2회차,금강,금강공주,부여,,정량한계미만,,정량한계미만,정량한계미만,,,1.7,,정량한계미만,,,6.1,정량한계미만,5.2,,,정량한계미만,,,,,,13.3,3.519,0.017,373.0,15,,,,,정량한계미만,,0.468,,,3.002,,정량한계미만,,,8.0,정량한계미만,0.007,,3.2,,40.0,3.2,3.581,2.6,0.028,,
2012-01-18,67911,2012,1,3회차,금강,금강공주,부여,,,,,,,,2.3,,,,,6.3,,6.3,,,,,,,,,12.7,5.383,0.057,420.0,5,,,,,,,1.883,,,2.626,,,,,8.9,0.000,0.005,,4.2,,100.0,3.8,5.778,7.2,0.086,,
2013-01-22,68165,2013,1,3회차,금강,금강공주,부여,,,,,,,,1.3,,,,,6.5,,5.0,,,,,,,,,14.5,3.577,0.023,292.0,70,,,,,,,1.030,,,2.140,,,,,7.6,0.000,0.010,,3.3,,3000.0,3.0,3.858,4.5,0.034,,
2014-01-22,68451,2014,1,3회차,금강,금강공주,부여,,,,,,,,2.4,,,,,26.7,,6.5,,,,,,,,,15.0,5.169,0.022,468.0,2,,,,,,,0.919,,,3.850,,,,,7.8,정량한계미만,0.012,,3.2,,10.0,2.6,5.323,4.8,0.045,,
2015-01-19,68827,2015,1,3회차,금강,금강공주,부여,,,,,,,,1.2,,,,,9.4,,5.8,,,,,,,,,15.6,3.465,0.024,378.0,0,,,,,,,0.475,,,2.869,,,,,7.7,정량한계미만,0.009,,3.8,,40.0,3.3,3.486,3.4,0.032,,
2012-01-26,85786,2012,1,4회차,금강,금강공주,부여,,,,,,,,4.4,,,,,26.7,,6.5,,,,,,,,,16.6,5.125,0.035,391.0,10,,,,,,,1.868,,,2.771,,,,,7.9,0.000,0.002,,7.1,,95.0,3.5,5.657,7.5,0.076,,
2013-01-29,85864,2013,1,4회차,금강,금강공주,부여,,,,,,,,1.0,,,,,3.1,,4.2,,,,,,,,,14.3,2.439,0.024,217.0,240,,,,,,,0.597,,,1.437,,,,,7.6,0.000,0.016,,2.7,,800.0,3.0,2.608,3.9,0.032,,
2014-01-27,86109,2014,1,4회차,금강,금강공주,부여,,,,,,,,2.2,,,,,19.0,,6.3,,,,,,,,,14.1,4.897,0.022,463.0,2,,,,,,,0.776,,,3.762,,,,,7.7,정량한계미만,0.006,,3.7,,10.0,2.8,4.939,4.7,0.034,,
2015-01-26,86334,2015,1,4회차,금강,금강공주,부여,,,,,,,,1.2,,,,,9.6,,4.7,,,,,,,,,12.9,3.343,0.017,380.0,0,,,,,,,0.462,,,2.853,,,,,7.6,정량한계미만,0.004,,3.9,,55.0,4.5,3.677,2.7,0.025,,
2012-02-01,99665,2012,1,5회차,금강,금강공주,부여,,0.00,,,,,,2.2,,,,,12.0,0.00,5.9,,,,,,,,,16.8,4.919,0.036,361.0,10,,,,,,,2.184,,,2.659,,,,,7.7,0.000,0.002,,4.4,,50.0,2.1,5.671,3.2,0.072,,
2012-02-08,5099,2012,2,1회차,금강,금강공주,부여,,0.00,,,0.00000,,,1.9,,0.00000,,,8.6,0.00,8.9,,,0.000,,,,,,14.3,5.23,0.037,373.0,10,,,,,0.0000000,,2.016,,,2.660,,0.00000,,,6.2,0.000,0.004,,11.3,,36.0,1.0,5.281,4.0,0.068,,
2013-02-06,6016,2013,2,1회차,금강,금강공주,부여,,0.00,,,0.00000,,,1.4,,0.00000,,,4.5,0.00,3.8,,,0.000,,,,,,13.6,2.735,0.037,208.0,2000,,,,,,,0.447,,,1.775,,0.00000,,,7.7,0.000,0.037,,9.6,,4700.0,3.8,2.798,4.5,0.071,,
2014-02-03,7123,2014,2,1회차,금강,금강공주,부여,,정량한계미만,,정량한계미만,정량한계미만,,,2.4,,정량한계미만,,,24.2,정량한계미만,4.7,,,정량한계미만,,,,,,14.4,5.178,0.028,484.0,19,,,,,정량한계미만,,0.785,,,3.764,,정량한계미만,,,7.7,정량한계미만,0.006,,7.0,,32.0,4.2,5.305,4.1,0.044,,
2015-02-02,7906,2015,2,1회차,금강,금강공주,부여,,정량한계미만,,,정량한계미만,,,1.7,,정량한계미만,,,19.6,정량한계미만,5.4,,,정량한계미만,,,,,,14.4,3.815,0.018,372.0,0,,,,,정량한계미만,,0.342,,,2.824,,정량한계미만,,,7.9,정량한계미만,0.003,,3.4,,10.0,4.0,3.892,3.4,0.039,,
