 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2011-01-19,228,2011,1,1회차,금강,금강공주,연기,,,48.343,,,,,1.9,,,,,2.8,,5.9,,,,,,,,,14.3,5.189,0.174,364.0,190,,,,,,,1.396,,,2.954,,,,,7.6,0.000,0.016,,3.3,,2000.0,3.0,5.524,4.1,0.191,,
2012-01-11,1067,2012,1,1회차,금강,금강공주,연기,,,52.1,,,,,2.8,,,,,5.7,,7.0,,,,,,,,,13.7,5.865,0.092,375.0,3000,,,,,,,1.827,,,2.823,,,,,7.6,0.000,0.010,,6.7,,40000.0,3.9,6.421,6.2,0.141,,
2013-01-08,2033,2013,1,1회차,금강,금강공주,연기,,,,,,,,1.3,,,,,3.2,,4.8,,,,,,,,,14.9,4.21,0.025,311.0,240,,,,,,,1.168,,,2.382,,,,,7.7,0.000,0.004,,0.9,,3000.0,2.7,4.279,,0.043,,
2014-01-15,2493,2014,1,1회차,금강,금강공주,연기,,,34.852,,,,,2.2,,,,,3.8,,4.4,,,,,,,,,14.3,5.072,0.025,482.0,75,,,,,,,1.130,,,3.588,,,,,7.7,정량한계미만,0.006,,3.1,,400.0,2.7,5.169,5.2,0.053,,
2015-01-14,3358,2015,1,1회차,금강,금강공주,연기,,,60.827,,,,,1.1,,,,,4.1,,5.1,,,,,,,,,14.0,3.598,0.020,382.0,190,,,,,,,0.673,,,2.696,,,,,7.3,정량한계미만,0.008,,2.5,,280.0,4.4,3.921,3.1,0.028,,
2011-01-26,48434,2011,1,2회차,금강,금강공주,연기,,,48.696,,,,,1.9,,,,,,,5.5,,,,,,,,,13.6,,,367.0,,,,,,,,,,,,,,,,7.6,,,,3.6,,,1.0,5.663,4.3,0.127,,
2012-02-01,48609,2012,1,2회차,금강,금강공주,연기,,,53.019,,,,,1.9,,,,,,,5.9,,,,,,,,,16.2,,,365.0,,,,,,,,,,,,,,,,8.1,,,,3.4,,,-0.9,6.195,3.5,0.086,,
2013-01-16,48950,2013,1,2회차,금강,금강공주,연기,,,62.084,,,,,1.3,,,,,5.1,,5.1,,,,,,,,,14.3,3.862,0.029,283.0,,,,,,,,0.896,,,2.078,,,,,7.6,,0.012,,2.7,,,3.5,4.0,4.7,0.033,,
2014-01-22,49227,2014,1,2회차,금강,금강공주,연기,,,33.832,,,,,1.6,,,,,8.1,,6.6,,,,,,,,,13.4,5.341,0.040,516.0,,,,,,,,1.283,,,3.856,,,,,7.5,,0.003,,4.0,,,4.0,5.47,5.5,0.051,,
2015-01-20,49527,2015,1,2회차,금강,금강공주,연기,,,67.646,,,,,1.2,,,,,4.7,,5.1,,,,,,,,,12.1,3.41,0.021,358.0,,,,,,,,0.465,,,2.859,,,,,7.7,,0.007,,2.2,,,4.7,3.475,3.1,0.033,,
2013-01-22,68164,2013,1,3회차,금강,금강공주,연기,,,186.323,,,,,5.0,,,,,30.2,,12.9,,,,,,,,,14.8,4.859,0.255,350.0,,,,,,,,1.810,,,1.823,,,,,7.4,,0.148,,44.6,,,3.6,5.213,10.4,0.275,,
2014-01-27,68317,2014,1,3회차,금강,금강공주,연기,,,,,,,,1.8,,,,,10.3,,7.2,,,,,,,,,14.7,5.539,0.036,514.0,,,,,,,,1.399,,,3.722,,,,,7.5,,0.017,,3.9,,,5.1,5.635,5.3,0.062,,
2015-01-28,68630,2015,1,3회차,금강,금강공주,연기,,,66.443,,,,,1.0,,,,,5.6,,5.2,,,,,,,,,12.1,3.364,0.019,388.0,,,,,,,,0.415,,,2.786,,,,,7.6,,0.009,,1.9,,,4.7,3.487,3.7,0.035,,
